"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","391.60","379.85","393.95","377.15","8.28M","4.47%"
"05-11-2024","374.85","365.00","376.50","362.25","8.16M","1.72%"
"04-11-2024","368.50","382.00","382.00","363.65","8.85M","-3.28%"
"01-11-2024","381.00","380.90","383.30","380.00","505.69K","0.03%"
"31-10-2024","380.90","377.00","382.45","374.00","6.86M","0.86%"
"30-10-2024","377.65","388.50","389.45","376.70","5.11M","-2.79%"
"29-10-2024","388.50","384.95","389.85","375.50","5.12M","1.36%"
"28-10-2024","383.30","380.00","393.80","379.00","12.99M","2.93%"
"25-10-2024","372.40","406.00","406.00","370.65","8.52M","-7.99%"
"24-10-2024","404.75","396.00","405.40","393.45","7.70M","1.73%"
"23-10-2024","397.85","402.10","403.30","394.20","3.78M","-1.06%"
"22-10-2024","402.10","414.10","416.60","400.50","5.95M","-3.14%"
"21-10-2024","415.15","433.00","436.30","413.85","9.26M","-3.81%"
"18-10-2024","431.60","430.40","435.30","422.65","4.94M","-0.40%"
"17-10-2024","433.35","431.95","439.00","428.25","11.76M","-0.30%"
"16-10-2024","434.65","427.00","438.35","425.15","16.36M","2.78%"
"15-10-2024","422.90","414.00","426.90","412.25","16.86M","4.20%"
"14-10-2024","405.85","397.50","407.90","396.05","6.15M","2.62%"
"11-10-2024","395.50","392.00","397.05","387.40","2.98M","0.76%"
"10-10-2024","392.50","397.50","404.00","392.00","3.36M","-0.60%"
"09-10-2024","394.85","400.00","413.00","393.25","11.90M","1.18%"
"08-10-2024","390.25","388.00","395.00","381.50","12.82M","-0.86%"
"07-10-2024","393.65","407.20","409.35","390.95","5.68M","-3.26%"
"04-10-2024","406.90","407.00","413.75","395.10","12.35M","-1.96%"
"03-10-2024","415.05","429.00","432.65","413.00","14.17M","-6.71%"
"01-10-2024","444.90","440.00","446.05","438.45","5.53M","0.99%"
"30-09-2024","440.55","436.00","446.95","430.50","7.95M","0.59%"
"27-09-2024","437.95","424.00","439.80","421.20","12.19M","3.79%"
"26-09-2024","421.95","418.20","424.05","408.60","6.07M","1.09%"
"25-09-2024","417.40","417.15","419.05","407.60","4.87M","0.06%"
"24-09-2024","417.15","402.90","419.40","402.65","9.27M","3.40%"
"23-09-2024","403.45","399.50","408.95","396.65","4.90M","1.18%"
