"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","4,892.80","4,858.00","4,920.00","4,841.00","602.66K","1.50%"
"05-11-2024","4,820.70","4,818.00","4,878.30","4,760.90","673.75K","0.30%"
"04-11-2024","4,806.05","5,127.50","5,127.50","4,726.50","1.68M","-4.27%"
"01-11-2024","5,020.50","5,039.70","5,043.00","5,010.15","49.63K","0.62%"
"31-10-2024","4,989.55","4,937.00","5,027.50","4,919.95","897.45K","1.63%"
"30-10-2024","4,909.30","4,745.00","5,037.50","4,740.10","1.04M","2.55%"
"29-10-2024","4,787.45","4,927.85","4,959.95","4,745.00","953.92K","-2.85%"
"28-10-2024","4,927.80","4,973.30","5,015.85","4,896.05","419.93K","-0.91%"
"25-10-2024","4,973.30","5,120.00","5,144.70","4,875.00","709.80K","-2.74%"
"24-10-2024","5,113.60","5,160.05","5,231.20","5,093.60","349.45K","-0.62%"
"23-10-2024","5,145.70","5,175.80","5,280.00","5,120.55","411.52K","-0.58%"
"22-10-2024","5,175.80","5,263.00","5,274.40","5,155.00","531.83K","-1.27%"
"21-10-2024","5,242.25","5,216.20","5,253.85","5,085.05","740.72K","0.50%"
"18-10-2024","5,216.20","5,217.45","5,288.65","5,146.05","427.62K","-0.02%"
"17-10-2024","5,217.45","5,363.05","5,363.05","5,100.00","1.95M","-3.35%"
"16-10-2024","5,398.20","5,505.65","5,519.00","5,387.00","504.21K","-1.95%"
"15-10-2024","5,505.65","5,565.00","5,587.65","5,464.00","302.89K","-0.89%"
"14-10-2024","5,555.35","5,504.00","5,575.00","5,499.85","407.15K","1.44%"
"11-10-2024","5,476.30","5,460.50","5,488.35","5,440.00","303.03K","0.37%"
"10-10-2024","5,456.10","5,588.00","5,594.95","5,445.00","579.34K","-1.77%"
"09-10-2024","5,554.60","5,541.05","5,588.00","5,530.00","439.34K","0.45%"
"08-10-2024","5,529.85","5,462.00","5,545.00","5,411.00","473.76K","0.51%"
"07-10-2024","5,501.55","5,569.95","5,608.45","5,436.10","682.78K","-0.35%"
"04-10-2024","5,520.85","5,647.05","5,649.95","5,484.00","943.92K","-2.51%"
"03-10-2024","5,662.75","5,733.35","5,733.35","5,622.00","1.22M","-1.52%"
"01-10-2024","5,750.10","5,712.40","5,794.00","5,665.00","742.94K","0.66%"
"30-09-2024","5,712.40","5,890.00","5,890.00","5,690.50","1.35M","-4.11%"
