"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","229.82","224.00","231.24","222.05","5.21M","3.18%"
"05-11-2024","222.73","219.00","225.84","214.01","5.76M","1.16%"
"04-11-2024","220.17","219.70","222.31","213.73","5.09M","0.38%"
"01-11-2024","219.34","218.38","220.25","218.12","1.26M","0.97%"
"31-10-2024","217.23","216.90","219.33","214.49","3.50M","0.30%"
"30-10-2024","216.59","218.85","223.90","211.60","11.05M","0.07%"
"29-10-2024","216.43","204.18","221.43","201.30","11.16M","6.06%"
"28-10-2024","204.06","194.99","205.79","192.11","6.27M","5.19%"
"25-10-2024","193.99","204.36","205.00","193.00","5.59M","-5.07%"
"24-10-2024","204.36","201.99","208.85","198.34","5.57M","1.97%"
"23-10-2024","200.42","199.05","205.80","194.00","5.69M","0.68%"
"22-10-2024","199.07","208.10","210.70","198.00","7.03M","-4.58%"
"21-10-2024","208.62","216.15","217.55","207.55","2.50M","-2.99%"
"18-10-2024","215.06","216.30","216.32","209.90","2.96M","-0.95%"
"17-10-2024","217.12","223.20","225.70","216.50","2.12M","-2.88%"
"16-10-2024","223.56","223.80","228.52","223.05","2.12M","-0.47%"
"15-10-2024","224.61","224.30","227.70","222.97","2.91M","0.27%"
"14-10-2024","224.00","223.10","226.98","222.05","2.93M","0.40%"
"11-10-2024","223.10","223.25","226.00","221.00","3.15M","-0.93%"
"10-10-2024","225.19","226.88","228.78","224.36","2.93M","-0.56%"
"09-10-2024","226.45","230.05","232.56","225.41","4.62M","-1.06%"
"08-10-2024","228.88","210.00","230.60","208.38","10.57M","8.83%"
"07-10-2024","210.31","224.32","224.94","206.56","10.27M","-6.25%"
"04-10-2024","224.33","228.00","230.90","220.00","4.95M","-1.82%"
"03-10-2024","228.48","230.00","232.93","227.30","4.07M","-3.16%"
"01-10-2024","235.94","240.71","241.38","234.00","4.87M","-2.42%"
"30-09-2024","241.80","238.00","243.10","234.00","6.27M","1.40%"
"27-09-2024","238.45","235.00","240.00","233.05","8.28M","1.64%"
"26-09-2024","234.60","237.20","241.90","232.15","5.80M","-0.99%"
"25-09-2024","236.95","242.00","242.15","236.05","3.63M","-2.19%"
"24-09-2024","242.25","244.40","246.80","241.55","4.45M","-0.49%"
"23-09-2024","243.45","251.25","252.85","241.00","11.86M","-3.03%"
"20-09-2024","251.05","232.25","252.85","231.60","39.84M","8.92%"
"19-09-2024","230.50","242.15","243.50","228.05","10.79M","-4.28%"
"18-09-2024","240.80","244.40","248.30","240.05","5.26M","-1.75%"
"17-09-2024","245.10","247.50","252.25","242.55","8.32M","-0.87%"
"16-09-2024","247.25","253.50","254.70","246.25","4.58M","-2.06%"
"13-09-2024","252.45","253.80","255.95","249.20","6.74M","-0.65%"
"12-09-2024","254.10","247.35","256.90","246.05","12.47M","3.31%"
"11-09-2024","245.95","254.35","257.30","245.00","7.04M","-2.86%"
"10-09-2024","253.20","253.10","256.10","250.75","7.06M","0.52%"
"09-09-2024","251.90","253.95","258.60","246.30","10.43M","-0.87%"
"06-09-2024","254.10","262.00","264.45","253.10","8.96M","-3.02%"
"05-09-2024","262.00","267.75","269.45","261.30","6.61M","-1.69%"
"04-09-2024","266.50","269.00","271.45","265.00","7.35M","-2.54%"
"03-09-2024","273.45","274.50","276.80","272.60","4.97M","-0.38%"
"02-09-2024","274.50","279.95","281.80","273.20","9.68M","-2.19%"
"30-08-2024","280.65","296.55","297.50","277.00","24.25M","-4.43%"
"29-08-2024","293.65","289.90","297.70","285.20","13.62M","1.28%"
"28-08-2024","289.95","280.35","299.70","278.80","38.82M","4.06%"
"27-08-2024","278.65","279.00","282.80","277.45","4.55M","0.09%"
"26-08-2024","278.40","286.00","286.40","277.50","6.02M","-2.09%"
"23-08-2024","284.35","286.65","287.10","283.25","3.95M","-0.39%"
"22-08-2024","285.45","287.10","292.70","284.40","8.21M","0.11%"
"21-08-2024","285.15","284.50","289.45","283.05","5.27M","0.42%"
"20-08-2024","283.95","291.25","291.85","282.15","6.25M","-2.05%"
"19-08-2024","289.90","292.00","297.80","289.00","7.52M","-0.65%"
"16-08-2024","291.80","290.60","294.20","286.00","7.59M","1.32%"
"14-08-2024","288.00","293.05","294.00","286.00","7.37M","0.16%"
"13-08-2024","287.55","309.70","309.70","285.00","15.28M","-4.18%"
"12-08-2024","300.10","295.00","312.90","293.35","28.81M","2.70%"
"09-08-2024","292.20","292.50","299.00","288.00","11.14M","1.00%"
"08-08-2024","289.30","297.50","299.40","288.00","9.66M","-3.08%"
"07-08-2024","298.50","295.00","299.70","287.30","9.51M","4.44%"
"06-08-2024","285.80","298.60","304.15","284.10","13.87M","-1.50%"
"05-08-2024","290.15","291.15","299.35","286.30","15.96M","-5.24%"
"02-08-2024","306.20","299.95","312.20","296.50","10.25M","0.05%"
"01-08-2024","306.05","315.00","316.10","304.35","8.44M","-1.99%"
"31-07-2024","312.25","316.90","317.05","311.50","6.48M","-0.97%"
"30-07-2024","315.30","318.00","321.35","314.65","8.68M","-0.57%"
"29-07-2024","317.10","316.05","319.65","311.35","15.12M","0.91%"
"26-07-2024","314.25","318.80","319.95","313.40","11.53M","-0.76%"
"25-07-2024","316.65","312.40","325.00","308.30","32.85M","1.07%"
"24-07-2024","313.30","308.35","323.80","298.10","65.10M","1.95%"
"23-07-2024","307.30","327.05","328.90","271.15","62.19M","-5.04%"
"22-07-2024","323.60","317.00","329.40","310.50","24.37M","1.76%"
"19-07-2024","318.00","319.70","327.60","309.00","23.03M","-1.38%"
"18-07-2024","322.45","335.90","336.70","318.00","21.81M","-3.83%"
"16-07-2024","335.30","336.15","346.80","333.65","28.11M","-0.13%"
"15-07-2024","335.75","336.45","338.00","326.60","20.05M","0.52%"
"12-07-2024","334.00","344.10","353.70","331.75","44.23M","-2.40%"
"11-07-2024","342.20","331.00","345.50","326.55","32.75M","3.90%"
"10-07-2024","329.35","330.20","337.80","319.00","22.65M","0.09%"
"09-07-2024","329.05","336.00","342.00","323.50","20.43M","-1.20%"
"08-07-2024","333.05","330.05","349.70","329.30","40.00M","1.40%"
"05-07-2024","328.45","323.90","339.45","318.85","49.35M","1.05%"
"04-07-2024","325.05","308.00","327.80","308.00","90.30M","7.65%"
"03-07-2024","301.95","280.20","304.00","280.00","73.33M","8.48%"
"02-07-2024","278.35","282.40","285.90","277.00","9.50M","-1.03%"
"01-07-2024","281.25","281.35","286.50","279.50","9.39M","0.02%"
"28-06-2024","281.20","285.50","285.80","278.30","10.88M","-1.00%"
"27-06-2024","284.05","285.20","294.90","280.60","24.26M","-0.40%"
"26-06-2024","285.20","276.45","289.40","273.45","32.85M","3.65%"
