"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","513.10","520.00","523.40","512.25","11.69M","-8.32%"
"05-11-2024","559.65","545.00","565.00","542.80","2.60M","2.91%"
"04-11-2024","543.80","559.00","559.55","523.05","3.24M","-2.59%"
"01-11-2024","558.25","558.95","564.80","552.00","570.06K","0.91%"
"31-10-2024","553.20","563.00","564.00","540.00","2.27M","-1.28%"
"30-10-2024","560.40","555.00","575.40","552.15","4.04M","1.86%"
"29-10-2024","550.15","528.45","553.85","527.95","4.29M","4.46%"
"28-10-2024","526.65","515.50","529.50","512.00","1.85M","3.25%"
"25-10-2024","510.05","538.50","539.50","503.15","3.66M","-5.46%"
"24-10-2024","539.50","526.45","549.00","526.45","5.30M","3.02%"
"23-10-2024","523.70","515.10","535.00","515.10","4.76M","1.97%"
"22-10-2024","513.60","505.80","523.00","505.45","4.80M","2.36%"
"21-10-2024","501.75","519.35","521.80","500.00","2.27M","-0.94%"
"18-10-2024","506.50","505.95","520.00","494.00","3.49M","-0.33%"
"17-10-2024","508.20","511.20","516.95","502.10","886.03K","-0.43%"
"16-10-2024","510.40","514.40","519.95","508.65","972.11K","-0.78%"
"15-10-2024","514.40","520.30","523.55","511.30","1.23M","-1.11%"
"14-10-2024","520.20","506.70","522.80","506.60","1.88M","3.18%"
"11-10-2024","504.15","508.80","512.00","502.00","511.31K","-0.91%"
"10-10-2024","508.80","506.00","513.00","506.00","677.68K","0.66%"
"09-10-2024","505.45","509.10","514.95","503.85","910.10K","-1.05%"
"08-10-2024","510.80","495.40","513.60","492.65","1.75M","3.11%"
"07-10-2024","495.40","524.00","524.00","490.50","1.94M","-4.22%"
"04-10-2024","517.25","523.15","526.65","509.85","1.88M","-1.08%"
"03-10-2024","522.90","517.00","533.55","512.55","5.50M","0.58%"
"01-10-2024","519.90","522.90","524.00","511.85","1.88M","-0.50%"
"30-09-2024","522.50","525.00","531.25","516.85","4.00M","-0.11%"
"27-09-2024","523.05","525.00","525.40","516.55","3.79M","1.17%"
"26-09-2024","517.00","511.15","520.95","504.05","3.89M","1.13%"
"25-09-2024","511.20","514.00","514.95","506.40","4.00M","0.71%"
"24-09-2024","507.60","505.00","514.00","504.10","3.46M","0.73%"
"23-09-2024","503.90","501.00","508.05","498.25","2.16M","0.64%"
"20-09-2024","500.70","494.70","504.15","492.30","2.85M","2.30%"
"19-09-2024","489.45","492.00","496.00","478.55","1.82M","0.92%"
"18-09-2024","485.00","495.00","496.00","483.60","1.28M","-1.20%"
"17-09-2024","490.90","498.00","498.95","489.50","1.01M","-1.12%"
"16-09-2024","496.45","501.00","508.40","494.05","2.07M","-0.03%"
"13-09-2024","496.60","494.70","504.00","493.40","2.48M","1.39%"
"12-09-2024","489.80","480.00","491.00","479.40","1.74M","2.78%"
"11-09-2024","476.55","488.00","488.00","475.40","1.44M","-2.13%"
"10-09-2024","486.90","483.60","491.00","479.00","1.52M","1.42%"
"09-09-2024","480.10","484.75","486.00","477.00","1.74M","-1.39%"
"06-09-2024","486.85","496.60","497.40","485.55","1.94M","-1.79%"
"05-09-2024","495.70","489.00","496.70","488.00","1.95M","2.02%"
"04-09-2024","485.90","489.00","489.00","481.05","2.64M","-1.35%"
"03-09-2024","492.55","493.05","496.90","490.25","1.77M","-0.26%"
"02-09-2024","493.85","502.00","502.45","492.00","2.34M","-1.38%"
"30-08-2024","500.75","499.00","502.00","495.00","2.17M","0.86%"
"29-08-2024","496.50","507.95","508.60","492.40","5.15M","-2.89%"
"28-08-2024","511.25","514.90","514.90","509.45","3.92M","-3.96%"
"27-08-2024","532.35","531.00","537.60","530.00","5.90M","0.80%"
"26-08-2024","528.10","518.00","528.95","517.10","8.08M","2.78%"
"23-08-2024","513.80","517.00","519.65","512.55","4.98M","-0.94%"
"22-08-2024","518.65","512.90","519.85","512.15","7.87M","1.53%"
"21-08-2024","510.85","515.95","516.90","508.75","7.48M","-0.34%"
"20-08-2024","512.60","496.30","514.20","496.30","21.92M","3.41%"
"19-08-2024","495.70","490.00","498.55","488.05","26.42M","-4.65%"
"16-08-2024","519.90","530.00","544.00","516.05","11.32M","-9.07%"
"14-08-2024","571.75","562.00","618.00","544.05","3.06M","-1.42%"
"13-08-2024","580.00","618.00","618.00","576.25","1.35M","-5.57%"
"12-08-2024","614.20","599.95","627.90","599.00","930.56K","3.40%"
"09-08-2024","594.00","610.40","610.40","592.00","455.57K","-0.99%"
"08-08-2024","599.95","598.50","604.40","588.00","752.22K","0.77%"
"07-08-2024","595.35","615.00","632.00","591.40","1.41M","-2.19%"
"06-08-2024","608.70","615.00","629.95","605.00","490.50K","-1.37%"
"05-08-2024","617.15","626.05","636.00","609.10","812.50K","-5.32%"
"02-08-2024","651.80","640.00","663.15","632.55","1.16M","0.65%"
"01-08-2024","647.60","654.00","655.70","639.20","540.66K","0.12%"
"31-07-2024","646.85","637.00","654.50","633.05","422.94K","0.83%"
"30-07-2024","641.50","640.00","647.70","635.20","526.19K","1.23%"
"29-07-2024","633.70","611.00","642.00","608.20","759.84K","5.00%"
"26-07-2024","603.50","610.05","624.00","599.00","915.30K","-1.30%"
"25-07-2024","611.45","627.05","629.05","608.25","783.70K","-3.61%"
"24-07-2024","634.35","624.10","645.95","624.00","336.59K","1.91%"
"23-07-2024","622.45","632.00","635.90","604.95","470.58K","-1.51%"
"22-07-2024","632.00","632.00","638.85","624.00","481.43K","-1.52%"
"19-07-2024","641.75","647.95","654.55","635.00","488.01K","-0.95%"
"18-07-2024","647.90","667.00","669.50","646.00","597.37K","-2.14%"
"16-07-2024","662.10","660.50","663.45","655.00","396.05K","0.36%"
"15-07-2024","659.70","668.00","669.90","653.00","398.75K","-0.74%"
"12-07-2024","664.65","679.95","684.00","660.00","536.85K","-1.03%"
"11-07-2024","671.60","663.60","680.40","661.00","503.11K","1.88%"
"10-07-2024","659.20","677.55","677.55","651.00","545.55K","-2.07%"
"09-07-2024","673.15","688.90","699.60","669.00","588.09K","-1.89%"
"08-07-2024","686.15","698.00","717.00","680.90","1.46M","-1.01%"
"05-07-2024","693.15","688.00","696.00","680.25","1.14M","1.03%"
"04-07-2024","686.05","680.00","695.00","680.00","1.50M","1.92%"
"03-07-2024","673.15","654.90","684.00","652.00","1.49M","3.16%"
"02-07-2024","652.50","659.90","659.90","650.00","435.69K","-0.65%"
"01-07-2024","656.75","670.00","673.00","650.00","1.05M","-1.93%"
"28-06-2024","669.65","673.55","679.30","662.30","742.34K","-0.53%"
"27-06-2024","673.25","650.90","679.45","646.25","1.33M","3.58%"
"26-06-2024","650.00","664.80","664.80","648.00","492.27K","-2.09%"
"25-06-2024","663.90","659.00","672.00","655.00","713.28K","0.67%"
"24-06-2024","659.50","662.10","666.80","650.55","626.23K","-0.76%"
