"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,302.35","1,300.25","1,315.00","1,292.70","12.04M","0.44%"
"05-11-2024","1,296.70","1,273.00","1,301.30","1,263.10","16.43M","1.53%"
"04-11-2024","1,277.20","1,290.10","1,291.80","1,270.05","14.31M","-1.13%"
"01-11-2024","1,291.80","1,289.95","1,296.20","1,286.25","1.01M","-0.03%"
"31-10-2024","1,292.25","1,307.25","1,318.95","1,288.55","23.50M","-1.52%"
"30-10-2024","1,312.15","1,324.00","1,330.90","1,305.60","15.06M","-1.48%"
"29-10-2024","1,331.85","1,301.35","1,335.35","1,299.25","20.66M","3.02%"
"28-10-2024","1,292.85","1,285.50","1,307.80","1,280.60","24.10M","2.98%"
"25-10-2024","1,255.45","1,247.25","1,268.90","1,234.20","13.55M","0.22%"
"24-10-2024","1,252.75","1,250.25","1,260.45","1,241.05","12.22M","0.09%"
"23-10-2024","1,251.60","1,261.00","1,267.95","1,243.05","14.06M","-1.25%"
"22-10-2024","1,267.50","1,266.60","1,284.90","1,259.75","20.09M","0.67%"
"21-10-2024","1,259.05","1,264.50","1,272.35","1,250.55","7.74M","-0.43%"
"18-10-2024","1,264.50","1,227.95","1,268.90","1,225.25","11.02M","2.70%"
"17-10-2024","1,231.25","1,249.45","1,256.95","1,224.40","8.46M","-0.96%"
"16-10-2024","1,243.15","1,248.50","1,254.95","1,241.60","7.87M","-0.98%"
"15-10-2024","1,255.50","1,238.95","1,258.30","1,235.40","11.66M","1.93%"
"14-10-2024","1,231.75","1,221.00","1,237.90","1,217.40","11.83M","0.72%"
"11-10-2024","1,223.00","1,237.00","1,240.80","1,222.00","8.47M","-1.65%"
"10-10-2024","1,243.50","1,246.75","1,254.70","1,238.00","9.12M","-0.05%"
"09-10-2024","1,244.15","1,243.05","1,265.10","1,232.65","14.77M","0.61%"
"08-10-2024","1,236.60","1,241.00","1,247.80","1,229.75","12.22M","0.22%"
"07-10-2024","1,233.90","1,241.55","1,262.95","1,225.00","20.67M","-0.47%"
"04-10-2024","1,239.75","1,247.10","1,264.40","1,236.20","13.49M","-1.32%"
"03-10-2024","1,256.35","1,253.60","1,265.75","1,248.15","17.65M","-1.42%"
"01-10-2024","1,274.40","1,269.80","1,280.25","1,267.60","10.97M","0.11%"
"30-09-2024","1,273.00","1,292.10","1,296.80","1,270.90","12.62M","-2.57%"
"27-09-2024","1,306.60","1,333.00","1,333.00","1,303.85","17.12M","-1.69%"
"26-09-2024","1,329.05","1,320.00","1,333.35","1,316.90","11.10M","0.39%"
"25-09-2024","1,323.85","1,310.75","1,327.75","1,310.10","8.73M","0.40%"
"24-09-2024","1,318.60","1,321.00","1,331.40","1,315.45","13.89M","-0.25%"
"23-09-2024","1,321.90","1,331.00","1,331.80","1,308.50","11.38M","-1.24%"
"20-09-2024","1,338.45","1,295.00","1,362.35","1,291.55","73.26M","3.60%"
"19-09-2024","1,292.00","1,288.35","1,300.00","1,285.35","13.17M","0.28%"
"18-09-2024","1,288.35","1,262.00","1,295.35","1,262.00","12.47M","1.60%"
"17-09-2024","1,268.10","1,259.95","1,272.25","1,258.40","11.51M","0.42%"
"16-09-2024","1,262.85","1,251.00","1,265.60","1,244.70","8.97M","1.00%"
"13-09-2024","1,250.35","1,252.00","1,255.95","1,242.05","9.88M","-0.14%"
"12-09-2024","1,252.15","1,238.00","1,257.00","1,226.35","15.38M","1.28%"
"11-09-2024","1,236.35","1,231.50","1,239.30","1,226.40","11.99M","-0.08%"
"10-09-2024","1,237.30","1,236.95","1,241.35","1,227.00","15.55M","0.19%"
"09-09-2024","1,235.00","1,202.90","1,238.30","1,200.45","13.86M","2.22%"
"06-09-2024","1,208.15","1,225.95","1,233.90","1,205.00","10.17M","-2.25%"
"05-09-2024","1,235.95","1,238.00","1,244.85","1,231.30","9.14M","-0.03%"
"04-09-2024","1,236.35","1,239.85","1,243.70","1,232.80","13.51M","-0.91%"
"03-09-2024","1,247.70","1,227.20","1,250.95","1,220.40","19.11M","1.44%"
"02-09-2024","1,229.95","1,239.00","1,239.20","1,222.50","12.52M","0.06%"
"30-08-2024","1,229.20","1,230.00","1,235.55","1,218.90","21.21M","0.60%"
"29-08-2024","1,221.90","1,218.95","1,235.00","1,217.00","10.81M","-0.16%"
"28-08-2024","1,223.85","1,222.65","1,226.40","1,217.30","12.29M","-0.20%"
"27-08-2024","1,226.35","1,213.30","1,232.50","1,208.90","16.30M","1.08%"
"26-08-2024","1,213.30","1,205.55","1,214.95","1,201.05","10.92M","0.81%"
"23-08-2024","1,203.50","1,193.00","1,205.00","1,188.55","7.52M","1.04%"
"22-08-2024","1,191.10","1,182.00","1,192.60","1,176.60","8.56M","1.38%"
"21-08-2024","1,174.85","1,177.00","1,178.65","1,165.10","17.23M","-0.39%"
"20-08-2024","1,179.45","1,174.20","1,189.80","1,170.00","10.43M","0.30%"
"19-08-2024","1,175.90","1,191.00","1,195.75","1,173.30","6.69M","-0.96%"
"16-08-2024","1,187.25","1,170.00","1,193.00","1,165.65","10.96M","2.20%"
"14-08-2024","1,161.65","1,167.00","1,170.05","1,153.00","13.43M","-0.57%"
"13-08-2024","1,168.35","1,183.20","1,189.25","1,163.60","13.12M","-0.38%"
"12-08-2024","1,172.80","1,171.00","1,178.25","1,156.00","10.86M","0.10%"
"09-08-2024","1,171.60","1,176.55","1,180.95","1,169.00","8.69M","0.60%"
"08-08-2024","1,164.60","1,166.95","1,174.40","1,158.90","10.81M","-0.67%"
"07-08-2024","1,172.45","1,178.95","1,179.80","1,161.60","15.75M","0.48%"
"06-08-2024","1,166.85","1,175.00","1,187.70","1,161.50","13.58M","-0.49%"
"05-08-2024","1,172.60","1,182.00","1,188.90","1,167.00","14.31M","-2.00%"
"02-08-2024","1,196.55","1,197.00","1,201.65","1,190.10","10.74M","-1.12%"
"01-08-2024","1,210.10","1,212.50","1,222.65","1,206.90","8.73M","-0.40%"
"31-07-2024","1,214.90","1,219.00","1,224.65","1,211.00","22.30M","0.45%"
"30-07-2024","1,209.45","1,213.00","1,230.85","1,204.40","23.97M","-0.27%"
"29-07-2024","1,212.70","1,215.15","1,242.75","1,204.15","28.46M","0.46%"
"26-07-2024","1,207.20","1,190.00","1,220.00","1,185.95","19.31M","0.78%"
"25-07-2024","1,197.90","1,205.50","1,218.25","1,190.60","14.15M","-2.05%"
"24-07-2024","1,223.00","1,225.00","1,233.65","1,202.05","20.12M","-0.31%"
"23-07-2024","1,226.75","1,241.15","1,248.65","1,212.50","19.37M","-1.16%"
"22-07-2024","1,241.15","1,240.00","1,245.30","1,232.90","9.96M","-0.60%"
"19-07-2024","1,248.65","1,244.00","1,250.50","1,240.25","7.96M","-0.13%"
"18-07-2024","1,250.30","1,234.90","1,256.45","1,231.70","11.00M","0.84%"
"16-07-2024","1,239.90","1,230.00","1,245.00","1,229.00","12.32M","0.81%"
"15-07-2024","1,229.95","1,233.10","1,238.45","1,224.05","15.61M","-0.24%"
"12-07-2024","1,232.90","1,235.90","1,252.90","1,230.10","12.21M","-0.45%"
"11-07-2024","1,238.45","1,246.35","1,257.80","1,225.05","11.31M","-0.38%"
"10-07-2024","1,243.20","1,252.75","1,252.75","1,236.35","18.23M","-0.40%"
"09-07-2024","1,248.25","1,234.95","1,250.20","1,229.30","13.37M","1.07%"
"08-07-2024","1,235.05","1,228.90","1,239.50","1,216.90","6.62M","0.13%"
"05-07-2024","1,233.40","1,225.00","1,242.60","1,220.85","9.54M","0.03%"
"04-07-2024","1,233.00","1,229.00","1,234.95","1,214.30","15.28M","2.61%"
"03-07-2024","1,201.60","1,196.85","1,215.85","1,179.45","22.33M","0.92%"
"02-07-2024","1,190.60","1,217.00","1,217.00","1,185.55","16.15M","-1.75%"
"01-07-2024","1,211.85","1,199.60","1,215.35","1,192.05","8.64M","1.02%"
"28-06-2024","1,199.60","1,227.00","1,227.00","1,196.35","12.51M","-1.66%"
"27-06-2024","1,219.90","1,228.35","1,235.00","1,209.10","20.52M","0.16%"
"26-06-2024","1,218.00","1,202.00","1,222.85","1,193.85","25.40M","1.67%"
"25-06-2024","1,197.95","1,170.25","1,206.00","1,167.65","27.31M","2.38%"
"24-06-2024","1,170.10","1,154.65","1,175.65","1,152.65","12.21M","0.99%"
"21-06-2024","1,158.65","1,163.55","1,169.90","1,150.65","69.26M","0.16%"
"20-06-2024","1,156.80","1,154.05","1,160.00","1,135.50","15.48M","1.08%"
"19-06-2024","1,144.45","1,127.95","1,165.55","1,126.15","34.31M","1.92%"
"18-06-2024","1,122.85","1,113.95","1,135.05","1,101.20","18.31M","1.56%"
"14-06-2024","1,105.65","1,114.00","1,114.00","1,099.45","11.38M","-0.15%"
"13-06-2024","1,107.35","1,122.20","1,123.20","1,105.00","12.49M","-1.09%"
"12-06-2024","1,119.55","1,121.00","1,133.40","1,112.00","16.10M","0.12%"
