"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,933.70","1,930.00","1,950.80","1,918.60","374.77K","0.92%"
"05-11-2024","1,916.05","1,870.00","1,941.00","1,843.85","902.84K","2.42%"
"04-11-2024","1,870.85","1,908.50","1,912.00","1,858.05","674.36K","-2.37%"
"01-11-2024","1,916.30","1,934.00","1,946.00","1,905.45","35.08K","-0.05%"
"31-10-2024","1,917.35","1,934.80","1,954.10","1,880.05","992.54K","-0.55%"
"30-10-2024","1,927.90","1,913.35","1,956.20","1,901.90","911.49K","0.76%"
"29-10-2024","1,913.30","1,899.80","1,925.00","1,870.60","1.10M","0.91%"
"28-10-2024","1,896.00","1,911.60","1,928.70","1,878.00","691.00K","-1.72%"
"25-10-2024","1,929.15","1,955.80","1,957.25","1,916.80","468.69K","-1.36%"
"24-10-2024","1,955.75","1,965.00","1,980.00","1,946.85","708.33K","-0.16%"
"23-10-2024","1,958.95","1,986.65","2,004.00","1,950.60","456.05K","-1.37%"
"22-10-2024","1,986.25","2,021.00","2,043.55","1,975.90","1.26M","-1.88%"
"21-10-2024","2,024.35","2,034.00","2,094.35","2,008.05","1.65M","0.17%"
"18-10-2024","2,020.95","2,043.00","2,043.00","1,988.55","508.53K","-0.96%"
"17-10-2024","2,040.45","2,084.50","2,084.50","2,032.80","665.72K","-1.69%"
"16-10-2024","2,075.60","2,111.85","2,145.00","2,064.45","585.50K","-1.31%"
"15-10-2024","2,103.20","2,099.00","2,134.25","2,083.05","719.25K","0.66%"
"14-10-2024","2,089.35","2,065.00","2,096.50","2,050.50","325.43K","1.06%"
"11-10-2024","2,067.35","2,094.00","2,094.00","2,061.10","449.39K","-0.61%"
"10-10-2024","2,080.00","2,098.00","2,115.00","2,075.20","236.25K","-0.18%"
"09-10-2024","2,083.75","2,114.00","2,118.75","2,070.00","411.52K","-0.78%"
"08-10-2024","2,100.15","2,100.80","2,118.40","2,060.00","1.04M","-0.03%"
"07-10-2024","2,100.80","2,150.00","2,165.80","2,080.50","448.45K","-1.21%"
"04-10-2024","2,126.60","2,140.00","2,159.95","2,116.90","470.35K","-0.40%"
"03-10-2024","2,135.20","2,139.85","2,173.95","2,129.55","444.21K","-0.87%"
"01-10-2024","2,153.90","2,168.05","2,214.25","2,145.00","381.61K","-0.94%"
"30-09-2024","2,174.40","2,236.50","2,239.80","2,157.50","1.52M","-2.85%"
"27-09-2024","2,238.15","2,257.50","2,259.00","2,200.15","1.64M","-0.86%"
"26-09-2024","2,257.50","2,274.95","2,278.80","2,237.15","385.09K","-0.46%"
"25-09-2024","2,268.00","2,230.95","2,274.75","2,215.80","383.70K","1.89%"
"24-09-2024","2,226.00","2,270.00","2,291.85","2,216.00","714.78K","-2.16%"
"23-09-2024","2,275.20","2,240.00","2,301.90","2,235.60","458.64K","1.84%"
"20-09-2024","2,234.05","2,220.00","2,254.50","2,202.65","1.45M","1.55%"
"19-09-2024","2,200.00","2,150.00","2,220.00","2,148.05","2.27M","2.78%"
"18-09-2024","2,140.45","2,107.00","2,146.95","2,090.75","602.15K","1.78%"
"17-09-2024","2,103.00","2,094.90","2,113.30","2,076.50","542.68K","0.39%"
"16-09-2024","2,094.90","2,114.00","2,116.05","2,087.00","294.16K","-0.68%"
"13-09-2024","2,109.25","2,124.90","2,141.30","2,105.05","341.98K","-0.62%"
"12-09-2024","2,122.45","2,141.95","2,157.00","2,112.00","766.59K","-0.35%"
"11-09-2024","2,129.95","2,171.60","2,179.75","2,125.85","492.33K","-1.44%"
"10-09-2024","2,161.10","2,228.60","2,243.45","2,145.40","1.53M","-3.19%"
"09-09-2024","2,232.40","2,261.55","2,273.45","2,182.00","604.74K","-1.30%"
"06-09-2024","2,261.70","2,259.00","2,285.00","2,247.45","828.00K","0.28%"
"05-09-2024","2,255.45","2,255.00","2,284.00","2,244.45","1.04M","0.21%"
"04-09-2024","2,250.70","2,202.65","2,263.00","2,190.05","1.19M","1.93%"
"03-09-2024","2,208.10","2,194.80","2,216.60","2,148.25","798.22K","1.03%"
"02-09-2024","2,185.65","2,142.00","2,207.70","2,142.00","746.94K","2.05%"
"30-08-2024","2,141.75","2,149.40","2,183.00","2,127.10","2.82M","0.16%"
"29-08-2024","2,138.35","2,140.00","2,147.35","2,111.00","611.60K","-0.17%"
"28-08-2024","2,141.90","2,163.95","2,170.95","2,133.25","618.06K","-0.53%"
"27-08-2024","2,153.35","2,124.00","2,160.00","2,101.50","1.06M","1.47%"
"26-08-2024","2,122.25","2,108.00","2,127.70","2,080.20","995.35K","1.21%"
"23-08-2024","2,096.80","2,089.45","2,119.30","2,085.10","703.50K","0.65%"
"22-08-2024","2,083.20","2,060.00","2,091.00","2,049.75","923.09K","1.13%"
"21-08-2024","2,059.90","2,070.00","2,070.05","2,046.65","624.63K","-0.20%"
"20-08-2024","2,064.05","2,024.70","2,086.00","2,012.10","1.63M","2.48%"
"19-08-2024","2,014.05","2,043.45","2,050.00","1,993.05","570.28K","-1.11%"
"16-08-2024","2,036.70","2,003.25","2,046.80","1,976.95","1.19M","2.97%"
"14-08-2024","1,977.95","1,947.00","1,980.00","1,940.05","749.87K","1.58%"
"13-08-2024","1,947.25","1,956.90","1,991.35","1,930.00","974.24K","-0.22%"
"12-08-2024","1,951.45","1,973.30","1,985.00","1,943.00","611.32K","-0.74%"
"09-08-2024","1,965.95","1,980.00","1,989.95","1,960.75","721.54K","-0.21%"
"08-08-2024","1,970.00","1,937.00","1,981.95","1,936.00","993.02K","1.81%"
"07-08-2024","1,935.05","1,934.00","1,952.75","1,929.00","667.19K","1.14%"
"06-08-2024","1,913.25","1,950.00","1,978.85","1,905.05","493.15K","-1.34%"
"05-08-2024","1,939.20","1,959.50","1,996.45","1,915.05","505.23K","-2.22%"
"02-08-2024","1,983.30","1,984.00","2,007.80","1,977.00","238.80K","-1.05%"
"01-08-2024","2,004.35","2,024.65","2,031.00","1,993.55","397.22K","-0.17%"
"31-07-2024","2,007.80","1,960.00","2,020.00","1,959.50","956.43K","2.05%"
"30-07-2024","1,967.55","1,963.40","2,004.00","1,922.85","1.47M","-0.02%"
"29-07-2024","1,968.00","1,969.00","2,003.00","1,957.85","1.38M","0.04%"
"26-07-2024","1,967.30","1,958.00","1,980.05","1,952.20","796.95K","0.35%"
"25-07-2024","1,960.50","1,902.00","1,965.00","1,886.70","1.25M","2.66%"
"24-07-2024","1,909.65","1,880.35","1,922.55","1,877.05","947.14K","1.56%"
"23-07-2024","1,880.35","1,920.00","1,925.00","1,856.85","1.21M","-0.84%"
"22-07-2024","1,896.30","1,893.00","1,914.00","1,861.50","1.59M","0.79%"
"19-07-2024","1,881.40","1,900.05","1,914.45","1,868.20","648.49K","-1.53%"
"18-07-2024","1,910.55","1,875.60","1,916.00","1,863.90","1.16M","2.00%"
"16-07-2024","1,873.10","1,865.00","1,903.30","1,862.55","981.61K","-0.19%"
"15-07-2024","1,876.70","1,867.15","1,880.95","1,853.55","181.34K","0.61%"
"12-07-2024","1,865.30","1,874.20","1,878.30","1,858.25","126.09K","-0.47%"
"11-07-2024","1,874.20","1,878.80","1,886.20","1,864.00","400.73K","-0.19%"
"10-07-2024","1,877.75","1,861.95","1,884.55","1,822.00","928.92K","1.10%"
"09-07-2024","1,857.25","1,839.00","1,876.10","1,839.00","699.64K","1.00%"
"08-07-2024","1,838.95","1,865.05","1,871.70","1,831.50","534.24K","-1.40%"
"05-07-2024","1,865.05","1,826.95","1,877.40","1,826.55","599.57K","2.05%"
"04-07-2024","1,827.65","1,859.00","1,861.95","1,821.05","404.76K","-1.38%"
"03-07-2024","1,853.25","1,840.00","1,863.90","1,820.20","1.45M","2.51%"
"02-07-2024","1,807.80","1,824.95","1,848.00","1,800.00","924.02K","0.04%"
"01-07-2024","1,807.10","1,787.00","1,833.00","1,782.15","514.90K","0.98%"
"28-06-2024","1,789.55","1,793.00","1,808.70","1,785.20","414.90K","-0.22%"
"27-06-2024","1,793.45","1,790.00","1,814.00","1,773.20","1.30M","0.37%"
"26-06-2024","1,786.90","1,780.00","1,803.85","1,764.85","910.69K","0.37%"
"25-06-2024","1,780.30","1,776.00","1,785.80","1,745.05","802.61K","0.50%"
"24-06-2024","1,771.50","1,754.75","1,786.85","1,731.85","893.19K","0.83%"
"21-06-2024","1,756.85","1,745.00","1,778.00","1,741.60","1.16M","0.49%"
"20-06-2024","1,748.30","1,760.75","1,760.75","1,709.95","1.46M","-0.65%"
"19-06-2024","1,759.75","1,753.00","1,782.00","1,742.00","2.95M","0.83%"
"18-06-2024","1,745.25","1,731.00","1,784.00","1,729.95","3.50M","0.83%"
"14-06-2024","1,730.90","1,689.00","1,766.95","1,641.00","5.53M","4.10%"
