"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","716.25","731.50","733.90","713.00","864.88K","-2.17%"
"05-11-2024","732.15","732.50","738.95","702.30","1.93M","-0.50%"
"04-11-2024","735.80","744.00","744.80","730.05","653.60K","-1.23%"
"01-11-2024","744.95","738.10","750.00","738.10","69.85K","0.53%"
"31-10-2024","741.00","747.75","756.00","736.40","602.67K","-0.88%"
"30-10-2024","747.55","766.50","768.00","745.70","956.92K","-2.71%"
"29-10-2024","768.40","749.55","773.90","732.45","1.39M","2.51%"
"28-10-2024","749.55","740.50","754.60","735.70","596.59K","0.90%"
"25-10-2024","742.85","772.80","774.50","730.65","1.76M","-3.27%"
"24-10-2024","768.00","747.00","776.85","744.65","1.29M","2.89%"
"23-10-2024","746.45","701.20","759.85","701.20","1.72M","2.11%"
"22-10-2024","731.05","750.70","761.35","728.55","1.43M","-2.47%"
"21-10-2024","749.60","748.45","755.35","742.40","588.29K","0.57%"
"18-10-2024","745.35","732.05","748.60","723.15","410.10K","1.39%"
"17-10-2024","735.15","745.40","753.40","731.60","734.31K","-1.38%"
"16-10-2024","745.40","733.60","754.60","733.60","1.14M","1.59%"
"15-10-2024","733.75","741.65","759.45","728.05","1.65M","-0.73%"
"14-10-2024","739.15","742.35","744.50","731.55","721.74K","-0.46%"
"11-10-2024","742.55","745.35","749.00","732.25","980.86K","-0.41%"
"10-10-2024","745.60","756.15","761.65","743.00","375.51K","-1.33%"
"09-10-2024","755.65","747.00","764.45","740.25","1.43M","1.76%"
"08-10-2024","742.60","744.00","748.00","726.20","1.69M","-0.32%"
"07-10-2024","744.95","755.75","760.45","739.20","629.53K","-1.43%"
"04-10-2024","755.75","757.45","770.65","751.75","1.00M","-0.22%"
"03-10-2024","757.45","762.05","765.00","748.95","722.27K","-1.27%"
"01-10-2024","767.20","780.15","796.80","763.55","1.14M","-1.66%"
"30-09-2024","780.15","793.80","793.80","777.25","801.21K","-1.18%"
"27-09-2024","789.50","770.00","794.00","770.00","1.99M","0.93%"
"26-09-2024","782.20","773.65","788.60","766.95","1.23M","1.11%"
"25-09-2024","773.65","772.80","775.95","761.50","1.36M","-0.26%"
"24-09-2024","775.70","790.30","795.00","767.20","1.31M","-1.94%"
"23-09-2024","791.05","768.00","793.00","766.00","1.33M","3.00%"
"20-09-2024","768.00","758.80","770.90","755.00","1.60M","1.71%"
"19-09-2024","755.10","749.00","765.45","748.05","1.51M","0.59%"
"18-09-2024","750.65","753.00","760.90","745.00","831.31K","0.09%"
"17-09-2024","750.00","749.00","753.00","742.85","1.01M","0.01%"
"16-09-2024","749.90","751.20","756.80","745.55","509.41K","-0.71%"
"13-09-2024","755.25","757.00","764.75","752.85","930.95K","-0.05%"
"12-09-2024","755.65","752.40","762.20","748.80","728.25K","0.63%"
"11-09-2024","750.90","746.00","759.15","741.70","1.48M","0.66%"
"10-09-2024","746.00","755.00","756.70","740.35","1.53M","-1.60%"
"09-09-2024","758.15","749.90","766.70","749.40","1.21M","1.00%"
"06-09-2024","750.65","757.00","760.30","748.05","812.41K","-0.98%"
"05-09-2024","758.05","772.90","772.90","756.00","1.35M","-1.47%"
"04-09-2024","769.35","760.50","771.40","755.80","1.07M","0.74%"
"03-09-2024","763.70","755.20","765.55","746.05","1.76M","1.36%"
"02-09-2024","753.45","755.00","759.00","748.80","945.32K","0.04%"
"30-08-2024","753.15","742.00","754.75","738.50","1.84M","1.46%"
"29-08-2024","742.30","740.10","754.20","738.45","1.08M","-0.31%"
"28-08-2024","744.60","741.00","750.65","736.10","1.75M","0.06%"
"27-08-2024","744.15","723.30","747.85","721.00","3.16M","2.89%"
"26-08-2024","723.25","732.00","732.00","715.45","1.40M","-1.19%"
"23-08-2024","731.95","734.85","741.15","728.20","1.08M","-0.14%"
"22-08-2024","733.00","744.85","748.85","731.30","1.63M","-1.14%"
"21-08-2024","741.45","748.55","752.45","738.95","2.73M","-0.14%"
"20-08-2024","742.50","719.80","748.30","719.40","2.87M","3.12%"
"19-08-2024","720.05","720.00","724.50","714.55","472.72K","0.00%"
"16-08-2024","720.05","711.00","722.50","702.65","2.07M","0.26%"
"14-08-2024","718.20","725.60","728.55","715.00","639.17K","-0.84%"
"13-08-2024","724.30","730.00","739.30","720.30","1.17M","-0.61%"
"12-08-2024","728.75","731.10","741.00","726.20","1.38M","-1.42%"
"09-08-2024","739.25","741.10","746.65","735.75","1.25M","0.08%"
"08-08-2024","738.65","722.55","744.00","717.05","1.93M","1.74%"
"07-08-2024","726.05","708.25","728.50","705.00","1.47M","3.71%"
"06-08-2024","700.05","718.00","726.90","697.35","1.35M","-1.98%"
"05-08-2024","714.20","705.00","725.85","705.00","2.27M","-1.98%"
"02-08-2024","728.60","731.80","739.00","725.00","1.51M","-0.83%"
"01-08-2024","734.70","735.70","742.20","730.55","1.99M","-0.17%"
"31-07-2024","735.95","723.85","739.60","719.55","971.62K","1.67%"
"30-07-2024","723.85","722.80","733.35","698.05","2.70M","0.67%"
"29-07-2024","719.05","724.90","729.15","716.00","898.30K","-0.81%"
"26-07-2024","724.90","702.80","731.45","701.60","3.80M","3.31%"
"25-07-2024","701.70","690.00","703.85","685.05","2.87M","1.07%"
"24-07-2024","694.25","635.00","697.50","634.95","9.28M","8.75%"
"23-07-2024","638.40","636.95","642.75","611.25","2.77M","0.73%"
"22-07-2024","633.80","640.05","644.50","631.00","1.39M","-1.49%"
"19-07-2024","643.40","651.00","652.95","637.50","1.28M","-1.74%"
"18-07-2024","654.80","648.50","657.00","640.15","1.39M","0.07%"
"16-07-2024","654.35","654.35","662.75","639.55","2.09M","0.02%"
"15-07-2024","654.25","652.50","661.60","650.25","690.15K","0.48%"
"12-07-2024","651.15","653.00","657.20","649.45","699.76K","-0.34%"
"11-07-2024","653.35","661.10","664.20","650.30","1.90M","-1.12%"
"10-07-2024","660.75","647.05","673.70","637.50","5.19M","2.20%"
"09-07-2024","646.50","638.50","652.40","635.05","2.58M","1.60%"
"08-07-2024","636.35","641.60","643.65","628.60","1.43M","-1.03%"
"05-07-2024","643.00","634.00","644.85","631.30","620.87K","1.51%"
"04-07-2024","633.45","639.40","643.75","630.95","1.52M","-0.15%"
"03-07-2024","634.40","624.70","637.90","617.35","2.49M","2.26%"
"02-07-2024","620.35","621.45","631.50","601.45","5.61M","0.59%"
"01-07-2024","616.70","602.95","624.95","601.20","1.33M","1.82%"
"28-06-2024","605.70","599.65","610.85","598.05","1.69M","1.01%"
"27-06-2024","599.65","596.20","604.35","594.25","1.35M","0.53%"
"26-06-2024","596.50","602.00","617.75","595.50","1.95M","-0.64%"
"25-06-2024","600.35","606.00","610.85","593.45","1.94M","-0.83%"
"24-06-2024","605.40","603.00","610.00","594.80","1.87M","0.17%"
"21-06-2024","604.40","606.95","610.55","601.00","1.24M","-0.18%"
"20-06-2024","605.50","604.00","607.00","596.60","1.29M","0.61%"
"19-06-2024","601.85","610.00","611.55","599.95","1.70M","-0.82%"
"18-06-2024","606.80","615.00","620.65","601.40","2.01M","-1.12%"
"14-06-2024","613.70","599.00","622.00","594.00","2.95M","2.94%"
"13-06-2024","596.15","588.00","598.60","573.80","3.72M","2.83%"
"12-06-2024","579.75","581.65","583.70","578.00","681.08K","-0.33%"
"11-06-2024","581.65","587.00","588.30","575.35","1.99M","0.11%"
"10-06-2024","581.00","571.75","586.00","567.10","1.78M","1.68%"
"07-06-2024","571.40","567.00","572.90","560.70","645.15K","1.38%"
"06-06-2024","563.60","563.10","568.75","561.55","777.37K","0.18%"
"05-06-2024","562.60","540.10","566.00","540.10","789.78K","3.63%"
"04-06-2024","542.90","552.10","558.20","515.45","3.32M","-1.66%"
"03-06-2024","552.05","560.00","561.95","548.00","1.36M","1.21%"
"31-05-2024","545.45","554.00","554.20","543.30","2.42M","-0.64%"
"30-05-2024","548.95","556.00","562.95","544.00","2.67M","-1.30%"
"29-05-2024","556.20","579.35","580.00","553.60","6.68M","-4.52%"
"28-05-2024","582.55","573.00","586.95","573.00","2.12M","1.68%"
"27-05-2024","572.90","579.50","583.50","570.80","824.32K","-1.14%"
"24-05-2024","579.50","585.50","588.85","576.50","584.41K","-0.95%"
"23-05-2024","585.05","578.00","585.90","578.00","714.28K","1.32%"
"22-05-2024","577.40","580.25","582.25","573.30","1.38M","-0.48%"
"21-05-2024","580.20","589.70","592.70","576.00","1.53M","-1.61%"
"18-05-2024","589.70","593.00","593.00","586.25","32.84K","-0.08%"
"17-05-2024","590.20","589.05","593.75","586.35","2.19M","0.03%"
"16-05-2024","590.05","583.00","591.80","581.40","857.05K","2.25%"
"15-05-2024","577.05","598.90","598.90","574.45","1.27M","-3.37%"
"14-05-2024","597.20","597.35","604.65","593.85","1.71M","-0.02%"
"13-05-2024","597.30","593.00","599.70","587.40","2.22M","0.94%"
"10-05-2024","591.75","580.00","593.85","577.55","1.28M","2.33%"
"09-05-2024","578.25","588.00","588.00","567.85","1.31M","-1.49%"
"08-05-2024","587.00","577.50","588.55","572.00","827.74K","1.59%"
"07-05-2024","577.80","575.05","580.00","566.00","1.16M","0.61%"
"06-05-2024","574.30","580.80","583.10","568.80","594.55K","-0.42%"
"03-05-2024","576.70","576.55","585.00","572.75","1.42M","0.03%"
"02-05-2024","576.55","572.90","582.00","571.05","1.42M","0.64%"
"30-04-2024","572.90","564.00","579.80","560.40","4.17M","2.32%"
"29-04-2024","559.90","568.25","573.75","552.25","2.75M","-1.12%"
"26-04-2024","566.25","564.00","577.90","563.50","1.33M","0.37%"
"25-04-2024","564.15","572.00","578.35","560.00","3.48M","-2.00%"
"24-04-2024","575.65","558.00","582.35","556.75","7.35M","-3.06%"
"23-04-2024","593.85","581.85","599.00","576.00","3.05M","2.33%"
"22-04-2024","580.30","589.95","591.55","577.50","796.59K","-1.33%"
"19-04-2024","588.15","589.00","595.00","578.60","1.81M","-2.38%"
"18-04-2024","602.50","605.40","614.50","597.45","2.53M","-0.99%"
"16-04-2024","608.50","614.00","619.80","604.75","672.76K","-1.27%"
"15-04-2024","616.35","621.00","624.75","605.10","888.40K","-2.01%"
"12-04-2024","629.00","625.85","640.85","624.20","2.03M","0.26%"
"10-04-2024","627.35","627.90","630.60","621.00","1.35M","0.34%"
"09-04-2024","625.25","629.40","633.45","620.65","1.43M","-0.55%"
"08-04-2024","628.70","623.40","634.00","612.65","2.24M","1.40%"
"05-04-2024","620.00","609.70","630.00","606.00","5.12M","2.35%"
"04-04-2024","605.75","620.05","621.00","602.55","2.12M","-2.42%"
"03-04-2024","620.75","623.00","625.10","617.00","1.58M","-0.41%"
"02-04-2024","623.30","618.40","626.70","617.20","2.58M","1.17%"
"01-04-2024","616.10","610.00","627.00","610.00","1.94M","1.22%"
"28-03-2024","608.65","598.95","614.00","596.60","1.33M","1.59%"
"27-03-2024","599.10","599.90","604.90","593.00","1.46M","-0.13%"
"26-03-2024","599.90","588.00","605.95","588.00","4.00M","3.10%"
"22-03-2024","581.85","578.85","588.75","573.65","1.23M","0.28%"
"21-03-2024","580.25","560.80","584.00","556.50","1.93M","3.55%"
"20-03-2024","560.35","550.00","565.60","550.00","1.88M","1.96%"
"19-03-2024","549.60","565.55","567.50","545.85","2.18M","-2.87%"
