"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","361.70","360.15","362.90","360.15","236.24K","0.35%"
"05-11-2024","360.45","360.00","363.90","360.00","346.27K","-0.21%"
"04-11-2024","361.20","362.45","362.50","358.50","294.09K","-0.61%"
"01-11-2024","363.40","364.75","366.00","361.00","170.72K","-0.14%"
"31-10-2024","363.90","359.00","364.50","357.10","623.33K","1.06%"
"30-10-2024","360.10","354.55","361.00","354.55","352.98K","0.95%"
"29-10-2024","356.70","357.50","358.95","356.00","353.50K","-0.57%"
"28-10-2024","358.75","353.20","363.95","351.90","931.92K","1.13%"
"25-10-2024","354.75","358.70","359.50","348.50","2.21M","-1.10%"
"24-10-2024","358.70","360.45","360.80","358.00","825.17K","-0.26%"
"23-10-2024","359.65","358.65","362.95","356.10","785.65K","-0.18%"
"22-10-2024","360.30","361.25","363.25","358.95","1.13M","-0.30%"
"21-10-2024","361.40","361.10","363.95","360.00","624.89K","-0.17%"
"18-10-2024","362.00","361.10","362.90","357.50","575.08K","-0.11%"
"17-10-2024","362.40","362.25","363.90","360.95","500.01K","-0.21%"
"16-10-2024","363.15","362.00","363.75","361.50","723.62K","0.18%"
"15-10-2024","362.50","362.55","362.90","361.30","566.04K","-0.01%"
"14-10-2024","362.55","363.75","363.75","361.15","538.47K","0.03%"
"11-10-2024","362.45","362.55","364.00","361.00","333.99K","0.00%"
"10-10-2024","362.45","362.50","364.00","361.10","809.36K","0.10%"
"09-10-2024","362.10","361.40","362.95","361.00","438.60K","0.40%"
"08-10-2024","360.65","361.85","362.10","358.50","1.45M","-0.73%"
"07-10-2024","363.30","363.05","365.95","359.05","1.13M","0.06%"
"04-10-2024","363.10","365.60","365.60","360.10","521.03K","-0.82%"
"03-10-2024","366.10","362.50","367.90","361.00","1.02M","0.43%"
"01-10-2024","364.55","367.00","367.00","363.00","466.81K","-0.31%"
"30-09-2024","365.70","359.20","367.45","352.60","1.83M","1.81%"
"27-09-2024","359.20","362.90","363.90","358.30","1.26M","-0.84%"
"26-09-2024","362.25","366.00","366.55","361.75","513.28K","-0.88%"
"25-09-2024","365.45","364.15","366.50","363.00","659.04K","0.38%"
"24-09-2024","364.05","366.90","366.90","363.00","1.11M","-0.60%"
"23-09-2024","366.25","364.00","367.90","363.25","649.40K","1.27%"
"20-09-2024","361.65","367.40","368.50","359.30","5.20M","-1.59%"
"19-09-2024","367.50","371.75","372.50","364.50","1.23M","-0.45%"
"18-09-2024","369.15","368.60","374.75","367.50","1.01M","0.11%"
"17-09-2024","368.75","374.80","375.00","366.15","1.23M","-0.89%"
"16-09-2024","372.05","367.90","381.65","367.10","4.25M","1.36%"
"13-09-2024","367.05","364.40","368.50","363.25","847.09K","0.92%"
"12-09-2024","363.70","363.60","365.00","363.10","418.25K","0.11%"
"11-09-2024","363.30","363.95","366.10","363.05","525.97K","-0.42%"
"10-09-2024","364.85","363.60","371.45","363.60","1.24M","-0.33%"
"09-09-2024","366.05","361.25","367.05","361.25","1.69M","0.74%"
"06-09-2024","363.35","364.00","365.45","363.00","1.21M","-0.30%"
"05-09-2024","364.45","366.40","368.40","364.00","1.19M","-0.18%"
"04-09-2024","365.10","363.00","367.05","363.00","835.45K","-0.18%"
"03-09-2024","365.75","364.60","367.95","364.00","1.15M","0.22%"
"02-09-2024","364.95","365.00","366.70","362.85","1.26M","0.62%"
"30-08-2024","362.70","365.00","369.00","357.50","3.79M","-0.18%"
"29-08-2024","363.35","372.00","373.40","363.00","9.41M","-2.11%"
"28-08-2024","371.20","367.70","375.80","366.15","4.74M","1.32%"
"27-08-2024","366.35","365.80","368.70","365.80","1.18M","0.15%"
"26-08-2024","365.80","368.50","368.50","365.55","925.48K","-0.44%"
"23-08-2024","367.40","369.90","369.90","366.10","969.46K","-0.46%"
"22-08-2024","369.10","363.85","372.00","363.55","2.69M","1.44%"
"21-08-2024","363.85","364.60","368.20","362.60","1.12M","-0.21%"
"20-08-2024","364.60","365.20","366.75","363.55","680.48K","-0.08%"
"19-08-2024","364.90","365.95","368.40","364.05","950.58K","-0.01%"
"16-08-2024","364.95","365.75","367.10","363.55","999.57K","-0.21%"
"14-08-2024","365.70","364.90","366.80","362.10","1.13M","0.21%"
"13-08-2024","364.95","367.45","367.95","364.10","1.26M","-0.63%"
"12-08-2024","367.25","366.00","368.65","364.10","1.04M","0.07%"
"09-08-2024","367.00","370.00","371.90","365.00","3.19M","-0.30%"
"08-08-2024","368.10","368.00","369.60","365.75","944.81K","0.01%"
"07-08-2024","368.05","365.50","370.20","364.05","1.52M","1.36%"
"06-08-2024","363.10","370.05","372.90","361.95","3.41M","-1.37%"
"05-08-2024","368.15","365.50","370.20","364.10","4.34M","-1.05%"
"02-08-2024","372.05","360.10","375.45","360.10","5.88M","2.41%"
"01-08-2024","363.30","364.30","366.75","359.00","3.27M","-0.26%"
"31-07-2024","364.25","369.10","370.30","363.50","3.60M","-1.31%"
"30-07-2024","369.10","374.00","375.80","368.00","5.12M","-1.01%"
"29-07-2024","372.85","379.50","385.00","370.55","30.96M","-0.32%"
"26-07-2024","374.05","364.00","376.90","361.70","15.10M","3.47%"
"25-07-2024","361.50","345.00","366.00","345.00","14.26M","3.37%"
"24-07-2024","349.70","350.05","359.65","331.25","18.47M","-0.24%"
"23-07-2024","350.55","355.00","357.00","340.05","7.77M","-0.23%"
"22-07-2024","351.35","339.95","358.70","335.85","11.41M","1.24%"
"19-07-2024","347.05","343.50","354.00","336.15","13.21M","0.67%"
"18-07-2024","344.75","325.55","354.35","325.00","57.21M","6.68%"
"16-07-2024","323.15","310.00","324.70","308.60","17.04M","5.12%"
"15-07-2024","307.40","298.00","317.70","296.00","15.42M","3.21%"
"12-07-2024","297.85","304.30","305.85","295.60","4.14M","-2.31%"
"11-07-2024","304.90","297.85","307.50","297.00","15.79M","3.06%"
"10-07-2024","295.85","282.25","297.90","275.10","11.46M","4.93%"
"09-07-2024","281.95","278.70","284.90","272.50","3.66M","1.79%"
"08-07-2024","277.00","284.55","284.55","276.05","2.64M","-2.67%"
"05-07-2024","284.60","286.00","288.00","283.50","2.42M","-0.42%"
"04-07-2024","285.80","288.00","289.80","280.65","4.49M","-0.64%"
"03-07-2024","287.65","285.90","289.65","281.20","4.27M","1.12%"
"02-07-2024","284.45","284.80","289.75","282.00","6.46M","0.51%"
"01-07-2024","283.00","291.00","293.35","282.10","10.75M","-3.60%"
"28-06-2024","293.57","289.00","307.90","283.20","58.80M","0.12%"
"27-06-2024","293.23","285.00","298.80","275.10","145.14M","11.66%"
"26-06-2024","262.62","230.50","269.50","230.50","92.11M","14.49%"
"25-06-2024","229.38","235.90","237.33","228.50","2.71M","-2.19%"
"24-06-2024","234.52","229.00","238.35","223.61","7.63M","1.22%"
"21-06-2024","231.69","233.97","237.70","229.60","11.06M","-0.63%"
"20-06-2024","233.15","219.50","234.80","219.00","18.39M","6.66%"
"19-06-2024","218.60","222.00","223.65","215.80","2.44M","-0.91%"
"18-06-2024","220.61","222.00","223.39","218.65","1.66M","-0.37%"
"14-06-2024","221.42","220.60","224.25","219.50","4.10M","1.23%"
"13-06-2024","218.73","220.90","221.55","217.69","1.20M","-0.38%"
"12-06-2024","219.56","217.19","222.80","217.02","3.62M","1.57%"
"11-06-2024","216.16","218.15","219.24","215.51","1.92M","-0.91%"
"10-06-2024","218.15","214.11","224.60","214.00","7.42M","1.80%"
"07-06-2024","214.30","207.00","216.15","205.65","3.59M","3.53%"
"06-06-2024","207.00","198.20","208.40","197.80","3.40M","5.45%"
"05-06-2024","196.30","188.00","198.45","181.20","2.62M","6.28%"
"04-06-2024","184.70","215.45","215.45","172.55","7.46M","-14.35%"
"03-06-2024","215.65","212.00","218.75","207.65","4.28M","5.45%"
"31-05-2024","204.50","206.90","207.30","203.00","1.58M","-0.20%"
"30-05-2024","204.90","213.10","214.05","204.10","2.38M","-3.83%"
"29-05-2024","213.05","212.80","219.50","211.75","3.03M","0.05%"
"28-05-2024","212.95","213.00","218.15","211.00","4.63M","-0.26%"
"27-05-2024","213.50","210.00","214.70","208.65","2.98M","2.20%"
"24-05-2024","208.90","210.00","211.50","208.10","1.73M","-0.17%"
"23-05-2024","209.25","208.35","210.80","208.35","995.83K","0.46%"
"22-05-2024","208.30","210.55","210.95","207.65","1.13M","-1.07%"
"21-05-2024","210.55","212.80","212.90","209.90","1.27M","-1.61%"
"18-05-2024","214.00","211.20","214.90","211.20","401.65K","1.33%"
"17-05-2024","211.20","209.00","211.75","208.55","1.04M","1.27%"
"16-05-2024","208.55","209.10","210.15","206.90","988.80K","-0.02%"
"15-05-2024","208.60","211.00","212.85","208.00","1.18M","-0.69%"
"14-05-2024","210.05","207.55","211.50","205.00","1.52M","2.09%"
"13-05-2024","205.75","207.45","207.45","201.55","1.14M","0.02%"
"10-05-2024","205.70","203.85","206.50","200.40","1.44M","1.40%"
"09-05-2024","202.85","211.00","211.15","202.00","1.60M","-3.86%"
"08-05-2024","211.00","207.60","212.70","203.00","1.62M","1.64%"
"07-05-2024","207.60","217.30","217.75","205.35","2.92M","-4.16%"
"06-05-2024","216.60","224.70","224.70","216.00","1.84M","-2.56%"
"03-05-2024","222.30","225.80","229.60","220.00","2.51M","-0.83%"
"02-05-2024","224.15","225.85","225.85","223.65","1.40M","-0.11%"
"30-04-2024","224.40","228.00","230.50","222.85","2.77M","-0.99%"
"29-04-2024","226.65","230.55","230.90","225.40","2.24M","-0.42%"
"26-04-2024","227.60","226.90","231.00","225.50","2.45M","0.44%"
"25-04-2024","226.60","227.75","228.20","222.50","4.04M","-0.44%"
"24-04-2024","227.60","225.25","232.70","225.10","4.53M","1.52%"
"23-04-2024","224.20","221.45","226.45","220.15","2.50M","2.07%"
"22-04-2024","219.65","228.00","228.90","219.05","3.61M","-1.99%"
"19-04-2024","224.10","218.95","225.85","217.20","2.04M","1.06%"
"18-04-2024","221.75","229.40","230.85","220.55","4.69M","-2.29%"
"16-04-2024","226.95","221.40","227.95","219.50","1.93M","2.02%"
"15-04-2024","222.45","220.00","225.20","216.50","3.03M","-0.96%"
"12-04-2024","224.60","227.00","230.15","224.05","1.78M","-1.73%"
"10-04-2024","228.55","226.85","230.30","224.45","2.60M","1.15%"
"09-04-2024","225.95","231.95","231.95","224.25","2.28M","-2.06%"
"08-04-2024","230.70","227.50","232.85","225.20","4.49M","2.40%"
"05-04-2024","225.30","224.00","227.25","220.30","3.12M","0.60%"
"04-04-2024","223.95","225.80","228.40","223.00","2.68M","0.09%"
"03-04-2024","223.75","227.00","227.80","221.75","3.35M","-1.61%"
"02-04-2024","227.40","219.95","229.50","218.45","3.48M","3.18%"
"01-04-2024","220.40","213.55","220.90","213.55","1.92M","3.77%"
"28-03-2024","212.40","213.80","215.30","211.40","2.54M","0.00%"
"27-03-2024","212.40","211.00","216.45","209.60","4.09M","1.55%"
"26-03-2024","209.15","205.00","211.15","205.00","2.24M","1.01%"
"22-03-2024","207.05","203.70","209.55","202.40","2.37M","1.64%"
"21-03-2024","203.70","198.35","205.00","198.35","2.19M","3.61%"
"20-03-2024","196.60","200.10","201.65","194.00","2.31M","-1.18%"
"19-03-2024","198.95","204.25","204.80","197.45","1.95M","-2.62%"
"18-03-2024","204.30","205.30","208.50","202.70","1.57M","-0.34%"
"15-03-2024","205.00","205.25","207.00","199.20","2.18M","0.39%"
"14-03-2024","204.20","196.05","205.55","193.65","2.80M","4.16%"
"13-03-2024","196.05","214.40","214.65","194.15","4.67M","-7.68%"
"12-03-2024","212.35","221.00","221.00","211.40","1.97M","-3.48%"
"11-03-2024","220.00","226.00","227.20","219.00","1.26M","-2.46%"
"07-03-2024","225.55","223.50","228.40","223.35","1.26M","0.89%"
"06-03-2024","223.55","229.75","229.75","219.15","1.85M","-2.08%"
"05-03-2024","228.30","232.30","234.40","227.70","1.11M","-1.68%"
"04-03-2024","232.20","233.05","234.95","231.00","1.24M","-0.30%"
"02-03-2024","232.90","232.70","233.95","230.45","253.71K","0.76%"
"01-03-2024","231.15","229.60","233.30","229.10","1.64M","1.01%"
"29-02-2024","228.85","225.70","230.00","220.75","3.17M","1.91%"
"28-02-2024","224.55","236.40","236.40","222.20","2.70M","-4.18%"
"27-02-2024","234.35","238.00","240.75","233.75","1.57M","-1.99%"
"26-02-2024","239.10","245.85","245.85","238.25","2.72M","-2.47%"
"23-02-2024","245.15","249.95","252.30","243.05","5.04M","-1.29%"
"22-02-2024","248.35","243.00","249.40","238.85","4.92M","2.31%"
"21-02-2024","242.75","244.45","248.15","241.65","3.01M","-0.04%"
"20-02-2024","242.85","243.00","245.00","239.60","1.46M","0.64%"
"19-02-2024","241.30","243.15","244.15","239.55","1.61M","-0.84%"
"16-02-2024","243.35","238.00","246.50","236.20","3.35M","3.29%"
"15-02-2024","235.60","237.40","239.30","234.95","1.38M","0.32%"
"14-02-2024","234.85","228.00","235.95","227.75","1.30M","1.01%"
"13-02-2024","232.50","236.05","237.20","230.20","1.96M","-1.13%"
"12-02-2024","235.15","247.45","248.35","233.20","2.61M","-4.87%"
"09-02-2024","247.20","238.50","249.75","228.50","9.01M","4.15%"
"08-02-2024","237.35","242.00","242.05","236.50","1.12M","-0.98%"
"07-02-2024","239.70","243.00","244.50","238.50","1.61M","-0.56%"
"06-02-2024","241.05","234.00","242.90","230.50","3.49M","3.08%"
"05-02-2024","233.85","240.50","242.20","232.30","2.97M","-2.64%"
"02-02-2024","240.20","243.90","244.85","239.35","4.42M","-0.83%"
"01-02-2024","242.20","263.90","265.00","236.70","38.11M","-7.35%"
"31-01-2024","261.40","261.40","265.40","258.30","3.08M","0.46%"
"30-01-2024","260.20","260.00","265.00","258.65","3.93M","0.72%"
"29-01-2024","258.35","255.10","259.65","250.50","3.75M","2.28%"
"25-01-2024","252.60","242.10","254.20","241.35","3.68M","4.38%"
"24-01-2024","242.00","236.40","242.95","233.40","3.46M","2.83%"
"23-01-2024","235.35","252.00","253.30","233.20","3.30M","-6.48%"
"20-01-2024","251.65","254.40","254.95","248.65","1.85M","-0.57%"
"19-01-2024","253.10","251.00","255.35","250.00","2.33M","1.75%"
"18-01-2024","248.75","252.00","257.10","242.80","3.67M","-1.43%"
"17-01-2024","252.35","255.00","257.95","250.05","4.14M","-2.27%"
"16-01-2024","258.20","257.60","262.00","253.30","2.54M","0.35%"
"15-01-2024","257.30","260.00","260.00","255.05","1.35M","-0.35%"
"12-01-2024","258.20","259.00","262.90","257.00","2.17M","0.19%"
"11-01-2024","257.70","260.00","260.80","256.60","1.41M","-0.48%"
"10-01-2024","258.95","257.00","261.85","252.70","2.32M","0.17%"
"09-01-2024","258.50","259.90","263.05","257.55","1.73M","0.37%"
"08-01-2024","257.55","265.60","266.20","256.00","3.32M","-2.98%"
"05-01-2024","265.45","274.85","275.50","262.40","6.12M","-2.80%"
"04-01-2024","273.10","264.45","277.00","263.25","11.69M","3.86%"
"03-01-2024","262.95","261.05","269.50","259.85","8.66M","0.73%"
"02-01-2024","261.05","262.00","264.55","255.55","4.02M","-0.10%"
"01-01-2024","261.30","259.90","263.95","259.40","3.17M","0.93%"
"29-12-2023","258.90","258.20","262.85","256.20","3.33M","0.52%"
"28-12-2023","257.55","260.00","260.85","253.95","4.06M","-0.23%"
"27-12-2023","258.15","264.00","270.00","255.80","14.67M","-1.21%"
"26-12-2023","261.30","251.45","262.40","249.25","4.88M","3.92%"
"22-12-2023","251.45","253.80","257.95","249.10","3.47M","0.04%"
"21-12-2023","251.35","245.70","252.90","241.20","4.79M","1.29%"
"20-12-2023","248.15","271.00","275.00","242.00","14.07M","-7.67%"
"19-12-2023","268.75","261.60","270.40","258.50","6.50M","3.37%"
"18-12-2023","260.00","266.20","266.30","255.20","4.07M","-2.33%"
"15-12-2023","266.20","272.50","274.05","265.25","2.41M","-1.92%"
"14-12-2023","271.40","272.00","275.00","267.55","3.56M","-0.40%"
"13-12-2023","272.50","267.60","274.80","264.20","4.47M","2.17%"
"12-12-2023","266.70","269.00","271.75","263.65","3.71M","-1.04%"
"11-12-2023","269.50","274.45","275.00","266.70","11.30M","-0.59%"
"08-12-2023","271.10","263.85","272.90","255.50","12.02M","2.98%"
"07-12-2023","263.25","253.40","267.20","247.30","7.97M","4.30%"
"06-12-2023","252.40","256.00","261.80","250.35","4.55M","-0.71%"
"05-12-2023","254.20","254.45","256.85","245.40","5.78M","0.06%"
"04-12-2023","254.05","257.90","259.90","252.95","5.10M","0.36%"
"01-12-2023","253.15","254.00","257.50","248.55","8.43M","0.72%"
"30-11-2023","251.35","233.50","254.60","233.40","24.48M","7.85%"
"29-11-2023","233.05","232.00","235.90","230.25","5.59M","1.46%"
"28-11-2023","229.70","221.70","230.50","221.00","10.46M","4.41%"
"24-11-2023","220.00","217.60","221.80","216.70","2.35M","1.24%"
"23-11-2023","217.30","218.10","219.20","216.50","837.54K","-0.02%"
