"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","85.70","83.50","86.25","82.95","6.92M","3.44%"
"05-11-2024","82.85","82.32","83.28","81.57","4.95M","0.75%"
"04-11-2024","82.23","83.33","83.70","80.97","5.80M","-2.49%"
"01-11-2024","84.33","84.19","84.75","84.00","1.27M","0.93%"
"31-10-2024","83.55","83.68","84.62","83.05","3.95M","-0.21%"
"30-10-2024","83.73","83.00","84.82","82.33","10.24M","1.31%"
"29-10-2024","82.65","81.46","83.47","80.98","8.26M","1.57%"
"28-10-2024","81.37","83.00","83.36","80.93","9.95M","-1.56%"
"25-10-2024","82.66","81.20","83.70","78.06","25.66M","1.66%"
"24-10-2024","81.31","78.51","82.50","78.50","17.88M","4.32%"
"23-10-2024","77.94","77.82","79.56","75.30","9.85M","1.31%"
"22-10-2024","76.93","81.88","82.12","76.20","9.49M","-5.82%"
"21-10-2024","81.68","83.65","84.17","81.22","3.66M","-2.02%"
"18-10-2024","83.36","81.12","83.75","80.40","7.17M","2.71%"
"17-10-2024","81.16","82.80","83.20","81.00","2.91M","-1.96%"
"16-10-2024","82.78","82.01","83.32","82.01","2.98M","0.67%"
"15-10-2024","82.23","82.61","83.30","82.00","3.32M","-0.18%"
"14-10-2024","82.38","83.75","83.96","82.06","3.53M","-1.08%"
"11-10-2024","83.28","84.18","84.18","83.10","3.08M","-0.70%"
"10-10-2024","83.87","83.60","84.60","83.41","4.58M","0.76%"
"09-10-2024","83.24","83.50","84.44","83.00","5.31M","0.75%"
"08-10-2024","82.62","80.45","83.00","79.05","13.33M","2.70%"
"07-10-2024","80.45","85.06","85.33","79.74","8.76M","-4.01%"
"04-10-2024","83.81","84.49","85.89","82.50","7.13M","-0.75%"
"03-10-2024","84.44","86.55","86.60","84.15","7.44M","-3.80%"
"01-10-2024","87.78","87.25","88.21","87.20","3.11M","0.68%"
"30-09-2024","87.19","88.64","88.64","87.00","4.67M","-1.64%"
"27-09-2024","88.64","88.53","89.89","88.15","4.19M","0.41%"
"26-09-2024","88.28","89.33","89.59","87.31","6.51M","-0.86%"
"25-09-2024","89.05","90.45","90.48","88.75","4.21M","-1.10%"
"24-09-2024","90.04","91.73","91.85","89.75","4.26M","-1.75%"
"23-09-2024","91.64","90.30","92.59","89.50","9.90M","2.79%"
"20-09-2024","89.15","88.89","89.95","88.34","5.76M","1.01%"
"19-09-2024","88.26","90.31","90.92","86.80","9.55M","-1.68%"
"18-09-2024","89.77","91.38","91.89","89.48","7.29M","-1.76%"
"17-09-2024","91.38","93.50","93.61","90.85","9.18M","-2.38%"
"16-09-2024","93.61","94.92","95.00","92.40","13.40M","-1.38%"
"13-09-2024","94.92","89.25","95.99","89.25","77.53M","7.90%"
"12-09-2024","87.97","87.01","88.48","86.44","6.55M","1.29%"
"11-09-2024","86.85","89.00","89.48","86.55","5.06M","-1.95%"
"10-09-2024","88.58","88.10","89.30","87.89","4.78M","1.23%"
"09-09-2024","87.50","88.40","88.69","85.86","7.26M","-0.94%"
"06-09-2024","88.33","92.50","92.84","87.36","14.82M","-4.51%"
"05-09-2024","92.50","93.50","93.82","92.40","4.13M","-0.39%"
"04-09-2024","92.86","92.91","93.45","92.18","3.80M","-0.93%"
"03-09-2024","93.73","94.80","95.62","93.51","5.15M","-1.11%"
"02-09-2024","94.78","95.00","95.55","93.93","5.04M","0.03%"
"30-08-2024","94.75","95.00","95.60","94.42","4.51M","0.10%"
"29-08-2024","94.66","95.93","96.72","94.15","6.12M","-1.32%"
"28-08-2024","95.93","95.80","97.63","95.60","6.73M","0.27%"
"27-08-2024","95.67","96.68","97.19","95.21","6.56M","-1.07%"
"26-08-2024","96.70","99.10","99.20","96.24","6.37M","-1.95%"
"23-08-2024","98.62","99.75","100.60","98.15","8.52M","-1.13%"
"22-08-2024","99.75","97.12","101.75","97.00","30.26M","3.06%"
"21-08-2024","96.79","96.95","98.04","96.44","7.91M","0.02%"
"20-08-2024","96.77","97.10","97.55","96.05","7.49M","-0.10%"
"19-08-2024","96.87","94.90","98.40","94.80","16.84M","2.73%"
