"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","66.89","66.60","67.14","66.15","31.13M","0.87%"
"05-11-2024","66.31","65.51","66.50","65.32","28.72M","0.73%"
"04-11-2024","65.83","67.49","67.49","65.40","52.90M","-1.97%"
"01-11-2024","67.15","66.70","67.62","66.50","15.38M","1.85%"
"31-10-2024","65.93","69.00","70.59","65.51","123.75M","-4.16%"
"30-10-2024","68.79","67.38","69.55","67.30","56.78M","1.76%"
"29-10-2024","67.60","66.19","67.99","65.71","52.06M","0.70%"
"28-10-2024","67.13","61.01","67.70","59.30","195.25M","2.49%"
"25-10-2024","65.50","67.90","67.90","65.11","64.23M","-3.75%"
"24-10-2024","68.05","66.58","69.07","66.55","35.56M","2.21%"
"23-10-2024","66.58","68.30","68.69","65.80","52.68M","-2.55%"
"22-10-2024","68.32","70.29","71.00","68.05","31.37M","-2.95%"
"21-10-2024","70.40","71.56","72.03","70.06","27.17M","-1.63%"
"18-10-2024","71.57","71.60","72.07","71.00","17.86M","-0.24%"
"17-10-2024","71.74","72.22","72.57","71.60","11.64M","-0.66%"
"16-10-2024","72.22","72.50","73.08","72.00","16.79M","-0.71%"
"15-10-2024","72.74","72.90","73.08","72.51","10.39M","-0.27%"
"14-10-2024","72.94","72.68","73.20","72.38","21.89M","0.79%"
"11-10-2024","72.37","73.01","73.13","71.88","18.82M","-1.05%"
"10-10-2024","73.14","72.24","73.66","72.24","25.89M","1.04%"
"09-10-2024","72.39","73.38","73.74","71.80","120.78M","-1.01%"
"08-10-2024","73.13","72.15","73.25","71.75","28.60M","1.26%"
"07-10-2024","72.22","72.45","72.81","70.41","33.50M","0.54%"
"04-10-2024","71.83","72.00","72.84","71.25","23.63M","-0.21%"
"03-10-2024","71.98","72.70","73.13","71.42","28.49M","-1.99%"
"01-10-2024","73.44","74.55","75.10","73.25","20.01M","-1.22%"
"30-09-2024","74.35","75.00","76.07","74.09","54.89M","0.22%"
