"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","65.22","57.51","68.00","57.11","23.48M","13.11%"
"05-11-2024","57.66","57.20","58.46","55.86","5.20M","0.95%"
"04-11-2024","57.12","58.92","58.92","56.62","4.70M","-3.10%"
"01-11-2024","58.95","58.10","59.34","58.00","2.79M","2.06%"
"31-10-2024","57.76","57.45","58.40","56.25","8.30M","0.49%"
"30-10-2024","57.48","53.45","58.40","52.66","13.11M","7.78%"
"29-10-2024","53.33","53.10","53.80","51.50","5.29M","0.83%"
"28-10-2024","52.89","51.09","53.90","49.72","10.11M","3.75%"
"25-10-2024","50.98","53.25","53.60","50.09","10.19M","-4.64%"
"24-10-2024","53.46","54.90","55.20","52.81","7.08M","-1.96%"
"23-10-2024","54.53","53.98","55.47","52.36","7.67M","1.53%"
"22-10-2024","53.71","56.95","56.95","53.42","9.35M","-5.74%"
"21-10-2024","56.98","59.10","59.48","56.60","7.87M","-3.90%"
"18-10-2024","59.29","59.98","59.98","57.32","6.04M","-1.66%"
"17-10-2024","60.29","62.00","62.20","60.06","4.24M","-2.44%"
"16-10-2024","61.80","59.45","62.14","59.02","10.42M","4.09%"
"15-10-2024","59.37","60.21","60.68","58.74","5.31M","-1.25%"
"14-10-2024","60.12","61.21","61.53","60.00","4.17M","-0.69%"
"11-10-2024","60.54","61.00","61.22","59.80","6.35M","-1.50%"
"10-10-2024","61.46","63.90","64.20","61.30","5.39M","-3.40%"
"09-10-2024","63.62","64.01","64.72","63.36","5.43M","0.46%"
"08-10-2024","63.33","61.00","63.80","59.50","9.61M","3.82%"
"07-10-2024","61.00","62.60","65.70","60.16","18.97M","-0.81%"
"04-10-2024","61.50","61.37","62.94","59.18","9.47M","-0.77%"
"03-10-2024","61.98","63.45","64.25","61.50","8.28M","-4.79%"
"01-10-2024","65.10","66.00","67.64","65.00","7.63M","-1.51%"
"30-09-2024","66.10","66.98","67.24","65.31","7.06M","-1.84%"
"27-09-2024","67.34","65.30","68.00","65.30","11.59M","2.31%"
"26-09-2024","65.82","68.20","68.25","65.51","10.77M","-3.09%"
"25-09-2024","67.92","69.35","69.57","67.45","8.19M","-2.06%"
"24-09-2024","69.35","70.80","70.95","69.00","7.91M","-1.87%"
"23-09-2024","70.67","71.01","71.66","70.16","9.39M","-0.60%"
"20-09-2024","71.10","70.00","73.44","68.93","22.69M","2.23%"
"19-09-2024","69.55","72.00","72.49","67.90","20.28M","-2.78%"
"18-09-2024","71.54","71.85","73.75","70.83","20.45M","-0.61%"
"17-09-2024","71.98","74.60","74.65","71.52","13.98M","-3.21%"
"16-09-2024","74.37","72.70","75.38","71.25","45.43M","5.83%"
"13-09-2024","70.27","70.10","71.21","69.45","12.73M","0.72%"
"12-09-2024","69.77","70.80","71.68","69.03","12.50M","-0.64%"
"11-09-2024","70.22","69.55","72.10","69.53","20.26M","1.42%"
