"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","431.85","423.00","432.75","421.15","1.86M","2.69%"
"05-11-2024","420.55","414.00","422.85","409.70","1.79M","1.93%"
"04-11-2024","412.60","423.00","423.30","409.35","1.32M","-2.16%"
"01-11-2024","421.70","424.70","424.80","420.50","178.61K","0.37%"
"31-10-2024","420.15","421.35","423.95","415.65","1.99M","-0.18%"
"30-10-2024","420.90","417.05","428.95","416.20","2.21M","0.89%"
"29-10-2024","417.20","410.95","425.70","410.35","5.64M","3.09%"
"28-10-2024","404.70","415.85","417.00","403.50","1.76M","-2.14%"
"25-10-2024","413.55","428.35","431.20","409.90","1.81M","-3.46%"
"24-10-2024","428.35","435.00","436.40","426.55","1.38M","-1.11%"
"23-10-2024","433.15","433.00","437.00","429.05","2.85M","0.02%"
"22-10-2024","433.05","443.15","450.85","431.50","2.75M","-2.28%"
"21-10-2024","443.15","455.60","462.00","440.70","2.41M","-1.89%"
"18-10-2024","451.70","480.00","486.55","439.35","18.33M","-10.47%"
"17-10-2024","504.55","518.00","518.55","502.00","1.78M","-2.70%"
"16-10-2024","518.55","524.20","525.45","513.10","1.15M","-1.16%"
"15-10-2024","524.65","518.90","527.95","516.00","1.95M","1.28%"
"14-10-2024","518.00","540.00","540.00","511.50","2.82M","-4.17%"
"11-10-2024","540.55","540.90","542.00","534.05","1.58M","-0.06%"
"10-10-2024","540.90","533.90","542.00","533.90","2.03M","1.58%"
"09-10-2024","532.50","538.30","543.70","529.90","2.11M","-0.08%"
"08-10-2024","532.95","537.50","549.20","530.80","2.01M","-1.70%"
"07-10-2024","542.15","553.00","553.05","533.35","2.93M","-1.31%"
"04-10-2024","549.35","554.30","555.80","544.45","1.78M","-0.89%"
"03-10-2024","554.30","543.00","560.80","543.00","2.66M","-0.73%"
"01-10-2024","558.40","561.50","569.55","554.05","3.74M","-0.03%"
"30-09-2024","558.55","549.00","560.35","544.30","1.61M","1.65%"
"27-09-2024","549.50","548.95","556.00","547.50","1.53M","0.11%"
"26-09-2024","548.90","549.30","550.85","539.60","1.67M","-0.12%"
"25-09-2024","549.55","549.35","558.50","546.15","2.06M","-0.11%"
"24-09-2024","550.15","550.50","553.50","547.00","2.28M","0.59%"
"23-09-2024","546.95","538.55","548.15","534.00","1.16M","1.49%"
"20-09-2024","538.90","541.00","543.05","530.35","2.85M","-0.68%"
"19-09-2024","542.60","539.00","547.35","533.50","2.31M","1.33%"
"18-09-2024","535.50","547.95","553.80","533.05","3.15M","-2.30%"
"17-09-2024","548.10","549.00","562.75","545.55","16.62M","3.44%"
"16-09-2024","529.85","518.00","531.25","517.15","3.04M","2.46%"
"13-09-2024","517.15","523.90","525.25","516.05","893.12K","-1.46%"
"12-09-2024","524.80","530.00","532.40","521.50","649.03K","-0.58%"
"11-09-2024","527.85","541.00","541.40","524.65","1.19M","-2.19%"
"10-09-2024","539.65","534.50","541.20","533.20","719.32K","1.43%"
"09-09-2024","532.05","538.55","545.00","526.20","1.33M","-1.90%"
"06-09-2024","542.35","556.60","561.80","535.55","2.09M","-2.46%"
