"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","177.37","175.47","177.95","173.86","6.11M","2.44%"
"05-11-2024","173.15","173.80","173.99","169.69","6.91M","0.06%"
"04-11-2024","173.04","179.30","179.30","171.66","7.27M","-3.52%"
"01-11-2024","179.35","179.13","180.00","178.00","1.35M","0.89%"
"31-10-2024","177.76","177.00","179.50","174.82","8.07M","0.84%"
"30-10-2024","176.28","179.89","180.82","175.79","7.66M","-2.01%"
"29-10-2024","179.89","182.44","183.12","177.36","5.00M","-1.40%"
"28-10-2024","182.44","180.75","183.90","178.37","10.51M","0.93%"
"25-10-2024","180.76","189.95","189.95","176.10","14.27M","-1.98%"
"24-10-2024","184.42","183.10","186.10","181.64","5.26M","0.88%"
"23-10-2024","182.82","179.16","184.00","176.83","7.67M","2.04%"
"22-10-2024","179.16","187.10","187.82","178.27","8.54M","-4.25%"
"21-10-2024","187.11","190.96","191.75","186.51","4.09M","-2.02%"
"18-10-2024","190.96","188.50","192.50","186.71","5.23M","-0.10%"
"17-10-2024","191.16","194.65","194.80","188.01","8.28M","-1.79%"
"16-10-2024","194.65","191.00","195.49","190.00","9.82M","1.59%"
"15-10-2024","191.60","196.18","196.18","189.30","16.20M","-2.33%"
"14-10-2024","196.18","203.99","204.16","192.06","24.23M","-4.11%"
"11-10-2024","204.59","203.50","205.25","202.19","5.20M","1.10%"
"10-10-2024","202.37","205.80","205.90","200.98","6.94M","-0.54%"
"09-10-2024","203.47","206.00","209.00","202.92","10.23M","-0.55%"
"08-10-2024","204.59","198.00","205.40","197.50","9.84M","2.82%"
"07-10-2024","198.97","208.80","212.39","197.20","18.01M","-4.32%"
"04-10-2024","207.95","207.50","211.00","205.60","14.32M","-0.50%"
"03-10-2024","208.99","205.00","211.70","204.19","18.52M","0.31%"
"01-10-2024","208.34","204.28","209.60","202.85","12.91M","1.99%"
"30-09-2024","204.28","206.00","207.38","202.66","21.70M","-0.96%"
"27-09-2024","206.25","209.77","213.60","203.65","37.09M","-1.15%"
"26-09-2024","208.66","202.70","210.75","202.69","61.38M","3.03%"
"25-09-2024","202.52","209.00","210.28","199.50","71.97M","-4.30%"
"24-09-2024","211.61","240.50","244.40","209.05","121.89M","-11.60%"
"23-09-2024","239.37","231.85","240.25","231.20","17.23M","3.47%"
"20-09-2024","231.35","226.45","233.27","226.01","21.70M","2.64%"
"19-09-2024","225.41","228.25","230.29","221.57","13.10M","-1.17%"
"18-09-2024","228.07","221.99","229.10","220.76","24.55M","2.78%"
"17-09-2024","221.90","222.05","226.28","219.60","16.76M","0.44%"
"16-09-2024","220.93","219.51","222.27","216.44","9.02M","0.85%"
"13-09-2024","219.07","216.75","220.70","216.06","9.48M","1.18%"
"12-09-2024","216.52","215.05","219.60","214.25","17.16M","2.20%"
"11-09-2024","211.85","214.75","216.60","210.88","8.31M","-1.29%"
"10-09-2024","214.61","214.10","217.30","212.60","14.23M","0.51%"
"09-09-2024","213.52","207.99","213.94","207.85","18.54M","2.67%"
"06-09-2024","207.96","209.32","212.50","206.20","16.85M","-0.66%"
"05-09-2024","209.34","207.20","211.25","206.60","18.41M","1.20%"
"04-09-2024","206.85","205.82","208.60","203.55","18.27M","0.48%"
"03-09-2024","205.86","204.05","207.80","203.42","10.93M","1.20%"
"02-09-2024","203.41","206.00","206.00","201.75","7.97M","-0.11%"
"30-08-2024","203.63","206.35","208.76","202.90","15.63M","-1.01%"
"29-08-2024","205.71","203.48","206.35","199.29","27.97M","1.08%"
"28-08-2024","203.51","196.40","205.44","194.75","53.99M","4.07%"
"27-08-2024","195.56","190.28","195.99","189.45","19.94M","3.50%"
"26-08-2024","188.95","190.76","190.96","186.30","9.53M","-0.01%"
"23-08-2024","188.97","195.20","196.00","188.25","13.45M","-3.36%"
"22-08-2024","195.55","196.75","200.69","195.02","18.39M","-0.36%"
"21-08-2024","196.25","195.25","197.60","194.10","5.33M","0.48%"
"20-08-2024","195.32","196.89","197.25","193.42","3.97M","-0.51%"
"19-08-2024","196.32","196.40","198.17","195.01","6.31M","0.77%"
"16-08-2024","194.82","187.00","195.50","187.00","14.69M","4.85%"
"14-08-2024","185.81","188.60","188.60","184.41","6.59M","-1.14%"
"13-08-2024","187.96","195.00","195.00","187.05","8.50M","-3.33%"
"12-08-2024","194.44","190.00","195.62","189.01","9.17M","0.92%"
"09-08-2024","192.67","196.25","197.70","192.39","7.52M","-0.49%"
"08-08-2024","193.62","200.25","200.90","193.08","16.34M","-2.15%"
"07-08-2024","197.87","193.51","199.75","191.05","16.33M","4.19%"
"06-08-2024","189.91","190.10","196.64","189.27","18.91M","0.85%"
"05-08-2024","188.31","192.89","197.29","185.32","33.41M","-3.59%"
"02-08-2024","195.32","186.00","197.80","184.30","33.78M","2.57%"
"01-08-2024","190.43","192.90","193.50","187.55","13.15M","-0.87%"
"31-07-2024","192.11","188.91","194.30","188.91","16.15M","1.72%"
"30-07-2024","188.86","187.95","192.15","187.05","17.13M","0.97%"
"29-07-2024","187.04","178.50","190.39","178.05","40.76M","5.88%"
"26-07-2024","176.66","177.80","177.95","175.61","4.89M","0.32%"
"25-07-2024","176.10","174.50","178.64","171.77","14.79M","0.96%"
"24-07-2024","174.43","169.10","175.14","168.21","11.18M","3.68%"
"23-07-2024","168.24","172.00","172.35","159.35","13.09M","-1.92%"
"22-07-2024","171.54","168.00","172.86","166.40","10.98M","1.46%"
"19-07-2024","169.07","172.95","173.39","168.50","10.73M","-2.59%"
"18-07-2024","173.56","177.01","177.09","172.50","7.78M","-2.13%"
"16-07-2024","177.34","178.95","182.37","177.00","11.97M","-0.49%"
"15-07-2024","178.22","178.25","179.15","174.16","7.61M","0.62%"
"12-07-2024","177.13","178.00","180.00","176.66","7.37M","0.03%"
"11-07-2024","177.07","178.20","178.87","176.01","6.94M","0.54%"
"10-07-2024","176.12","182.95","182.95","170.47","31.54M","-3.96%"
"09-07-2024","183.38","182.00","185.40","181.65","10.67M","0.95%"
"08-07-2024","181.65","185.00","185.49","180.36","8.74M","-1.46%"
"05-07-2024","184.35","183.00","186.18","182.00","7.40M","0.39%"
"04-07-2024","183.64","186.19","186.60","182.80","9.95M","-0.89%"
"03-07-2024","185.29","189.00","189.70","184.50","15.58M","0.13%"
"02-07-2024","185.05","191.00","191.20","182.00","20.17M","-2.27%"
"01-07-2024","189.34","181.99","190.00","181.00","35.12M","4.87%"
"28-06-2024","180.54","180.40","183.50","179.64","11.88M","0.39%"
"27-06-2024","179.83","178.40","182.73","177.55","13.41M","0.64%"
"26-06-2024","178.68","180.00","180.78","176.80","11.37M","-0.44%"
"25-06-2024","179.47","182.99","184.95","177.91","10.88M","-1.76%"
"24-06-2024","182.69","181.30","184.70","179.20","11.41M","0.51%"
"21-06-2024","181.76","180.99","184.30","178.70","15.30M","0.43%"
"20-06-2024","180.99","182.30","183.40","180.24","9.28M","-0.14%"
"19-06-2024","181.25","186.65","187.14","180.80","17.82M","-2.49%"
"18-06-2024","185.87","181.30","187.40","180.46","37.76M","3.45%"
"14-06-2024","179.67","179.15","182.55","176.00","20.60M","0.80%"
"13-06-2024","178.25","175.70","181.75","174.66","58.08M","2.67%"
"12-06-2024","173.61","169.70","174.60","168.20","25.59M","2.92%"
"11-06-2024","168.68","165.90","171.80","164.80","31.42M","1.96%"
"10-06-2024","165.43","164.45","167.50","163.20","13.70M","1.18%"
"07-06-2024","163.50","163.80","165.10","161.70","14.46M","0.58%"
"06-06-2024","162.55","161.80","167.50","160.60","33.81M","3.57%"
"05-06-2024","156.95","145.15","158.80","145.15","16.87M","8.13%"
"04-06-2024","145.15","157.80","157.80","134.15","21.68M","-8.02%"
"03-06-2024","157.80","159.75","160.40","154.85","12.23M","3.04%"
"31-05-2024","153.15","155.00","155.65","152.50","5.72M","-0.75%"
"30-05-2024","154.30","156.30","157.50","153.55","6.45M","-1.59%"
"29-05-2024","156.80","157.00","158.30","154.65","5.58M","-0.22%"
"28-05-2024","157.15","161.50","162.00","156.75","9.30M","-2.27%"
"27-05-2024","160.80","158.40","163.95","158.20","23.83M","1.93%"
"24-05-2024","157.75","155.75","159.15","154.40","12.48M","1.28%"
"23-05-2024","155.75","155.70","156.60","152.35","8.72M","0.81%"
"22-05-2024","154.50","161.55","161.90","152.40","19.98M","-3.71%"
"21-05-2024","160.45","158.35","166.40","158.35","44.87M","1.33%"
"18-05-2024","158.35","152.25","158.95","151.00","6.79M","4.59%"
"17-05-2024","151.40","148.40","151.85","146.50","8.90M","2.30%"
"16-05-2024","148.00","147.55","151.30","147.00","14.91M","1.68%"
"15-05-2024","145.55","146.00","147.85","144.60","12.64M","0.48%"
"14-05-2024","144.85","145.85","146.30","143.90","4.47M","-0.17%"
"13-05-2024","145.10","145.05","145.70","142.50","4.41M","0.03%"
"10-05-2024","145.05","143.10","146.00","140.75","8.38M","1.58%"
"09-05-2024","142.80","148.25","149.30","142.10","8.01M","-3.19%"
"08-05-2024","147.50","148.75","151.00","147.20","6.33M","-0.81%"
"07-05-2024","148.70","152.30","153.75","147.30","8.02M","-2.78%"
"06-05-2024","152.95","159.40","159.75","150.45","10.33M","-2.92%"
"03-05-2024","157.55","158.15","160.40","154.70","16.48M","0.86%"
"02-05-2024","156.20","157.15","159.80","155.25","12.63M","-0.06%"
