"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","457.05","451.00","475.30","450.65","4.21M","1.96%"
"05-11-2024","448.25","448.35","452.00","442.00","1.00M","-0.02%"
"04-11-2024","448.35","460.90","463.25","441.10","1.97M","-1.10%"
"01-11-2024","453.35","438.00","456.30","437.90","1.24M","3.79%"
"31-10-2024","436.80","420.00","439.00","418.15","1.59M","3.62%"
"30-10-2024","421.55","420.10","427.20","418.10","1.19M","-0.55%"
"29-10-2024","423.90","406.95","427.00","401.50","2.00M","3.90%"
"28-10-2024","408.00","401.95","412.95","397.45","1.69M","2.65%"
"25-10-2024","397.45","403.55","412.40","395.20","2.75M","-2.38%"
"24-10-2024","407.15","406.60","428.85","391.25","11.98M","-3.07%"
"23-10-2024","420.05","418.95","425.60","415.50","1.38M","0.50%"
"22-10-2024","417.95","438.00","438.35","413.75","1.52M","-4.28%"
"21-10-2024","436.65","452.35","457.20","433.90","1.35M","-3.06%"
"18-10-2024","450.45","456.00","457.15","444.75","1.28M","-2.08%"
"17-10-2024","460.00","471.00","471.00","455.55","826.64K","-1.91%"
"16-10-2024","468.95","482.40","482.40","466.80","1.18M","-1.76%"
"15-10-2024","477.35","470.70","479.00","466.95","1.00M","1.25%"
"14-10-2024","471.45","471.85","477.25","463.20","1.56M","0.40%"
"11-10-2024","469.55","461.80","472.85","461.75","3.27M","3.29%"
"10-10-2024","454.60","455.00","473.75","453.00","2.49M","0.24%"
"09-10-2024","453.50","460.00","462.00","445.80","2.11M","-1.10%"
"08-10-2024","458.55","439.55","461.00","432.55","2.08M","5.05%"
"07-10-2024","436.50","461.00","462.40","430.85","2.26M","-5.31%"
"04-10-2024","461.00","457.00","471.45","448.25","3.04M","1.17%"
"03-10-2024","455.65","450.00","464.90","450.00","2.19M","-2.48%"
"01-10-2024","467.25","464.40","482.50","463.25","4.04M","0.96%"
"30-09-2024","462.80","475.15","478.20","459.00","3.31M","-3.14%"
"27-09-2024","477.80","491.05","496.45","476.20","1.68M","-2.29%"
"26-09-2024","489.00","500.00","501.25","487.30","2.52M","-2.03%"
"25-09-2024","499.15","516.00","518.70","497.00","3.57M","-2.86%"
"24-09-2024","513.85","515.15","522.00","508.45","5.61M","0.52%"
"23-09-2024","511.20","533.50","533.90","507.05","6.29M","-3.61%"
"20-09-2024","530.35","549.00","560.60","525.10","45.20M","6.94%"
"19-09-2024","495.95","531.00","533.90","482.00","12.19M","-6.22%"
"18-09-2024","528.85","519.80","531.90","512.55","6.53M","2.55%"
"17-09-2024","515.70","511.90","520.45","495.85","6.35M","1.79%"
"16-09-2024","506.65","520.00","522.70","505.00","2.97M","-2.84%"
"13-09-2024","521.45","480.10","530.00","475.75","11.55M","7.18%"
"12-09-2024","486.50","474.45","491.00","464.00","4.01M","3.98%"
"11-09-2024","467.90","473.05","478.00","464.10","1.74M","-0.50%"
"10-09-2024","470.25","471.00","476.70","465.05","1.13M","0.70%"
"09-09-2024","467.00","469.60","471.30","450.75","1.32M","0.10%"
"06-09-2024","466.55","475.00","487.85","464.35","4.21M","-0.50%"
"05-09-2024","468.90","462.20","474.70","458.90","1.71M","1.76%"
"04-09-2024","460.80","463.95","474.30","456.60","1.31M","-1.98%"
"03-09-2024","470.10","458.00","472.15","456.40","1.75M","2.71%"
"02-09-2024","457.70","459.00","462.20","444.45","1.42M","0.31%"
"30-08-2024","456.30","452.20","464.40","449.05","1.46M","1.20%"
"29-08-2024","450.90","455.00","460.00","444.05","747.40K","-1.06%"
"28-08-2024","455.75","464.95","464.95","453.55","653.10K","-1.53%"
"27-08-2024","462.85","461.95","466.50","459.05","468.93K","0.60%"
"26-08-2024","460.10","459.00","478.00","455.15","1.55M","0.31%"
"23-08-2024","458.70","468.90","469.40","457.10","1.01M","-1.93%"
"22-08-2024","467.75","465.05","469.65","459.00","966.88K","0.69%"
"21-08-2024","464.55","454.95","472.00","452.40","1.60M","1.01%"
"20-08-2024","459.90","458.00","468.45","452.25","3.13M","1.29%"
"19-08-2024","454.05","407.55","460.00","407.55","8.14M","12.12%"
"16-08-2024","404.95","402.65","410.00","401.35","554.84K","0.91%"
"14-08-2024","401.30","409.00","411.15","396.75","678.70K","-1.07%"
"13-08-2024","405.65","419.35","421.95","402.10","686.27K","-3.22%"
"12-08-2024","419.15","412.00","422.40","400.20","1.39M","-0.91%"
"09-08-2024","423.00","437.00","437.00","421.25","611.94K","-1.50%"
"08-08-2024","429.45","438.80","439.40","428.00","712.56K","-2.52%"
"07-08-2024","440.55","424.00","442.10","420.20","1.62M","2.25%"
"06-08-2024","430.85","430.75","436.75","421.80","1.02M","1.40%"
"05-08-2024","424.90","431.15","436.45","420.20","1.65M","-5.69%"
"02-08-2024","450.55","454.90","469.80","448.10","1.88M","-1.37%"
"01-08-2024","456.80","444.60","479.30","444.00","5.35M","3.34%"
"31-07-2024","442.05","442.60","448.00","432.00","1.47M","0.82%"
"30-07-2024","438.45","447.15","449.90","436.60","1.20M","-1.55%"
"29-07-2024","445.35","456.00","462.40","443.20","1.08M","-1.29%"
"26-07-2024","451.15","454.75","458.95","449.00","687.22K","-0.41%"
"25-07-2024","453.00","457.45","458.95","449.10","710.60K","-2.45%"
"24-07-2024","464.40","454.00","467.85","448.90","1.02M","3.12%"
"23-07-2024","450.35","468.90","474.95","406.05","1.92M","-3.26%"
"22-07-2024","465.55","458.20","472.00","455.75","627.92K","0.05%"
"19-07-2024","465.30","476.10","480.30","460.95","1.34M","-1.41%"
"18-07-2024","471.95","485.00","488.00","470.25","895.30K","-2.60%"
"16-07-2024","484.55","489.00","491.95","482.00","634.06K","-0.61%"
"15-07-2024","487.50","494.35","498.55","480.90","1.34M","-0.66%"
"12-07-2024","490.75","503.45","507.90","487.00","1.57M","-1.53%"
"11-07-2024","498.35","486.00","508.90","485.95","3.14M","3.14%"
"10-07-2024","483.20","504.00","504.00","475.00","1.93M","-3.61%"
"09-07-2024","501.30","511.00","516.00","498.10","1.99M","-2.01%"
"08-07-2024","511.60","523.00","526.00","507.20","1.67M","-2.20%"
"05-07-2024","523.10","524.45","528.35","514.80","1.56M","0.50%"
"04-07-2024","520.50","530.00","531.00","516.85","1.81M","-0.66%"
"03-07-2024","523.95","524.50","535.60","514.10","3.72M","0.82%"
"02-07-2024","519.70","515.75","533.00","506.50","5.68M","1.73%"
"01-07-2024","510.85","514.00","520.40","502.00","3.87M","-1.30%"
"28-06-2024","517.60","484.80","521.40","481.95","8.21M","7.87%"
"27-06-2024","479.85","495.00","504.85","474.25","7.01M","-2.78%"
"26-06-2024","493.55","460.10","497.30","459.00","9.00M","7.27%"
"25-06-2024","460.10","472.85","475.00","456.95","787.41K","-2.24%"
"24-06-2024","470.65","475.55","477.45","470.00","806.48K","-1.03%"
"21-06-2024","475.55","479.75","479.75","469.05","1.34M","-0.08%"
"20-06-2024","475.95","474.00","486.00","472.90","1.91M","0.58%"
"19-06-2024","473.20","484.90","487.40","470.20","1.71M","-1.77%"
"18-06-2024","481.75","468.00","508.35","467.50","8.98M","2.36%"
"14-06-2024","470.65","475.90","481.95","465.40","1.93M","-0.36%"
"13-06-2024","472.35","479.00","479.00","470.65","1.33M","-0.17%"
"12-06-2024","473.15","474.00","482.90","470.40","2.50M","0.22%"
"11-06-2024","472.10","486.55","498.95","470.00","6.14M","-3.64%"
"10-06-2024","489.95","474.90","499.00","469.00","9.28M","4.13%"
"07-06-2024","470.50","417.40","478.15","415.20","15.35M","13.59%"
"06-06-2024","414.20","410.40","416.00","406.40","1.26M","2.93%"
"05-06-2024","402.40","394.95","406.85","378.20","2.04M","5.18%"
"04-06-2024","382.60","400.00","400.00","340.80","1.64M","-4.54%"
"03-06-2024","400.80","410.15","410.95","393.00","1.26M","0.39%"
"31-05-2024","399.25","408.90","410.95","396.00","1.22M","-1.69%"
"30-05-2024","406.10","410.00","411.90","403.20","855.35K","-1.23%"
"29-05-2024","411.15","405.10","414.50","398.65","2.01M","3.01%"
"28-05-2024","399.15","399.90","412.70","397.05","2.32M","0.14%"
"27-05-2024","398.60","394.35","399.90","393.15","694.41K","1.32%"
"24-05-2024","393.40","394.35","402.40","392.20","646.61K","-0.98%"
"23-05-2024","397.30","397.70","402.75","394.90","619.99K","-0.60%"
"22-05-2024","399.70","401.00","406.75","396.95","438.09K","0.41%"
"21-05-2024","398.05","401.50","404.95","395.65","565.59K","-0.86%"
"18-05-2024","401.50","401.40","404.00","400.00","125.44K","0.45%"
"17-05-2024","399.70","400.00","405.00","396.60","697.51K","1.52%"
"16-05-2024","393.70","398.45","400.95","392.80","517.03K","-0.53%"
"15-05-2024","395.80","401.85","405.40","394.25","522.69K","-1.26%"
"14-05-2024","400.85","397.90","406.85","392.00","926.98K","1.19%"
"13-05-2024","396.15","401.80","402.00","385.35","821.71K","-0.91%"
"10-05-2024","399.80","378.20","403.50","368.25","4.04M","6.22%"
"09-05-2024","376.40","390.90","395.00","372.00","693.62K","-3.43%"
"08-05-2024","389.75","390.60","393.30","382.60","877.08K","0.19%"
"07-05-2024","389.00","385.90","418.70","382.00","8.99M","2.10%"
"06-05-2024","381.00","404.20","404.20","366.55","1.47M","-5.07%"
"03-05-2024","401.35","401.60","405.10","397.00","786.32K","0.89%"
"02-05-2024","397.80","406.00","408.20","395.00","1.02M","-2.02%"
"30-04-2024","406.00","415.00","415.40","405.25","856.41K","-1.59%"
"29-04-2024","412.55","417.40","419.50","410.00","531.74K","-0.58%"
"26-04-2024","414.95","421.70","424.95","413.10","728.72K","-0.77%"
"25-04-2024","418.15","412.85","422.70","408.00","1.16M","1.85%"
"24-04-2024","410.55","410.10","415.80","408.50","715.67K","0.09%"
"23-04-2024","410.20","408.90","413.70","406.00","945.62K","0.45%"
"22-04-2024","408.36","397.29","416.23","397.29","1.56M","3.52%"
"19-04-2024","394.47","403.16","405.06","389.90","1.04M","-3.23%"
"18-04-2024","407.63","414.77","421.13","406.08","1.29M","-0.57%"
"16-04-2024","409.96","419.00","423.51","407.00","1.24M","-2.12%"
"15-04-2024","418.85","391.51","423.51","383.69","3.44M","2.56%"
"12-04-2024","408.41","423.66","433.28","406.03","2.20M","-3.60%"
"10-04-2024","423.66","432.01","432.26","419.05","4.00M","-1.72%"
"09-04-2024","431.09","414.38","436.53","414.33","9.47M","4.46%"
"08-04-2024","412.68","393.40","427.40","388.79","12.35M","5.88%"
"05-04-2024","389.76","348.48","399.23","345.08","16.30M","13.00%"
"04-04-2024","344.93","347.02","353.58","340.22","2.54M","0.97%"
"03-04-2024","341.63","341.87","346.00","337.26","3.16M","0.59%"
"02-04-2024","339.64","339.01","342.07","332.93","1.69M","1.22%"
"01-04-2024","335.56","336.58","346.14","332.40","2.21M","1.57%"
"28-03-2024","330.36","347.70","357.95","328.03","5.41M","-3.37%"
"27-03-2024","341.87","316.66","343.38","304.28","8.44M","9.51%"
"26-03-2024","312.20","321.81","322.59","307.05","3.77M","-3.84%"
"22-03-2024","324.68","329.97","337.74","323.46","2.10M","-0.61%"
"21-03-2024","326.67","330.26","338.81","320.50","3.46M","-0.07%"
"20-03-2024","326.91","349.69","351.24","325.70","2.83M","-6.37%"
"19-03-2024","349.16","359.40","361.69","348.72","1.12M","-2.28%"
"18-03-2024","357.32","354.55","366.98","354.16","893.08K","0.04%"
"15-03-2024","357.17","358.53","366.01","349.69","1.25M","-0.77%"
"14-03-2024","359.94","369.12","378.54","354.55","2.09M","-3.54%"
"13-03-2024","373.15","388.54","393.30","364.75","1.67M","-3.30%"
"12-03-2024","385.87","381.45","393.40","369.21","2.45M","1.81%"
"11-03-2024","379.02","411.27","411.27","370.19","4.62M","-7.15%"
"07-03-2024","408.21","381.74","408.36","381.31","16.81M","9.96%"
"06-03-2024","371.25","371.25","371.25","371.25","8.70M","-20.00%"
"05-03-2024","464.07","464.07","464.07","464.07","514.57K","-19.99%"
"04-03-2024","580.05","599.57","602.53","577.96","429.20K","-6.83%"
"02-03-2024","622.55","624.65","625.60","611.40","47.84K","2.99%"
"01-03-2024","604.48","576.84","606.61","571.55","1.45M","5.41%"
"29-02-2024","573.44","563.39","585.73","559.46","934.15K","1.57%"
"28-02-2024","564.60","592.82","593.79","552.46","2.12M","-4.38%"
"27-02-2024","590.49","596.42","601.95","582.91","774.48K","-0.22%"
"26-02-2024","591.80","583.64","594.67","582.72","327.17K","1.37%"
"23-02-2024","583.79","582.62","587.04","580.68","200.54K","0.32%"
"22-02-2024","581.94","585.63","589.66","578.74","282.27K","-0.56%"
"21-02-2024","585.20","584.76","593.99","581.80","300.35K","0.45%"
"20-02-2024","582.57","592.72","599.52","579.37","255.30K","-2.28%"
"19-02-2024","596.17","592.48","601.22","583.50","432.45K","1.21%"
"16-02-2024","589.03","561.59","593.26","557.56","1.22M","4.70%"
"15-02-2024","562.61","570.19","572.91","557.56","512.24K","0.84%"
"14-02-2024","557.95","558.58","562.17","552.80","414.29K","-0.11%"
"13-02-2024","558.58","556.59","563.29","545.37","568.91K","0.44%"
"12-02-2024","556.15","568.29","569.32","552.56","354.09K","-1.72%"
"09-02-2024","565.91","575.92","577.96","563.15","760.87K","-1.48%"
"08-02-2024","574.41","588.65","593.50","573.10","421.49K","-2.42%"
"07-02-2024","588.65","575.58","593.74","575.29","658.46K","1.91%"
"06-02-2024","577.62","578.93","584.61","570.48","440.32K","0.11%"
"05-02-2024","576.99","579.08","580.48","566.50","808.66K","-0.71%"
"02-02-2024","581.12","590.83","595.98","574.07","817.87K","-1.27%"
"01-02-2024","588.60","608.07","615.84","584.91","613.82K","-2.81%"
"31-01-2024","605.59","596.42","610.79","591.56","714.95K","1.78%"
"30-01-2024","595.01","596.42","609.34","593.31","973.62K","-0.79%"
"29-01-2024","599.77","590.44","609.48","588.26","812.84K","2.61%"
"25-01-2024","584.52","600.98","605.06","581.51","791.99K","-1.76%"
"24-01-2024","595.01","606.96","607.54","582.82","983.71K","-1.97%"
"23-01-2024","606.96","630.32","639.84","595.01","1.14M","-5.39%"
"20-01-2024","641.55","660.95","666.00","637.20","448.42K","0.73%"
