"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","209.90","205.99","211.75","205.80","5.56M","2.51%"
"05-11-2024","204.77","203.99","206.84","201.41","4.67M","-0.30%"
"04-11-2024","205.38","212.00","212.00","203.12","5.18M","-3.11%"
"01-11-2024","211.98","211.56","212.73","211.12","1.57M","0.92%"
"31-10-2024","210.04","210.90","213.95","208.21","5.48M","-0.08%"
"30-10-2024","210.21","205.51","211.83","201.91","7.18M","2.36%"
"29-10-2024","205.37","199.79","209.51","197.48","9.00M","3.22%"
"28-10-2024","198.96","193.00","200.45","188.00","7.75M","4.03%"
"25-10-2024","191.26","199.98","200.89","190.00","8.49M","-4.46%"
"24-10-2024","200.19","200.38","203.00","197.20","6.26M","-0.11%"
"23-10-2024","200.42","199.00","203.87","188.47","14.38M","0.45%"
"22-10-2024","199.52","210.00","210.00","198.00","10.11M","-5.00%"
"21-10-2024","210.03","216.19","218.20","209.00","4.78M","-2.83%"
"18-10-2024","216.14","215.89","221.00","211.37","5.53M","-0.72%"
"17-10-2024","217.71","221.99","224.40","217.02","4.52M","-1.54%"
"16-10-2024","221.11","222.67","224.29","220.93","3.37M","-0.71%"
"15-10-2024","222.68","222.70","225.90","220.16","5.67M","0.53%"
"14-10-2024","221.50","229.49","229.70","221.00","8.05M","-3.11%"
"11-10-2024","228.61","238.00","239.90","225.00","19.06M","-2.17%"
"10-10-2024","233.69","233.60","237.00","231.60","10.83M","1.11%"
"09-10-2024","231.13","226.40","234.00","225.51","11.94M","3.00%"
"08-10-2024","224.39","208.15","225.40","206.00","14.53M","6.28%"
"07-10-2024","211.13","223.98","225.59","210.00","9.93M","-4.75%"
"04-10-2024","221.66","224.29","226.69","218.00","6.73M","-0.74%"
"03-10-2024","223.32","225.00","228.49","222.30","7.16M","-3.29%"
"01-10-2024","230.91","236.00","237.00","230.00","6.54M","-1.69%"
"30-09-2024","234.88","232.38","237.00","226.27","10.96M","1.16%"
"27-09-2024","232.19","224.87","234.00","223.50","10.16M","3.42%"
"26-09-2024","224.51","220.00","228.90","217.00","14.22M","0.47%"
"25-09-2024","223.47","227.35","228.58","222.87","4.84M","-1.71%"
"24-09-2024","227.35","230.00","230.42","227.00","3.94M","-1.26%"
"23-09-2024","230.24","233.00","233.40","228.30","5.65M","-0.92%"
"20-09-2024","232.37","231.00","234.00","228.04","14.48M","1.03%"
"19-09-2024","230.01","235.00","237.50","225.75","24.25M","1.15%"
"18-09-2024","227.39","227.06","233.33","227.00","10.33M","-0.15%"
"17-09-2024","227.74","230.00","235.00","224.54","19.14M","-0.28%"
"16-09-2024","228.39","232.00","233.81","227.50","8.07M","-1.38%"
"13-09-2024","231.59","232.50","235.45","229.82","8.98M","-0.45%"
"12-09-2024","232.64","231.30","234.88","224.80","12.51M","1.65%"
"11-09-2024","228.87","239.45","240.00","227.75","15.69M","-1.98%"
"10-09-2024","233.50","228.77","239.45","228.41","30.99M","4.63%"
"09-09-2024","223.17","226.00","228.25","220.64","15.79M","-1.86%"
"06-09-2024","227.40","234.30","235.70","226.27","14.80M","-3.37%"
"05-09-2024","235.33","236.68","238.65","234.36","7.76M","-0.06%"
"04-09-2024","235.46","235.00","238.33","235.00","8.67M","-1.60%"
"03-09-2024","239.30","239.00","240.00","236.44","9.34M","0.15%"
"02-09-2024","238.93","241.35","241.35","235.30","16.83M","-1.06%"
"30-08-2024","241.50","258.00","259.50","238.05","45.31M","-5.20%"
"29-08-2024","254.75","255.50","262.95","253.00","13.82M","0.32%"
"28-08-2024","253.95","256.10","258.40","253.05","10.59M","-0.47%"
"27-08-2024","255.15","253.55","258.50","250.70","12.34M","0.63%"
"26-08-2024","253.55","262.00","262.45","253.10","12.14M","-2.59%"
"23-08-2024","260.30","260.95","265.80","257.30","24.70M","1.24%"
"22-08-2024","257.10","246.00","265.70","246.00","87.13M","7.60%"
