"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","575.45","582.40","582.40","571.45","1.34M","-0.17%"
"05-11-2024","576.45","568.50","587.40","568.50","1.93M","0.87%"
"04-11-2024","571.50","589.45","596.85","564.30","1.83M","-2.36%"
"01-11-2024","585.30","592.60","594.45","578.00","153.26K","-1.22%"
"31-10-2024","592.55","577.00","595.70","577.00","1.58M","0.76%"
"30-10-2024","588.10","568.25","597.00","568.25","3.55M","1.22%"
"29-10-2024","581.00","545.00","584.95","537.20","7.48M","5.36%"
"28-10-2024","551.45","501.00","560.50","496.25","8.11M","10.62%"
"25-10-2024","498.50","504.80","504.80","487.35","655.30K","-0.46%"
"24-10-2024","500.80","504.50","507.85","499.00","547.74K","-0.02%"
"23-10-2024","500.90","503.00","509.60","492.80","1.52M","-0.59%"
"22-10-2024","503.85","515.45","516.00","500.05","1.49M","-1.65%"
"21-10-2024","512.30","521.00","527.95","509.05","752.98K","-1.22%"
"18-10-2024","518.65","512.50","522.00","507.40","569.46K","1.14%"
"17-10-2024","512.80","519.85","522.90","511.25","901.93K","-1.09%"
"16-10-2024","518.45","520.40","530.90","511.50","1.79M","-0.28%"
"15-10-2024","519.90","527.00","527.00","517.85","593.31K","-1.03%"
"14-10-2024","525.30","525.05","529.95","521.95","398.04K","0.14%"
"11-10-2024","524.55","520.05","528.70","520.05","333.57K","0.11%"
"10-10-2024","523.95","527.90","530.55","521.75","371.06K","-0.75%"
"09-10-2024","527.90","525.15","534.45","520.80","877.14K","-0.19%"
"08-10-2024","528.90","518.55","530.50","510.95","1.05M","1.98%"
"07-10-2024","518.65","531.10","531.10","510.40","1.24M","-0.90%"
"04-10-2024","523.35","519.00","538.00","507.50","2.22M","1.43%"
"03-10-2024","515.95","517.00","528.50","513.70","1.33M","-2.12%"
"01-10-2024","527.10","522.95","529.85","521.60","448.25K","0.58%"
"30-09-2024","524.05","536.50","538.95","517.70","2.53M","-2.85%"
"27-09-2024","539.45","536.90","541.80","529.25","1.67M","1.28%"
"26-09-2024","532.65","525.00","534.35","519.75","2.90M","1.23%"
"25-09-2024","526.20","528.80","531.30","519.20","918.39K","-0.47%"
"24-09-2024","528.70","536.85","536.85","526.65","699.65K","-1.52%"
"23-09-2024","536.85","510.00","539.35","510.00","2.93M","5.37%"
"20-09-2024","509.50","508.80","514.75","505.00","2.12M","0.04%"
"19-09-2024","509.30","507.50","512.95","505.00","1.09M","0.84%"
"18-09-2024","505.05","519.00","522.65","504.15","3.05M","-2.83%"
"17-09-2024","519.75","520.00","521.60","514.35","556.83K","-0.03%"
"16-09-2024","519.90","525.65","525.65","516.00","1.29M","-0.03%"
"13-09-2024","520.05","525.40","525.40","518.80","1.18M","0.00%"
"12-09-2024","520.05","514.80","525.00","514.70","1.58M","1.97%"
"11-09-2024","510.00","519.85","523.40","506.80","3.13M","-1.72%"
"10-09-2024","518.90","525.15","526.90","516.00","1.65M","-0.78%"
"09-09-2024","523.00","526.00","528.00","513.00","974.52K","-0.09%"
"06-09-2024","523.45","551.00","554.70","519.55","5.55M","-5.00%"
"05-09-2024","551.00","541.90","574.30","523.00","3.75M","2.79%"
"04-09-2024","536.05","547.00","552.05","534.15","2.18M","-2.55%"
"03-09-2024","550.05","556.00","558.40","548.30","751.12K","-1.04%"
"02-09-2024","555.85","565.30","567.90","551.70","1.76M","-2.02%"
"30-08-2024","567.30","564.00","575.70","557.00","1.16M","1.03%"
"29-08-2024","561.50","567.95","575.00","548.50","1.41M","-1.14%"
"28-08-2024","567.95","550.00","576.00","547.00","2.20M","3.48%"
"27-08-2024","548.85","549.85","555.50","546.80","482.20K","0.32%"
"26-08-2024","547.10","553.35","560.00","544.00","1.58M","-0.23%"
"23-08-2024","548.35","554.05","560.80","547.00","977.12K","-0.80%"
"22-08-2024","552.80","555.00","559.50","551.05","1.32M","0.13%"
"21-08-2024","552.10","560.95","560.95","551.00","1.11M","-1.15%"
"20-08-2024","558.50","550.05","565.00","550.05","638.65K","1.55%"
"19-08-2024","550.00","554.50","560.20","546.95","844.73K","-0.03%"
"16-08-2024","550.15","546.00","562.45","545.00","734.21K","-0.04%"
