"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","7,997.00","7,660.00","8,012.10","7,655.05","313.28K","4.66%"
"05-11-2024","7,640.90","7,722.75","7,745.00","7,600.00","175.69K","-1.06%"
"04-11-2024","7,722.75","7,450.00","7,747.35","7,370.55","380.11K","3.40%"
"01-11-2024","7,468.45","7,440.95","7,494.95","7,440.95","10.73K","0.37%"
"31-10-2024","7,440.95","7,650.75","7,727.30","7,406.55","298.16K","-3.11%"
"30-10-2024","7,679.40","7,680.10","7,856.45","7,628.10","172.23K","-0.26%"
"29-10-2024","7,699.15","7,690.45","7,737.65","7,483.05","170.38K","0.08%"
"28-10-2024","7,692.65","7,600.05","7,850.00","7,600.05","126.80K","1.25%"
"25-10-2024","7,597.65","7,740.00","7,759.95","7,434.05","367.12K","-1.54%"
"24-10-2024","7,716.55","7,830.70","7,848.60","7,658.40","121.81K","-1.46%"
"23-10-2024","7,830.70","7,620.00","7,946.90","7,551.00","336.10K","2.37%"
"22-10-2024","7,649.05","7,958.90","7,978.00","7,621.50","151.29K","-3.78%"
"21-10-2024","7,949.35","8,117.00","8,159.75","7,911.90","110.28K","-1.72%"
"18-10-2024","8,088.85","7,990.00","8,110.20","7,910.70","140.63K","1.37%"
"17-10-2024","7,979.60","8,182.35","8,229.95","7,959.90","274.04K","-2.48%"
"16-10-2024","8,182.35","8,244.85","8,280.00","8,135.00","123.38K","-1.28%"
"15-10-2024","8,288.40","8,334.95","8,373.00","8,229.85","158.75K","0.03%"
"14-10-2024","8,286.15","8,389.95","8,399.25","8,239.00","146.22K","-0.92%"
"11-10-2024","8,363.30","8,295.20","8,390.80","8,259.75","143.53K","0.82%"
"10-10-2024","8,295.20","8,430.00","8,439.45","8,260.00","95.58K","-1.16%"
"09-10-2024","8,392.45","8,310.00","8,472.00","8,300.00","170.59K","1.48%"
"08-10-2024","8,270.05","8,045.75","8,306.90","7,988.05","243.53K","3.55%"
"07-10-2024","7,986.45","8,308.90","8,308.90","7,910.05","378.78K","-2.59%"
"04-10-2024","8,198.65","8,120.00","8,308.90","8,098.80","428.27K","0.93%"
"03-10-2024","8,123.00","8,099.95","8,180.00","8,010.65","115.58K","-0.89%"
"01-10-2024","8,195.95","8,144.80","8,250.00","8,140.60","169.61K","1.18%"
"30-09-2024","8,100.70","8,113.70","8,214.20","8,027.60","194.22K","-0.86%"
"27-09-2024","8,170.75","8,050.35","8,227.05","8,000.45","405.99K","2.81%"
"26-09-2024","7,947.70","8,000.00","8,017.45","7,834.10","211.61K","0.14%"
"25-09-2024","7,936.20","8,139.95","8,139.95","7,888.00","222.19K","-1.83%"
"24-09-2024","8,084.30","8,196.15","8,258.00","8,050.65","187.33K","-0.76%"
"23-09-2024","8,146.15","8,111.50","8,260.35","8,111.30","196.15K","0.49%"
"20-09-2024","8,106.20","7,891.00","8,126.95","7,830.00","414.69K","2.58%"
"19-09-2024","7,902.10","7,901.00","8,151.00","7,755.00","892.80K","2.07%"
"18-09-2024","7,741.55","7,805.25","7,809.95","7,570.05","125.97K","-0.82%"
"17-09-2024","7,805.25","7,903.80","7,964.75","7,765.00","127.03K","-1.25%"
"16-09-2024","7,903.80","7,729.05","7,943.00","7,715.00","241.06K","2.26%"
"13-09-2024","7,729.05","7,825.00","7,830.00","7,692.80","100.75K","-0.76%"
"12-09-2024","7,788.60","7,724.95","7,807.90","7,620.00","170.49K","1.55%"
"11-09-2024","7,669.75","7,499.95","7,777.00","7,477.75","450.73K","2.58%"
"10-09-2024","7,476.70","7,475.00","7,544.30","7,430.00","132.57K","0.78%"
"09-09-2024","7,418.60","7,331.00","7,487.90","7,296.45","132.83K","-0.08%"
"06-09-2024","7,424.90","7,485.45","7,500.75","7,389.70","133.82K","-0.67%"
"05-09-2024","7,475.00","7,489.50","7,506.65","7,412.05","122.08K","0.53%"
"04-09-2024","7,435.40","7,358.95","7,455.70","7,264.05","158.72K","-0.13%"
"03-09-2024","7,445.45","7,580.00","7,644.00","7,430.00","128.59K","-1.60%"
"02-09-2024","7,566.80","7,679.95","7,746.50","7,512.55","266.42K","-1.46%"
"30-08-2024","7,678.80","7,682.90","7,725.00","7,620.05","281.86K","-0.05%"
"29-08-2024","7,682.90","7,599.05","7,700.00","7,551.00","192.23K","0.79%"
"28-08-2024","7,622.65","7,493.95","7,640.65","7,472.80","242.40K","1.72%"
"27-08-2024","7,493.95","7,498.90","7,533.65","7,456.05","106.44K","-0.07%"
"26-08-2024","7,498.90","7,387.65","7,539.05","7,387.65","275.61K","1.44%"
"23-08-2024","7,392.60","7,444.45","7,447.40","7,314.05","163.63K","-0.70%"
"22-08-2024","7,444.45","7,445.00","7,570.05","7,322.00","212.24K","0.50%"
"21-08-2024","7,407.60","7,407.75","7,433.90","7,375.05","96.44K","0.00%"
"20-08-2024","7,407.75","7,393.45","7,433.25","7,363.00","229.64K","0.19%"
"19-08-2024","7,393.45","7,417.85","7,463.15","7,361.10","124.20K","-0.33%"
"16-08-2024","7,417.85","7,335.00","7,440.00","7,225.00","333.17K","2.50%"
"14-08-2024","7,236.75","7,100.00","7,319.00","7,068.15","311.42K","1.95%"
"13-08-2024","7,098.35","7,219.80","7,295.00","7,039.05","231.16K","-1.12%"
"12-08-2024","7,178.70","7,300.00","7,300.00","7,070.25","274.61K","-0.50%"
"09-08-2024","7,214.50","7,015.85","7,250.00","6,964.20","433.96K","4.37%"
"08-08-2024","6,912.60","7,045.00","7,051.05","6,892.05","109.03K","-1.93%"
"07-08-2024","7,048.65","6,900.00","7,083.90","6,839.25","568.93K","3.60%"
"06-08-2024","6,803.95","7,000.00","7,125.00","6,782.00","170.59K","-2.43%"
"05-08-2024","6,973.75","7,000.05","7,143.95","6,810.10","333.41K","-3.42%"
"02-08-2024","7,220.50","6,880.00","7,327.75","6,844.80","1.44M","4.58%"
"01-08-2024","6,904.45","7,055.00","7,090.00","6,865.55","224.93K","-1.75%"
"31-07-2024","7,027.25","7,029.00","7,107.55","7,006.05","246.27K","0.25%"
"30-07-2024","7,009.80","7,108.95","7,136.60","6,988.95","138.83K","-1.24%"
"29-07-2024","7,097.95","7,244.95","7,260.50","7,080.05","175.40K","-1.24%"
"26-07-2024","7,187.40","7,040.00","7,210.00","7,007.60","360.59K","2.48%"
"25-07-2024","7,013.60","6,900.00","7,030.90","6,826.45","143.65K","0.95%"
"24-07-2024","6,947.35","6,855.00","7,014.00","6,829.90","237.90K","0.76%"
"23-07-2024","6,895.25","6,929.65","6,987.50","6,706.80","175.45K","-0.50%"
"22-07-2024","6,929.65","6,824.95","7,017.05","6,763.85","293.63K","1.49%"
"19-07-2024","6,827.60","6,952.25","7,069.95","6,781.85","223.07K","-1.51%"
"18-07-2024","6,932.25","6,814.90","6,985.00","6,814.90","316.13K","1.77%"
"16-07-2024","6,812.00","6,899.00","6,899.95","6,741.25","120.09K","-0.38%"
"15-07-2024","6,838.25","6,870.00","6,975.00","6,808.10","169.78K","-0.34%"
"12-07-2024","6,861.50","6,643.70","6,919.55","6,640.50","624.06K","3.74%"
"11-07-2024","6,613.90","6,784.95","6,855.90","6,569.10","271.98K","-2.47%"
"10-07-2024","6,781.70","6,941.00","6,986.25","6,750.00","228.09K","-2.35%"
"09-07-2024","6,944.60","6,857.00","7,063.00","6,830.10","364.93K","1.27%"
"08-07-2024","6,857.45","6,874.50","6,956.40","6,818.80","203.97K","0.70%"
"05-07-2024","6,809.50","6,770.05","6,828.95","6,712.55","72.67K","1.08%"
"04-07-2024","6,736.45","6,801.00","6,854.00","6,725.10","74.28K","-1.10%"
"03-07-2024","6,811.60","6,789.90","6,837.95","6,730.30","214.38K","0.96%"
"02-07-2024","6,746.60","6,964.85","6,964.85","6,642.00","579.88K","-2.75%"
"01-07-2024","6,937.35","6,750.10","6,969.00","6,750.10","336.81K","2.23%"
"28-06-2024","6,785.85","6,739.00","6,819.95","6,700.00","306.06K","0.78%"
"27-06-2024","6,733.60","6,747.95","6,765.15","6,673.45","193.59K","-0.21%"
"26-06-2024","6,747.95","6,630.00","6,780.00","6,610.25","305.03K","1.49%"
"25-06-2024","6,648.60","6,594.65","6,707.65","6,480.05","427.44K","0.83%"
"24-06-2024","6,594.10","6,380.00","6,610.00","6,293.75","434.03K","3.28%"
"21-06-2024","6,384.70","6,332.95","6,495.00","6,332.95","344.67K","1.62%"
"20-06-2024","6,282.90","6,241.75","6,335.75","6,194.20","190.13K","0.66%"
"19-06-2024","6,241.75","6,224.00","6,275.40","6,102.80","242.63K","0.89%"
"18-06-2024","6,186.65","6,125.00","6,358.00","6,125.00","268.48K","-0.90%"
