"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","788.45","746.00","792.20","744.00","1.01M","6.21%"
"05-11-2024","742.35","736.50","747.95","731.65","236.91K","0.78%"
"04-11-2024","736.60","743.00","744.95","729.50","166.46K","-0.86%"
"01-11-2024","743.00","739.00","751.90","736.00","47.02K","0.93%"
"31-10-2024","736.15","757.10","758.45","730.00","444.93K","-2.68%"
"30-10-2024","756.45","752.00","779.50","737.30","903.08K","2.99%"
"29-10-2024","734.50","755.00","755.05","723.05","553.49K","-1.46%"
"28-10-2024","745.35","739.00","751.25","706.25","843.26K","-2.40%"
"25-10-2024","763.70","795.00","796.90","755.00","246.94K","-3.69%"
"24-10-2024","792.95","815.70","815.70","786.60","157.11K","-2.80%"
"23-10-2024","815.80","810.80","828.80","801.10","191.77K","0.62%"
"22-10-2024","810.80","840.00","844.65","805.05","232.26K","-3.63%"
"21-10-2024","841.35","860.00","869.80","836.20","164.53K","-2.03%"
"18-10-2024","858.75","871.00","871.00","854.00","117.61K","-1.41%"
"17-10-2024","871.00","887.80","887.80","869.10","179.18K","-1.45%"
"16-10-2024","883.85","893.90","900.20","868.65","302.91K","-1.16%"
"15-10-2024","894.20","890.90","897.05","874.00","211.26K","1.11%"
"14-10-2024","884.35","908.90","908.90","881.25","143.09K","-1.73%"
"11-10-2024","899.90","891.20","902.00","876.50","260.95K","1.76%"
"10-10-2024","884.35","901.95","906.50","880.50","196.85K","-1.18%"
"09-10-2024","894.95","882.70","918.45","875.15","317.94K","2.39%"
"08-10-2024","874.10","874.40","878.75","856.30","189.75K","0.71%"
"07-10-2024","867.95","887.55","923.95","860.05","514.72K","-2.21%"
"04-10-2024","887.55","886.00","896.80","866.25","264.46K","0.03%"
"03-10-2024","887.30","914.75","920.00","875.00","1.08M","-4.14%"
"01-10-2024","925.60","969.60","973.20","914.00","928.20K","-3.79%"
"30-09-2024","962.10","988.00","991.45","958.05","243.77K","-2.62%"
"27-09-2024","988.00","1,037.00","1,039.80","981.05","296.27K","-3.62%"
"26-09-2024","1,025.10","1,020.00","1,055.00","1,015.10","2.12M","1.25%"
"25-09-2024","1,012.40","999.95","1,025.00","992.70","487.77K","1.40%"
"24-09-2024","998.40","977.25","1,015.00","977.25","435.46K","2.16%"
"23-09-2024","977.25","983.00","983.00","972.50","64.82K","-0.40%"
"20-09-2024","981.20","982.95","995.15","977.05","82.02K","-0.17%"
"19-09-2024","982.90","993.00","1,000.00","977.35","166.54K","-0.24%"
"18-09-2024","985.25","994.95","998.10","976.00","101.77K","-0.61%"
"17-09-2024","991.30","1,001.00","1,001.00","980.00","92.10K","-0.32%"
"16-09-2024","994.50","988.95","1,000.75","975.90","236.95K","0.88%"
"13-09-2024","985.80","1,020.00","1,040.50","981.05","226.84K","-1.37%"
"12-09-2024","999.50","1,000.00","1,007.20","991.05","258.47K","0.92%"
"11-09-2024","990.35","1,003.00","1,029.00","985.70","351.18K","-0.84%"
"10-09-2024","998.75","990.30","1,003.95","983.35","147.84K","1.46%"
"09-09-2024","984.35","996.20","996.30","981.00","76.55K","-1.20%"
"06-09-2024","996.30","988.00","1,024.00","985.60","481.34K","0.84%"
"05-09-2024","988.00","988.95","993.50","984.00","70.99K","0.41%"
"04-09-2024","984.00","975.00","994.95","975.00","100.70K","0.06%"
"03-09-2024","983.45","981.00","996.00","981.00","84.44K","-0.56%"
"02-09-2024","989.00","995.00","998.10","981.35","83.54K","-0.40%"
"30-08-2024","993.00","993.55","999.20","983.35","90.48K","-0.06%"
"29-08-2024","993.55","985.95","1,013.95","979.45","417.21K","1.18%"
