"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","857.35","835.00","863.30","833.30","3.70M","3.41%"
"05-11-2024","829.10","795.00","831.70","792.10","4.43M","1.58%"
"04-11-2024","816.20","833.00","833.35","802.45","1.62M","-1.87%"
"01-11-2024","831.75","825.45","833.85","820.15","353.63K","1.27%"
"31-10-2024","821.30","839.40","845.10","816.15","1.24M","-2.16%"
"30-10-2024","839.40","824.05","856.95","819.00","1.60M","1.76%"
"29-10-2024","824.85","821.05","826.45","806.50","849.12K","0.46%"
"28-10-2024","821.05","812.10","830.20","809.05","903.46K","1.10%"
"25-10-2024","812.10","830.15","832.85","798.10","1.43M","-2.17%"
"24-10-2024","830.15","828.65","843.00","827.15","739.63K","0.18%"
"23-10-2024","828.65","827.00","839.85","813.70","1.55M","-0.33%"
"22-10-2024","831.40","858.80","858.80","829.00","1.69M","-3.19%"
"21-10-2024","858.80","879.65","884.70","851.20","964.44K","-2.52%"
"18-10-2024","881.00","869.35","883.85","862.70","891.31K","1.06%"
"17-10-2024","871.75","888.00","893.00","863.00","1.86M","-2.34%"
"16-10-2024","892.60","893.85","900.40","887.65","716.02K","-0.30%"
"15-10-2024","895.30","885.00","899.00","883.60","1.23M","1.16%"
"14-10-2024","885.00","889.20","892.80","881.10","802.78K","-0.47%"
"11-10-2024","889.20","880.00","894.65","878.05","690.61K","0.74%"
"10-10-2024","882.65","880.55","892.00","880.40","914.18K","0.35%"
"09-10-2024","879.55","877.00","887.60","872.95","1.23M","0.51%"
"08-10-2024","875.10","854.00","877.15","851.90","1.05M","2.03%"
"07-10-2024","857.70","877.15","880.75","843.30","3.17M","-1.72%"
"04-10-2024","872.75","886.40","893.70","868.05","2.31M","-1.54%"
"03-10-2024","886.40","912.00","922.80","880.30","4.26M","-4.81%"
"01-10-2024","931.15","925.00","934.00","920.25","879.84K","0.28%"
"30-09-2024","928.55","920.00","932.70","920.00","1.99M","0.39%"
"27-09-2024","924.90","902.05","928.00","902.05","2.31M","2.00%"
"26-09-2024","906.75","900.00","909.00","893.90","1.37M","0.61%"
"25-09-2024","901.25","914.00","914.00","897.00","1.07M","-1.15%"
"24-09-2024","911.70","912.00","919.50","910.00","1.17M","0.16%"
"23-09-2024","910.20","898.25","912.65","895.05","1.33M","1.78%"
"20-09-2024","894.25","888.10","897.00","881.70","1.96M","1.20%"
"19-09-2024","883.65","908.00","914.25","866.05","3.59M","-2.42%"
"18-09-2024","905.55","930.00","932.90","901.25","1.85M","-2.95%"
"17-09-2024","933.10","939.55","939.55","928.50","828.57K","-0.28%"
"16-09-2024","935.75","937.50","941.95","927.70","1.14M","-0.12%"
"13-09-2024","936.90","936.05","957.10","935.00","2.60M","0.60%"
"12-09-2024","931.35","925.60","932.90","920.00","943.33K","0.88%"
"11-09-2024","923.25","927.00","934.00","920.10","1.27M","-0.74%"
"10-09-2024","930.10","927.10","933.70","922.00","1.26M","0.33%"
"09-09-2024","927.00","928.05","932.80","918.95","1.44M","-1.01%"
"06-09-2024","936.50","945.60","948.20","925.45","2.64M","-0.93%"
"05-09-2024","945.25","940.00","952.55","938.80","1.93M","0.64%"
"04-09-2024","939.20","934.05","941.00","932.20","1.56M","-0.52%"
"03-09-2024","944.15","937.95","949.00","937.80","1.57M","0.76%"
"02-09-2024","937.00","938.95","938.95","928.00","1.05M","0.45%"
"30-08-2024","932.80","925.00","948.00","921.80","2.98M","1.06%"
"29-08-2024","923.05","927.40","928.50","914.40","1.36M","-0.43%"
"28-08-2024","927.00","931.10","939.55","925.50","1.06M","-0.37%"
"27-08-2024","930.40","933.50","933.50","925.15","707.73K","-0.06%"
"26-08-2024","931.00","927.80","931.65","925.10","765.62K","0.83%"
"23-08-2024","923.30","935.00","938.10","922.00","1.25M","-1.71%"
"22-08-2024","939.40","935.00","942.30","932.35","841.25K","0.49%"
"21-08-2024","934.80","930.05","938.70","927.75","943.09K","0.41%"
"20-08-2024","931.00","940.05","942.40","926.40","1.19M","-0.71%"
"19-08-2024","937.70","926.00","940.70","925.15","1.25M","1.40%"
"16-08-2024","924.75","914.90","925.90","911.30","908.03K","1.64%"
"14-08-2024","909.85","928.00","929.00","906.30","1.76M","-0.94%"
"13-08-2024","918.45","929.75","931.45","911.30","1.97M","-0.64%"
"12-08-2024","924.40","926.45","933.25","915.05","1.27M","-0.28%"
"09-08-2024","926.95","932.55","935.65","926.00","569.57K","0.12%"
"08-08-2024","925.80","930.85","939.90","923.55","1.15M","-0.54%"
"07-08-2024","930.85","927.85","934.10","921.30","1.17M","1.27%"
"06-08-2024","919.15","925.50","946.75","915.90","1.71M","-0.69%"
"05-08-2024","925.50","945.00","954.00","921.15","2.63M","-4.23%"
"02-08-2024","966.40","972.75","976.50","963.65","1.10M","-1.44%"
"01-08-2024","980.50","989.90","995.00","976.00","998.86K","-0.72%"
"31-07-2024","987.65","990.00","994.40","985.50","994.90K","-0.20%"
"30-07-2024","989.60","994.50","998.00","988.45","979.94K","-0.19%"
