"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","2,464.25","2,450.15","2,471.45","2,422.20","5.38K","1.32%"
"05-11-2024","2,432.15","2,453.15","2,468.45","2,402.15","7.37K","-1.21%"
"04-11-2024","2,461.85","2,560.25","2,574.00","2,422.40","13.77K","-3.49%"
"01-11-2024","2,550.95","2,500.05","2,559.00","2,500.05","5.71K","2.03%"
"31-10-2024","2,500.25","2,557.20","2,564.35","2,489.80","13.00K","-1.89%"
"30-10-2024","2,548.35","2,550.00","2,590.20","2,504.10","21.97K","-0.24%"
"29-10-2024","2,554.60","2,523.55","2,576.50","2,490.00","9.21K","1.62%"
"28-10-2024","2,513.90","2,438.85","2,527.35","2,401.95","11.01K","3.10%"
"25-10-2024","2,438.35","2,494.20","2,497.40","2,417.05","8.70K","-2.20%"
"24-10-2024","2,493.15","2,472.55","2,515.80","2,457.00","8.27K","0.52%"
"23-10-2024","2,480.15","2,510.00","2,510.00","2,449.05","17.52K","-0.92%"
"22-10-2024","2,503.25","2,530.00","2,570.70","2,485.00","207.19K","-0.21%"
"21-10-2024","2,508.60","2,919.95","2,919.95","2,455.75","152.98K","-16.87%"
"18-10-2024","3,017.60","3,006.00","3,066.00","2,978.10","6.71K","-0.66%"
"17-10-2024","3,037.50","3,062.05","3,074.00","2,980.45","11.93K","-0.55%"
"16-10-2024","3,054.15","3,036.60","3,102.00","3,005.95","7.07K","0.47%"
"15-10-2024","3,039.80","3,075.00","3,129.85","3,029.90","20.64K","-0.77%"
"14-10-2024","3,063.30","3,018.95","3,098.85","2,966.40","44.76K","1.74%"
"11-10-2024","3,011.00","2,975.85","3,019.00","2,975.85","66.90K","0.67%"
"10-10-2024","2,991.05","3,028.95","3,028.95","2,983.80","2.01K","-0.21%"
"09-10-2024","2,997.35","2,994.95","3,040.45","2,969.60","11.76K","1.16%"
"08-10-2024","2,962.95","2,790.00","2,980.00","2,782.55","7.47K","6.75%"
"07-10-2024","2,775.70","2,869.40","2,883.70","2,760.00","10.86K","-2.34%"
"04-10-2024","2,842.30","2,904.25","2,929.60","2,830.00","3.79K","-2.39%"
"03-10-2024","2,912.00","2,985.00","2,985.00","2,875.00","4.64K","-2.80%"
"01-10-2024","2,995.80","2,950.05","3,020.00","2,950.05","11.10K","1.38%"
"30-09-2024","2,955.00","2,926.90","2,965.00","2,903.00","4.03K","1.29%"
"27-09-2024","2,917.25","2,882.05","2,950.00","2,882.05","6.21K","0.88%"
"26-09-2024","2,891.75","2,929.00","2,929.00","2,877.95","7.31K","-1.23%"
"25-09-2024","2,927.65","2,980.00","3,001.90","2,909.05","3.80K","-1.68%"
"24-09-2024","2,977.60","3,040.00","3,040.00","2,969.90","2.21K","-2.07%"
"23-09-2024","3,040.40","3,015.00","3,083.50","3,015.00","5.30K","-0.53%"
"20-09-2024","3,056.50","3,015.05","3,089.50","2,991.60","4.77K","2.46%"
"19-09-2024","2,983.15","3,000.25","3,049.00","2,920.00","11.06K","-0.22%"
"18-09-2024","2,989.80","3,051.65","3,060.50","2,968.00","7.83K","-1.85%"
"17-09-2024","3,046.15","3,111.10","3,120.00","3,023.80","1.60K","-2.09%"
"16-09-2024","3,111.05","3,150.00","3,150.00","3,099.80","2.09K","-0.51%"
"13-09-2024","3,127.05","3,126.90","3,175.00","3,123.70","2.74K","0.02%"
"12-09-2024","3,126.50","3,103.00","3,143.55","3,099.60","8.08K","0.75%"
"11-09-2024","3,103.25","3,127.10","3,144.20","3,080.00","4.85K","-0.74%"
"10-09-2024","3,126.30","3,088.45","3,143.35","3,038.00","23.43K","2.84%"
"09-09-2024","3,040.05","2,990.05","3,050.00","2,978.55","7.67K","1.96%"
"06-09-2024","2,981.50","3,030.70","3,030.70","2,961.85","8.66K","-1.62%"
"05-09-2024","3,030.70","3,068.80","3,084.35","3,015.30","6.74K","-0.89%"
"04-09-2024","3,057.95","2,963.50","3,120.50","2,961.05","36.83K","1.14%"
"03-09-2024","3,023.55","2,969.65","3,065.00","2,969.65","24.04K","1.81%"
"02-09-2024","2,969.70","3,020.40","3,020.40","2,940.10","4.46K","-1.00%"
"30-08-2024","2,999.70","3,041.45","3,055.10","2,982.90","6.62K","-0.69%"
"29-08-2024","3,020.65","3,049.80","3,049.80","2,966.25","5.27K","-0.75%"
"28-08-2024","3,043.50","2,999.00","3,065.00","2,982.65","37.51K","1.64%"
"27-08-2024","2,994.25","2,998.65","3,007.25","2,967.75","6.51K","1.23%"
"26-08-2024","2,957.95","2,895.00","3,028.20","2,895.00","8.90K","2.29%"
"23-08-2024","2,891.70","2,932.90","2,932.90","2,880.00","3.41K","-0.71%"
"22-08-2024","2,912.30","2,910.25","2,975.00","2,904.15","4.76K","0.07%"
"21-08-2024","2,910.25","2,910.05","2,990.00","2,883.65","25.24K","0.11%"
"20-08-2024","2,906.95","2,870.00","2,917.00","2,860.00","17.03K","1.95%"
"19-08-2024","2,851.45","2,752.90","2,863.95","2,745.30","26.69K","3.62%"
"16-08-2024","2,751.80","2,688.75","2,778.25","2,686.15","9.42K","2.91%"
"14-08-2024","2,674.00","2,701.85","2,720.90","2,659.95","7.90K","-0.89%"
"13-08-2024","2,698.10","2,751.60","2,753.20","2,670.00","13.70K","-2.21%"
"12-08-2024","2,759.00","2,759.15","2,819.85","2,715.05","12.78K","-0.74%"
"09-08-2024","2,779.50","2,800.05","2,847.00","2,759.10","10.78K","-0.76%"
"08-08-2024","2,800.65","2,751.30","2,831.10","2,736.00","8.75K","1.79%"
"07-08-2024","2,751.30","2,705.00","2,786.30","2,652.00","5.74K","2.82%"
"06-08-2024","2,675.85","2,690.05","2,721.65","2,648.95","7.84K","0.40%"
"05-08-2024","2,665.25","2,715.00","2,749.25","2,630.80","15.91K","-4.41%"
"02-08-2024","2,788.35","2,801.10","2,860.00","2,768.30","30.39K","-2.10%"
"01-08-2024","2,848.15","2,963.30","2,963.30","2,835.00","71.78K","-3.33%"
"31-07-2024","2,946.40","3,160.00","3,160.00","2,884.50","48.09K","-6.36%"
"30-07-2024","3,146.55","3,064.10","3,198.95","3,007.50","19.86K","3.27%"
"29-07-2024","3,046.80","3,079.95","3,079.95","3,005.10","6.35K","0.52%"
"26-07-2024","3,031.15","2,980.05","3,055.80","2,980.05","25.76K","1.29%"
"25-07-2024","2,992.45","3,003.65","3,050.00","2,964.70","9.20K","-0.46%"
"24-07-2024","3,006.15","2,917.00","3,019.00","2,886.65","38.06K","4.08%"
"23-07-2024","2,888.25","2,851.45","2,911.00","2,735.50","7.54K","1.21%"
