"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,131.80","1,120.05","1,141.00","1,120.05","55.58K","1.20%"
"05-11-2024","1,118.35","1,113.55","1,130.00","1,105.00","49.21K","0.25%"
"04-11-2024","1,115.55","1,146.00","1,146.00","1,103.40","77.15K","-2.75%"
"01-11-2024","1,147.05","1,140.00","1,160.50","1,131.05","26.41K","0.85%"
"31-10-2024","1,137.35","1,107.00","1,140.00","1,107.00","47.94K","2.90%"
"30-10-2024","1,105.25","1,076.00","1,115.55","1,076.00","56.61K","2.68%"
"29-10-2024","1,076.40","1,085.10","1,107.35","1,071.50","89.05K","-1.14%"
"28-10-2024","1,088.85","1,090.00","1,105.00","1,084.85","51.80K","0.27%"
"25-10-2024","1,085.90","1,097.00","1,104.05","1,063.25","125.74K","-1.30%"
"24-10-2024","1,100.15","1,112.05","1,117.95","1,089.00","60.46K","-0.35%"
"23-10-2024","1,104.00","1,090.00","1,120.00","1,082.55","134.17K","1.28%"
"22-10-2024","1,090.10","1,130.10","1,139.15","1,079.85","117.83K","-3.99%"
"21-10-2024","1,135.40","1,140.00","1,158.05","1,131.35","78.59K","-0.99%"
"18-10-2024","1,146.75","1,151.05","1,160.00","1,134.55","176.22K","-1.17%"
"17-10-2024","1,160.30","1,174.95","1,183.50","1,154.50","67.18K","-0.97%"
"16-10-2024","1,171.70","1,179.00","1,193.05","1,165.50","56.22K","-0.44%"
"15-10-2024","1,176.85","1,173.85","1,200.00","1,173.85","103.54K","0.26%"
"14-10-2024","1,173.75","1,180.00","1,192.00","1,166.05","71.87K","-0.19%"
"11-10-2024","1,176.00","1,170.00","1,200.00","1,165.15","150.80K","-0.33%"
"10-10-2024","1,179.90","1,136.00","1,192.00","1,136.00","163.16K","3.24%"
"09-10-2024","1,142.85","1,130.00","1,149.80","1,130.00","83.97K","1.83%"
"08-10-2024","1,122.35","1,112.05","1,133.00","1,110.25","87.70K","0.92%"
"07-10-2024","1,112.10","1,142.15","1,149.85","1,085.00","415.42K","-2.64%"
"04-10-2024","1,142.25","1,126.00","1,149.00","1,107.95","138.75K","1.09%"
"03-10-2024","1,129.95","1,161.00","1,164.85","1,126.00","138.04K","-3.76%"
"01-10-2024","1,174.05","1,175.00","1,180.00","1,161.20","258.69K","0.51%"
"30-09-2024","1,168.10","1,165.00","1,175.00","1,150.60","107.44K","0.21%"
