"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","342.05","343.00","344.85","338.65","4.10M","-0.03%"
"05-11-2024","342.15","336.85","342.85","332.35","3.30M","1.41%"
"04-11-2024","337.40","346.85","350.00","335.35","12.60M","-1.59%"
"01-11-2024","342.85","342.35","346.00","340.75","756.57K","0.68%"
"31-10-2024","340.55","341.80","345.25","338.65","6.95M","-0.64%"
"30-10-2024","342.75","347.70","349.40","341.60","4.29M","-1.48%"
"29-10-2024","347.90","345.90","349.55","338.80","10.43M","0.48%"
"28-10-2024","346.25","340.95","348.65","336.50","6.06M","3.45%"
"25-10-2024","334.70","352.00","352.00","330.10","14.09M","-4.44%"
"24-10-2024","350.25","358.00","359.45","349.05","6.56M","-1.92%"
"23-10-2024","357.10","380.95","380.95","355.50","12.16M","-2.63%"
"22-10-2024","366.75","375.00","378.40","364.35","5.05M","-2.29%"
"21-10-2024","375.35","384.00","386.50","372.10","8.53M","-2.39%"
"18-10-2024","384.55","383.65","386.35","378.20","2.60M","-0.05%"
"17-10-2024","384.75","386.50","391.00","382.75","5.38M","-0.90%"
"16-10-2024","388.25","384.95","390.40","380.30","3.84M","0.61%"
"15-10-2024","385.90","387.60","388.95","381.55","3.46M","-0.26%"
"14-10-2024","386.90","380.40","389.00","378.25","5.70M","2.22%"
"11-10-2024","378.50","380.80","382.85","376.50","3.32M","-0.11%"
"10-10-2024","378.90","376.00","383.25","376.00","6.15M","1.45%"
"09-10-2024","373.50","371.85","377.60","368.25","4.67M","0.95%"
"08-10-2024","370.00","360.00","371.90","358.30","7.02M","2.45%"
"07-10-2024","361.15","374.10","375.80","352.30","19.91M","-2.97%"
"04-10-2024","372.20","378.60","381.75","369.45","10.29M","-1.43%"
"03-10-2024","377.60","376.00","389.05","375.50","9.31M","-1.68%"
"01-10-2024","384.05","389.05","395.60","382.35","7.04M","-2.17%"
"30-09-2024","392.55","391.65","393.40","385.40","9.68M","0.04%"
"27-09-2024","392.40","392.55","395.65","389.25","8.26M","-0.34%"
"26-09-2024","393.75","390.55","395.35","387.40","10.84M","0.66%"
"25-09-2024","391.15","401.00","401.15","385.05","12.19M","-2.53%"
"24-09-2024","401.30","403.70","408.00","395.70","8.77M","-0.59%"
"23-09-2024","403.70","399.90","412.60","397.10","27.45M","3.98%"
"20-09-2024","388.25","393.00","397.40","378.75","46.49M","-0.40%"
"19-09-2024","389.80","423.00","430.90","366.35","83.88M","-8.98%"
"18-09-2024","428.25","428.00","430.70","421.55","3.23M","-0.51%"
"17-09-2024","430.45","427.20","433.60","426.50","2.42M","0.41%"
"16-09-2024","428.70","428.45","431.15","420.10","5.36M","0.06%"
"13-09-2024","428.45","435.60","438.65","427.25","6.92M","-1.15%"
"12-09-2024","433.45","430.90","437.10","429.00","5.91M","1.27%"
"11-09-2024","428.00","433.85","436.20","423.95","13.30M","0.61%"
"10-09-2024","425.40","423.75","429.90","422.40","5.09M","0.93%"
"09-09-2024","421.50","420.95","426.00","416.80","7.07M","-0.38%"
"06-09-2024","423.10","443.20","443.20","414.00","21.42M","-4.51%"
"05-09-2024","443.10","440.45","444.55","436.20","7.83M","2.00%"
"04-09-2024","434.40","434.95","441.30","431.35","6.15M","-1.59%"
"03-09-2024","441.40","439.75","444.30","438.85","5.98M","0.56%"
"02-09-2024","438.95","460.00","460.00","433.55","15.61M","-4.26%"
"30-08-2024","458.50","447.95","460.35","445.25","17.89M","2.68%"
"29-08-2024","446.55","442.10","450.35","438.85","15.66M","0.47%"
"28-08-2024","444.45","442.00","448.60","440.75","15.43M","1.48%"
"27-08-2024","437.95","434.70","439.80","431.20","6.39M","1.08%"
"26-08-2024","433.25","435.45","439.30","428.55","6.15M","-0.25%"
"23-08-2024","434.35","436.45","438.50","432.45","5.26M","-0.13%"
"22-08-2024","434.90","426.50","439.20","426.00","10.95M","2.35%"
"21-08-2024","424.90","429.50","431.45","423.50","6.93M","-0.79%"
"20-08-2024","428.30","421.00","430.35","419.60","9.34M","2.31%"
"19-08-2024","418.65","413.70","422.00","412.10","6.22M","1.66%"
"16-08-2024","411.80","406.45","413.20","405.45","4.00M","2.17%"
"14-08-2024","403.05","408.00","408.90","400.65","6.90M","-0.56%"
"13-08-2024","405.30","418.00","418.00","403.20","7.08M","-2.55%"
"12-08-2024","415.90","415.00","421.00","413.70","4.74M","0.23%"
"09-08-2024","414.95","416.00","422.35","414.40","6.01M","-0.49%"
"08-08-2024","417.00","424.00","426.05","416.35","14.01M","-1.02%"
"07-08-2024","421.30","420.05","422.50","414.50","12.57M","1.63%"
"06-08-2024","414.55","418.05","427.30","413.20","13.58M","0.22%"
"05-08-2024","413.65","417.90","425.40","407.00","14.60M","-1.77%"
"02-08-2024","421.10","422.50","427.50","420.10","7.69M","-1.78%"
"01-08-2024","428.75","435.90","436.60","424.30","10.70M","-1.02%"
"31-07-2024","433.15","448.00","449.70","430.35","23.22M","-3.06%"
"30-07-2024","446.80","444.50","453.30","443.60","10.18M","0.77%"
"29-07-2024","443.40","448.90","449.00","441.10","10.92M","-0.33%"
"26-07-2024","444.85","439.90","447.35","435.00","20.83M","4.71%"
"25-07-2024","424.85","417.50","429.70","415.55","13.23M","-0.31%"
"24-07-2024","426.15","439.15","439.70","418.75","71.80M","-1.93%"
"23-07-2024","434.55","424.00","439.40","403.80","34.82M","3.03%"
"22-07-2024","421.75","409.60","422.90","403.65","12.65M","2.99%"
"19-07-2024","409.50","421.15","424.70","404.80","18.45M","-2.26%"
"18-07-2024","418.95","407.50","423.20","407.50","41.31M","2.97%"
"16-07-2024","406.85","401.90","407.90","398.10","17.41M","2.60%"
"15-07-2024","396.55","392.05","398.05","388.00","7.40M","1.16%"
"12-07-2024","392.00","396.50","398.55","389.10","10.72M","-0.57%"
"11-07-2024","394.25","383.00","395.60","383.00","13.29M","2.96%"
"10-07-2024","382.90","386.70","388.45","373.55","16.11M","-0.55%"
"09-07-2024","385.00","385.00","387.45","376.35","12.57M","-0.19%"
"08-07-2024","385.75","396.00","398.85","384.20","17.39M","-2.50%"
"05-07-2024","395.65","401.00","403.45","392.30","13.75M","-2.08%"
"04-07-2024","404.05","398.40","408.40","389.65","27.98M","1.90%"
"03-07-2024","396.50","389.00","397.45","385.00","20.90M","3.31%"
"02-07-2024","383.80","391.60","396.50","379.80","27.61M","-1.50%"
"01-07-2024","389.65","377.00","391.00","372.75","32.58M","3.82%"
"28-06-2024","375.30","374.00","384.80","370.00","75.13M","2.78%"
"27-06-2024","365.15","363.00","369.20","351.30","70.24M","2.54%"
"26-06-2024","356.10","346.00","358.00","340.85","41.38M","3.46%"
"25-06-2024","344.20","342.95","344.95","341.00","20.21M","1.28%"
"24-06-2024","339.85","338.95","341.60","331.25","27.73M","1.01%"
"21-06-2024","336.45","337.75","339.45","330.10","38.94M","0.04%"
"20-06-2024","336.30","335.75","340.00","334.00","26.76M","0.69%"
"19-06-2024","334.00","329.10","341.95","311.40","832.16M","-3.06%"
"18-06-2024","344.55","335.30","347.55","331.65","17.71M","1.12%"
"14-06-2024","340.75","340.00","346.80","338.50","12.33M","0.37%"
"13-06-2024","339.50","344.10","346.60","337.00","7.98M","-0.77%"
"12-06-2024","342.15","349.40","349.40","340.95","9.46M","-1.67%"
"11-06-2024","347.95","350.10","353.35","342.00","6.96M","-0.06%"
"10-06-2024","348.15","347.15","352.50","344.45","5.45M","0.29%"
"07-06-2024","347.15","338.05","351.40","337.10","10.97M","2.30%"
"06-06-2024","339.35","335.00","344.95","334.50","8.22M","2.00%"
"05-06-2024","332.70","319.30","335.80","309.25","14.30M","8.04%"
"04-06-2024","307.95","363.00","363.00","292.00","28.90M","-15.40%"
"03-06-2024","364.00","360.50","369.90","341.70","29.69M","4.55%"
"31-05-2024","348.15","347.20","350.70","342.00","110.65M","1.28%"
"30-05-2024","343.75","340.80","346.40","338.70","10.31M","0.82%"
"29-05-2024","340.95","343.00","345.30","340.25","6.95M","-0.13%"
"28-05-2024","341.40","346.00","350.95","340.05","10.68M","-0.39%"
"27-05-2024","342.75","347.00","352.00","340.80","7.87M","-1.14%"
"24-05-2024","346.70","346.15","356.45","343.05","22.37M","0.84%"
"23-05-2024","343.80","341.65","347.65","340.15","6.69M","1.27%"
"22-05-2024","339.50","342.50","345.25","336.75","8.14M","0.13%"
"21-05-2024","339.05","347.00","347.55","338.15","7.53M","-1.71%"
"18-05-2024","344.95","345.00","347.60","343.00","293.53K","0.15%"
"17-05-2024","344.45","343.40","349.00","342.50","8.27M","1.01%"
"16-05-2024","341.00","342.70","343.80","337.55","6.69M","-0.23%"
"15-05-2024","341.80","342.45","347.90","340.00","9.69M","0.68%"
"14-05-2024","339.50","330.25","342.00","328.05","8.91M","3.41%"
"13-05-2024","328.30","329.00","332.25","321.25","6.02M","-0.68%"
"10-05-2024","330.55","324.85","332.75","322.65","6.44M","0.82%"
"09-05-2024","327.85","338.30","341.35","325.85","6.66M","-2.80%"
"08-05-2024","337.30","336.00","342.15","333.75","9.76M","-0.27%"
"07-05-2024","338.20","347.00","348.80","335.50","12.77M","-3.69%"
"06-05-2024","351.15","353.80","356.00","345.45","7.70M","0.06%"
"03-05-2024","350.95","353.50","358.35","347.65","14.06M","-0.57%"
"02-05-2024","352.95","359.00","363.60","348.45","19.14M","-0.52%"
"30-04-2024","354.80","353.00","360.50","352.55","15.38M","0.80%"
"29-04-2024","352.00","352.00","354.90","343.85","14.12M","-0.37%"
"26-04-2024","353.30","352.00","355.45","348.60","11.23M","0.47%"
"25-04-2024","351.65","349.00","356.80","345.20","15.37M","0.95%"
"24-04-2024","348.35","363.20","364.00","346.85","20.86M","-3.10%"
"23-04-2024","359.50","359.85","366.55","356.85","27.66M","2.77%"
"22-04-2024","349.80","352.00","355.25","341.65","18.83M","-0.46%"
