"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","225.09","219.85","225.66","218.15","4.69M","2.84%"
"05-11-2024","218.87","215.00","219.70","213.19","3.49M","1.31%"
"04-11-2024","216.04","221.46","221.95","214.05","4.01M","-3.10%"
"01-11-2024","222.96","224.26","226.50","220.10","1.54M","-0.38%"
"31-10-2024","223.80","219.05","224.95","217.00","4.84M","2.23%"
"30-10-2024","218.92","212.70","222.00","210.71","5.92M","3.26%"
"29-10-2024","212.01","214.00","214.39","207.06","6.24M","-0.45%"
"28-10-2024","212.96","213.00","217.00","203.21","21.64M","4.94%"
"25-10-2024","202.94","210.15","211.46","197.27","7.42M","-3.00%"
"24-10-2024","209.21","208.00","211.00","202.97","4.73M","0.54%"
"23-10-2024","208.08","202.50","210.90","197.36","7.42M","1.08%"
"22-10-2024","205.85","216.50","216.50","204.00","6.26M","-5.16%"
"21-10-2024","217.04","224.41","228.79","216.12","5.85M","-2.40%"
"18-10-2024","222.37","214.90","228.01","208.50","22.76M","3.07%"
"17-10-2024","215.74","220.63","220.80","213.55","5.22M","-1.79%"
"16-10-2024","219.68","224.10","230.90","218.10","11.13M","-1.89%"
"15-10-2024","223.92","216.08","224.80","214.47","9.63M","4.22%"
"14-10-2024","214.86","218.61","229.00","212.50","15.36M","-1.72%"
"11-10-2024","218.61","219.14","220.44","216.52","3.03M","-0.26%"
"10-10-2024","219.18","224.98","227.10","218.00","4.55M","-1.84%"
"09-10-2024","223.29","216.45","229.45","216.45","12.07M","4.04%"
"08-10-2024","214.62","205.00","216.10","204.00","14.70M","3.11%"
"07-10-2024","208.14","223.39","225.25","206.26","11.33M","-6.35%"
"04-10-2024","222.25","229.96","230.75","218.15","7.54M","-3.35%"
"03-10-2024","229.96","230.00","237.50","228.90","5.13M","-3.89%"
"01-10-2024","239.27","238.45","241.78","235.01","4.24M","0.75%"
"30-09-2024","237.48","238.18","246.50","233.10","10.32M","-0.29%"
"27-09-2024","238.18","244.70","246.80","233.61","5.48M","-2.87%"
"26-09-2024","245.23","246.00","247.90","241.70","3.81M","-0.48%"
"25-09-2024","246.42","251.60","253.89","245.00","4.24M","-2.21%"
"24-09-2024","251.99","254.00","255.57","245.51","9.82M","-0.67%"
"23-09-2024","253.69","260.00","261.90","251.85","9.83M","-0.26%"
"20-09-2024","254.34","242.75","260.00","239.15","30.08M","5.30%"
"19-09-2024","241.53","250.04","251.00","230.49","15.03M","-2.86%"
"18-09-2024","248.65","249.00","258.40","241.95","20.14M","1.64%"
"17-09-2024","244.64","241.00","246.00","238.25","8.14M","1.78%"
"16-09-2024","240.36","252.15","254.25","238.15","9.41M","-4.24%"
"13-09-2024","250.99","249.00","253.17","240.45","13.08M","1.73%"
"12-09-2024","246.73","241.00","251.39","240.90","15.94M","3.44%"
"11-09-2024","238.53","243.00","250.50","237.00","15.55M","-1.24%"
"10-09-2024","241.52","236.01","246.00","236.01","23.56M","3.19%"
"09-09-2024","234.06","224.30","236.00","214.75","17.18M","3.62%"
"06-09-2024","225.88","223.50","230.00","220.16","15.58M","1.53%"
"05-09-2024","222.47","221.50","224.45","219.01","5.03M","0.71%"
"04-09-2024","220.91","219.90","222.52","217.01","6.65M","-0.90%"
"03-09-2024","222.92","221.30","227.25","219.13","6.65M","1.04%"
"02-09-2024","220.63","222.00","223.71","215.01","5.53M","-0.22%"
"30-08-2024","221.11","220.95","223.40","212.35","8.51M","0.53%"
"29-08-2024","219.94","224.81","225.60","217.70","5.93M","-2.81%"
"28-08-2024","226.31","229.65","237.00","220.00","17.30M","-0.77%"
"27-08-2024","228.07","228.10","231.25","224.55","10.89M","0.96%"
"26-08-2024","225.91","219.65","227.83","216.27","9.98M","3.31%"
"23-08-2024","218.68","224.90","224.95","217.44","5.22M","-2.06%"
"22-08-2024","223.29","216.00","232.00","214.05","17.48M","3.69%"
"21-08-2024","215.34","219.90","220.20","214.11","5.10M","-1.83%"
"20-08-2024","219.36","213.60","222.00","208.50","11.93M","2.80%"
