"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","55.11","54.40","55.33","53.91","5.20M","1.87%"
"05-11-2024","54.10","52.50","54.49","52.48","6.78M","1.73%"
"04-11-2024","53.18","54.95","54.95","52.86","4.95M","-3.22%"
"01-11-2024","54.95","54.70","55.40","54.51","1.71M","0.90%"
"31-10-2024","54.46","53.81","55.39","53.50","7.53M","0.52%"
"30-10-2024","54.18","52.57","54.57","52.05","9.09M","2.85%"
"29-10-2024","52.68","51.25","52.99","50.78","7.38M","3.13%"
"28-10-2024","51.08","50.30","51.69","49.72","7.38M","1.71%"
"25-10-2024","50.22","51.65","51.65","49.35","7.30M","-2.79%"
"24-10-2024","51.66","52.60","53.55","51.45","6.61M","-1.71%"
"23-10-2024","52.56","50.33","52.95","48.44","12.85M","4.58%"
"22-10-2024","50.26","53.39","53.45","49.72","8.32M","-5.86%"
"21-10-2024","53.39","55.63","55.85","53.10","5.66M","-3.85%"
"18-10-2024","55.53","56.00","56.88","54.75","9.97M","-0.79%"
"17-10-2024","55.97","54.82","56.49","53.80","13.25M","2.49%"
"16-10-2024","54.61","54.16","55.25","54.03","3.18M","0.83%"
"15-10-2024","54.16","54.32","54.39","53.73","2.89M","0.13%"
"14-10-2024","54.09","54.31","55.11","54.00","3.06M","-0.37%"
"11-10-2024","54.29","54.30","54.68","53.90","2.43M","-0.31%"
"10-10-2024","54.46","55.30","55.46","54.15","3.41M","-0.80%"
"09-10-2024","54.90","55.55","55.60","54.68","4.93M","0.35%"
"08-10-2024","54.71","52.69","55.20","52.18","7.40M","4.07%"
"07-10-2024","52.57","55.91","56.34","52.11","9.75M","-5.52%"
"04-10-2024","55.64","56.17","56.85","54.61","7.36M","-0.94%"
"03-10-2024","56.17","56.86","57.19","55.89","5.14M","-2.36%"
"01-10-2024","57.53","57.75","58.08","57.40","4.09M","-0.35%"
"30-09-2024","57.73","58.00","58.15","57.57","4.97M","-1.08%"
"27-09-2024","58.36","58.70","59.58","58.01","12.75M","-0.53%"
"26-09-2024","58.67","58.83","59.35","57.90","6.13M","0.12%"
"25-09-2024","58.60","60.00","60.03","58.32","5.52M","-2.06%"
"24-09-2024","59.83","61.50","61.50","59.55","8.21M","-2.00%"
"23-09-2024","61.05","58.60","61.80","58.20","20.39M","4.47%"
"20-09-2024","58.44","58.90","58.90","57.24","7.41M","1.74%"
"19-09-2024","57.44","59.35","59.60","57.05","5.07M","-2.45%"
"18-09-2024","58.88","58.25","59.65","57.70","6.58M","1.15%"
"17-09-2024","58.21","59.45","59.50","58.05","4.37M","-2.09%"
"16-09-2024","59.45","59.75","60.54","59.14","6.41M","-0.02%"
"13-09-2024","59.46","57.80","60.80","57.50","14.16M","3.30%"
"12-09-2024","57.56","57.64","58.09","57.04","5.02M","0.24%"
"11-09-2024","57.42","58.40","58.60","57.00","4.31M","-1.51%"
"10-09-2024","58.30","57.45","58.73","57.42","3.52M","1.82%"
"09-09-2024","57.26","58.05","58.14","56.63","6.62M","-1.36%"
"06-09-2024","58.05","59.69","59.96","58.00","7.80M","-2.76%"
"05-09-2024","59.70","59.99","60.30","59.60","3.16M","-0.05%"
"04-09-2024","59.73","59.69","60.34","59.40","3.89M","-1.22%"
"03-09-2024","60.47","60.60","60.98","60.37","3.21M","-0.21%"
"02-09-2024","60.60","60.89","61.10","59.95","6.01M","-0.28%"
"30-08-2024","60.77","61.10","61.50","60.45","3.73M","-0.12%"
"29-08-2024","60.84","60.73","61.24","60.32","4.30M","0.16%"
"28-08-2024","60.74","61.43","62.13","60.50","5.86M","-1.03%"
"27-08-2024","61.37","61.25","61.86","61.11","3.97M","0.15%"
"26-08-2024","61.28","62.10","62.39","61.05","5.24M","-1.30%"
"23-08-2024","62.09","62.30","62.52","61.81","4.07M","-0.35%"
"22-08-2024","62.31","62.50","63.64","62.10","10.24M","0.16%"
"21-08-2024","62.21","62.50","62.65","61.87","5.86M","0.14%"
"20-08-2024","62.12","62.00","62.35","61.56","6.63M","0.34%"
"19-08-2024","61.91","61.20","62.45","61.10","7.74M","1.68%"
"16-08-2024","60.89","60.30","61.35","60.15","5.75M","1.98%"
"14-08-2024","59.71","60.35","60.70","59.21","6.76M","-1.08%"
"13-08-2024","60.36","61.20","61.63","60.11","5.97M","-0.87%"
"12-08-2024","60.89","61.00","61.48","60.50","8.15M","-1.36%"
"09-08-2024","61.73","62.24","62.75","61.56","9.87M","0.13%"
"08-08-2024","61.65","62.14","62.95","61.36","10.27M","-0.42%"
"07-08-2024","61.91","62.00","62.40","60.22","13.70M","2.96%"
"06-08-2024","60.13","62.09","63.48","59.77","13.45M","-1.60%"
"05-08-2024","61.11","63.00","63.90","60.66","21.82M","-6.34%"
"02-08-2024","65.25","65.39","66.87","64.55","15.67M","-2.09%"
"01-08-2024","66.64","66.90","68.46","66.00","17.11M","-0.09%"
"31-07-2024","66.70","67.75","67.98","66.13","10.18M","-1.23%"
"30-07-2024","67.53","68.50","68.88","67.21","13.62M","-1.13%"
"29-07-2024","68.30","68.91","72.60","68.02","51.83M","1.44%"
"26-07-2024","67.33","65.90","69.28","65.84","37.69M","2.53%"
"25-07-2024","65.67","64.99","66.90","64.71","14.55M","-0.05%"
"24-07-2024","65.70","63.76","67.50","63.55","25.98M","3.19%"
"23-07-2024","63.67","65.50","65.75","61.00","20.14M","-1.76%"
"22-07-2024","64.81","64.10","66.55","63.80","26.59M","0.51%"
"19-07-2024","64.48","67.90","68.58","64.01","26.18M","-4.45%"
"18-07-2024","67.48","67.30","71.63","65.61","61.37M","0.28%"
"16-07-2024","67.29","68.75","70.95","67.01","26.93M","-1.65%"
"15-07-2024","68.42","64.10","69.45","63.57","83.17M","7.46%"
"12-07-2024","63.67","64.00","65.10","63.00","8.21M","0.02%"
"11-07-2024","63.66","65.00","65.44","63.50","8.91M","-1.55%"
"10-07-2024","64.66","64.80","65.47","62.92","13.20M","0.19%"
"09-07-2024","64.54","62.27","67.90","62.10","53.12M","4.05%"
"08-07-2024","62.03","63.30","63.30","62.00","7.48M","-1.52%"
"05-07-2024","62.99","62.21","63.65","62.21","8.98M","-0.21%"
"04-07-2024","63.12","63.78","64.00","63.00","6.05M","-0.52%"
"03-07-2024","63.45","63.53","64.20","63.30","5.22M","0.38%"
"02-07-2024","63.21","63.84","64.20","62.82","6.17M","-0.74%"
"01-07-2024","63.68","64.60","64.77","63.52","8.76M","-0.93%"
"28-06-2024","64.28","64.09","66.34","64.08","10.11M","0.45%"
"27-06-2024","63.99","64.18","64.58","63.06","7.63M","-0.30%"
"26-06-2024","64.18","64.35","65.20","64.00","7.55M","-0.16%"
"25-06-2024","64.28","66.00","66.34","64.10","12.68M","-2.40%"
"24-06-2024","65.86","65.99","66.68","65.25","7.59M","-0.41%"
"21-06-2024","66.13","67.00","67.30","65.70","10.17M","-1.21%"
"20-06-2024","66.94","66.55","68.68","66.22","17.97M","1.16%"
"19-06-2024","66.17","66.96","67.70","64.50","19.22M","-0.75%"
"18-06-2024","66.67","67.60","68.08","66.45","9.55M","-0.80%"
"14-06-2024","67.21","67.70","68.18","67.05","9.55M","-0.31%"
"13-06-2024","67.42","68.46","68.99","67.00","11.43M","-0.65%"
"12-06-2024","67.86","66.75","69.41","66.55","24.80M","2.00%"
"11-06-2024","66.53","67.23","67.30","65.91","11.48M","-0.48%"
"10-06-2024","66.85","67.85","68.10","66.35","13.21M","-0.67%"
"07-06-2024","67.30","66.90","67.80","65.75","14.90M","0.98%"
"06-06-2024","66.65","65.65","68.00","65.20","24.73M","3.98%"
"05-06-2024","64.10","62.10","64.90","59.15","26.80M","3.22%"
"04-06-2024","62.10","72.00","72.00","58.60","61.80M","-15.16%"
"03-06-2024","73.20","73.70","74.90","70.35","60.18M","6.24%"
"31-05-2024","68.90","68.10","69.80","66.20","30.51M","2.00%"
"30-05-2024","67.55","69.95","70.60","67.15","28.16M","-3.43%"
"29-05-2024","69.95","70.45","71.50","69.50","30.78M","-0.92%"
"28-05-2024","70.60","75.10","75.55","69.35","59.55M","-5.23%"
"27-05-2024","74.50","67.65","75.35","67.20","125.03M","10.86%"
"24-05-2024","67.20","68.25","69.20","67.00","17.41M","-1.54%"
"23-05-2024","68.25","67.30","69.70","67.30","27.34M","2.09%"
"22-05-2024","66.85","67.50","68.75","66.00","15.97M","-0.37%"
"21-05-2024","67.10","64.90","68.25","64.10","27.75M","3.71%"
"18-05-2024","64.70","62.40","65.05","62.15","4.56M","4.27%"
"17-05-2024","62.05","61.75","62.40","61.30","6.76M","0.73%"
"16-05-2024","61.60","62.10","62.50","61.25","7.79M","-0.48%"
"15-05-2024","61.90","61.85","63.40","61.60","7.66M","0.08%"
"14-05-2024","61.85","60.90","62.00","60.70","7.97M","2.15%"
"13-05-2024","60.55","62.00","62.10","59.10","11.60M","-2.34%"
"10-05-2024","62.00","61.90","62.60","59.75","15.76M","1.39%"
"09-05-2024","61.15","63.70","64.20","60.65","19.83M","-3.55%"
"08-05-2024","63.40","62.40","64.35","62.00","10.83M","1.60%"
"07-05-2024","62.40","64.75","65.40","61.65","14.34M","-3.63%"
"06-05-2024","64.75","66.50","66.60","63.70","13.03M","-2.26%"
"03-05-2024","66.25","67.45","67.70","65.60","11.48M","-1.19%"
"02-05-2024","67.05","68.50","68.50","66.80","12.87M","-1.54%"
"30-04-2024","68.10","69.10","69.70","67.65","23.11M","-0.87%"
"29-04-2024","68.70","67.25","69.10","66.50","27.99M","2.92%"
"26-04-2024","66.75","67.20","68.40","66.35","30.00M","-0.22%"
"25-04-2024","66.90","63.40","67.45","62.85","41.30M","5.77%"
"24-04-2024","63.25","63.50","64.20","63.10","6.74M","-0.16%"
"23-04-2024","63.35","64.00","64.50","63.15","11.00M","-0.39%"
"22-04-2024","63.60","61.90","64.10","61.55","13.88M","3.84%"
"19-04-2024","61.25","61.00","62.00","59.55","12.67M","-0.41%"
"18-04-2024","61.50","62.20","63.95","61.15","13.79M","-0.81%"
"16-04-2024","62.00","61.70","63.30","61.00","10.73M","0.40%"
"15-04-2024","61.75","61.00","63.00","60.00","16.21M","-3.74%"
"12-04-2024","64.15","65.25","65.75","63.75","8.77M","-2.36%"
"10-04-2024","65.70","65.35","66.45","64.40","10.49M","0.54%"
"09-04-2024","65.35","65.25","66.15","64.30","10.72M","0.31%"
"08-04-2024","65.15","66.80","66.85","65.00","9.17M","-2.03%"
"05-04-2024","66.50","65.95","67.65","65.20","20.75M","0.99%"
"04-04-2024","65.85","67.35","67.70","64.90","19.13M","-1.42%"
"03-04-2024","66.80","64.50","67.10","63.80","28.03M","3.41%"
"02-04-2024","64.60","64.95","65.50","63.30","22.00M","-0.23%"
"01-04-2024","64.75","60.50","65.00","60.30","26.86M","8.01%"
"28-03-2024","59.95","57.30","62.00","57.20","30.82M","5.36%"
"27-03-2024","56.90","58.80","59.20","56.55","12.60M","-2.57%"
"26-03-2024","58.40","59.50","60.20","58.30","9.39M","-1.93%"
"22-03-2024","59.55","58.45","60.75","58.05","11.84M","1.79%"
"21-03-2024","58.50","58.95","59.65","58.05","10.88M","2.18%"
"20-03-2024","57.25","59.60","59.60","56.75","11.19M","-0.87%"
"19-03-2024","57.75","59.70","60.70","57.50","11.93M","-2.12%"
"18-03-2024","59.00","60.10","61.00","58.65","8.41M","-1.83%"
"15-03-2024","60.10","61.00","62.85","58.45","14.18M","-1.56%"
"14-03-2024","61.05","56.50","62.05","55.05","20.00M","7.96%"
"13-03-2024","56.55","61.75","62.95","56.00","22.19M","-8.42%"
"12-03-2024","61.75","63.95","63.95","61.20","11.40M","-3.14%"
"11-03-2024","63.75","66.05","66.20","63.50","12.39M","-3.48%"
"07-03-2024","66.05","66.15","67.65","65.70","12.61M","0.53%"
"06-03-2024","65.70","69.25","70.30","65.30","32.02M","-5.13%"
"05-03-2024","69.25","63.60","69.45","62.55","52.43M","9.66%"
"04-03-2024","63.15","64.85","65.05","63.00","7.82M","-1.94%"
"02-03-2024","64.40","64.70","64.90","63.95","1.33M","-0.31%"
"01-03-2024","64.60","65.00","65.75","64.10","12.31M","-0.08%"
"29-02-2024","64.65","63.00","65.15","62.20","16.60M","2.29%"
"28-02-2024","63.20","64.50","65.60","62.05","13.36M","-2.02%"
"27-02-2024","64.50","66.25","66.70","63.80","13.57M","-2.71%"
"26-02-2024","66.30","67.50","67.50","66.10","10.07M","-1.78%"
"23-02-2024","67.50","69.30","69.80","67.05","15.73M","-2.53%"
"22-02-2024","69.25","68.60","69.65","65.95","21.35M","1.02%"
"21-02-2024","68.55","69.75","71.20","68.00","26.16M","-1.44%"
"20-02-2024","69.55","70.65","70.65","69.00","18.60M","-1.07%"
"19-02-2024","70.30","68.60","72.45","67.55","33.31M","2.93%"
"16-02-2024","68.30","70.00","70.85","68.05","30.80M","-1.23%"
"15-02-2024","69.15","67.35","69.60","65.55","55.53M","3.21%"
"14-02-2024","67.00","64.00","67.50","63.05","37.30M","3.08%"
"13-02-2024","65.00","63.15","66.80","60.50","56.54M","1.48%"
"12-02-2024","64.05","71.50","71.60","64.00","46.34M","-9.92%"
