"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,583.60","1,599.80","1,605.00","1,573.75","260.68K","-0.83%"
"05-11-2024","1,596.80","1,585.35","1,601.45","1,567.10","149.25K","0.72%"
"04-11-2024","1,585.35","1,610.20","1,610.20","1,572.00","327.46K","-1.35%"
"01-11-2024","1,607.10","1,600.00","1,618.05","1,598.00","39.33K","1.15%"
"31-10-2024","1,588.80","1,562.00","1,596.00","1,556.05","542.10K","1.70%"
"30-10-2024","1,562.20","1,584.00","1,584.90","1,557.25","154.02K","-1.44%"
"29-10-2024","1,585.10","1,598.10","1,605.50","1,544.90","155.04K","-0.52%"
"28-10-2024","1,593.45","1,585.70","1,607.95","1,569.75","195.92K","0.67%"
"25-10-2024","1,582.85","1,588.50","1,596.90","1,561.10","197.76K","0.12%"
"24-10-2024","1,580.95","1,558.35","1,585.90","1,543.75","168.17K","0.97%"
"23-10-2024","1,565.80","1,565.10","1,602.15","1,562.15","239.15K","-1.42%"
"22-10-2024","1,588.40","1,615.00","1,638.00","1,585.85","284.36K","-1.61%"
"21-10-2024","1,614.35","1,646.00","1,667.15","1,604.60","644.12K","-2.15%"
"18-10-2024","1,649.85","1,630.05","1,673.55","1,630.05","406.43K","0.15%"
"17-10-2024","1,647.30","1,646.55","1,662.35","1,628.85","463.81K","-0.50%"
"16-10-2024","1,655.65","1,692.00","1,702.40","1,638.55","776.70K","-2.79%"
"15-10-2024","1,703.25","1,697.70","1,708.65","1,676.40","391.24K","1.25%"
"14-10-2024","1,682.20","1,660.15","1,707.70","1,660.15","933.36K","1.64%"
"11-10-2024","1,655.05","1,604.80","1,659.10","1,596.50","1.85M","4.09%"
"10-10-2024","1,590.05","1,618.00","1,625.95","1,583.60","720.25K","-1.37%"
"09-10-2024","1,612.20","1,545.00","1,618.00","1,540.00","753.31K","4.84%"
"08-10-2024","1,537.75","1,470.30","1,544.00","1,470.30","571.91K","3.45%"
"07-10-2024","1,486.45","1,504.80","1,504.80","1,464.10","283.71K","-0.33%"
"04-10-2024","1,491.40","1,475.00","1,512.00","1,453.10","360.13K","1.40%"
"03-10-2024","1,470.85","1,462.00","1,490.95","1,459.45","213.15K","-1.38%"
"01-10-2024","1,491.40","1,498.05","1,504.80","1,473.05","128.84K","-0.45%"
"30-09-2024","1,498.10","1,455.00","1,505.00","1,455.00","321.48K","1.35%"
"27-09-2024","1,478.10","1,480.00","1,488.40","1,465.85","304.76K","-0.06%"
"26-09-2024","1,479.05","1,504.85","1,507.35","1,462.45","267.43K","-1.29%"
"25-09-2024","1,498.45","1,482.00","1,519.85","1,480.35","540.87K","1.25%"
"24-09-2024","1,480.00","1,471.10","1,509.00","1,446.00","1.46M","1.61%"
"23-09-2024","1,456.55","1,435.00","1,461.60","1,431.95","154.45K","1.53%"
"20-09-2024","1,434.65","1,445.00","1,459.00","1,427.70","446.17K","-1.35%"
"19-09-2024","1,454.35","1,449.95","1,470.35","1,428.45","597.20K","0.53%"
