"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","52.99","51.85","53.14","51.62","13.27M","2.73%"
"05-11-2024","51.58","51.38","51.91","50.91","11.42M","0.39%"
"04-11-2024","51.38","53.49","53.49","50.88","15.08M","-3.94%"
"01-11-2024","53.49","53.20","53.59","52.90","5.56M","3.16%"
"31-10-2024","51.85","53.35","53.80","51.27","33.86M","-4.03%"
"30-10-2024","54.03","52.03","54.65","51.76","27.07M","4.06%"
"29-10-2024","51.92","51.99","52.65","51.10","15.47M","0.27%"
"28-10-2024","51.78","51.69","52.55","50.43","16.83M","1.95%"
"25-10-2024","50.79","52.90","53.05","50.06","18.41M","-3.37%"
"24-10-2024","52.56","53.34","53.63","52.20","14.07M","-0.79%"
"23-10-2024","52.98","52.73","53.95","51.36","19.30M","0.47%"
"22-10-2024","52.73","56.15","56.23","52.21","19.38M","-6.19%"
"21-10-2024","56.21","57.50","57.75","55.91","11.71M","-1.85%"
"18-10-2024","57.27","58.00","58.05","56.21","15.95M","-1.41%"
"17-10-2024","58.09","60.00","60.15","57.90","7.81M","-3.05%"
"16-10-2024","59.92","58.42","60.50","58.41","10.57M","1.65%"
"15-10-2024","58.95","58.63","59.37","58.41","7.80M","0.55%"
"14-10-2024","58.63","59.60","59.60","58.05","10.18M","-1.38%"
"11-10-2024","59.45","59.00","59.70","58.30","7.68M","1.36%"
"10-10-2024","58.65","60.50","60.55","58.25","12.34M","-2.38%"
"09-10-2024","60.08","60.60","60.89","59.70","15.96M","1.99%"
"08-10-2024","58.91","55.96","59.39","55.06","18.40M","5.27%"
"07-10-2024","55.96","59.80","60.20","55.68","24.61M","-6.25%"
"04-10-2024","59.69","60.00","60.59","58.52","15.58M","-0.57%"
"03-10-2024","60.03","60.00","60.73","59.80","9.93M","-2.10%"
"01-10-2024","61.32","61.30","61.82","60.88","11.36M","0.43%"
"30-09-2024","61.06","62.15","62.88","60.70","23.10M","-2.94%"
"27-09-2024","62.91","61.16","63.46","61.02","22.43M","2.44%"
"26-09-2024","61.41","61.60","61.75","60.60","10.35M","-0.20%"
"25-09-2024","61.53","62.14","62.65","61.22","8.34M","-1.14%"
"24-09-2024","62.24","63.15","63.35","61.93","10.67M","-1.44%"
"23-09-2024","63.15","64.12","64.30","62.60","18.66M","0.11%"
"20-09-2024","63.08","59.40","65.50","59.01","130.36M","6.90%"
"19-09-2024","59.01","61.00","61.10","58.00","30.39M","-2.85%"
"18-09-2024","60.74","60.45","61.19","60.20","17.04M","0.38%"
"17-09-2024","60.51","60.48","60.91","59.85","23.20M","0.46%"
"16-09-2024","60.23","61.75","61.75","60.10","15.81M","-1.97%"
"13-09-2024","61.44","60.35","61.87","60.25","19.61M","2.31%"
"12-09-2024","60.05","60.20","61.33","59.12","28.41M","0.33%"
"11-09-2024","59.85","62.43","63.04","59.55","30.11M","-4.13%"
"10-09-2024","62.43","63.00","63.63","62.11","17.78M","0.89%"
"09-09-2024","61.88","61.86","62.00","60.35","15.15M","-0.05%"
"06-09-2024","61.91","62.00","63.06","61.25","18.03M","0.05%"
"05-09-2024","61.88","63.45","64.17","61.59","34.45M","-2.10%"
"04-09-2024","63.21","63.00","64.22","62.81","14.44M","-0.69%"
"03-09-2024","63.65","63.02","64.12","62.91","10.02M","1.00%"
"02-09-2024","63.02","63.50","64.10","62.80","14.67M","-0.52%"
"30-08-2024","63.35","64.49","64.80","63.20","34.39M","-1.28%"
"29-08-2024","64.17","66.30","66.37","64.00","16.55M","-3.23%"
"28-08-2024","66.31","65.70","66.90","65.70","19.91M","0.81%"
"27-08-2024","65.78","65.69","66.26","65.47","13.30M","-0.05%"
"26-08-2024","65.81","65.39","66.25","64.93","23.04M","1.70%"
"23-08-2024","64.71","65.45","65.57","64.50","11.69M","-0.96%"
