"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","218.89","215.00","219.86","213.60","4.44M","3.18%"
"05-11-2024","212.15","209.83","212.74","206.05","4.28M","1.06%"
"04-11-2024","209.93","220.80","220.87","209.21","4.51M","-4.66%"
"01-11-2024","220.18","219.00","221.00","219.00","1.12M","1.17%"
"31-10-2024","217.64","213.16","219.85","210.70","6.62M","2.10%"
"30-10-2024","213.16","203.95","217.35","202.31","10.51M","4.87%"
"29-10-2024","203.27","202.00","205.20","198.61","3.74M","1.12%"
"28-10-2024","201.01","194.16","203.71","192.80","5.88M","4.07%"
"25-10-2024","193.14","203.00","203.50","191.83","5.78M","-4.54%"
"24-10-2024","202.33","202.50","204.70","199.08","4.03M","0.42%"
"23-10-2024","201.49","200.90","206.35","192.05","6.74M","0.65%"
"22-10-2024","200.18","212.90","212.96","199.20","7.99M","-6.41%"
"21-10-2024","213.89","223.10","223.89","211.60","2.70M","-3.54%"
"18-10-2024","221.74","223.73","223.73","216.20","3.50M","-0.90%"
"17-10-2024","223.75","225.43","231.50","222.35","9.15M","0.11%"
"16-10-2024","223.51","222.00","226.50","221.24","3.56M","0.65%"
"15-10-2024","222.07","223.50","224.70","221.00","2.48M","-0.12%"
"14-10-2024","222.34","226.80","228.20","221.61","3.29M","-1.72%"
"11-10-2024","226.22","220.50","229.40","218.60","6.64M","2.57%"
"10-10-2024","220.56","223.20","223.97","219.50","2.33M","-0.96%"
"09-10-2024","222.69","221.00","226.27","220.60","4.54M","1.95%"
"08-10-2024","218.44","204.50","220.67","202.89","7.77M","5.74%"
"07-10-2024","206.58","217.36","219.99","203.50","7.18M","-4.96%"
"04-10-2024","217.36","219.65","220.80","212.66","4.39M","-0.59%"
"03-10-2024","218.65","219.97","222.72","218.00","4.00M","-2.89%"
"01-10-2024","225.16","228.55","228.80","224.81","2.40M","-1.22%"
"30-09-2024","227.95","226.95","229.10","223.60","3.93M","0.26%"
"27-09-2024","227.35","225.00","230.40","225.00","3.73M","1.13%"
"26-09-2024","224.80","227.00","229.30","222.00","4.63M","-0.64%"
"25-09-2024","226.25","227.50","231.00","224.20","3.49M","-0.51%"
"24-09-2024","227.40","230.10","233.40","226.40","5.65M","-1.58%"
"23-09-2024","231.05","234.15","234.45","229.20","3.85M","-0.67%"
"20-09-2024","232.60","224.90","240.60","222.30","15.43M","4.00%"
"19-09-2024","223.65","228.25","230.80","218.15","7.20M","-1.48%"
"18-09-2024","227.00","232.00","235.95","225.40","5.22M","-2.05%"
"17-09-2024","231.75","240.50","240.60","231.00","4.65M","-3.42%"
"16-09-2024","239.95","245.35","245.35","239.40","2.71M","-2.04%"
"13-09-2024","244.95","240.45","249.35","239.05","5.84M","2.19%"
"12-09-2024","239.70","239.30","240.90","234.60","4.40M","0.67%"
"11-09-2024","238.10","245.35","245.55","237.00","2.82M","-2.54%"
"10-09-2024","244.30","241.40","245.25","241.10","2.44M","1.58%"
"09-09-2024","240.50","245.00","245.00","237.80","5.54M","-2.30%"
"06-09-2024","246.15","252.35","253.45","243.30","5.71M","-2.51%"
"05-09-2024","252.50","256.85","257.40","252.00","3.01M","-1.48%"
"04-09-2024","256.30","253.30","262.00","252.00","4.20M","0.12%"
"03-09-2024","256.00","257.00","259.75","254.15","4.48M","-0.33%"
"02-09-2024","256.85","262.00","263.20","255.50","4.50M","-1.63%"
"30-08-2024","261.10","264.05","265.80","260.00","4.77M","-0.72%"
"29-08-2024","263.00","265.40","266.70","262.00","3.08M","-0.55%"
"28-08-2024","264.45","263.50","266.45","263.15","3.34M","0.42%"
"27-08-2024","263.35","264.60","267.85","262.05","3.75M","-0.47%"
"26-08-2024","264.60","267.00","267.35","263.50","3.40M","-0.38%"
"23-08-2024","265.60","266.30","273.20","264.60","8.13M","0.04%"
"22-08-2024","265.50","266.30","268.00","265.00","2.87M","0.30%"
"21-08-2024","264.70","265.80","268.95","263.35","3.77M","-0.49%"
"20-08-2024","266.00","270.90","270.90","265.60","3.22M","-1.41%"
"19-08-2024","269.80","269.90","273.80","268.50","4.44M","1.12%"
"16-08-2024","266.80","265.80","270.25","264.75","4.70M","1.81%"
"14-08-2024","262.05","268.20","269.15","259.65","5.37M","-2.29%"
"13-08-2024","268.20","273.90","277.00","265.55","7.74M","-1.43%"
"12-08-2024","272.10","264.55","276.60","259.15","19.23M","2.83%"
"09-08-2024","264.60","271.95","274.90","263.55","9.27M","-1.98%"
"08-08-2024","269.95","275.00","283.50","268.20","14.67M","-1.64%"
"07-08-2024","274.45","270.30","276.40","261.55","10.56M","5.13%"
"06-08-2024","261.05","270.35","278.85","259.45","10.15M","-2.41%"
"05-08-2024","267.50","271.00","278.85","265.75","14.49M","-6.47%"
"02-08-2024","286.00","279.25","286.90","278.25","7.32M","-0.40%"
"01-08-2024","287.15","290.00","291.00","283.30","5.84M","-0.55%"
"31-07-2024","288.75","295.45","296.50","288.05","7.12M","-2.17%"
"30-07-2024","295.15","300.60","301.60","292.00","12.19M","-1.32%"
"29-07-2024","299.10","277.40","302.40","277.20","31.43M","8.92%"
"26-07-2024","274.60","282.40","285.50","273.00","15.49M","-2.17%"
"25-07-2024","280.70","290.00","290.85","280.00","13.36M","-4.00%"
"24-07-2024","292.40","294.75","304.95","291.00","17.45M","-0.29%"
"23-07-2024","293.25","321.85","327.95","262.00","49.27M","-8.06%"
"22-07-2024","318.95","316.10","322.80","308.55","14.90M","0.90%"
"19-07-2024","316.10","309.00","329.50","304.65","35.55M","1.05%"
"18-07-2024","312.80","322.50","323.20","307.90","16.20M","-3.40%"
"16-07-2024","323.80","336.30","336.30","322.00","17.70M","-3.47%"
"15-07-2024","335.45","340.20","351.60","333.00","24.12M","-0.40%"
"12-07-2024","336.80","321.50","349.45","319.00","87.66M","5.28%"
"11-07-2024","319.90","321.60","324.70","311.60","20.84M","0.19%"
"10-07-2024","319.30","315.00","326.30","306.50","35.03M","2.14%"
"09-07-2024","312.60","330.05","336.70","303.20","37.09M","-4.39%"
"08-07-2024","326.95","311.90","334.50","310.75","69.69M","6.24%"
"05-07-2024","307.75","288.00","315.80","286.50","116.64M","10.01%"
"04-07-2024","279.75","278.00","284.00","277.05","11.85M","1.25%"
"03-07-2024","276.30","276.60","278.80","273.95","6.45M","0.40%"
"02-07-2024","275.20","271.60","277.65","270.70","9.28M","1.46%"
"01-07-2024","271.25","269.70","274.90","267.70","5.53M","0.59%"
"28-06-2024","269.65","270.00","273.75","267.50","6.59M","0.06%"
"27-06-2024","269.50","271.55","275.45","265.55","7.79M","-0.33%"
"26-06-2024","270.40","272.00","276.00","268.80","7.11M","-0.55%"
"25-06-2024","271.90","280.00","281.70","270.40","8.33M","-2.70%"
"24-06-2024","279.45","276.00","287.55","272.10","15.18M","1.10%"
"21-06-2024","276.40","266.00","285.95","266.00","40.58M","3.52%"
"20-06-2024","267.00","269.15","270.95","264.00","5.47M","-0.30%"
"19-06-2024","267.80","274.00","275.30","263.25","6.97M","-2.24%"
"18-06-2024","273.95","272.00","278.50","271.20","13.29M","1.78%"
"14-06-2024","269.15","269.00","271.75","265.05","7.93M","0.49%"
"13-06-2024","267.85","272.40","273.80","265.20","7.16M","-1.05%"
"12-06-2024","270.70","272.00","272.80","269.00","9.97M","-0.42%"
"11-06-2024","271.85","256.00","275.40","256.00","33.03M","8.03%"
"10-06-2024","251.65","252.85","258.00","249.05","10.05M","0.30%"
"07-06-2024","250.90","250.00","253.90","245.75","10.99M","0.76%"
"06-06-2024","249.00","244.75","268.00","243.60","24.17M","4.51%"
"05-06-2024","238.25","237.30","247.85","213.00","20.92M","0.40%"
"04-06-2024","237.30","286.95","286.95","229.60","34.87M","-17.30%"
"03-06-2024","286.95","298.95","298.95","281.20","21.55M","5.96%"
"31-05-2024","270.80","270.50","275.20","262.15","14.82M","0.11%"
"30-05-2024","270.50","271.50","276.45","268.30","10.75M","-0.68%"
"29-05-2024","272.35","267.00","274.50","263.75","8.55M","0.55%"
"28-05-2024","270.85","277.50","280.50","268.25","8.11M","-2.01%"
"27-05-2024","276.40","273.95","282.30","273.45","12.89M","1.64%"
"24-05-2024","271.95","282.45","282.90","270.00","13.20M","-3.03%"
"23-05-2024","280.45","280.70","292.30","277.55","27.49M","0.50%"
"22-05-2024","279.05","284.90","292.20","273.85","31.01M","-3.69%"
"21-05-2024","289.75","275.85","301.45","272.45","47.42M","5.92%"
"18-05-2024","273.55","273.55","273.55","273.55","","2.41%"
"17-05-2024","267.10","262.20","269.80","259.10","25.16M","2.18%"
"16-05-2024","261.40","244.50","263.50","243.75","37.84M","7.68%"
"15-05-2024","242.75","243.25","244.65","238.80","6.84M","0.17%"
"14-05-2024","242.35","225.60","243.80","225.50","16.36M","7.90%"
"13-05-2024","224.60","229.00","229.00","219.20","4.94M","-1.62%"
"10-05-2024","228.30","227.90","230.30","219.55","6.19M","0.91%"
"09-05-2024","226.25","236.10","238.60","225.00","6.65M","-5.14%"
"08-05-2024","238.50","232.85","239.35","228.65","6.39M","2.19%"
"07-05-2024","233.40","244.80","244.80","232.00","9.07M","-5.06%"
"06-05-2024","245.85","251.00","251.25","243.00","8.37M","-1.44%"
"03-05-2024","249.45","253.00","253.70","242.90","8.32M","-0.78%"
"02-05-2024","251.40","251.70","255.40","246.80","8.28M","0.34%"
"30-04-2024","250.55","256.00","256.40","248.40","11.20M","-1.75%"
"29-04-2024","255.00","258.00","266.90","254.00","28.32M","1.67%"
"26-04-2024","250.80","244.90","253.20","242.60","26.24M","2.87%"
"25-04-2024","243.80","245.00","246.00","240.40","18.89M","0.97%"
