"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,880.70","1,845.50","1,890.00","1,830.00","94.95K","1.50%"
"05-11-2024","1,852.90","1,849.00","1,893.60","1,840.40","84.00K","0.11%"
"04-11-2024","1,850.85","1,945.00","1,945.00","1,844.70","138.96K","-5.58%"
"01-11-2024","1,960.30","1,961.05","1,984.00","1,938.00","24.80K","-0.04%"
"31-10-2024","1,961.05","1,865.60","1,979.00","1,865.60","269.03K","4.17%"
"30-10-2024","1,882.55","1,850.55","1,910.00","1,850.55","147.74K","1.54%"
"29-10-2024","1,854.05","1,878.80","1,886.45","1,835.80","71.68K","-0.83%"
"28-10-2024","1,869.50","1,866.00","1,920.00","1,858.50","56.33K","-1.18%"
"25-10-2024","1,891.90","1,898.00","1,917.75","1,852.00","138.31K","-0.28%"
"24-10-2024","1,897.20","1,920.55","1,935.00","1,883.20","95.08K","-1.11%"
"23-10-2024","1,918.55","1,914.90","1,930.00","1,900.45","327.74K","0.95%"
"22-10-2024","1,900.45","1,911.00","1,926.95","1,870.05","139.10K","-0.29%"
"21-10-2024","1,906.05","1,902.00","1,912.75","1,881.10","122.15K","0.78%"
"18-10-2024","1,891.35","1,884.45","1,905.00","1,858.95","150.74K","0.37%"
"17-10-2024","1,884.45","1,921.95","1,932.15","1,873.00","70.29K","-1.11%"
"16-10-2024","1,905.60","1,893.85","1,924.85","1,853.30","188.29K","1.06%"
"15-10-2024","1,885.60","1,837.70","1,901.50","1,831.10","306.03K","2.98%"
"14-10-2024","1,830.95","1,815.35","1,844.85","1,798.00","160.78K","1.36%"
"11-10-2024","1,806.30","1,822.00","1,835.35","1,798.00","238.07K","-0.34%"
"10-10-2024","1,812.55","1,794.80","1,845.00","1,789.70","504.34K","1.28%"
"09-10-2024","1,789.70","1,763.25","1,825.00","1,742.85","478.23K","1.92%"
"08-10-2024","1,756.00","1,699.90","1,765.85","1,682.10","218.64K","3.16%"
"07-10-2024","1,702.20","1,719.30","1,730.25","1,666.00","459.96K","-0.76%"
"04-10-2024","1,715.15","1,755.25","1,764.20","1,670.00","630.33K","-1.52%"
"03-10-2024","1,741.70","1,805.00","1,830.05","1,732.05","534.37K","-5.08%"
"01-10-2024","1,834.95","1,878.50","1,894.90","1,830.00","140.67K","-2.14%"
"30-09-2024","1,875.00","1,849.90","1,898.75","1,849.40","229.24K","2.02%"
"27-09-2024","1,837.95","1,890.00","1,905.95","1,826.65","214.40K","-2.68%"
"26-09-2024","1,888.55","1,901.50","1,925.00","1,880.00","215.60K","-1.10%"
"25-09-2024","1,909.55","1,948.00","1,948.00","1,855.00","446.42K","-1.79%"
"24-09-2024","1,944.35","1,955.00","1,969.55","1,920.00","160.63K","-0.39%"
"23-09-2024","1,952.00","1,914.00","1,960.00","1,896.05","344.13K","2.89%"
"20-09-2024","1,897.25","1,889.95","1,910.00","1,876.10","178.81K","0.57%"
"19-09-2024","1,886.50","1,857.00","1,900.00","1,847.00","252.41K","1.59%"
"18-09-2024","1,857.00","1,879.95","1,908.45","1,847.55","113.07K","-0.99%"
"17-09-2024","1,875.60","1,913.30","1,913.30","1,866.60","56.01K","-1.33%"
"16-09-2024","1,900.95","1,930.00","1,957.60","1,891.05","108.65K","-1.16%"
"13-09-2024","1,923.30","1,899.70","1,930.00","1,892.85","207.65K","2.12%"
"12-09-2024","1,883.35","1,873.85","1,904.70","1,864.30","71.27K","0.84%"
"11-09-2024","1,867.75","1,924.60","1,970.00","1,850.00","287.46K","-2.32%"
"10-09-2024","1,912.15","1,941.40","1,980.00","1,910.00","236.90K","-1.29%"
"09-09-2024","1,937.10","1,934.95","1,945.00","1,907.10","101.04K","0.45%"
"06-09-2024","1,928.40","1,946.15","1,970.00","1,920.00","116.51K","-0.27%"
"05-09-2024","1,933.60","1,937.15","1,990.00","1,930.00","148.25K","0.47%"
"04-09-2024","1,924.65","1,930.30","1,965.00","1,917.00","131.10K","0.00%"
"03-09-2024","1,924.65","1,986.00","1,991.35","1,905.00","223.54K","-2.33%"
"02-09-2024","1,970.60","1,934.05","1,974.90","1,934.05","205.73K","0.86%"
"30-08-2024","1,953.80","1,961.15","1,965.00","1,920.00","74.12K","-0.37%"
"29-08-2024","1,961.15","1,976.00","1,985.00","1,949.00","70.84K","-0.40%"
"28-08-2024","1,969.05","1,984.00","1,991.95","1,950.05","272.89K","0.56%"
"27-08-2024","1,958.10","1,920.50","1,982.60","1,898.55","338.50K","2.92%"
"26-08-2024","1,902.55","1,885.95","1,949.10","1,870.05","142.59K","0.89%"
"23-08-2024","1,885.80","1,955.00","1,955.05","1,875.20","58.53K","-2.66%"
"22-08-2024","1,937.35","1,934.85","1,961.15","1,922.00","80.11K","0.63%"
"21-08-2024","1,925.20","1,942.65","1,971.00","1,922.00","90.42K","-0.90%"
"20-08-2024","1,942.65","1,957.95","1,959.60","1,923.40","118.22K","-0.07%"
"19-08-2024","1,943.95","1,967.00","1,984.35","1,930.10","87.70K","-1.15%"
"16-08-2024","1,966.50","1,968.70","2,030.00","1,951.55","543.47K","-0.11%"
"14-08-2024","1,968.70","1,959.90","1,998.95","1,920.20","145.39K","1.19%"
"13-08-2024","1,945.50","1,960.00","1,980.70","1,919.95","167.14K","0.00%"
"12-08-2024","1,945.45","1,944.25","1,960.00","1,907.20","89.77K","0.78%"
"09-08-2024","1,930.35","1,998.80","1,999.00","1,920.95","172.63K","-0.88%"
"08-08-2024","1,947.55","1,935.40","1,955.00","1,918.60","103.12K","1.58%"
"07-08-2024","1,917.35","1,906.00","1,933.00","1,892.05","44.63K","1.55%"
"06-08-2024","1,888.15","1,917.25","1,931.10","1,873.20","75.37K","-0.86%"
