"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,631.15","1,602.85","1,638.05","1,593.05","80.77K","2.50%"
"05-11-2024","1,591.35","1,589.95","1,605.95","1,574.95","52.70K","0.04%"
"04-11-2024","1,590.65","1,630.10","1,635.15","1,575.80","69.88K","-2.48%"
"01-11-2024","1,631.10","1,624.45","1,644.00","1,620.00","26.37K","0.84%"
"31-10-2024","1,617.50","1,584.15","1,626.50","1,548.00","131.64K","2.04%"
"30-10-2024","1,585.15","1,560.00","1,616.00","1,541.35","560.58K","4.55%"
"29-10-2024","1,516.15","1,520.30","1,547.45","1,502.00","131.99K","0.63%"
"28-10-2024","1,506.65","1,570.00","1,590.00","1,470.00","582.49K","-4.11%"
"25-10-2024","1,571.20","1,634.40","1,641.80","1,556.30","139.28K","-3.57%"
"24-10-2024","1,629.40","1,664.00","1,667.95","1,621.25","80.43K","-1.53%"
"23-10-2024","1,654.65","1,685.00","1,697.80","1,640.35","122.76K","-1.18%"
"22-10-2024","1,674.35","1,754.00","1,754.35","1,668.30","132.01K","-4.08%"
"21-10-2024","1,745.60","1,752.10","1,784.70","1,740.00","203.37K","2.05%"
"18-10-2024","1,710.50","1,696.00","1,724.55","1,675.10","106.63K","0.33%"
"17-10-2024","1,704.90","1,749.00","1,749.90","1,700.00","71.86K","-2.42%"
"16-10-2024","1,747.20","1,769.05","1,785.00","1,740.00","62.42K","-1.51%"
"15-10-2024","1,773.95","1,780.00","1,794.95","1,765.85","53.27K","-0.55%"
"14-10-2024","1,783.80","1,783.00","1,789.95","1,760.05","74.51K","0.52%"
"11-10-2024","1,774.55","1,761.20","1,800.00","1,744.40","107.40K","0.98%"
"10-10-2024","1,757.35","1,770.05","1,780.00","1,740.10","78.57K","-0.72%"
"09-10-2024","1,770.05","1,768.00","1,790.00","1,741.50","122.81K","1.59%"
"08-10-2024","1,742.40","1,708.40","1,750.00","1,695.60","102.18K","1.95%"
"07-10-2024","1,709.15","1,780.80","1,810.60","1,697.50","146.61K","-4.02%"
"04-10-2024","1,780.80","1,793.20","1,810.95","1,761.00","90.45K","-0.91%"
"03-10-2024","1,797.20","1,832.00","1,832.00","1,790.00","106.69K","-1.99%"
"01-10-2024","1,833.70","1,805.40","1,859.00","1,791.60","271.34K","1.95%"
"30-09-2024","1,798.70","1,811.05","1,824.40","1,791.15","94.30K","-0.81%"
"27-09-2024","1,813.35","1,827.95","1,834.20","1,806.05","129.22K","-0.35%"
"26-09-2024","1,819.80","1,860.65","1,874.60","1,811.90","173.52K","-1.31%"
"25-09-2024","1,843.95","1,867.00","1,867.00","1,827.40","111.51K","-0.72%"
"24-09-2024","1,857.25","1,872.00","1,886.85","1,839.10","168.09K","-0.70%"
"23-09-2024","1,870.30","1,934.00","1,937.80","1,858.00","254.82K","-1.26%"
"20-09-2024","1,894.10","1,957.55","1,965.75","1,885.00","301.19K","-3.00%"
"19-09-2024","1,952.65","1,987.00","1,987.00","1,921.40","123.78K","-0.86%"
"18-09-2024","1,969.55","1,996.90","2,017.00","1,960.50","171.14K","-0.65%"
"17-09-2024","1,982.40","2,029.95","2,065.00","1,977.95","354.89K","-2.14%"
"16-09-2024","2,025.70","2,055.00","2,063.00","2,014.00","175.72K","-1.02%"
"13-09-2024","2,046.65","2,020.00","2,095.00","2,016.00","644.99K","2.62%"
"12-09-2024","1,994.45","1,949.90","2,093.70","1,945.60","1.45M","3.55%"
"11-09-2024","1,926.15","1,935.95","1,970.00","1,904.05","420.69K","-0.22%"
"10-09-2024","1,930.40","1,902.00","1,938.50","1,901.05","55.22K","1.49%"
"09-09-2024","1,902.05","1,904.05","1,928.00","1,878.05","78.29K","-0.22%"
"06-09-2024","1,906.20","1,945.00","1,959.15","1,901.55","93.45K","-1.88%"
"05-09-2024","1,942.65","1,921.50","1,988.00","1,921.50","166.56K","1.18%"
"04-09-2024","1,919.90","1,900.00","1,943.00","1,885.65","136.10K","0.75%"
"03-09-2024","1,905.55","1,899.00","1,955.35","1,889.65","108.48K","0.85%"
"02-09-2024","1,889.50","1,924.00","1,929.00","1,881.00","80.04K","-1.40%"
"30-08-2024","1,916.40","1,937.00","1,946.85","1,901.00","118.28K","-0.10%"
"29-08-2024","1,918.30","1,960.00","1,967.90","1,901.00","95.35K","-1.79%"
"28-08-2024","1,953.35","1,910.40","2,012.00","1,907.90","620.72K","2.86%"
"27-08-2024","1,899.00","1,895.15","1,913.05","1,876.05","71.98K","0.35%"
"26-08-2024","1,892.45","1,924.00","1,944.00","1,882.50","60.25K","-0.83%"
"23-08-2024","1,908.20","1,928.10","1,935.50","1,901.95","56.09K","-1.01%"
"22-08-2024","1,927.75","1,925.00","1,960.00","1,913.10","80.97K","0.45%"
"21-08-2024","1,919.05","1,935.45","1,935.45","1,909.95","55.17K","-0.31%"
"20-08-2024","1,925.10","1,950.00","1,957.95","1,919.15","45.36K","-0.69%"
"19-08-2024","1,938.45","1,924.80","1,969.00","1,903.05","125.91K","1.52%"
"16-08-2024","1,909.35","1,915.00","1,931.95","1,894.15","80.52K","0.54%"
"14-08-2024","1,899.10","1,915.00","1,923.00","1,861.25","129.95K","-0.23%"
"13-08-2024","1,903.45","1,853.00","1,998.00","1,841.80","1.09M","3.44%"
"12-08-2024","1,840.20","1,803.00","1,869.95","1,803.00","139.20K","-0.28%"
"09-08-2024","1,845.35","1,882.05","1,883.00","1,820.00","136.30K","0.02%"
"08-08-2024","1,844.95","1,878.00","1,911.00","1,840.00","141.62K","-1.10%"
"07-08-2024","1,865.45","1,844.00","1,878.00","1,822.20","82.42K","3.14%"
"06-08-2024","1,808.65","1,874.65","1,953.45","1,798.25","248.23K","-2.74%"
"05-08-2024","1,859.55","1,892.00","1,915.15","1,851.50","205.01K","-4.50%"
"02-08-2024","1,947.10","1,999.50","2,009.15","1,935.00","194.04K","-3.79%"
"01-08-2024","2,023.75","2,025.00","2,092.25","2,016.00","176.77K","-1.14%"
"31-07-2024","2,047.15","2,121.00","2,158.00","1,994.10","478.10K","-2.72%"
"30-07-2024","2,104.45","2,105.50","2,140.20","2,075.25","172.00K","0.76%"
"29-07-2024","2,088.55","2,050.85","2,095.45","2,034.50","172.77K","3.11%"
"26-07-2024","2,025.55","2,019.00","2,073.00","2,002.00","108.02K","1.03%"
"25-07-2024","2,004.85","1,985.05","2,025.00","1,952.00","131.21K","0.68%"
"24-07-2024","1,991.30","1,946.00","2,036.60","1,945.00","371.61K","2.57%"
"23-07-2024","1,941.50","2,013.45","2,013.45","1,882.10","161.87K","-2.36%"
"22-07-2024","1,988.50","1,946.55","1,997.30","1,918.45","134.89K","2.09%"
"19-07-2024","1,947.80","2,029.90","2,044.00","1,926.10","392.37K","-4.18%"
"18-07-2024","2,032.85","2,088.10","2,101.45","2,021.75","149.28K","-2.57%"
"16-07-2024","2,086.45","2,122.80","2,141.00","2,071.50","172.62K","-1.51%"
"15-07-2024","2,118.45","2,142.10","2,159.40","2,100.00","131.32K","-0.21%"
"12-07-2024","2,123.00","2,214.00","2,229.70","2,029.95","233.37K","-4.04%"
