"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","328.400","327.000","329.800","313.350","1.59M","0.95%"
"05-11-2024","325.300","311.900","326.850","309.150","2.15M","4.97%"
"04-11-2024","309.900","316.900","322.500","306.950","1.46M","-1.45%"
"01-11-2024","314.450","328.000","328.300","309.150","571.55K","-0.65%"
"31-10-2024","316.500","315.400","317.800","310.300","1.08M","0.86%"
"30-10-2024","313.800","307.000","320.500","307.000","1.58M","2.99%"
"29-10-2024","304.700","306.150","308.750","298.200","792.07K","0.12%"
"28-10-2024","304.350","301.850","309.000","299.450","1.42M","0.83%"
"25-10-2024","301.850","318.950","321.900","293.550","2.83M","-5.17%"
"24-10-2024","318.300","330.000","333.650","315.050","1.15M","-3.34%"
"23-10-2024","329.300","330.050","342.700","325.100","1.63M","-1.11%"
"22-10-2024","333.000","347.650","347.650","330.200","3.08M","-3.08%"
"21-10-2024","343.600","376.000","378.150","326.850","6.33M","-5.93%"
"18-10-2024","365.250","364.950","370.450","355.000","1.12M","-0.29%"
"17-10-2024","366.300","368.900","375.600","361.900","1.54M","-0.03%"
"16-10-2024","366.400","365.000","369.000","360.200","789.48K","0.29%"
"15-10-2024","365.350","360.950","367.850","355.600","988.67K","1.28%"
"14-10-2024","360.750","355.500","363.700","352.400","1.00M","2.02%"
"11-10-2024","353.600","360.900","364.450","348.650","1.39M","-2.05%"
"10-10-2024","361.000","369.250","371.700","360.000","750.46K","-2.23%"
"09-10-2024","369.250","372.000","383.850","366.300","1.29M","-1.22%"
"08-10-2024","373.825","352.550","375.000","347.525","2.31M","6.03%"
"07-10-2024","352.550","365.925","369.500","342.725","3.03M","-2.90%"
"04-10-2024","363.075","356.500","368.900","349.000","1.83M","2.64%"
"03-10-2024","353.750","361.500","373.500","349.725","4.47M","-3.77%"
"01-10-2024","367.625","372.200","374.325","366.425","1.27M","-1.08%"
"30-09-2024","371.650","375.875","379.950","370.950","1.25M","-0.30%"
"27-09-2024","372.750","372.500","379.900","368.250","1.88M","1.31%"
"26-09-2024","367.925","363.250","370.975","360.275","1.38M","1.82%"
"25-09-2024","361.350","377.000","377.000","358.525","1.77M","-3.35%"
"24-09-2024","373.875","362.425","377.375","360.100","4.10M","3.68%"
"23-09-2024","360.600","357.000","364.500","351.250","2.05M","1.54%"
"20-09-2024","355.125","353.300","359.175","350.600","1.55M","1.78%"
"19-09-2024","348.900","359.000","359.925","344.500","2.25M","-2.43%"
"18-09-2024","357.600","353.950","360.700","353.725","728.81K","0.38%"
"17-09-2024","356.250","362.000","362.825","355.000","824.69K","-1.22%"
"16-09-2024","360.650","356.825","366.050","355.625","1.62M","1.71%"
"13-09-2024","354.600","356.075","359.225","350.700","1.69M","0.62%"
"12-09-2024","352.425","345.025","354.500","342.625","1.71M","3.59%"
"11-09-2024","340.225","353.400","353.850","338.275","1.87M","-3.73%"
"10-09-2024","353.400","344.900","355.000","342.825","1.44M","3.37%"
"09-09-2024","341.875","345.950","350.100","331.825","3.13M","-1.10%"
"06-09-2024","345.675","357.000","357.250","343.825","3.30M","-3.14%"
"05-09-2024","356.875","359.625","362.000","355.550","1.55M","-0.15%"
"04-09-2024","357.400","357.000","359.475","351.800","2.37M","0.03%"
"03-09-2024","357.275","345.500","359.250","344.225","3.35M","4.24%"
"02-09-2024","342.750","342.500","347.125","339.050","1.67M","0.71%"
"30-08-2024","340.325","338.050","344.000","336.400","1.68M","1.03%"
"29-08-2024","336.850","341.950","348.900","331.625","3.01M","-1.64%"
"28-08-2024","342.450","347.425","348.450","340.525","1.93M","-1.49%"
"27-08-2024","347.625","353.425","354.000","345.500","1.33M","-1.12%"
"26-08-2024","351.550","347.850","352.250","340.075","3.01M","2.08%"
"23-08-2024","344.400","344.950","355.000","338.000","7.24M","0.12%"
"22-08-2024","344.000","331.725","347.500","329.275","7.46M","4.84%"
"21-08-2024","328.125","323.925","331.500","322.500","1.55M","1.79%"
"20-08-2024","322.350","327.000","327.925","321.000","977.26K","-0.36%"
"19-08-2024","323.500","318.000","330.450","314.175","2.13M","2.89%"
"16-08-2024","314.425","311.700","315.250","309.250","1.21M","1.44%"
"14-08-2024","309.975","311.450","311.850","300.550","1.65M","0.52%"
"13-08-2024","308.375","319.050","321.450","306.500","1.22M","-3.35%"
"12-08-2024","319.075","327.000","328.475","318.025","1.71M","-2.30%"
"09-08-2024","326.600","320.200","335.000","316.450","4.17M","2.91%"
"08-08-2024","317.375","322.500","325.000","311.625","3.43M","-0.56%"
"07-08-2024","319.175","307.475","325.675","298.750","4.52M","6.00%"
"06-08-2024","301.100","314.975","320.425","299.325","2.62M","-3.50%"
"05-08-2024","312.025","315.000","327.200","307.425","5.47M","-4.05%"
"02-08-2024","325.200","320.250","332.000","318.350","3.81M","0.49%"
"01-08-2024","323.625","321.675","326.000","319.025","4.11M","-0.17%"
"31-07-2024","324.175","320.500","326.000","313.325","4.40M","2.00%"
"30-07-2024","317.825","311.500","327.275","306.375","17.86M","5.63%"
"29-07-2024","300.875","290.500","308.600","290.500","7.84M","3.97%"
"26-07-2024","289.375","279.500","291.300","277.500","2.91M","3.96%"
"25-07-2024","278.350","273.750","280.850","272.000","1.49M","0.40%"
"24-07-2024","277.250","270.375","280.000","270.375","842.27K","1.68%"
"23-07-2024","272.675","274.775","276.425","263.425","1.20M","-1.14%"
"22-07-2024","275.825","272.500","278.250","267.375","1.77M","0.61%"
"19-07-2024","274.150","282.950","282.950","264.550","3.29M","-3.11%"
"18-07-2024","282.950","282.300","292.350","280.350","6.08M","0.30%"
"16-07-2024","282.100","277.475","286.925","276.800","1.56M","1.35%"
"15-07-2024","278.350","283.500","284.350","277.500","1.11M","-1.26%"
"12-07-2024","281.900","282.500","287.200","280.050","1.25M","0.04%"
"11-07-2024","281.775","277.525","284.825","277.525","942.11K","0.77%"
"10-07-2024","279.625","280.500","287.225","272.500","2.19M","-0.07%"
"09-07-2024","279.825","285.075","291.625","278.600","2.64M","-1.76%"
"08-07-2024","284.825","276.000","288.500","274.575","3.29M","3.20%"
"05-07-2024","276.000","277.500","280.475","273.500","1.43M","-0.16%"
"04-07-2024","276.450","279.000","282.250","275.225","1.09M","-0.19%"
"03-07-2024","276.975","272.500","281.350","272.475","1.38M","1.94%"
"02-07-2024","271.700","272.850","275.300","269.125","1.30M","-0.42%"
"01-07-2024","272.850","271.925","275.975","268.975","1.26M","0.34%"
"28-06-2024","271.925","271.000","276.975","270.250","850.39K","0.99%"
"27-06-2024","269.250","275.050","279.225","266.000","1.58M","-2.34%"
"26-06-2024","275.700","280.000","280.875","274.175","1.21M","-1.25%"
"25-06-2024","279.200","286.300","295.500","277.500","3.28M","-1.32%"
"24-06-2024","282.925","285.825","291.350","279.425","1.95M","-1.01%"
"21-06-2024","285.825","282.500","290.375","281.700","1.93M","1.18%"
"20-06-2024","282.500","280.500","287.000","278.300","1.45M","0.64%"
"19-06-2024","280.700","279.000","285.000","271.875","2.02M","0.57%"
"18-06-2024","279.100","283.000","284.000","278.050","925.51K","-0.45%"
"14-06-2024","280.375","282.000","287.350","277.575","2.50M","-0.65%"
"13-06-2024","282.200","277.075","283.500","274.575","1.21M","1.90%"
"12-06-2024","276.950","276.750","281.500","275.450","1.08M","0.17%"
"11-06-2024","276.475","278.850","281.875","273.525","1.44M","-0.93%"
"10-06-2024","279.075","280.900","291.475","277.625","2.72M","0.54%"
"07-06-2024","277.575","263.500","284.000","261.175","3.37M","5.60%"
"06-06-2024","262.850","257.500","268.000","257.000","1.51M","3.40%"
"05-06-2024","254.200","247.500","256.450","240.600","2.70M","5.69%"
"04-06-2024","240.525","275.000","275.000","236.475","5.25M","-12.63%"
"03-06-2024","275.300","278.500","284.000","272.400","2.75M","2.38%"
"31-05-2024","268.900","274.500","274.500","266.500","1.95M","-1.74%"
"30-05-2024","273.650","274.850","279.000","272.150","1.16M","-0.45%"
"29-05-2024","274.900","276.500","279.175","271.550","1.23M","-0.95%"
"28-05-2024","277.525","284.000","284.000","274.325","1.35M","-1.89%"
"27-05-2024","282.875","273.975","285.000","270.000","4.57M","4.29%"
"24-05-2024","271.250","272.500","274.050","269.000","1.13M","-0.31%"
"23-05-2024","272.100","276.275","276.975","270.075","1.12M","-1.51%"
"22-05-2024","276.275","269.500","282.500","265.450","2.72M","1.25%"
"21-05-2024","272.875","276.500","277.575","270.000","1.61M","-1.26%"
"18-05-2024","276.350","277.500","278.525","273.775","219.97K","0.46%"
"17-05-2024","275.075","274.800","281.000","273.025","1.84M","1.87%"
"16-05-2024","270.025","276.750","280.250","268.900","2.46M","-1.41%"
"15-05-2024","273.900","275.850","276.500","270.575","1.56M","0.19%"
"14-05-2024","273.375","264.150","274.950","263.625","2.53M","4.32%"
"13-05-2024","262.050","266.475","267.450","257.700","2.20M","-1.47%"
"10-05-2024","265.950","265.000","269.250","261.525","2.11M","1.87%"
"09-05-2024","261.075","271.000","273.425","259.600","3.37M","-1.86%"
"08-05-2024","266.025","284.025","284.500","260.850","10.30M","-6.32%"
"07-05-2024","283.975","294.950","298.900","277.500","4.45M","-3.54%"
"06-05-2024","294.400","290.350","299.000","282.000","7.14M","2.40%"
"03-05-2024","287.500","279.000","290.000","274.450","2.61M","3.49%"
"02-05-2024","277.800","277.700","282.475","276.275","1.65M","0.11%"
"30-04-2024","277.500","280.900","281.150","272.250","1.66M","-0.78%"
"29-04-2024","279.675","282.500","287.925","276.750","2.40M","-0.01%"
"26-04-2024","279.700","275.425","282.000","274.150","3.11M","2.12%"
"25-04-2024","273.900","269.375","276.500","264.000","3.71M","2.62%"
"24-04-2024","266.900","249.750","268.500","249.475","6.01M","7.49%"
"23-04-2024","248.300","248.475","252.000","247.250","1.13M","0.85%"
"22-04-2024","246.200","242.450","247.500","240.075","1.28M","2.49%"
"19-04-2024","240.225","238.500","245.000","232.300","1.61M","-0.62%"
"18-04-2024","241.725","242.500","248.000","238.950","1.27M","0.79%"
"16-04-2024","239.825","246.000","249.450","238.000","2.01M","-3.31%"
"15-04-2024","248.025","245.050","254.475","241.100","2.13M","-3.22%"
"12-04-2024","256.275","246.000","259.125","243.800","3.74M","4.01%"
"10-04-2024","246.400","246.000","252.000","244.975","899.94K","0.53%"
"09-04-2024","245.100","248.475","252.250","240.525","1.01M","-1.05%"
"08-04-2024","247.700","251.000","256.500","246.525","1.23M","-0.30%"
"05-04-2024","248.450","249.000","253.950","245.950","941.25K","-0.77%"
"04-04-2024","250.375","252.300","257.000","248.375","2.04M","0.14%"
"03-04-2024","250.025","244.900","251.000","242.125","2.20M","2.68%"
"02-04-2024","243.500","236.000","245.000","233.725","1.87M","2.97%"
"01-04-2024","236.475","219.600","238.950","219.425","3.08M","9.30%"
"28-03-2024","216.350","214.500","219.600","214.400","1.48M","2.14%"
"27-03-2024","211.825","214.000","220.975","210.000","1.63M","-1.20%"
"26-03-2024","214.400","218.000","222.500","213.000","1.38M","-1.49%"
"22-03-2024","217.650","217.500","218.550","211.275","1.08M","0.88%"
"21-03-2024","215.750","205.975","217.475","204.850","2.75M","6.58%"
"20-03-2024","202.425","206.675","209.200","199.100","1.14M","-1.20%"
"19-03-2024","204.875","209.000","212.400","204.000","1.21M","-1.75%"
"18-03-2024","208.525","216.500","220.850","206.700","2.20M","-4.23%"
"15-03-2024","217.725","212.500","220.850","203.225","2.53M","3.81%"
"14-03-2024","209.725","195.000","212.625","191.000","2.90M","7.26%"
"13-03-2024","195.525","222.500","223.475","189.975","4.82M","-11.66%"
"12-03-2024","221.325","226.475","228.925","217.675","2.02M","-1.62%"
"11-03-2024","224.975","233.000","234.000","222.975","1.30M","-3.43%"
"07-03-2024","232.975","231.575","236.975","231.575","862.32K","0.75%"
"06-03-2024","231.250","240.750","241.375","227.500","2.04M","-3.95%"
"05-03-2024","240.750","243.400","245.850","238.750","1.15M","-1.11%"
"04-03-2024","243.450","247.875","248.200","238.750","1.30M","-1.31%"
"02-03-2024","246.675","247.000","248.900","245.000","216.29K","0.72%"
"01-03-2024","244.900","243.750","246.875","240.475","1.31M","2.69%"
"29-02-2024","238.475","245.875","245.875","233.625","3.79M","-2.42%"
"28-02-2024","244.400","251.250","252.675","241.275","1.82M","-2.73%"
"27-02-2024","251.250","256.825","258.500","250.000","1.32M","-2.17%"
"26-02-2024","256.825","264.500","265.400","255.525","1.13M","-2.84%"
"23-02-2024","264.325","260.500","265.000","259.550","978.86K","1.88%"
"22-02-2024","259.450","261.350","263.950","253.925","1.35M","-0.13%"
"21-02-2024","259.800","270.950","273.125","258.525","2.04M","-3.29%"
"20-02-2024","268.625","271.500","279.225","264.350","3.89M","2.29%"
"19-02-2024","262.600","253.000","267.200","253.000","2.69M","4.61%"
"16-02-2024","251.025","257.225","261.650","249.100","1.29M","-2.41%"
"15-02-2024","257.225","251.825","262.125","250.975","2.22M","3.17%"
"14-02-2024","249.325","243.900","251.575","237.275","1.40M","2.46%"
"13-02-2024","243.350","247.525","250.975","231.350","1.85M","-1.69%"
"12-02-2024","247.525","268.850","269.950","243.075","2.19M","-7.19%"
"09-02-2024","266.700","272.000","273.000","260.200","2.11M","-0.81%"
"08-02-2024","268.875","258.350","275.000","257.500","6.46M","4.58%"
"07-02-2024","257.100","255.375","259.350","255.150","1.19M","1.15%"
"06-02-2024","254.175","247.225","257.000","246.250","1.77M","2.68%"
"05-02-2024","247.550","247.625","253.000","243.525","1.69M","-0.03%"
"02-02-2024","247.625","257.000","258.475","246.100","1.90M","-3.38%"
"01-02-2024","256.300","262.100","262.800","253.500","1.70M","-1.76%"
"31-01-2024","260.900","261.025","262.400","256.600","1.66M","-0.05%"
"30-01-2024","261.025","261.950","265.000","258.925","1.66M","0.65%"
"29-01-2024","259.350","258.200","263.450","255.150","2.85M","0.95%"
"25-01-2024","256.900","245.800","257.500","245.775","3.02M","4.72%"
"24-01-2024","245.325","238.475","248.625","235.500","2.96M","3.18%"
"23-01-2024","237.775","247.850","252.000","236.950","3.12M","-3.22%"
"20-01-2024","245.675","254.500","256.250","241.750","1.90M","-3.21%"
"19-01-2024","253.825","257.500","261.950","250.275","3.49M","0.35%"
"18-01-2024","252.950","261.725","268.400","249.500","5.79M","-2.74%"
"17-01-2024","260.075","265.500","269.450","258.750","7.91M","0.19%"
"16-01-2024","259.575","259.000","264.950","249.100","10.95M","0.81%"
"15-01-2024","257.500","245.725","258.400","245.700","4.52M","5.39%"
"12-01-2024","244.325","246.300","248.900","242.250","2.05M","-0.24%"
"11-01-2024","244.925","247.500","250.375","243.025","2.41M","-0.65%"
"10-01-2024","246.525","241.500","247.500","240.175","2.90M","2.95%"
"09-01-2024","239.450","236.500","243.250","234.850","3.23M","2.18%"
"08-01-2024","234.350","225.250","235.500","225.225","3.78M","4.25%"
"05-01-2024","224.800","225.000","229.350","221.200","2.67M","0.42%"
"04-01-2024","223.850","225.500","228.525","222.500","2.23M","-0.60%"
"03-01-2024","225.200","224.025","226.275","217.575","3.25M","1.76%"
"02-01-2024","221.300","213.000","223.000","213.000","6.01M","4.84%"
"01-01-2024","211.075","206.025","212.825","202.000","3.18M","2.45%"
"29-12-2023","206.025","204.275","209.900","203.750","1.61M","0.86%"
"28-12-2023","204.275","207.075","209.250","203.500","1.38M","-0.95%"
"27-12-2023","206.225","211.300","212.075","204.950","1.30M","-2.30%"
"26-12-2023","211.075","212.350","213.450","209.275","1.06M","-0.53%"
"22-12-2023","212.200","208.900","214.375","205.575","2.37M","1.74%"
"21-12-2023","208.575","203.775","212.100","202.500","1.88M","0.74%"
"20-12-2023","207.050","221.000","224.400","202.975","2.93M","-5.58%"
"19-12-2023","219.275","222.550","226.000","217.875","2.87M","1.22%"
"18-12-2023","216.625","216.975","222.000","211.200","3.06M","-0.66%"
"15-12-2023","218.075","217.475","225.000","217.300","1.86M","0.33%"
"14-12-2023","217.350","216.450","220.575","214.000","2.42M","1.02%"
"13-12-2023","215.150","221.150","221.250","214.000","2.10M","-2.35%"
"12-12-2023","220.325","221.000","222.875","219.000","2.26M","0.26%"
"11-12-2023","219.750","218.525","223.675","215.550","2.09M","1.06%"
"08-12-2023","217.450","226.125","226.925","216.125","3.18M","-3.60%"
"07-12-2023","225.575","228.350","229.550","223.000","1.16M","-1.13%"
"06-12-2023","228.150","230.600","231.550","219.000","2.84M","-0.87%"
"05-12-2023","230.150","231.900","234.250","227.250","1.48M","-0.31%"
"04-12-2023","230.875","242.475","242.475","228.500","2.84M","-1.90%"
"01-12-2023","235.350","231.450","239.775","231.000","1.44M","1.30%"
"30-11-2023","232.325","230.125","239.000","223.200","4.84M","0.27%"
"29-11-2023","231.700","231.000","234.850","227.300","2.62M","0.80%"
"28-11-2023","229.850","223.775","232.375","222.550","4.31M","3.20%"
"24-11-2023","222.725","229.000","230.600","221.900","1.76M","-2.58%"
"23-11-2023","228.625","228.975","232.300","227.175","1.81M","0.40%"
"22-11-2023","227.725","240.725","241.525","223.575","3.71M","-5.21%"
"21-11-2023","240.250","237.500","243.750","237.500","1.44M","1.51%"
"20-11-2023","236.675","244.425","245.050","235.000","1.61M","-2.82%"
"17-11-2023","243.550","245.475","247.875","241.800","1.26M","-0.78%"
"16-11-2023","245.475","252.650","257.500","241.575","1.74M","-3.13%"
"15-11-2023","253.400","246.500","257.400","245.250","2.32M","2.86%"
"13-11-2023","246.350","248.000","248.000","242.875","987.32K","-0.61%"
"12-11-2023","247.850","246.125","248.500","245.525","717.39K","1.63%"
"10-11-2023","243.875","235.300","248.000","235.000","3.07M","4.08%"
"09-11-2023","234.325","234.650","236.250","228.900","1.75M","0.35%"
"08-11-2023","233.500","242.000","242.425","232.500","1.79M","-3.22%"
"07-11-2023","241.275","236.475","242.500","234.275","2.30M","2.03%"
"06-11-2023","236.475","232.000","238.500","229.050","2.80M","2.69%"
"03-11-2023","230.275","222.500","233.825","220.950","4.86M","4.33%"
