"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","326.05","323.95","327.90","322.80","7.20M","1.29%"
"05-11-2024","321.90","320.00","324.00","318.75","5.98M","0.64%"
"04-11-2024","319.85","326.80","326.80","319.30","8.10M","-1.95%"
"01-11-2024","326.20","325.00","326.85","324.20","4.37M","1.21%"
"31-10-2024","322.30","319.95","323.90","317.70","6.67M","0.73%"
"30-10-2024","319.95","326.75","326.75","318.55","11.57M","-1.92%"
"29-10-2024","326.20","317.70","326.95","313.90","14.90M","3.02%"
"28-10-2024","316.65","314.50","319.25","310.65","9.29M","1.75%"
"25-10-2024","311.20","317.50","317.85","306.00","12.41M","-1.55%"
"24-10-2024","316.10","315.00","318.40","314.85","7.63M","0.44%"
"23-10-2024","314.70","316.25","321.45","313.15","15.30M","0.21%"
"22-10-2024","314.05","328.00","328.40","311.10","16.87M","-4.02%"
"21-10-2024","327.20","334.40","334.40","326.05","8.40M","-0.95%"
"18-10-2024","330.35","329.15","332.90","325.50","9.74M","0.36%"
"17-10-2024","329.15","334.85","335.00","328.60","9.77M","-1.35%"
"16-10-2024","333.65","337.05","339.20","332.50","10.53M","-0.92%"
"15-10-2024","336.75","341.95","341.95","336.10","9.43M","-0.97%"
"14-10-2024","340.05","342.80","343.45","339.25","7.28M","-0.42%"
"11-10-2024","341.50","343.45","344.45","340.45","8.11M","-0.67%"
"10-10-2024","343.80","345.00","347.50","343.00","8.91M","0.23%"
"09-10-2024","343.00","345.00","348.00","341.55","12.69M","-0.75%"
"08-10-2024","345.60","334.75","349.70","333.00","20.85M","2.75%"
"07-10-2024","336.35","346.10","348.90","329.20","38.00M","-0.72%"
"04-10-2024","338.80","343.50","345.30","336.50","18.95M","-1.97%"
"03-10-2024","345.60","345.00","350.50","339.05","24.23M","-1.54%"
"01-10-2024","351.00","352.00","353.00","346.25","16.42M","0.11%"
"30-09-2024","350.60","357.00","358.15","349.60","26.76M","-2.38%"
"27-09-2024","359.15","350.00","363.00","349.10","61.55M","2.66%"
"26-09-2024","349.85","352.50","353.60","348.95","11.58M","-0.84%"
"25-09-2024","352.80","351.70","355.00","349.00","13.66M","0.10%"
"24-09-2024","352.45","353.80","356.00","349.10","20.09M","-0.51%"
"23-09-2024","354.25","354.35","361.20","352.25","22.87M","0.10%"
"20-09-2024","353.90","348.40","355.90","348.35","38.49M","2.09%"
"19-09-2024","346.65","348.75","350.50","338.45","17.30M","-0.07%"
"18-09-2024","346.90","350.50","353.25","345.10","12.14M","-1.35%"
"17-09-2024","351.65","348.70","355.50","344.00","14.93M","0.82%"
"16-09-2024","348.80","352.00","354.70","347.00","11.64M","-0.88%"
"13-09-2024","351.90","350.35","354.40","346.90","17.63M","0.60%"
"12-09-2024","349.80","346.30","351.95","342.30","18.88M","1.60%"
"11-09-2024","344.30","352.50","355.40","343.05","22.78M","-2.05%"
"10-09-2024","351.50","343.95","359.75","340.85","60.92M","2.87%"
"09-09-2024","341.70","337.95","345.85","329.30","18.69M","1.44%"
"06-09-2024","336.85","345.00","345.85","336.00","17.27M","-2.46%"
"05-09-2024","345.35","348.60","350.45","344.00","16.41M","-0.53%"
"04-09-2024","347.20","345.00","350.30","343.05","22.01M","-0.86%"
"03-09-2024","350.20","351.00","355.00","342.50","65.29M","1.54%"
"02-09-2024","344.90","323.90","349.35","323.15","65.33M","7.21%"
"30-08-2024","321.70","327.65","331.60","320.65","27.50M","-1.21%"
"29-08-2024","325.65","324.25","333.10","323.50","33.81M","1.06%"
"28-08-2024","322.25","327.00","330.25","320.90","21.47M","-0.42%"
"27-08-2024","323.60","324.50","326.60","321.65","16.60M","0.11%"
"26-08-2024","323.25","332.70","334.20","321.75","26.12M","-1.19%"
"23-08-2024","327.15","330.00","333.70","326.70","8.94M","-0.74%"
"22-08-2024","329.60","332.20","333.40","328.90","8.37M","-0.45%"
"21-08-2024","331.10","335.90","337.25","329.50","18.92M","-0.91%"
"20-08-2024","334.15","332.40","337.95","332.00","15.77M","0.81%"
"19-08-2024","331.45","331.95","334.50","328.80","13.71M","1.01%"
"16-08-2024","328.15","324.00","329.55","319.55","16.45M","2.48%"
"14-08-2024","320.20","326.00","326.35","319.20","8.04M","-0.96%"
"13-08-2024","323.30","329.50","336.50","322.00","15.17M","-1.78%"
"12-08-2024","329.15","325.00","330.95","322.30","12.46M","1.09%"
"09-08-2024","325.60","330.20","330.50","324.50","7.79M","-0.25%"
"08-08-2024","326.40","330.00","330.80","324.00","9.65M","-1.02%"
"07-08-2024","329.75","316.45","337.20","313.30","20.76M","5.91%"
"06-08-2024","311.35","317.15","322.00","310.00","12.64M","-1.80%"
"05-08-2024","317.05","317.95","322.20","315.00","16.75M","-2.82%"
"02-08-2024","326.25","325.95","328.25","324.55","7.28M","-0.75%"
"01-08-2024","328.70","329.00","332.90","328.25","13.14M","0.06%"
"31-07-2024","328.50","329.35","331.25","327.50","12.40M","-0.26%"
"30-07-2024","329.35","331.00","331.75","329.10","8.71M","-0.26%"
"29-07-2024","330.20","334.50","335.20","329.50","12.63M","-0.51%"
"26-07-2024","331.90","329.85","336.65","329.55","9.69M","0.82%"
"25-07-2024","329.20","333.00","333.65","328.00","12.20M","-1.64%"
"24-07-2024","334.70","335.25","339.00","334.60","8.73M","-0.06%"
"23-07-2024","334.90","342.00","342.00","326.00","13.86M","-1.77%"
"22-07-2024","340.95","338.75","343.00","334.30","12.28M","0.65%"
"19-07-2024","338.75","337.05","342.00","332.05","15.35M","0.52%"
"18-07-2024","337.00","345.60","346.15","336.00","25.19M","-2.11%"
"16-07-2024","344.25","350.00","350.35","343.10","25.01M","-3.14%"
"15-07-2024","355.40","354.30","356.70","351.70","15.49M","1.44%"
"12-07-2024","350.35","354.50","356.40","350.00","16.33M","0.66%"
"11-07-2024","348.05","349.50","351.35","347.00","8.05M","0.03%"
"10-07-2024","347.95","350.40","350.90","344.10","11.56M","-0.54%"
"09-07-2024","349.85","349.10","353.70","348.55","8.91M","0.45%"
"08-07-2024","348.30","353.00","353.55","347.20","11.53M","-1.26%"
"05-07-2024","352.75","350.85","354.80","349.10","15.51M","0.54%"
"04-07-2024","350.85","352.00","356.85","350.30","11.94M","-0.13%"
"03-07-2024","351.30","353.00","356.40","349.70","12.10M","0.09%"
"02-07-2024","351.00","353.20","355.45","350.00","12.15M","-0.51%"
"01-07-2024","352.80","358.15","358.40","352.05","15.69M","-1.49%"
"28-06-2024","358.15","357.00","362.00","355.40","23.41M","1.29%"
"27-06-2024","353.60","356.25","358.40","348.00","18.69M","-0.74%"
"26-06-2024","356.25","358.95","359.70","353.15","27.21M","-0.78%"
"25-06-2024","359.05","356.95","362.50","356.25","13.21M","1.04%"
"24-06-2024","355.35","356.00","356.40","352.30","16.86M","-1.54%"
"21-06-2024","360.90","366.00","366.80","359.15","21.08M","-1.27%"
"20-06-2024","365.55","358.90","368.30","358.00","33.58M","2.02%"
"19-06-2024","358.30","363.95","363.95","357.05","15.72M","-1.35%"
"18-06-2024","363.20","358.75","365.00","357.60","22.67M","1.74%"
"14-06-2024","357.00","362.00","362.75","356.10","19.86M","-1.05%"
"13-06-2024","360.80","365.00","366.40","358.20","27.42M","-0.04%"
"12-06-2024","360.95","351.95","363.50","351.55","30.00M","3.05%"
"11-06-2024","350.25","351.75","354.50","349.55","12.76M","-0.03%"
"10-06-2024","350.35","355.25","357.35","348.70","15.67M","-0.79%"
"07-06-2024","353.15","349.70","355.35","347.00","22.67M","1.07%"
"06-06-2024","349.40","350.00","352.80","348.05","16.25M","1.10%"
"05-06-2024","345.60","339.00","347.90","327.00","24.79M","3.80%"
"04-06-2024","332.95","358.00","358.00","307.30","59.21M","-6.50%"
"03-06-2024","356.10","368.00","368.00","353.80","24.06M","3.41%"
"31-05-2024","344.35","355.05","357.90","342.10","34.21M","-0.98%"
"30-05-2024","347.75","348.75","351.50","346.50","9.87M","-0.42%"
"29-05-2024","349.20","355.00","356.15","348.10","15.14M","-2.14%"
"28-05-2024","356.85","361.00","363.75","355.25","9.23M","-0.89%"
"27-05-2024","360.05","368.00","368.60","359.15","15.96M","-1.46%"
"24-05-2024","365.40","368.50","370.70","364.20","18.50M","-0.64%"
"23-05-2024","367.75","357.65","376.00","357.40","37.52M","2.82%"
"22-05-2024","357.65","359.00","360.70","355.20","12.04M","-0.03%"
"21-05-2024","357.75","361.00","362.20","355.75","11.79M","-1.23%"
"18-05-2024","362.20","362.20","362.20","362.20","","1.40%"
"17-05-2024","357.20","357.00","358.40","355.00","8.82M","0.61%"
"16-05-2024","355.05","356.40","359.15","352.40","12.29M","0.34%"
"15-05-2024","353.85","354.05","358.80","351.30","16.86M","0.40%"
"14-05-2024","352.45","344.00","353.70","342.20","19.65M","3.25%"
"13-05-2024","341.35","347.85","347.90","335.40","20.67M","-1.87%"
"10-05-2024","347.85","346.40","349.00","336.80","24.45M","0.71%"
"09-05-2024","345.40","357.00","359.25","344.60","23.21M","-2.76%"
"08-05-2024","355.20","355.00","363.80","352.10","20.02M","-0.29%"
"07-05-2024","356.25","370.25","370.70","353.60","29.50M","-3.78%"
"06-05-2024","370.25","378.10","378.90","367.80","13.99M","-1.50%"
"03-05-2024","375.90","380.55","385.85","374.35","21.86M","-0.99%"
"02-05-2024","379.65","377.00","381.35","372.50","19.66M","0.70%"
"30-04-2024","377.00","380.50","383.80","375.50","16.84M","-0.92%"
"29-04-2024","380.50","383.60","384.75","378.05","16.14M","-0.33%"
"26-04-2024","381.75","384.30","384.85","380.55","14.13M","-0.14%"
"25-04-2024","382.30","381.85","387.35","380.25","17.04M","0.12%"
"24-04-2024","381.85","390.70","391.50","379.50","27.66M","-1.57%"
"23-04-2024","387.95","387.00","394.70","385.00","35.55M","1.37%"
"22-04-2024","382.70","378.00","384.85","375.25","48.64M","3.40%"
"19-04-2024","370.10","378.00","378.10","368.65","39.52M","-2.19%"
"18-04-2024","378.40","369.15","384.40","367.00","75.36M","4.57%"
"16-04-2024","361.85","364.90","371.95","360.10","48.92M","2.13%"
"15-04-2024","354.30","362.00","362.95","351.00","46.28M","-4.81%"
"12-04-2024","372.20","370.15","378.85","368.20","32.48M","0.47%"
"10-04-2024","370.45","369.65","372.40","367.55","16.54M","0.75%"
"09-04-2024","367.70","371.00","374.70","365.40","23.37M","-0.42%"
"08-04-2024","369.25","376.00","378.70","367.55","32.85M","-1.06%"
"05-04-2024","373.20","361.00","374.85","359.05","46.98M","3.29%"
"04-04-2024","361.30","359.40","367.80","358.00","33.93M","1.18%"
"03-04-2024","357.10","356.50","359.80","353.20","17.92M","0.00%"
"02-04-2024","357.10","359.00","362.85","356.50","29.68M","0.04%"
"01-04-2024","356.95","357.00","364.20","355.60","23.64M","0.90%"
"28-03-2024","353.75","354.85","357.75","350.40","22.68M","0.87%"
"27-03-2024","350.70","348.25","355.60","348.00","50.09M","1.31%"
"26-03-2024","346.15","345.00","352.50","343.55","27.17M","0.44%"
"22-03-2024","344.65","338.00","346.90","336.70","20.55M","1.76%"
"21-03-2024","338.70","344.50","348.30","337.10","28.73M","0.36%"
