"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","716.55","695.40","718.00","688.80","942.84K","3.86%"
"05-11-2024","689.90","682.50","704.00","681.10","776.20K","0.86%"
"04-11-2024","684.00","690.00","692.00","675.45","417.87K","0.26%"
"01-11-2024","682.25","678.00","684.15","675.30","41.19K","1.03%"
"31-10-2024","675.30","680.00","689.00","671.80","304.84K","-0.55%"
"30-10-2024","679.05","677.05","692.15","673.00","706.98K","-0.65%"
"29-10-2024","683.50","672.00","687.45","655.45","377.26K","2.09%"
"28-10-2024","669.50","664.45","675.30","646.85","583.06K","0.84%"
"25-10-2024","663.95","668.40","668.40","637.40","692.05K","0.13%"
"24-10-2024","663.10","660.95","668.25","648.05","635.52K","0.63%"
"23-10-2024","658.95","651.85","667.50","631.85","1.36M","0.83%"
"22-10-2024","653.50","703.15","703.15","648.05","1.67M","-6.49%"
"21-10-2024","698.85","735.70","742.25","693.35","1.89M","-5.94%"
"18-10-2024","742.95","750.00","750.00","730.50","1.26M","-2.31%"
"17-10-2024","760.50","770.00","771.00","747.05","652.19K","-0.43%"
"16-10-2024","763.75","758.00","767.90","756.85","651.73K","0.88%"
"15-10-2024","757.10","754.00","761.35","748.00","283.96K","0.67%"
"14-10-2024","752.05","754.45","762.95","747.05","247.59K","-0.32%"
"11-10-2024","754.45","755.05","772.00","749.55","455.28K","-0.21%"
"10-10-2024","756.05","752.50","760.85","739.30","522.09K","1.68%"
"09-10-2024","743.55","752.05","759.10","742.00","358.49K","-1.09%"
"08-10-2024","751.75","752.00","769.00","735.10","754.71K","-0.89%"
"07-10-2024","758.50","778.50","782.70","752.00","505.11K","-2.57%"
"04-10-2024","778.50","771.50","782.80","752.00","633.44K","0.90%"
"03-10-2024","771.55","757.00","774.90","753.00","551.40K","0.54%"
"01-10-2024","767.40","793.00","793.70","762.80","1.14M","-2.92%"
"30-09-2024","790.50","779.45","794.00","771.20","731.78K","1.42%"
"27-09-2024","779.45","779.55","797.00","772.45","646.54K","-0.30%"
"26-09-2024","781.80","791.00","791.00","763.60","642.48K","-1.05%"
"25-09-2024","790.10","785.55","803.00","780.75","1.38M","0.58%"
"24-09-2024","785.55","774.90","791.50","771.75","864.09K","1.70%"
"23-09-2024","772.40","765.95","779.00","750.75","1.24M","-0.55%"
"20-09-2024","776.70","738.50","789.00","737.05","1.38M","5.76%"
"19-09-2024","734.40","757.50","758.45","727.05","602.01K","-2.07%"
"18-09-2024","749.90","752.40","764.95","744.00","454.81K","-0.86%"
"17-09-2024","756.40","758.10","762.00","751.15","488.63K","-0.40%"
"16-09-2024","759.45","762.95","767.50","750.10","537.08K","-0.46%"
"13-09-2024","762.95","755.80","775.25","750.00","957.59K","1.71%"
"12-09-2024","750.15","734.25","754.95","734.25","602.01K","2.24%"
"11-09-2024","733.70","735.05","754.85","730.80","779.37K","-1.18%"
"10-09-2024","742.45","722.00","750.00","721.15","717.73K","3.02%"
"09-09-2024","720.70","728.15","740.00","713.50","672.03K","-0.74%"
"06-09-2024","726.05","729.25","741.70","722.45","932.80K","0.89%"
"05-09-2024","719.65","728.50","731.40","711.00","1.33M","-1.03%"
"04-09-2024","727.15","723.80","733.45","710.00","1.29M","0.12%"
"03-09-2024","726.30","744.70","744.75","722.30","5.99M","-1.77%"
"02-09-2024","739.35","793.40","795.00","737.00","2.28M","-6.81%"
"30-08-2024","793.40","735.00","800.00","728.40","3.13M","7.78%"
"29-08-2024","736.15","729.50","741.00","723.05","765.92K","0.96%"
"28-08-2024","729.15","737.30","738.65","724.00","427.81K","-1.01%"
"27-08-2024","736.60","744.05","747.50","733.00","270.58K","-0.84%"
"26-08-2024","742.85","727.85","745.00","727.10","452.32K","1.65%"
"23-08-2024","730.80","732.00","741.00","726.50","439.88K","0.14%"
"22-08-2024","729.75","743.85","747.05","727.05","398.88K","-1.90%"
"21-08-2024","743.85","740.00","749.00","733.00","546.48K","0.46%"
"20-08-2024","740.45","725.00","743.00","723.35","593.45K","2.39%"
"19-08-2024","723.15","708.20","724.75","704.50","580.30K","3.11%"
"16-08-2024","701.35","699.10","706.95","683.35","2.09M","0.78%"
"14-08-2024","695.90","698.00","698.00","681.45","1.21M","0.24%"
"13-08-2024","694.25","691.40","699.00","674.75","2.38M","1.90%"
"12-08-2024","681.30","656.00","688.30","631.00","2.52M","2.49%"
"09-08-2024","664.75","670.50","678.80","658.80","558.56K","0.16%"
"08-08-2024","663.70","685.00","685.25","661.00","538.76K","-2.15%"
"07-08-2024","678.25","669.95","688.00","665.70","1.05M","2.79%"
"06-08-2024","659.85","691.00","713.60","656.90","1.52M","-2.55%"
"05-08-2024","677.15","705.05","723.65","669.15","1.48M","-7.21%"
"02-08-2024","729.75","728.50","738.50","722.00","512.58K","-0.90%"
"01-08-2024","736.35","742.40","754.90","726.60","1.40M","-0.56%"
"31-07-2024","740.50","740.00","774.90","734.50","1.84M","-0.55%"
"30-07-2024","744.60","742.00","754.00","735.35","1.74M","0.70%"
"29-07-2024","739.45","765.65","766.00","737.45","1.25M","-3.28%"
"26-07-2024","764.50","748.85","766.30","746.20","429.42K","2.09%"
"25-07-2024","748.85","738.00","758.50","736.80","470.75K","-0.49%"
"24-07-2024","752.50","747.15","762.85","737.00","487.94K","2.53%"
"23-07-2024","733.95","750.80","751.05","707.05","738.61K","-1.96%"
"22-07-2024","748.60","744.80","754.90","729.50","1.36M","0.44%"
"19-07-2024","745.30","793.45","793.45","741.05","1.71M","-6.26%"
"18-07-2024","795.10","797.00","804.40","785.55","864.28K","-0.37%"
"16-07-2024","798.05","795.90","801.10","787.85","487.12K","1.09%"
"15-07-2024","789.45","776.30","792.00","775.80","407.17K","0.79%"
"12-07-2024","783.30","776.00","787.95","765.40","1.29M","-0.55%"
"11-07-2024","787.65","796.35","797.45","778.10","605.97K","-0.82%"
"10-07-2024","794.15","814.95","818.30","778.05","938.25K","-2.01%"
"09-07-2024","810.45","824.00","848.00","808.80","919.35K","-1.19%"
"08-07-2024","820.20","827.00","835.90","815.55","385.93K","-0.92%"
"05-07-2024","827.80","833.65","845.80","825.00","454.43K","-0.70%"
"04-07-2024","833.65","830.00","835.50","824.25","587.82K","1.09%"
"03-07-2024","824.70","815.60","830.00","810.05","785.12K","1.19%"
"02-07-2024","815.00","809.15","819.70","805.20","455.81K","0.46%"
"01-07-2024","811.30","826.00","826.00","804.95","585.86K","-1.36%"
"28-06-2024","822.50","807.90","825.00","804.15","998.54K","2.39%"
"27-06-2024","803.30","811.05","826.00","800.00","980.43K","-1.22%"
"26-06-2024","813.20","815.00","816.75","805.65","555.28K","0.15%"
"25-06-2024","811.95","800.00","814.00","799.50","609.16K","1.38%"
"24-06-2024","800.90","789.55","809.65","784.35","550.86K","1.24%"
"21-06-2024","791.10","810.70","810.70","781.00","2.24M","-2.17%"
"20-06-2024","808.65","794.00","817.70","784.35","1.20M","1.87%"
"19-06-2024","793.80","814.20","814.20","784.00","942.98K","-1.92%"
"18-06-2024","809.30","819.95","830.45","802.90","767.29K","-0.38%"
"14-06-2024","812.40","815.25","825.00","800.45","1.19M","-0.47%"
"13-06-2024","816.20","840.90","841.00","811.10","842.75K","-0.90%"
"12-06-2024","823.65","800.00","830.00","795.00","894.00K","3.31%"
"11-06-2024","797.25","822.60","822.60","790.10","935.52K","-2.05%"
"10-06-2024","813.90","803.55","824.95","795.00","1.18M","2.39%"
"07-06-2024","794.90","793.50","803.55","788.20","872.74K","0.06%"
"06-06-2024","794.45","793.35","797.00","780.00","1.31M","2.35%"
"05-06-2024","776.20","765.05","785.90","731.40","2.46M","2.31%"
"04-06-2024","758.65","807.50","814.35","747.00","4.99M","-5.56%"
"03-06-2024","803.35","820.00","830.05","789.00","2.92M","1.24%"
"31-05-2024","793.50","719.00","837.00","716.05","44.74M","12.13%"
"30-05-2024","707.65","715.15","722.40","705.00","2.40M","-0.55%"
"29-05-2024","711.55","720.50","724.95","707.05","2.78M","-0.36%"
"28-05-2024","714.10","727.75","729.90","711.15","2.91M","-1.15%"
"27-05-2024","722.40","709.85","727.95","706.00","2.32M","2.42%"
"24-05-2024","705.30","713.65","732.00","700.80","2.09M","-1.16%"
"23-05-2024","713.60","711.95","724.70","704.90","1.47M","0.93%"
"22-05-2024","707.00","701.55","723.60","694.00","2.35M","0.78%"
"21-05-2024","701.55","708.00","708.00","692.50","1.87M","-0.37%"
"18-05-2024","704.15","706.40","713.00","700.30","69.44K","-0.42%"
