"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","101.31","100.90","101.50","99.49","1.92M","1.21%"
"05-11-2024","100.10","98.90","100.74","97.50","2.44M","1.01%"
"04-11-2024","99.10","101.90","101.90","98.05","2.31M","-2.96%"
"01-11-2024","102.12","101.30","102.40","100.88","766.27K","1.68%"
"31-10-2024","100.43","99.80","101.74","99.00","2.03M","0.16%"
"30-10-2024","100.27","96.57","101.00","96.26","4.93M","3.83%"
"29-10-2024","96.57","97.95","97.95","94.48","3.37M","-0.57%"
"28-10-2024","97.12","98.00","99.35","95.60","4.13M","-0.52%"
"25-10-2024","97.63","93.65","99.88","88.60","12.42M","3.97%"
"24-10-2024","93.90","94.15","94.80","92.50","1.98M","-0.23%"
"23-10-2024","94.12","91.18","94.49","88.11","2.88M","3.22%"
"22-10-2024","91.18","94.66","94.69","89.78","3.85M","-3.71%"
"21-10-2024","94.69","96.79","97.39","94.42","1.40M","-1.79%"
"18-10-2024","96.42","97.12","97.19","95.50","1.45M","-0.71%"
"17-10-2024","97.11","97.50","98.60","96.39","1.45M","-0.01%"
"16-10-2024","97.12","96.80","97.77","96.57","1.45M","0.32%"
"15-10-2024","96.81","98.62","99.06","96.60","2.05M","-1.85%"
"14-10-2024","98.63","99.45","100.73","98.51","1.46M","-0.49%"
"11-10-2024","99.12","99.52","99.95","98.61","1.00M","-0.40%"
"10-10-2024","99.52","99.75","101.64","99.30","1.52M","0.16%"
"09-10-2024","99.36","100.40","102.40","99.00","2.56M","-0.15%"
"08-10-2024","99.51","97.94","100.45","96.10","3.60M","2.22%"
"07-10-2024","97.35","102.39","103.17","96.59","3.74M","-4.31%"
"04-10-2024","101.73","103.15","104.28","101.29","2.44M","-1.31%"
"03-10-2024","103.08","104.55","105.00","102.25","1.94M","-2.28%"
"01-10-2024","105.49","107.23","108.00","104.90","3.27M","-1.62%"
"30-09-2024","107.23","107.20","107.47","105.20","1.62M","-0.05%"
"27-09-2024","107.28","109.30","109.45","106.50","1.77M","-1.60%"
"26-09-2024","109.02","108.90","110.50","108.64","1.93M","-0.01%"
"25-09-2024","109.03","109.33","109.60","108.21","2.24M","-0.01%"
"24-09-2024","109.04","109.60","109.60","107.54","3.19M","0.33%"
"23-09-2024","108.68","104.90","109.30","104.90","4.86M","2.99%"
"20-09-2024","105.52","104.65","105.90","103.10","3.83M","0.84%"
"19-09-2024","104.64","106.24","106.65","102.60","2.49M","-0.53%"
"18-09-2024","105.20","103.74","105.60","103.61","6.69M","1.41%"
"17-09-2024","103.74","106.50","106.68","103.45","2.73M","-2.41%"
"16-09-2024","106.30","106.26","108.20","105.67","2.81M","0.50%"
"13-09-2024","105.77","106.10","107.79","105.50","2.76M","-0.13%"
"12-09-2024","105.91","104.75","106.80","104.50","1.96M","1.52%"
"11-09-2024","104.32","106.00","106.00","104.22","1.39M","-1.69%"
"10-09-2024","106.11","105.19","106.69","105.19","1.26M","1.40%"
"09-09-2024","104.64","105.61","106.39","103.22","3.29M","-1.79%"
"06-09-2024","106.55","109.30","109.89","106.00","2.60M","-1.92%"
"05-09-2024","108.64","109.45","109.45","108.30","1.31M","-0.28%"
"04-09-2024","108.95","108.00","109.74","107.61","1.59M","0.29%"
"03-09-2024","108.63","109.85","110.56","108.26","2.66M","-1.11%"
"02-09-2024","109.85","110.50","110.60","108.86","1.68M","-0.04%"
"30-08-2024","109.89","112.00","112.20","108.85","3.60M","-1.28%"
"29-08-2024","111.31","114.00","114.10","110.23","8.28M","2.50%"
"28-08-2024","108.59","109.25","109.25","108.25","1.59M","0.21%"
"27-08-2024","108.36","109.85","109.85","108.05","2.03M","-0.98%"
"26-08-2024","109.43","111.39","111.39","109.10","2.39M","-0.87%"
"23-08-2024","110.39","111.46","111.58","109.75","1.93M","-0.72%"
"22-08-2024","111.19","111.76","112.38","111.01","1.86M","0.01%"
"21-08-2024","111.18","111.50","111.96","110.22","2.67M","0.30%"
"20-08-2024","110.85","111.79","112.25","110.41","2.54M","-0.14%"
"19-08-2024","111.01","110.00","111.39","109.56","2.04M","1.49%"
"16-08-2024","109.38","110.18","110.18","108.50","2.10M","1.26%"
"14-08-2024","108.02","111.00","111.70","107.65","3.02M","-1.57%"
"13-08-2024","109.74","111.70","113.55","109.10","3.02M","-1.07%"
"12-08-2024","110.93","111.00","111.89","109.86","3.34M","-1.93%"
"09-08-2024","113.11","114.50","114.84","112.44","3.79M","-1.20%"
"08-08-2024","114.48","115.95","116.90","114.01","3.99M","-0.93%"
"07-08-2024","115.55","113.75","116.45","112.61","5.75M","2.64%"
"06-08-2024","112.58","112.50","115.47","111.65","7.70M","1.97%"
"05-08-2024","110.41","113.50","114.40","110.00","9.59M","-5.60%"
"02-08-2024","116.96","108.00","123.70","107.71","58.32M","6.80%"
"01-08-2024","109.51","110.80","111.30","108.23","4.62M","-0.05%"
"31-07-2024","109.56","112.55","112.71","109.29","4.16M","-2.48%"
"30-07-2024","112.35","113.50","113.88","112.10","3.35M","-0.30%"
"29-07-2024","112.69","111.01","116.50","111.01","14.69M","3.95%"
"26-07-2024","108.41","107.89","109.35","107.08","4.11M","0.49%"
"25-07-2024","107.88","107.00","108.50","106.62","2.96M","0.70%"
"24-07-2024","107.13","108.90","111.79","106.30","7.07M","-1.14%"
"23-07-2024","108.36","110.40","110.50","104.45","3.12M","-1.83%"
"22-07-2024","110.38","109.00","111.86","107.77","2.63M","-0.24%"
"19-07-2024","110.65","111.70","112.70","109.79","2.38M","-0.98%"
"18-07-2024","111.74","113.85","115.84","111.11","4.12M","-1.91%"
"16-07-2024","113.91","113.95","115.29","112.90","3.77M","0.50%"
"15-07-2024","113.34","107.71","113.95","106.80","8.58M","5.52%"
"12-07-2024","107.41","107.24","108.75","106.53","2.10M","0.16%"
"11-07-2024","107.24","108.00","108.90","106.65","2.26M","0.17%"
"10-07-2024","107.06","109.35","109.83","105.66","3.98M","-1.57%"
"09-07-2024","108.77","106.75","111.65","106.63","7.01M","2.44%"
"08-07-2024","106.18","112.51","112.77","105.79","9.52M","-5.28%"
"05-07-2024","112.10","113.96","114.69","111.75","4.85M","-1.64%"
"04-07-2024","113.97","115.20","115.94","113.82","2.53M","-0.48%"
"03-07-2024","114.52","117.69","118.19","114.01","4.17M","-2.30%"
"02-07-2024","117.21","117.65","118.70","116.45","2.46M","-0.05%"
"01-07-2024","117.27","115.00","118.00","114.56","2.41M","2.53%"
"28-06-2024","114.38","116.15","119.15","113.73","4.14M","-1.05%"
"27-06-2024","115.59","116.97","117.59","113.70","3.12M","-1.16%"
"26-06-2024","116.95","117.40","118.30","116.55","1.95M","-0.08%"
"25-06-2024","117.04","118.71","119.50","116.43","2.64M","-0.95%"
"24-06-2024","118.16","121.25","121.25","117.59","4.45M","-2.07%"
"21-06-2024","120.66","121.50","121.70","119.69","1.84M","-0.15%"
"20-06-2024","120.84","121.51","122.99","120.55","2.87M","-0.44%"
"19-06-2024","121.37","121.39","123.10","119.44","2.91M","0.26%"
"18-06-2024","121.06","123.10","123.40","120.75","2.37M","-1.09%"
"14-06-2024","122.40","122.85","123.40","121.81","1.94M","-0.34%"
"13-06-2024","122.82","123.50","123.80","121.66","1.85M","0.02%"
"12-06-2024","122.80","122.25","123.80","122.01","2.31M","0.90%"
"11-06-2024","121.70","122.25","122.58","120.84","3.14M","-0.02%"
"10-06-2024","121.73","121.88","124.00","121.21","2.80M","0.48%"
"07-06-2024","121.15","120.20","121.95","118.55","3.51M","1.42%"
"06-06-2024","119.45","119.50","124.85","118.50","6.70M","2.49%"
"05-06-2024","116.55","112.00","119.70","102.65","11.46M","7.37%"
"04-06-2024","108.55","135.00","135.00","108.50","30.33M","-19.95%"
"03-06-2024","135.60","136.00","137.75","132.30","11.96M","2.96%"
"31-05-2024","131.70","126.40","133.80","124.55","6.00M","4.52%"
"30-05-2024","126.00","128.00","128.70","125.50","1.61M","-1.79%"
"29-05-2024","128.30","128.95","129.85","127.90","1.63M","-0.66%"
"28-05-2024","129.15","131.75","132.25","128.10","2.62M","-1.67%"
"27-05-2024","131.35","130.90","132.80","129.75","5.02M","0.92%"
"24-05-2024","130.15","129.85","132.50","129.50","2.82M","0.39%"
"23-05-2024","129.65","130.00","134.50","129.15","8.21M","0.23%"
"22-05-2024","129.35","129.90","131.40","128.70","1.80M","-0.12%"
"21-05-2024","129.50","129.50","130.35","128.15","2.82M","-0.04%"
"18-05-2024","129.55","129.80","130.00","129.00","449.83K","0.35%"
"17-05-2024","129.10","130.10","130.40","127.80","2.17M","-0.27%"
"16-05-2024","129.45","130.90","131.50","128.60","1.51M","-0.35%"
"15-05-2024","129.90","130.20","133.15","129.25","2.87M","0.81%"
"14-05-2024","128.85","128.10","130.05","128.10","1.52M","0.90%"
"13-05-2024","127.70","129.80","129.95","125.50","1.79M","-1.05%"
"10-05-2024","129.05","129.00","130.00","124.70","2.06M","0.58%"
"09-05-2024","128.30","132.95","133.35","127.50","2.81M","-3.13%"
"08-05-2024","132.45","129.40","134.40","129.00","4.48M","2.36%"
"07-05-2024","129.40","136.15","136.70","127.80","7.26M","-4.04%"
"06-05-2024","134.85","145.00","147.20","134.00","18.37M","-3.23%"
"03-05-2024","139.35","139.40","139.95","136.55","3.62M","0.50%"
"02-05-2024","138.65","136.00","139.05","135.20","6.02M","1.58%"
"30-04-2024","136.50","137.00","137.00","134.50","4.03M","0.26%"
"29-04-2024","136.15","133.20","136.80","131.80","6.07M","2.87%"
"26-04-2024","132.35","132.60","133.45","131.30","2.21M","0.04%"
"25-04-2024","132.30","129.50","133.55","129.45","3.19M","2.16%"
"24-04-2024","129.50","131.20","132.45","129.00","1.62M","-0.77%"
"23-04-2024","130.50","133.25","133.40","130.00","2.01M","-0.80%"
"22-04-2024","131.55","130.20","132.95","129.15","2.89M","2.69%"
"19-04-2024","128.10","129.40","130.65","127.70","3.07M","-2.33%"
"18-04-2024","131.15","130.85","133.45","129.90","3.36M","0.65%"
"16-04-2024","130.30","131.00","132.90","130.00","2.17M","-1.36%"
"15-04-2024","132.10","131.00","135.60","130.60","3.49M","-4.07%"
"12-04-2024","137.70","137.95","139.45","136.80","2.25M","-1.01%"
"10-04-2024","139.10","137.50","140.00","136.40","2.49M","0.83%"
"09-04-2024","137.95","136.65","139.25","136.35","2.36M","1.14%"
"08-04-2024","136.40","137.00","139.00","133.60","4.67M","-1.91%"
"05-04-2024","139.05","137.60","139.70","137.10","2.13M","0.94%"
"04-04-2024","137.75","140.20","141.70","136.55","3.72M","-1.08%"
"03-04-2024","139.25","136.10","139.80","135.00","4.04M","1.83%"
"02-04-2024","136.75","135.50","137.25","134.80","1.72M","0.96%"
"01-04-2024","135.45","135.00","137.60","134.10","2.63M","0.93%"
"28-03-2024","134.20","132.50","136.00","132.00","3.73M","2.21%"
"27-03-2024","131.30","129.90","133.75","129.65","5.54M","1.70%"
"26-03-2024","129.10","130.95","132.55","128.55","2.53M","-1.15%"
"22-03-2024","130.60","130.15","132.50","130.00","2.34M","0.42%"
"21-03-2024","130.05","132.00","133.90","129.30","5.34M","-2.40%"
"20-03-2024","133.25","132.60","134.45","130.25","2.09M","1.02%"
"19-03-2024","131.90","131.70","132.90","130.00","1.47M","0.08%"
"18-03-2024","131.80","135.00","136.55","130.60","3.17M","-1.31%"
"15-03-2024","133.55","128.50","138.35","123.30","17.84M","3.93%"
"14-03-2024","128.50","118.90","130.00","116.15","4.96M","6.99%"
"13-03-2024","120.10","130.90","131.80","118.15","7.17M","-7.29%"
"12-03-2024","129.55","138.65","139.80","128.10","6.12M","-6.43%"
"11-03-2024","138.45","143.05","144.50","136.50","3.81M","-1.56%"
"07-03-2024","140.65","139.05","143.40","139.05","3.51M","2.03%"
"06-03-2024","137.85","147.50","148.20","137.05","6.94M","-6.19%"
"05-03-2024","146.95","143.90","147.55","142.35","3.20M","2.51%"
"04-03-2024","143.35","143.90","149.70","140.20","5.27M","0.24%"
"02-03-2024","143.00","145.00","145.00","142.60","215.89K","-0.73%"
"01-03-2024","144.05","144.00","144.90","141.90","2.83M","0.63%"
"29-02-2024","143.15","138.90","143.70","137.00","6.08M","4.07%"
"28-02-2024","137.55","142.35","143.40","136.10","3.20M","-2.89%"
"27-02-2024","141.65","141.20","142.60","140.10","2.37M","0.82%"
"26-02-2024","140.50","143.80","145.00","140.00","2.67M","-1.99%"
"23-02-2024","143.35","144.90","149.30","141.20","5.71M","-1.38%"
"22-02-2024","145.35","140.00","146.25","137.00","4.07M","4.27%"
"21-02-2024","139.40","143.30","145.20","138.40","2.92M","-2.28%"
"20-02-2024","142.65","143.85","145.00","141.60","1.85M","-0.73%"
"19-02-2024","143.70","143.85","147.70","142.90","3.30M","0.00%"
"16-02-2024","143.70","144.50","147.00","142.75","3.96M","0.31%"
"15-02-2024","143.25","139.40","144.30","139.35","4.81M","3.69%"
"14-02-2024","138.15","132.00","139.75","130.55","3.16M","3.06%"
"13-02-2024","134.05","134.00","136.70","129.05","4.45M","-0.19%"
"12-02-2024","134.30","144.45","145.80","131.80","4.90M","-6.74%"
"09-02-2024","144.00","148.20","152.50","140.00","7.48M","-2.47%"
"08-02-2024","147.65","145.00","149.65","143.50","6.70M","2.71%"
