"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","4,150.60","4,124.45","4,167.90","4,104.80","115.75K","0.67%"
"05-11-2024","4,122.95","4,195.00","4,267.40","4,086.00","273.85K","-3.52%"
"04-11-2024","4,273.30","4,325.10","4,335.95","4,249.00","49.13K","-1.66%"
"01-11-2024","4,345.25","4,350.00","4,350.00","4,320.05","6.89K","0.53%"
"31-10-2024","4,322.30","4,324.15","4,352.30","4,276.30","78.12K","-0.31%"
"30-10-2024","4,335.70","4,344.00","4,348.30","4,296.05","62.10K","-0.34%"
"29-10-2024","4,350.45","4,272.55","4,360.00","4,246.65","103.36K","2.25%"
"28-10-2024","4,254.90","3,999.00","4,281.25","3,989.95","203.23K","3.65%"
"25-10-2024","4,105.00","4,250.00","4,250.00","4,090.00","170.41K","-2.12%"
"24-10-2024","4,193.70","4,168.55","4,261.85","4,168.55","49.63K","-0.78%"
"23-10-2024","4,226.75","4,195.90","4,264.40","4,168.00","91.47K","0.51%"
"22-10-2024","4,205.20","4,210.00","4,276.40","4,165.00","71.28K","-0.08%"
"21-10-2024","4,208.40","4,275.00","4,309.95","4,201.00","32.63K","-2.19%"
"18-10-2024","4,302.70","4,265.00","4,319.00","4,227.55","84.95K","0.26%"
"17-10-2024","4,291.55","4,354.00","4,354.00","4,257.10","92.67K","-1.30%"
"16-10-2024","4,347.90","4,312.00","4,356.15","4,293.15","88.43K","0.56%"
"15-10-2024","4,323.65","4,334.00","4,335.00","4,253.50","51.80K","0.70%"
"14-10-2024","4,293.70","4,245.00","4,330.65","4,163.15","410.56K","1.30%"
"11-10-2024","4,238.75","4,261.55","4,290.35","4,222.00","54.63K","-0.42%"
"10-10-2024","4,256.60","4,373.40","4,383.95","4,240.00","80.25K","-1.70%"
"09-10-2024","4,330.10","4,467.50","4,467.50","4,314.55","86.08K","-2.51%"
"08-10-2024","4,441.55","4,351.70","4,450.00","4,330.00","44.28K","1.71%"
"07-10-2024","4,366.80","4,570.00","4,616.45","4,348.80","54.07K","-4.35%"
"04-10-2024","4,565.55","4,550.00","4,613.65","4,467.50","104.77K","-0.05%"
"03-10-2024","4,567.85","4,581.05","4,620.00","4,525.80","44.54K","-1.16%"
"01-10-2024","4,621.55","4,652.45","4,658.65","4,601.00","36.81K","-0.47%"
"30-09-2024","4,643.30","4,644.95","4,677.00","4,611.00","69.19K","0.15%"
"27-09-2024","4,636.25","4,601.00","4,696.70","4,536.20","246.94K","1.18%"
"26-09-2024","4,582.20","4,664.00","4,664.00","4,568.00","250.56K","-1.40%"
"25-09-2024","4,647.10","4,766.35","4,775.35","4,638.50","187.76K","-2.10%"
"24-09-2024","4,746.70","4,806.50","4,825.85","4,732.50","147.96K","-0.76%"
"23-09-2024","4,783.05","4,665.00","4,799.00","4,650.00","165.18K","3.25%"
"20-09-2024","4,632.70","4,657.60","4,750.00","4,618.80","244.97K","0.14%"
"19-09-2024","4,626.35","4,660.10","4,711.80","4,581.35","112.15K","-0.12%"
"18-09-2024","4,632.05","4,778.45","4,805.90","4,605.00","116.09K","-3.06%"
"17-09-2024","4,778.45","4,835.00","4,835.00","4,759.85","61.11K","-0.71%"
"16-09-2024","4,812.75","4,752.05","4,884.25","4,743.80","106.32K","0.97%"
"13-09-2024","4,766.40","4,665.50","4,795.00","4,665.50","193.36K","1.95%"
"12-09-2024","4,675.35","4,550.00","4,705.00","4,550.00","101.99K","1.65%"
"11-09-2024","4,599.55","4,729.40","4,739.60","4,582.35","115.83K","-1.92%"
"10-09-2024","4,689.40","4,838.05","4,895.50","4,649.60","322.39K","-2.46%"
"09-09-2024","4,807.75","4,680.00","4,830.00","4,642.70","184.62K","2.34%"
"06-09-2024","4,697.95","4,669.80","4,734.15","4,629.25","150.25K","-0.06%"
"05-09-2024","4,700.55","4,694.45","4,805.00","4,655.00","386.18K","0.65%"
"04-09-2024","4,670.20","4,645.00","4,694.00","4,574.05","303.92K","0.48%"
"03-09-2024","4,647.80","4,485.10","4,670.80","4,465.00","191.57K","3.70%"
"02-09-2024","4,481.95","4,452.90","4,528.00","4,452.90","64.13K","0.63%"
"30-08-2024","4,453.90","4,419.80","4,476.85","4,315.00","57.50K","0.19%"
"29-08-2024","4,445.30","4,424.55","4,469.00","4,373.80","140.67K","0.47%"
"28-08-2024","4,424.55","4,499.95","4,575.00","4,411.60","175.30K","-1.63%"
"27-08-2024","4,497.80","4,431.15","4,515.00","4,431.10","109.11K","1.17%"
"26-08-2024","4,445.65","4,400.00","4,464.00","4,387.40","72.89K","1.19%"
"23-08-2024","4,393.35","4,400.90","4,418.45","4,324.00","166.31K","-0.17%"
"22-08-2024","4,401.00","4,300.15","4,440.05","4,285.35","181.28K","2.35%"
"21-08-2024","4,300.10","4,280.00","4,307.25","4,248.70","189.26K","-0.05%"
"20-08-2024","4,302.40","4,326.70","4,346.20","4,257.15","44.75K","-0.24%"
"19-08-2024","4,312.65","4,248.15","4,339.35","4,217.90","85.22K","1.71%"
"16-08-2024","4,239.95","4,122.00","4,250.00","4,103.15","78.66K","3.23%"
"14-08-2024","4,107.20","4,170.00","4,170.00","4,085.50","56.72K","-1.56%"
"13-08-2024","4,172.20","4,210.00","4,225.80","4,140.00","45.68K","-1.52%"
"12-08-2024","4,236.75","4,244.75","4,250.00","4,190.00","33.33K","-0.08%"
"09-08-2024","4,240.20","4,268.20","4,281.00","4,206.80","44.56K","0.07%"
"08-08-2024","4,237.30","4,285.00","4,306.35","4,180.50","197.99K","-1.36%"
"07-08-2024","4,295.60","4,242.00","4,325.00","4,240.05","103.40K","1.34%"
"06-08-2024","4,238.60","4,211.00","4,282.95","4,211.00","158.17K","0.80%"
"05-08-2024","4,204.95","4,253.70","4,268.95","4,148.20","127.02K","-1.86%"
"02-08-2024","4,284.60","4,420.00","4,420.00","4,246.20","98.28K","-3.10%"
"01-08-2024","4,421.80","4,448.15","4,460.00","4,350.00","150.95K","0.11%"
"31-07-2024","4,416.95","4,524.95","4,590.00","4,400.00","126.77K","-1.99%"
"30-07-2024","4,506.60","4,385.00","4,529.60","4,315.00","146.69K","2.65%"
"29-07-2024","4,390.40","4,414.15","4,511.85","4,370.10","84.30K","0.06%"
"26-07-2024","4,387.65","4,420.00","4,464.70","4,370.50","83.63K","-0.32%"
"25-07-2024","4,401.95","4,450.00","4,500.00","4,338.80","171.87K","-1.32%"
"24-07-2024","4,460.75","4,480.40","4,527.25","4,410.00","83.64K","-0.44%"
"23-07-2024","4,480.40","4,517.95","4,517.95","4,334.65","270.85K","0.19%"
"22-07-2024","4,471.95","4,300.85","4,484.70","4,257.80","456.14K","4.37%"
"19-07-2024","4,284.55","4,312.15","4,392.70","4,252.55","102.58K","-2.01%"
"18-07-2024","4,372.55","4,414.65","4,440.85","4,354.70","84.43K","-0.95%"
"16-07-2024","4,414.65","4,347.50","4,438.00","4,324.80","119.22K","1.67%"
"15-07-2024","4,342.15","4,367.55","4,397.70","4,324.00","65.07K","0.06%"
"12-07-2024","4,339.40","4,341.65","4,370.55","4,291.30","55.76K","-0.05%"
