"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","391.40","370.00","398.85","368.70","1.87M","0.58%"
"05-11-2024","389.15","390.00","394.80","385.95","333.54K","-0.47%"
"04-11-2024","391.00","397.85","398.85","388.20","343.68K","-1.73%"
"01-11-2024","397.90","399.50","401.50","390.00","111.20K","0.23%"
"31-10-2024","397.00","391.55","398.50","391.55","296.47K","0.88%"
"30-10-2024","393.55","385.00","397.85","382.55","368.93K","2.97%"
"29-10-2024","382.20","383.00","384.00","376.75","327.47K","0.58%"
"28-10-2024","380.00","377.85","385.80","369.00","496.76K","1.60%"
"25-10-2024","374.00","385.00","386.95","368.25","626.07K","-2.91%"
"24-10-2024","385.20","390.10","393.70","384.00","283.52K","-1.26%"
"23-10-2024","390.10","385.75","392.60","379.60","416.41K","-0.42%"
"22-10-2024","391.75","399.00","401.75","386.70","578.99K","-1.77%"
"21-10-2024","398.80","399.85","414.50","396.15","951.54K","-0.26%"
"18-10-2024","399.85","394.65","401.00","385.00","420.09K","0.93%"
"17-10-2024","396.15","402.50","405.45","394.85","409.17K","-2.37%"
"16-10-2024","405.75","407.30","408.20","401.00","410.73K","-0.42%"
"15-10-2024","407.45","408.05","411.40","405.15","471.93K","0.20%"
"14-10-2024","406.65","404.95","407.95","402.50","390.35K","1.11%"
"11-10-2024","402.20","397.95","404.05","395.70","434.97K","1.18%"
"10-10-2024","397.50","406.00","406.00","396.05","389.16K","-1.57%"
"09-10-2024","403.85","403.00","407.50","401.10","403.78K","1.13%"
"08-10-2024","399.35","391.10","400.35","384.70","561.47K","2.20%"
"07-10-2024","390.75","408.00","408.00","385.00","1.24M","-3.54%"
"04-10-2024","405.10","412.00","413.95","400.65","998.57K","-2.43%"
"03-10-2024","415.20","420.05","423.25","412.25","888.14K","-3.01%"
"01-10-2024","428.10","430.30","433.20","427.00","365.12K","-0.59%"
"30-09-2024","430.65","432.10","436.35","426.00","731.67K","-0.63%"
"27-09-2024","433.40","428.80","436.95","427.50","1.66M","1.08%"
"26-09-2024","428.75","432.50","434.00","423.70","716.10K","-0.37%"
"25-09-2024","430.35","418.90","435.50","417.55","2.09M","3.19%"
"24-09-2024","417.05","422.50","423.00","414.30","708.34K","-1.18%"
"23-09-2024","422.05","430.35","430.90","420.40","602.81K","-1.46%"
"20-09-2024","428.30","424.85","429.90","423.10","424.10K","1.44%"
"19-09-2024","422.20","428.80","433.50","415.00","948.42K","-1.33%"
"18-09-2024","427.90","434.10","435.95","425.15","836.44K","-1.05%"
"17-09-2024","432.45","452.75","452.75","429.55","1.60M","-2.24%"
"16-09-2024","442.35","445.00","453.00","440.50","1.78M","-0.27%"
"13-09-2024","443.55","423.90","446.40","418.50","3.35M","5.12%"
"12-09-2024","421.95","422.00","425.55","417.35","619.68K","0.09%"
"11-09-2024","421.55","430.80","434.70","420.00","1.53M","-1.07%"
