"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","951.85","942.00","955.50","928.00","2.51M","1.69%"
"05-11-2024","936.05","909.00","939.00","905.15","2.27M","2.95%"
"04-11-2024","909.20","932.00","933.90","897.80","1.03M","-2.18%"
"01-11-2024","929.50","927.90","935.40","922.40","228.89K","0.98%"
"31-10-2024","920.50","919.00","931.70","911.55","1.12M","0.16%"
"30-10-2024","919.00","911.65","930.40","904.55","805.68K","0.43%"
"29-10-2024","915.05","924.00","924.00","896.45","1.62M","-0.43%"
"28-10-2024","919.00","899.00","924.85","891.55","962.92K","2.22%"
"25-10-2024","899.05","924.30","927.00","882.00","2.31M","-2.73%"
"24-10-2024","924.30","918.70","935.65","909.05","3.19M","0.97%"
"23-10-2024","915.45","924.90","925.70","896.75","1.87M","0.57%"
"22-10-2024","910.25","948.00","952.45","906.10","1.99M","-4.08%"
"21-10-2024","948.95","969.15","973.65","946.00","1.66M","-1.61%"
"18-10-2024","964.50","929.80","973.20","923.70","2.70M","3.71%"
"17-10-2024","930.00","959.00","961.95","915.00","5.12M","-3.15%"
"16-10-2024","960.25","965.00","971.95","950.05","7.11M","-0.87%"
"15-10-2024","968.70","996.95","999.55","965.00","7.07M","-2.46%"
"14-10-2024","993.15","1,006.05","1,017.10","984.35","1.95M","-1.26%"
"11-10-2024","1,005.85","989.00","1,014.00","989.00","1.83M","1.52%"
"10-10-2024","990.75","1,008.70","1,034.20","986.00","1.42M","-0.88%"
"09-10-2024","999.50","985.50","1,009.65","965.55","2.17M","1.69%"
"08-10-2024","982.90","999.00","999.00","965.00","2.61M","-1.77%"
"07-10-2024","1,000.60","1,026.05","1,030.70","987.10","1.71M","-2.01%"
"04-10-2024","1,021.10","1,055.00","1,057.85","1,013.40","2.14M","-2.85%"
"03-10-2024","1,051.05","1,030.00","1,069.00","1,027.05","6.21M","1.52%"
"01-10-2024","1,035.35","1,050.00","1,050.00","1,019.45","2.38M","-0.41%"
"30-09-2024","1,039.65","1,038.00","1,058.85","1,023.55","3.04M","1.13%"
"27-09-2024","1,028.05","1,036.00","1,048.90","1,011.10","3.00M","-0.02%"
"26-09-2024","1,028.25","1,027.00","1,035.70","1,013.80","1.90M","0.73%"
"25-09-2024","1,020.80","1,053.00","1,054.75","1,018.50","2.56M","-1.99%"
"24-09-2024","1,041.55","1,032.00","1,053.00","1,032.00","2.78M","1.98%"
"23-09-2024","1,021.35","1,015.00","1,024.00","1,008.60","1.45M","1.18%"
"20-09-2024","1,009.40","1,015.65","1,041.45","1,003.60","3.08M","0.66%"
"19-09-2024","1,002.80","1,035.25","1,043.70","997.55","4.88M","-2.15%"
"18-09-2024","1,024.85","1,045.55","1,054.85","1,017.55","1.78M","-2.65%"
"17-09-2024","1,052.75","1,044.00","1,073.70","1,033.05","2.22M","0.93%"
"16-09-2024","1,043.10","1,036.00","1,049.00","1,024.90","1.96M","1.16%"
"13-09-2024","1,031.10","1,010.10","1,035.70","1,008.75","2.81M","2.63%"
"12-09-2024","1,004.65","980.95","1,014.00","972.15","3.00M","3.90%"
"11-09-2024","966.90","960.00","970.90","951.30","1.68M","0.51%"
"10-09-2024","962.00","950.00","973.45","949.60","1.91M","1.71%"
"09-09-2024","945.80","953.95","965.35","933.00","1.88M","-0.85%"
"06-09-2024","953.95","950.50","969.70","937.80","1.31M","0.36%"
"05-09-2024","950.50","947.00","955.65","942.60","787.38K","0.52%"
"04-09-2024","945.60","935.00","953.35","929.05","1.58M","-0.28%"
"03-09-2024","948.25","965.00","969.35","946.05","972.26K","-1.77%"
"02-09-2024","965.35","975.00","980.85","959.00","1.05M","-0.52%"
"30-08-2024","970.40","961.30","976.00","960.90","2.68M","1.03%"
"29-08-2024","960.50","964.00","967.00","948.55","1.05M","-0.87%"
"28-08-2024","968.90","974.60","975.00","963.00","914.23K","0.01%"
"27-08-2024","968.80","985.50","986.10","966.95","983.84K","-1.70%"
"26-08-2024","985.60","965.00","987.85","960.15","1.18M","2.68%"
"23-08-2024","959.85","969.00","969.00","957.80","853.88K","-0.61%"
"22-08-2024","965.75","957.45","968.00","948.00","1.14M","0.85%"
"21-08-2024","957.60","949.65","959.90","944.00","832.90K","0.84%"
"20-08-2024","949.65","957.00","959.15","935.00","999.58K","-0.43%"
"19-08-2024","953.75","944.30","957.60","931.15","1.25M","2.06%"
"16-08-2024","934.50","935.00","941.25","926.05","1.07M","0.51%"
"14-08-2024","929.75","908.95","931.95","896.00","3.80M","2.29%"
"13-08-2024","908.95","921.50","927.85","905.00","1.45M","-1.00%"
"12-08-2024","918.10","914.95","920.60","902.20","2.38M","0.21%"
"09-08-2024","916.20","926.80","937.00","913.55","1.48M","-0.32%"
"08-08-2024","919.15","938.00","938.00","915.00","2.20M","-2.88%"
"07-08-2024","946.40","936.00","949.85","925.10","2.26M","2.27%"
"06-08-2024","925.35","919.10","936.45","919.10","2.79M","0.82%"
"05-08-2024","917.85","937.90","946.05","903.45","3.33M","-4.07%"
"02-08-2024","956.75","969.00","974.65","953.15","1.98M","-2.70%"
"01-08-2024","983.30","996.00","1,006.65","975.20","1.24M","-0.50%"
"31-07-2024","988.25","990.00","992.00","980.15","984.61K","1.20%"
"30-07-2024","976.50","966.90","981.65","956.10","1.22M","0.99%"
"29-07-2024","966.90","979.50","982.80","963.50","1.60M","-0.56%"
"26-07-2024","972.35","947.20","973.50","942.30","3.12M","3.68%"
"25-07-2024","937.80","940.00","954.30","918.90","5.02M","-3.56%"
"24-07-2024","972.45","952.80","974.95","945.85","2.39M","2.06%"
"23-07-2024","952.80","955.20","961.60","927.25","1.40M","0.02%"
"22-07-2024","952.60","942.00","958.55","930.35","2.49M","0.66%"
"19-07-2024","946.35","984.95","987.50","944.45","2.97M","-4.40%"
"18-07-2024","989.95","1,014.90","1,014.90","976.40","4.76M","-1.99%"
"16-07-2024","1,010.05","1,014.00","1,028.00","1,008.40","1.71M","0.15%"
"15-07-2024","1,008.50","1,017.90","1,020.75","1,002.85","1.12M","-0.53%"
"12-07-2024","1,013.90","1,016.00","1,019.00","1,005.70","907.80K","-0.06%"
"11-07-2024","1,014.55","1,008.00","1,025.85","1,008.00","1.84M","0.66%"
