"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,008.65","1,000.00","1,015.05","984.70","2.76M","0.92%"
"05-11-2024","999.50","954.90","1,003.00","952.00","5.18M","4.67%"
"04-11-2024","954.90","965.05","968.85","941.10","957.72K","-1.38%"
"01-11-2024","968.30","969.90","978.00","965.00","136.51K","0.48%"
"31-10-2024","963.65","958.00","967.85","954.45","1.45M","0.66%"
"30-10-2024","957.30","966.20","968.55","952.30","733.89K","-0.16%"
"29-10-2024","958.80","972.45","972.80","947.00","1.03M","-0.87%"
"28-10-2024","967.25","936.00","972.45","909.00","1.74M","2.48%"
"25-10-2024","943.85","958.10","959.95","926.80","2.54M","-1.49%"
"24-10-2024","958.10","954.45","962.05","952.45","650.39K","0.38%"
"23-10-2024","954.45","963.65","971.00","952.15","1.31M","-0.95%"
"22-10-2024","963.65","981.00","983.30","960.40","1.32M","-1.81%"
"21-10-2024","981.45","997.00","1,005.00","980.05","953.14K","-1.12%"
"18-10-2024","992.60","978.50","998.25","973.10","1.29M","1.34%"
"17-10-2024","979.50","991.10","995.20","969.75","1.08M","-1.00%"
"16-10-2024","989.35","995.00","1,004.80","982.05","1.25M","-1.15%"
"15-10-2024","1,000.85","1,012.50","1,020.60","992.00","1.44M","-1.15%"
"14-10-2024","1,012.50","1,017.00","1,032.00","1,009.40","1.83M","0.04%"
"11-10-2024","1,012.05","1,007.30","1,025.95","1,006.00","1.96M","0.46%"
"10-10-2024","1,007.40","999.00","1,012.95","996.75","1.37M","1.30%"
"09-10-2024","994.50","999.90","1,011.50","985.00","2.14M","-0.37%"
"08-10-2024","998.20","1,014.40","1,014.40","984.00","4.12M","-2.02%"
"07-10-2024","1,018.75","1,039.95","1,044.10","1,012.50","2.71M","-1.45%"
"04-10-2024","1,033.75","1,042.00","1,063.00","1,027.30","4.86M","-0.51%"
"03-10-2024","1,039.10","1,028.00","1,060.00","1,025.45","6.62M","1.15%"
"01-10-2024","1,027.30","1,029.00","1,029.95","1,014.40","1.39M","-0.27%"
"30-09-2024","1,030.05","1,004.00","1,032.90","1,004.00","4.25M","2.85%"
"27-09-2024","1,001.55","1,008.00","1,018.90","997.50","2.76M","-0.40%"
"26-09-2024","1,005.55","984.00","1,007.95","975.45","2.71M","2.33%"
"25-09-2024","982.65","996.00","998.65","972.70","1.31M","-0.71%"
"24-09-2024","989.70","991.30","1,009.80","985.15","5.55M","0.77%"
"23-09-2024","982.10","986.00","987.95","976.20","1.71M","0.06%"
"20-09-2024","981.55","970.00","988.00","965.20","8.04M","3.50%"
"19-09-2024","948.40","960.00","965.95","944.00","1.28M","-0.87%"
"18-09-2024","956.70","962.05","970.95","950.00","644.37K","-0.78%"
"17-09-2024","964.25","971.00","974.55","961.70","543.06K","-0.70%"
"16-09-2024","971.00","961.40","978.55","957.10","2.19M","1.72%"
"13-09-2024","954.55","958.00","972.45","951.35","2.45M","-0.03%"
"12-09-2024","954.80","935.80","957.60","929.00","3.06M","2.92%"
"11-09-2024","927.75","941.05","944.30","924.25","1.09M","-1.17%"
"10-09-2024","938.75","934.10","948.50","929.80","1.39M","0.48%"
"09-09-2024","934.25","923.00","936.70","919.05","1.79M","0.16%"
"06-09-2024","932.80","925.45","939.40","911.70","1.98M","0.79%"
"05-09-2024","925.45","934.55","944.55","923.75","1.48M","-0.81%"
"04-09-2024","933.05","920.00","934.70","912.00","3.02M","0.23%"
"03-09-2024","930.95","937.10","941.55","929.95","1.12M","-1.01%"
"02-09-2024","940.45","941.10","951.45","936.15","1.32M","-0.07%"
"30-08-2024","941.10","947.90","954.75","938.65","2.90M","0.15%"
