"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","318.90","312.95","321.45","312.10","3.04M","2.75%"
"05-11-2024","310.35","309.95","314.40","307.30","2.02M","-0.66%"
"04-11-2024","312.40","319.10","320.00","309.30","2.09M","-2.39%"
"01-11-2024","320.05","320.00","323.40","317.50","951.23K","1.64%"
"31-10-2024","314.90","316.00","318.65","309.00","2.34M","-0.38%"
"30-10-2024","316.10","319.35","322.60","313.85","4.84M","0.03%"
"29-10-2024","316.00","307.50","316.05","295.55","16.83M","9.97%"
"28-10-2024","287.35","282.55","291.20","277.25","1.93M","2.22%"
"25-10-2024","281.10","290.25","291.70","276.00","3.39M","-2.87%"
"24-10-2024","289.40","291.95","294.70","288.45","1.13M","-0.67%"
"23-10-2024","291.35","295.50","296.30","284.35","3.33M","-1.94%"
"22-10-2024","297.10","310.00","312.25","295.00","2.53M","-4.18%"
"21-10-2024","310.05","322.00","322.25","308.55","1.60M","-3.06%"
"18-10-2024","319.85","324.60","324.60","315.25","2.44M","-1.87%"
"17-10-2024","325.95","324.80","331.00","318.00","3.49M","0.66%"
"16-10-2024","323.80","323.40","326.45","320.50","1.23M","0.31%"
"15-10-2024","322.80","325.50","328.85","320.30","2.13M","1.18%"
"14-10-2024","319.05","323.15","325.95","318.00","1.14M","-0.68%"
"11-10-2024","321.25","317.00","328.75","314.00","3.42M","1.61%"
"10-10-2024","316.15","323.50","326.05","315.00","1.98M","-1.30%"
"09-10-2024","320.30","325.75","330.30","319.20","1.71M","-0.73%"
"08-10-2024","322.65","312.25","323.90","308.25","1.82M","2.58%"
"07-10-2024","314.55","332.10","334.10","310.35","2.15M","-4.96%"
"04-10-2024","330.95","332.75","336.45","324.00","1.74M","-0.69%"
"03-10-2024","333.25","340.00","343.75","330.45","2.09M","-3.53%"
"01-10-2024","345.45","345.20","351.00","340.00","2.35M","0.10%"
"30-09-2024","345.10","352.90","352.90","341.50","1.87M","-2.15%"
"27-09-2024","352.70","345.00","355.00","344.00","5.18M","3.43%"
"26-09-2024","341.00","339.50","342.40","336.00","2.26M","0.35%"
"25-09-2024","339.80","350.00","351.45","337.00","1.56M","-2.62%"
"24-09-2024","348.95","345.90","351.80","345.00","2.96M","1.56%"
"23-09-2024","343.60","339.40","352.85","336.00","6.61M","2.14%"
"20-09-2024","336.40","327.50","337.05","324.30","3.12M","3.17%"
"19-09-2024","326.05","339.50","340.10","321.60","3.65M","-3.75%"
"18-09-2024","338.75","336.95","344.80","333.00","3.94M","0.85%"
"17-09-2024","335.90","330.95","341.90","328.00","5.98M","2.21%"
"16-09-2024","328.65","334.00","337.00","327.00","1.68M","-0.98%"
"13-09-2024","331.90","327.20","335.00","325.40","2.54M","1.55%"
"12-09-2024","326.85","333.45","333.70","323.55","2.72M","-1.16%"
"11-09-2024","330.70","318.70","338.00","315.10","13.68M","4.65%"
"10-09-2024","316.00","314.75","318.60","313.00","2.06M","1.38%"
"09-09-2024","311.70","307.15","317.80","303.25","4.07M","1.53%"
"06-09-2024","307.00","309.10","310.95","302.25","2.36M","-0.68%"
"05-09-2024","309.10","311.75","318.70","307.50","2.69M","-0.26%"
"04-09-2024","309.90","313.60","316.20","309.30","1.77M","-2.16%"
"03-09-2024","316.75","320.40","325.00","315.00","1.33M","-0.81%"
"02-09-2024","319.35","324.60","325.95","316.40","1.24M","-1.62%"
"30-08-2024","324.60","323.55","328.30","320.20","1.32M","-0.35%"
"29-08-2024","325.75","330.00","335.00","323.00","1.97M","-1.38%"
"28-08-2024","330.30","335.00","336.45","329.00","2.84M","-0.66%"
"27-08-2024","332.50","310.50","334.95","310.50","8.90M","7.55%"
"26-08-2024","309.15","313.90","313.95","308.65","740.98K","-0.58%"
"23-08-2024","310.95","313.60","313.65","310.50","786.63K","-0.56%"
"22-08-2024","312.70","314.95","315.00","312.25","723.30K","-0.43%"
"21-08-2024","314.05","313.45","318.00","310.60","1.16M","0.43%"
"20-08-2024","312.70","315.00","315.60","310.50","977.39K","-0.32%"
"19-08-2024","313.70","316.95","317.75","313.00","1.03M","0.03%"
"16-08-2024","313.60","311.00","315.40","310.25","950.04K","1.08%"
"14-08-2024","310.25","315.20","316.55","309.05","977.12K","-1.40%"
"13-08-2024","314.65","320.15","321.85","313.60","871.14K","-1.39%"
"12-08-2024","319.10","314.00","320.75","313.25","1.05M","0.33%"
"09-08-2024","318.05","321.00","322.80","317.30","1.03M","0.47%"
"08-08-2024","316.55","320.00","324.50","315.20","1.10M","-1.16%"
"07-08-2024","320.25","316.00","322.80","313.50","1.21M","3.12%"
"06-08-2024","310.55","315.10","325.80","310.00","1.87M","-1.08%"
"05-08-2024","313.95","313.00","323.95","311.05","2.90M","-3.67%"
"02-08-2024","325.90","329.90","332.55","323.30","1.63M","-1.76%"
"01-08-2024","331.75","340.40","342.00","331.00","1.55M","-2.12%"
"31-07-2024","338.95","338.40","342.10","335.00","1.22M","0.46%"
"30-07-2024","337.40","341.95","345.40","336.00","1.23M","-1.39%"
"29-07-2024","342.15","347.00","349.30","341.00","1.79M","-0.47%"
"26-07-2024","343.75","351.00","354.50","341.80","2.02M","-1.32%"
"25-07-2024","348.35","335.70","350.00","334.75","3.39M","2.82%"
"24-07-2024","338.80","330.70","340.00","328.50","2.73M","3.85%"
"23-07-2024","326.25","321.05","332.00","310.20","6.77M","2.77%"
"22-07-2024","317.45","320.40","321.60","308.05","4.28M","0.55%"
"19-07-2024","315.70","318.00","327.60","313.20","4.96M","-6.07%"
"18-07-2024","336.10","342.00","342.95","333.50","1.45M","-1.32%"
"16-07-2024","340.60","342.95","344.60","339.25","1.26M","-0.45%"
"15-07-2024","342.15","341.00","344.10","331.25","2.51M","0.87%"
"12-07-2024","339.20","344.95","347.25","338.10","1.72M","-1.24%"
"11-07-2024","343.45","346.80","350.90","342.25","1.34M","-0.23%"
"10-07-2024","344.25","343.00","345.20","333.00","2.81M","0.03%"
"09-07-2024","344.15","350.90","353.15","341.00","1.59M","-1.78%"
"08-07-2024","350.40","356.95","356.95","346.35","2.43M","-1.75%"
"05-07-2024","356.65","353.70","358.90","350.00","1.91M","0.54%"
"04-07-2024","354.75","351.40","360.95","351.35","3.69M","1.87%"
"03-07-2024","348.25","353.10","355.00","345.30","3.24M","-0.39%"
"02-07-2024","349.60","355.20","355.20","343.10","4.29M","-1.02%"
"01-07-2024","353.20","330.40","358.80","330.00","11.41M","7.55%"
"28-06-2024","328.40","335.15","336.00","322.55","6.51M","2.96%"
"27-06-2024","318.95","326.20","327.20","315.10","2.33M","-2.22%"
"26-06-2024","326.20","319.00","330.00","318.00","4.34M","2.53%"
"25-06-2024","318.15","326.30","330.00","315.15","4.80M","-1.79%"
"24-06-2024","323.95","309.00","325.25","305.00","6.14M","4.53%"
"21-06-2024","309.90","303.50","317.95","301.30","24.72M","2.31%"
