"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,246.35","1,241.20","1,283.00","1,213.95","335.01K","0.67%"
"05-11-2024","1,238.10","1,249.10","1,254.85","1,226.75","337.92K","-1.15%"
"04-11-2024","1,252.50","1,280.00","1,296.65","1,193.60","786.92K","-0.80%"
"01-11-2024","1,262.60","1,235.00","1,279.75","1,225.00","303.68K","4.20%"
"31-10-2024","1,211.75","1,139.95","1,223.85","1,124.75","584.04K","7.04%"
"30-10-2024","1,132.05","1,092.90","1,162.00","1,066.00","292.14K","2.12%"
"29-10-2024","1,108.50","1,098.70","1,120.35","1,070.00","162.36K","1.10%"
"28-10-2024","1,096.40","1,045.05","1,105.00","1,033.15","261.39K","3.60%"
"25-10-2024","1,058.35","1,113.90","1,131.35","1,041.30","589.25K","-4.49%"
"24-10-2024","1,108.05","1,138.25","1,142.25","1,104.05","87.52K","-2.65%"
"23-10-2024","1,138.25","1,117.10","1,150.65","1,100.05","94.70K","0.97%"
"22-10-2024","1,127.35","1,183.50","1,186.25","1,112.80","220.81K","-4.74%"
"21-10-2024","1,183.50","1,170.00","1,199.00","1,160.05","140.60K","0.33%"
"18-10-2024","1,179.65","1,164.35","1,191.65","1,135.00","140.73K","0.53%"
"17-10-2024","1,173.45","1,231.30","1,231.30","1,162.95","139.83K","-4.46%"
"16-10-2024","1,228.25","1,210.90","1,232.00","1,172.55","272.82K","0.51%"
"15-10-2024","1,222.00","1,150.35","1,226.00","1,147.00","589.38K","6.23%"
"14-10-2024","1,150.35","1,152.05","1,170.00","1,142.45","144.10K","0.35%"
"11-10-2024","1,146.35","1,175.00","1,185.85","1,132.10","153.42K","-2.64%"
"10-10-2024","1,177.40","1,173.50","1,192.65","1,158.20","181.00K","1.18%"
"09-10-2024","1,163.65","1,150.00","1,189.00","1,129.70","222.95K","2.19%"
"08-10-2024","1,138.70","1,068.00","1,150.70","1,067.00","199.50K","5.15%"
"07-10-2024","1,082.95","1,085.00","1,107.85","1,060.10","465.94K","-2.61%"
"04-10-2024","1,111.95","1,107.10","1,139.95","1,075.35","267.94K","-0.59%"
"03-10-2024","1,118.50","1,149.35","1,158.95","1,100.05","310.83K","-4.43%"
"01-10-2024","1,170.30","1,145.70","1,175.00","1,144.00","204.09K","1.69%"
"30-09-2024","1,150.80","1,151.00","1,173.00","1,133.00","307.90K","-1.62%"
"27-09-2024","1,169.70","1,196.45","1,198.20","1,127.05","434.66K","-1.00%"
"26-09-2024","1,181.55","1,211.40","1,246.25","1,173.00","290.49K","-2.46%"
"25-09-2024","1,211.40","1,198.80","1,222.00","1,183.40","305.25K","1.87%"
"24-09-2024","1,189.20","1,225.00","1,229.90","1,176.95","251.13K","-2.52%"
"23-09-2024","1,220.00","1,208.65","1,222.50","1,183.25","371.05K","1.15%"
"20-09-2024","1,206.10","1,189.80","1,213.20","1,139.90","513.29K","2.76%"
"19-09-2024","1,173.70","1,195.75","1,207.90","1,128.50","646.54K","-2.09%"
"18-09-2024","1,198.70","1,207.40","1,224.20","1,190.50","918.45K","-1.71%"
"17-09-2024","1,219.60","1,205.00","1,236.60","1,191.05","616.30K","-0.38%"
"16-09-2024","1,224.20","1,186.00","1,247.15","1,166.05","3.26M","2.79%"
"13-09-2024","1,191.00","1,050.00","1,227.00","1,032.20","7.28M","13.76%"
"12-09-2024","1,046.95","1,032.50","1,066.00","1,024.00","822.85K","1.40%"
"11-09-2024","1,032.50","1,040.00","1,060.00","1,012.15","1.23M","1.40%"
"10-09-2024","1,018.25","1,020.95","1,044.80","1,010.05","1.12M","-1.26%"
"09-09-2024","1,031.20","958.00","1,048.00","933.00","6.50M","8.36%"
"06-09-2024","951.65","965.75","969.90","935.00","695.26K","1.49%"
"05-09-2024","937.70","933.05","942.00","925.90","240.40K","1.07%"
"04-09-2024","927.80","905.40","946.00","905.40","556.84K","1.18%"
"03-09-2024","916.95","911.95","919.00","904.05","138.24K","0.87%"
"02-09-2024","909.00","924.30","924.30","907.00","149.38K","-1.14%"
"30-08-2024","919.50","924.05","933.00","910.05","162.31K","-0.16%"
"29-08-2024","920.95","925.00","933.00","900.05","208.44K","-0.54%"
"28-08-2024","925.95","940.30","943.80","914.00","273.83K","-1.37%"
"27-08-2024","938.85","902.70","950.50","900.50","838.12K","4.00%"
"26-08-2024","902.70","915.65","927.25","898.50","226.81K","-0.44%"
"23-08-2024","906.70","892.00","910.00","886.20","154.97K","1.47%"
"22-08-2024","893.55","899.00","911.20","885.10","238.03K","-0.55%"
"21-08-2024","898.45","886.00","901.35","886.00","201.01K","0.18%"
"20-08-2024","896.80","924.00","925.50","885.40","517.32K","-1.00%"
"19-08-2024","905.90","862.80","913.00","855.60","1.21M","6.09%"
"16-08-2024","853.90","864.00","886.00","844.10","450.01K","-1.05%"
"14-08-2024","862.95","862.95","875.00","827.05","357.77K","1.66%"
"13-08-2024","848.90","851.45","863.70","840.25","257.41K","-0.30%"
"12-08-2024","851.45","867.20","876.75","845.00","542.04K","-1.11%"
"09-08-2024","861.00","852.00","870.00","836.00","537.16K","1.24%"
"08-08-2024","850.45","849.90","864.50","838.40","473.33K","0.63%"
"07-08-2024","845.10","849.00","857.00","826.85","398.41K","-0.57%"
"06-08-2024","849.95","841.00","858.90","816.35","520.35K","0.66%"
"05-08-2024","844.35","840.00","859.85","813.55","909.63K","-0.83%"
"02-08-2024","851.40","841.10","863.85","836.70","1.12M","-1.71%"
"01-08-2024","866.20","781.00","876.80","778.60","11.99M","12.02%"
"31-07-2024","773.25","738.10","780.00","735.70","1.12M","5.31%"
"30-07-2024","734.25","724.90","738.05","721.75","198.76K","1.49%"
"29-07-2024","723.50","727.60","743.90","719.95","270.14K","-0.14%"
"26-07-2024","724.50","733.90","738.95","722.00","141.45K","-0.98%"
"25-07-2024","731.65","720.00","735.00","713.15","149.28K","1.21%"
"24-07-2024","722.90","724.80","736.70","714.50","146.87K","-0.19%"
"23-07-2024","724.25","718.10","736.80","707.70","377.46K","-0.01%"
"22-07-2024","724.30","740.00","748.30","709.00","549.85K","-3.37%"
"19-07-2024","749.55","730.50","800.00","701.80","3.15M","3.10%"
"18-07-2024","727.00","738.75","745.25","722.70","215.74K","-1.59%"
