"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,170.75","1,137.95","1,179.45","1,126.10","248.35K","3.84%"
"05-11-2024","1,127.50","1,124.05","1,143.75","1,110.55","115.78K","0.28%"
"04-11-2024","1,124.35","1,142.00","1,142.00","1,097.90","190.84K","-1.52%"
"01-11-2024","1,141.70","1,146.65","1,155.95","1,139.00","32.58K","0.59%"
"31-10-2024","1,134.95","1,104.05","1,141.55","1,100.00","173.44K","2.98%"
"30-10-2024","1,102.10","1,078.00","1,119.85","1,078.00","221.94K","2.29%"
"29-10-2024","1,077.45","1,050.00","1,085.45","1,047.40","224.76K","2.00%"
"28-10-2024","1,056.30","1,055.00","1,074.00","1,018.65","530.37K","-1.99%"
"25-10-2024","1,077.80","1,133.00","1,142.00","1,067.30","300.12K","-4.89%"
"24-10-2024","1,133.20","1,167.60","1,167.60","1,130.30","109.55K","-2.02%"
"23-10-2024","1,156.60","1,118.00","1,185.40","1,115.00","427.73K","4.07%"
"22-10-2024","1,111.40","1,167.60","1,187.00","1,101.00","304.97K","-4.43%"
"21-10-2024","1,162.95","1,205.00","1,210.40","1,151.00","179.84K","-3.06%"
"18-10-2024","1,199.60","1,194.95","1,212.00","1,172.60","210.76K","0.44%"
"17-10-2024","1,194.40","1,245.55","1,252.20","1,190.00","280.65K","-3.76%"
"16-10-2024","1,241.05","1,222.90","1,264.65","1,222.90","361.08K","1.70%"
"15-10-2024","1,220.25","1,256.05","1,259.50","1,207.10","478.34K","-3.12%"
"14-10-2024","1,259.60","1,299.00","1,313.95","1,252.55","925.92K","-3.76%"
"11-10-2024","1,308.85","1,270.00","1,395.00","1,253.50","4.25M","3.04%"
"10-10-2024","1,270.20","1,250.00","1,285.40","1,237.60","358.32K","2.23%"
"09-10-2024","1,242.45","1,227.00","1,274.80","1,224.00","532.75K","2.05%"
"08-10-2024","1,217.45","1,148.00","1,229.65","1,127.30","351.83K","6.37%"
"07-10-2024","1,144.55","1,199.90","1,225.00","1,135.10","563.13K","-4.13%"
"04-10-2024","1,193.90","1,190.00","1,229.90","1,171.10","410.39K","0.10%"
"03-10-2024","1,192.75","1,166.00","1,242.40","1,155.00","1.35M","2.41%"
"01-10-2024","1,164.65","1,155.80","1,171.85","1,154.50","124.96K","0.87%"
"30-09-2024","1,154.60","1,154.35","1,185.05","1,149.00","194.13K","-0.87%"
"27-09-2024","1,164.75","1,154.60","1,191.90","1,145.05","337.71K","0.92%"
"26-09-2024","1,154.15","1,169.50","1,178.10","1,150.00","213.99K","-1.31%"
"25-09-2024","1,169.50","1,181.20","1,181.95","1,158.00","211.67K","-0.99%"
"24-09-2024","1,181.20","1,190.05","1,205.95","1,174.80","152.98K","-0.74%"
"23-09-2024","1,190.05","1,199.95","1,207.70","1,185.10","155.02K","0.67%"
"20-09-2024","1,182.10","1,173.60","1,199.90","1,173.55","269.42K","0.82%"
"19-09-2024","1,172.45","1,201.00","1,220.95","1,151.05","339.42K","-2.07%"
"18-09-2024","1,197.20","1,174.95","1,225.30","1,167.00","440.49K","1.80%"
"17-09-2024","1,176.00","1,155.00","1,192.40","1,146.00","552.85K","2.26%"
