"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","514.20","499.00","516.95","499.00","816.33K","3.51%"
"05-11-2024","496.75","503.20","507.90","491.10","1.14M","-0.82%"
"04-11-2024","500.85","524.40","525.45","498.05","1.22M","-4.17%"
"01-11-2024","522.65","518.05","526.50","518.05","410.06K","1.34%"
"31-10-2024","515.75","492.85","522.00","490.00","5.23M","5.98%"
"30-10-2024","486.65","467.70","499.00","464.15","1.32M","4.40%"
"29-10-2024","466.15","469.30","476.70","459.05","554.13K","-0.41%"
"28-10-2024","468.05","455.00","474.60","450.05","667.01K","2.14%"
"25-10-2024","458.25","476.95","477.75","452.10","984.93K","-3.60%"
"24-10-2024","475.35","486.00","488.25","473.00","624.47K","-1.96%"
"23-10-2024","484.85","473.60","489.50","462.20","1.02M","3.57%"
"22-10-2024","468.15","512.00","513.70","464.05","2.25M","-8.48%"
"21-10-2024","511.50","525.00","525.65","505.10","583.25K","-2.27%"
"18-10-2024","523.40","520.05","525.70","505.55","586.07K","0.11%"
"17-10-2024","522.85","516.00","537.30","514.35","1.95M","1.49%"
"16-10-2024","515.15","518.00","524.45","510.60","625.16K","-0.55%"
"15-10-2024","518.00","526.50","529.45","515.50","694.29K","-0.74%"
"14-10-2024","521.85","509.00","526.65","506.20","1.33M","3.18%"
"11-10-2024","505.75","499.95","519.40","494.90","759.06K","0.89%"
"10-10-2024","501.30","502.95","509.90","492.15","632.89K","0.22%"
"09-10-2024","500.20","494.70","507.80","493.00","630.53K","1.71%"
"08-10-2024","491.80","460.50","494.65","456.45","886.56K","4.91%"
"07-10-2024","468.80","486.00","495.00","460.00","1.77M","-4.57%"
"04-10-2024","491.25","499.05","506.95","483.85","1.18M","-1.19%"
"03-10-2024","497.15","503.00","510.65","494.30","883.50K","-3.34%"
"01-10-2024","514.35","517.35","522.05","511.55","520.55K","0.24%"
"30-09-2024","513.10","515.00","517.15","507.25","593.65K","-1.11%"
"27-09-2024","518.85","523.00","523.65","516.00","573.87K","-0.62%"
"26-09-2024","522.10","532.00","534.10","518.25","589.74K","-1.76%"
"25-09-2024","531.45","523.75","536.45","516.45","906.59K","1.47%"
"24-09-2024","523.75","542.00","542.00","522.00","721.22K","-2.90%"
"23-09-2024","539.40","534.00","541.50","530.65","754.47K","1.93%"
"20-09-2024","529.20","520.00","547.30","518.30","1.70M","2.25%"
"19-09-2024","517.55","536.45","541.00","511.00","1.10M","-3.13%"
"18-09-2024","534.30","534.00","546.80","527.00","991.27K","0.35%"
"17-09-2024","532.45","548.80","553.50","521.45","1.82M","-2.34%"
"16-09-2024","545.20","563.20","568.10","542.10","910.29K","-2.50%"
"13-09-2024","559.20","528.15","568.00","525.85","2.13M","6.62%"
"12-09-2024","524.50","526.80","533.80","518.65","664.01K","0.13%"
"11-09-2024","523.80","511.10","528.70","508.00","988.25K","2.48%"
"10-09-2024","511.10","511.30","516.00","489.60","1.64M","0.51%"
"09-09-2024","508.50","530.80","539.65","507.45","2.03M","-7.06%"
"06-09-2024","547.15","553.20","560.00","546.00","478.61K","-0.68%"
"05-09-2024","550.90","556.30","559.50","550.00","351.68K","-0.97%"
