"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","490.00","495.10","498.85","487.25","356.96K","-0.28%"
"05-11-2024","491.40","498.00","504.00","487.55","955.03K","-3.35%"
"04-11-2024","508.45","527.90","528.95","505.15","289.49K","-3.68%"
"01-11-2024","527.85","522.75","535.00","521.50","175.27K","1.69%"
"31-10-2024","519.10","519.10","524.25","509.35","506.98K","0.70%"
"30-10-2024","515.50","504.90","528.00","503.50","887.19K","2.02%"
"29-10-2024","505.30","481.15","509.00","481.15","2.10M","5.02%"
"28-10-2024","481.15","487.00","494.30","474.05","654.84K","-1.20%"
"25-10-2024","487.00","504.10","504.45","480.15","594.20K","-2.73%"
"24-10-2024","500.65","506.95","519.70","496.15","883.19K","0.12%"
"23-10-2024","500.05","503.95","517.20","495.20","488.66K","-0.84%"
"22-10-2024","504.30","515.00","545.00","486.45","8.31M","-2.55%"
"21-10-2024","517.50","514.40","523.05","509.00","225.13K","1.05%"
"18-10-2024","512.10","518.50","521.90","509.75","185.85K","-1.45%"
"17-10-2024","519.65","518.95","530.90","517.05","533.15K","1.09%"
"16-10-2024","514.05","528.70","529.95","508.05","435.94K","-2.76%"
"15-10-2024","528.65","522.70","531.20","521.60","152.76K","1.36%"
"14-10-2024","521.55","528.10","529.90","517.55","329.25K","-1.08%"
"11-10-2024","527.25","534.95","538.30","526.00","128.49K","-1.44%"
"10-10-2024","534.95","534.90","536.30","528.10","249.38K","1.00%"
"09-10-2024","529.65","542.55","548.85","528.10","441.98K","-2.16%"
"08-10-2024","541.35","522.20","543.05","522.20","241.98K","1.47%"
"07-10-2024","533.50","542.60","543.90","519.90","601.58K","-1.13%"
"04-10-2024","539.60","542.30","547.50","522.00","624.00K","0.28%"
"03-10-2024","538.10","543.35","555.00","532.60","383.30K","-1.65%"
"01-10-2024","547.10","570.00","573.20","540.15","1.45M","-1.95%"
"30-09-2024","558.00","538.45","560.00","532.05","685.27K","2.72%"
"27-09-2024","543.25","539.90","545.00","535.35","272.75K","0.88%"
"26-09-2024","538.50","529.00","540.00","527.50","272.20K","0.97%"
"25-09-2024","533.35","538.60","541.25","525.00","302.39K","-0.53%"
"24-09-2024","536.20","541.95","542.00","529.05","484.86K","-0.84%"
"23-09-2024","540.75","541.80","543.75","526.15","467.71K","0.79%"
"20-09-2024","536.50","547.00","556.00","535.00","495.22K","-1.32%"
"19-09-2024","543.70","541.05","548.00","533.10","623.50K","0.55%"
"18-09-2024","540.75","543.00","550.95","535.10","416.38K","-0.18%"
"17-09-2024","541.75","550.75","555.00","536.60","322.06K","-0.90%"
"16-09-2024","546.65","556.90","558.45","545.00","439.87K","-1.84%"
"13-09-2024","556.90","571.50","572.20","554.00","646.16K","-2.07%"
"12-09-2024","568.65","580.95","584.55","565.15","1.16M","-1.82%"
"11-09-2024","579.20","562.00","595.85","559.85","2.97M","2.90%"
"10-09-2024","562.85","546.95","565.80","542.25","429.12K","2.78%"
"09-09-2024","547.65","545.00","550.00","532.15","432.35K","0.23%"
"06-09-2024","546.40","555.90","573.55","544.00","1.41M","-1.38%"
"05-09-2024","554.05","556.70","565.80","549.60","694.68K","0.03%"
"04-09-2024","553.90","545.00","558.05","542.00","444.19K","0.32%"
"03-09-2024","552.15","553.55","554.00","545.10","198.60K","0.69%"
"02-09-2024","548.35","539.80","551.40","539.80","307.24K","1.58%"
"30-08-2024","539.80","540.00","545.00","537.05","392.23K","0.06%"
"29-08-2024","539.50","542.20","552.00","537.00","453.43K","-0.37%"
"28-08-2024","541.50","559.35","563.65","537.00","853.22K","-2.49%"
"27-08-2024","555.35","545.95","561.80","541.50","846.89K","1.69%"
"26-08-2024","546.10","556.10","565.20","542.55","627.51K","-1.73%"
"23-08-2024","555.70","572.90","573.00","553.10","242.95K","-2.53%"
"22-08-2024","570.15","573.00","573.00","556.10","378.95K","0.79%"
"21-08-2024","565.70","563.70","572.95","555.90","441.32K","0.35%"
"20-08-2024","563.70","556.95","575.00","554.25","518.29K","1.41%"
"19-08-2024","555.85","557.85","562.75","549.15","292.17K","-0.02%"
"16-08-2024","555.95","550.00","566.10","538.00","605.43K","2.78%"
"14-08-2024","540.90","556.00","557.30","538.10","505.13K","-1.31%"
"13-08-2024","548.10","567.00","593.45","542.60","2.40M","-2.31%"
"12-08-2024","561.05","543.00","564.35","536.00","1.15M","2.95%"
"09-08-2024","544.95","547.75","551.60","540.00","333.88K","-0.09%"
"08-08-2024","545.45","549.40","552.10","542.00","285.16K","-0.85%"
"07-08-2024","550.15","540.20","553.00","532.00","1.00M","2.57%"
"06-08-2024","536.35","513.20","543.00","513.20","2.28M","4.54%"
"05-08-2024","513.05","508.30","518.00","499.60","639.03K","-1.08%"
"02-08-2024","518.65","514.00","528.35","512.85","411.63K","-0.52%"
"01-08-2024","521.35","526.50","535.40","518.05","594.76K","-1.03%"
"31-07-2024","526.80","533.00","539.75","524.80","770.54K","-1.61%"
"30-07-2024","535.40","539.35","547.00","531.55","1.02M","-0.38%"
"29-07-2024","537.45","555.00","561.30","532.00","1.25M","-2.01%"
"26-07-2024","548.45","551.50","565.75","536.75","2.75M","0.14%"
"25-07-2024","547.70","507.00","573.85","502.00","13.23M","7.75%"
"24-07-2024","508.30","508.00","525.15","504.05","2.03M","0.97%"
"23-07-2024","503.40","498.35","512.30","474.00","1.33M","1.31%"
"22-07-2024","496.90","494.00","504.90","486.00","753.21K","0.20%"
"19-07-2024","495.90","495.05","502.90","492.00","906.40K","-0.22%"
"18-07-2024","497.00","493.00","508.00","485.15","1.40M","1.03%"
"16-07-2024","491.95","505.50","507.65","489.00","487.54K","-2.07%"
"15-07-2024","502.35","489.90","504.75","483.10","964.55K","2.88%"
"12-07-2024","488.30","489.95","492.00","478.10","754.75K","-0.07%"
"11-07-2024","488.65","490.00","497.50","487.00","560.35K","-0.83%"
"10-07-2024","492.75","507.00","511.95","490.35","1.30M","-2.32%"
"09-07-2024","504.45","493.40","506.65","482.30","2.05M","2.76%"
"08-07-2024","490.90","477.40","493.80","470.00","1.57M","4.13%"
"05-07-2024","471.45","471.90","480.95","465.90","498.50K","-0.10%"
"04-07-2024","471.90","480.30","480.30","470.80","620.51K","-1.41%"
"03-07-2024","478.65","480.00","491.45","472.20","2.39M","0.29%"
"02-07-2024","477.25","452.00","480.00","451.20","4.32M","5.77%"
"01-07-2024","451.20","433.00","465.00","430.20","2.69M","4.54%"
"28-06-2024","431.60","414.70","433.50","413.05","1.03M","4.67%"
"27-06-2024","412.35","422.05","424.75","411.00","433.78K","-2.22%"
"26-06-2024","421.70","421.00","426.80","413.50","534.76K","0.63%"
"25-06-2024","419.05","431.70","432.80","415.60","575.31K","-2.33%"
"24-06-2024","429.05","445.00","446.95","428.00","735.63K","-3.58%"
"21-06-2024","445.00","441.80","451.80","439.65","787.44K","1.16%"
"20-06-2024","439.90","440.70","448.15","436.10","308.84K","0.17%"
"19-06-2024","439.15","444.70","444.70","435.40","751.01K","-0.78%"
"18-06-2024","442.60","456.50","456.50","441.50","529.95K","-1.78%"
"14-06-2024","450.60","442.10","452.95","441.00","601.45K","2.20%"
"13-06-2024","440.90","450.00","450.85","440.00","469.90K","-1.35%"
"12-06-2024","446.95","455.00","456.95","445.00","250.42K","-1.11%"
"11-06-2024","451.95","455.00","464.15","449.05","686.93K","-0.28%"
"10-06-2024","453.20","457.85","458.20","442.20","537.45K","0.90%"
"07-06-2024","449.15","450.00","461.35","446.20","1.07M","0.19%"
"06-06-2024","448.30","450.00","450.45","432.50","1.82M","0.29%"
"05-06-2024","447.00","394.40","454.85","382.10","4.81M","13.64%"
"04-06-2024","393.35","392.05","401.00","366.80","1.64M","-0.14%"
"03-06-2024","393.90","418.00","428.00","392.05","2.38M","-1.65%"
"31-05-2024","400.50","418.50","421.70","394.75","1.29M","-3.38%"
"30-05-2024","414.50","415.00","425.00","411.30","579.70K","0.30%"
"29-05-2024","413.25","417.05","418.20","409.20","294.78K","-0.48%"
"28-05-2024","415.25","424.45","424.45","413.10","371.42K","-1.39%"
"27-05-2024","421.10","417.00","428.00","417.00","491.13K","0.98%"
"24-05-2024","417.00","421.65","424.95","416.10","381.57K","-1.15%"
"23-05-2024","421.85","430.15","434.65","420.00","478.40K","-1.93%"
"22-05-2024","430.15","432.00","433.85","418.90","833.27K","-0.42%"
"21-05-2024","431.95","450.00","451.00","428.00","1.06M","-3.52%"
"18-05-2024","447.70","446.05","453.00","445.15","64.10K","1.07%"
"17-05-2024","442.95","449.90","451.00","439.60","704.81K","-0.77%"
"16-05-2024","446.40","445.00","453.90","443.40","1.31M","1.24%"
"15-05-2024","440.95","465.00","472.70","427.55","5.29M","-4.15%"
"14-05-2024","460.05","461.25","469.40","454.00","796.73K","1.23%"
"13-05-2024","454.45","467.05","473.65","452.00","857.02K","-1.27%"
"10-05-2024","460.30","457.30","465.90","452.30","547.65K","0.66%"
"09-05-2024","457.30","462.00","470.00","452.45","1.53M","-0.80%"
"08-05-2024","461.00","452.95","478.25","443.35","5.33M","0.97%"
"07-05-2024","456.55","418.00","459.90","411.95","8.81M","10.18%"
"06-05-2024","414.35","427.10","428.20","412.00","294.91K","-2.09%"
"03-05-2024","423.20","438.00","439.35","417.70","974.25K","-3.68%"
"02-05-2024","439.35","432.85","441.00","432.00","484.49K","1.15%"
"30-04-2024","434.35","437.50","442.50","431.00","1.06M","0.81%"
"29-04-2024","430.85","425.40","434.50","420.50","488.15K","2.47%"
"26-04-2024","420.45","429.50","429.90","417.55","546.59K","-1.46%"
"25-04-2024","426.70","422.55","465.95","421.00","4.22M","1.21%"
"24-04-2024","421.60","424.40","428.60","420.00","452.16K","0.15%"
"23-04-2024","420.95","416.80","424.00","412.05","229.49K","1.00%"
"22-04-2024","416.80","414.95","422.00","412.95","127.89K","1.62%"
"19-04-2024","410.15","409.00","414.00","405.00","174.86K","-1.05%"
"18-04-2024","414.50","415.55","420.20","412.55","322.61K","0.25%"
"16-04-2024","413.45","421.00","426.85","411.50","868.01K","-3.52%"
"15-04-2024","428.55","426.00","440.45","421.35","549.52K","-1.48%"
"12-04-2024","435.00","439.15","441.30","421.20","1.10M","-0.95%"
"10-04-2024","439.15","445.00","445.80","436.05","158.46K","-0.82%"
"09-04-2024","442.80","447.00","450.00","439.45","257.92K","-0.42%"
"08-04-2024","444.65","447.00","455.00","439.30","332.68K","0.07%"
"05-04-2024","444.35","435.35","447.00","435.35","266.45K","1.99%"
"04-04-2024","435.70","446.85","448.55","432.00","437.26K","-1.70%"
"03-04-2024","443.25","448.65","449.70","441.90","308.09K","-1.20%"
"02-04-2024","448.65","447.80","466.00","444.05","779.08K","1.06%"
"01-04-2024","443.95","448.50","449.35","440.10","207.17K","0.91%"
"28-03-2024","439.95","450.00","455.75","433.30","669.53K","-1.42%"
"27-03-2024","446.30","431.05","449.00","425.55","870.43K","4.34%"
"26-03-2024","427.75","419.25","431.30","415.00","349.83K","0.82%"
"22-03-2024","424.25","418.60","426.00","415.70","216.32K","1.35%"
"21-03-2024","418.60","425.85","427.05","414.20","555.86K","-0.25%"
"20-03-2024","419.65","408.85","423.75","403.80","580.85K","3.66%"
"19-03-2024","404.85","413.40","418.95","401.00","397.06K","-2.65%"
"18-03-2024","415.85","427.40","429.45","413.10","508.11K","-2.70%"
"15-03-2024","427.40","423.90","431.95","407.05","4.81M","0.64%"
"14-03-2024","424.70","390.40","430.75","390.40","1.76M","6.27%"
"13-03-2024","399.65","425.70","425.70","388.30","2.13M","-6.12%"
"12-03-2024","425.70","432.60","437.50","420.40","919.45K","-1.60%"
"11-03-2024","432.60","429.95","435.95","414.00","1.44M","0.72%"
"07-03-2024","429.50","424.05","433.00","419.85","1.22M","1.34%"
"06-03-2024","423.80","437.50","437.50","415.05","964.37K","-2.52%"
"05-03-2024","434.75","436.50","447.50","426.70","1.12M","0.16%"
"04-03-2024","434.05","450.00","454.45","432.00","1.29M","-3.35%"
"02-03-2024","449.10","456.45","456.45","447.80","57.39K","-0.74%"
"01-03-2024","452.45","455.35","459.95","437.05","2.93M","-2.08%"
"29-02-2024","462.05","472.00","473.60","451.60","1.10M","-1.47%"
"28-02-2024","468.95","468.45","484.80","465.00","1.07M","0.41%"
"27-02-2024","467.05","477.00","482.00","463.50","504.33K","-1.81%"
"26-02-2024","475.65","472.40","478.65","468.30","397.15K","1.27%"
"23-02-2024","469.70","473.90","474.60","467.50","578.03K","-0.28%"
"22-02-2024","471.00","473.60","474.20","466.60","522.93K","-0.10%"
"21-02-2024","471.45","472.25","480.00","467.60","837.25K","0.37%"
"20-02-2024","469.70","476.75","492.70","468.10","1.50M","-1.01%"
"19-02-2024","474.50","474.35","488.00","472.00","722.08K","0.53%"
"16-02-2024","472.00","471.45","476.90","462.15","778.11K","1.09%"
"15-02-2024","466.90","476.50","482.00","465.10","1.40M","-3.05%"
"14-02-2024","481.60","432.00","514.90","429.00","9.76M","11.39%"
"13-02-2024","432.35","450.00","465.95","428.40","750.22K","-3.01%"
"12-02-2024","445.75","445.75","467.60","440.00","1.65M","0.03%"
"09-02-2024","445.60","464.15","466.00","443.50","1.21M","-3.49%"
"08-02-2024","461.70","497.20","497.70","457.00","954.30K","-6.22%"
"07-02-2024","492.30","504.80","509.80","489.50","371.02K","-1.26%"
"06-02-2024","498.60","498.90","501.95","495.15","600.08K","0.48%"
"05-02-2024","496.20","512.00","514.45","490.55","934.19K","-2.65%"
"02-02-2024","509.70","513.80","519.00","503.75","1.31M","0.30%"
"01-02-2024","508.20","516.95","534.95","500.40","2.03M","-1.35%"
"31-01-2024","515.15","538.80","550.00","489.05","3.93M","-3.83%"
"30-01-2024","535.65","539.00","542.45","530.35","401.61K","-0.27%"
"29-01-2024","537.10","551.55","553.20","530.10","611.78K","-1.74%"
"25-01-2024","546.60","539.00","551.30","537.45","820.30K","1.99%"
"24-01-2024","535.95","538.00","554.00","526.95","2.25M","0.99%"
"23-01-2024","530.70","523.00","534.95","517.55","931.75K","2.17%"
"20-01-2024","519.45","533.00","536.25","515.70","286.43K","-2.01%"
"19-01-2024","530.10","526.00","533.65","522.65","804.09K","2.23%"
"18-01-2024","518.55","503.65","526.00","503.00","1.59M","2.90%"
"17-01-2024","503.95","501.20","532.70","498.00","1.98M","0.94%"
"16-01-2024","499.25","498.65","507.50","495.60","446.81K","0.13%"
"15-01-2024","498.60","512.00","512.50","496.30","377.49K","-1.37%"
"12-01-2024","505.55","503.00","514.00","502.45","670.55K","1.21%"
"11-01-2024","499.50","497.00","511.95","496.55","852.70K","1.12%"
"10-01-2024","493.95","513.00","517.35","491.15","737.54K","-3.21%"
"09-01-2024","510.35","512.70","531.85","508.20","880.43K","0.39%"
"08-01-2024","508.35","519.00","523.90","501.35","579.94K","-1.85%"
"05-01-2024","517.95","505.80","522.00","503.55","1.18M","3.07%"
"04-01-2024","502.50","486.55","505.05","486.55","1.59M","3.72%"
"03-01-2024","484.50","485.90","495.95","481.00","595.38K","0.10%"
"02-01-2024","484.00","482.50","499.00","477.20","770.74K","0.30%"
"01-01-2024","482.55","484.25","507.75","480.00","1.47M","0.76%"
"29-12-2023","478.90","482.90","483.40","465.10","755.39K","-0.14%"
"28-12-2023","479.55","486.00","486.00","476.60","210.93K","-1.15%"
"27-12-2023","485.15","480.40","497.40","480.05","847.39K","1.49%"
"26-12-2023","478.05","481.25","482.90","474.00","239.36K","-0.25%"
"22-12-2023","479.25","469.90","482.55","465.05","873.49K","2.28%"
"21-12-2023","468.55","464.95","473.00","458.00","456.26K","-0.78%"
"20-12-2023","472.25","473.50","483.50","466.00","1.15M","0.19%"
"19-12-2023","471.35","461.15","498.15","461.15","3.27M","2.21%"
"18-12-2023","461.15","462.35","469.80","456.80","411.73K","-0.24%"
"15-12-2023","462.25","463.95","468.00","458.15","560.28K","-0.05%"
"14-12-2023","462.50","464.55","468.30","458.80","402.09K","0.23%"
"13-12-2023","461.45","454.95","466.00","448.30","934.34K","2.18%"
"12-12-2023","451.60","463.75","464.90","449.15","622.93K","-2.33%"
"11-12-2023","462.35","455.70","471.95","453.30","788.18K","1.97%"
"08-12-2023","453.40","468.35","469.25","447.00","902.64K","-2.76%"
"07-12-2023","466.25","479.50","484.95","462.00","913.84K","-2.19%"
"06-12-2023","476.70","442.00","481.00","442.00","2.08M","7.77%"
"05-12-2023","442.35","445.40","448.00","438.15","680.87K","-0.39%"
"04-12-2023","444.10","450.00","454.00","434.15","1.51M","0.01%"
"01-12-2023","444.05","435.50","447.50","435.50","668.18K","2.21%"
"30-11-2023","434.45","440.05","445.25","432.55","847.06K","-1.32%"
"29-11-2023","440.25","437.50","444.50","436.00","550.39K","0.93%"
"28-11-2023","436.20","440.00","449.00","435.00","488.45K","-0.78%"
"24-11-2023","439.65","434.90","446.40","434.20","650.88K","1.49%"
"23-11-2023","433.20","441.70","445.00","430.05","358.76K","-1.87%"
"22-11-2023","441.45","450.00","451.85","432.60","582.40K","-1.48%"
"21-11-2023","448.10","450.00","451.00","443.25","279.40K","-0.07%"
"20-11-2023","448.40","451.25","453.70","442.65","384.71K","-0.87%"
"17-11-2023","452.35","441.95","457.95","432.25","1.44M","2.99%"
"16-11-2023","439.20","459.00","466.05","436.20","1.76M","-4.23%"
"15-11-2023","458.60","439.00","467.40","433.35","1.84M","5.60%"
"13-11-2023","434.30","421.85","439.45","413.05","1.92M","3.63%"
"12-11-2023","419.10","419.00","422.95","417.25","231.61K","1.22%"
"10-11-2023","414.05","414.10","419.80","412.00","786.78K","-0.60%"
"09-11-2023","416.55","418.90","424.70","413.20","1.10M","0.01%"
"08-11-2023","416.50","403.35","422.60","396.30","5.33M","3.76%"
"07-11-2023","401.40","369.30","405.95","368.05","10.91M","8.69%"
"06-11-2023","369.30","367.70","374.00","363.00","690.99K","1.96%"
"03-11-2023","362.20","361.80","366.00","357.30","677.21K","1.00%"
"02-11-2023","358.60","362.00","363.85","357.10","336.46K","-0.82%"
"01-11-2023","361.55","362.60","367.70","359.50","493.99K","-0.29%"
"31-10-2023","362.60","366.75","368.95","360.05","326.88K","-1.09%"
"30-10-2023","366.60","361.85","369.40","355.00","358.99K","1.30%"
"27-10-2023","361.90","352.65","363.90","350.20","409.04K","3.61%"
"26-10-2023","349.30","348.40","354.35","333.00","1.26M","-0.65%"
"25-10-2023","351.60","357.95","362.75","345.45","452.09K","0.19%"
"23-10-2023","350.95","368.95","372.80","347.50","367.76K","-4.48%"
"20-10-2023","367.40","370.95","375.95","365.55","230.49K","-1.41%"
"19-10-2023","372.65","363.00","375.75","360.80","785.51K","2.62%"
"18-10-2023","363.15","378.85","379.20","360.15","716.12K","-3.43%"
"17-10-2023","376.05","377.95","382.90","373.70","405.84K","0.37%"
"16-10-2023","374.65","373.90","378.80","370.45","497.36K","1.15%"
"13-10-2023","370.40","372.00","377.20","367.20","405.08K","-0.52%"
"12-10-2023","372.35","368.55","377.00","367.00","861.41K","0.96%"
"11-10-2023","368.80","366.95","373.00","361.05","514.13K","1.03%"
