"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,236.50","1,237.10","1,241.55","1,220.05","74.02K","0.48%"
"05-11-2024","1,230.60","1,220.00","1,241.65","1,210.45","70.05K","0.82%"
"04-11-2024","1,220.65","1,219.95","1,224.80","1,195.00","80.84K","0.06%"
"01-11-2024","1,219.95","1,210.00","1,229.80","1,202.00","17.47K","1.61%"
"31-10-2024","1,200.65","1,203.00","1,209.10","1,192.65","157.57K","-0.89%"
"30-10-2024","1,211.40","1,207.00","1,222.25","1,200.00","100.14K","0.19%"
"29-10-2024","1,209.15","1,263.15","1,263.40","1,201.35","127.16K","-3.11%"
"28-10-2024","1,248.00","1,222.50","1,255.50","1,215.20","111.49K","1.39%"
"25-10-2024","1,230.95","1,215.30","1,245.00","1,195.00","384.48K","1.34%"
"24-10-2024","1,214.65","1,268.40","1,268.40","1,204.00","245.43K","-3.74%"
"23-10-2024","1,261.80","1,286.75","1,291.10","1,250.00","119.59K","-1.94%"
"22-10-2024","1,286.75","1,354.60","1,374.75","1,271.30","354.79K","-5.01%"
"21-10-2024","1,354.60","1,390.60","1,391.00","1,351.15","59.62K","-2.98%"
"18-10-2024","1,396.25","1,390.45","1,400.85","1,361.50","71.82K","0.42%"
"17-10-2024","1,390.45","1,394.30","1,397.25","1,375.00","65.74K","0.10%"
"16-10-2024","1,389.05","1,404.75","1,412.10","1,365.90","173.77K","-1.22%"
"15-10-2024","1,406.20","1,405.00","1,411.60","1,384.65","155.28K","0.10%"
"14-10-2024","1,404.80","1,406.00","1,410.00","1,395.00","33.43K","-0.23%"
"11-10-2024","1,408.00","1,385.00","1,414.80","1,382.20","67.91K","1.30%"
"10-10-2024","1,389.95","1,408.20","1,416.90","1,385.10","761.13K","-0.72%"
"09-10-2024","1,400.05","1,419.40","1,421.15","1,398.00","186.35K","-0.51%"
"08-10-2024","1,407.25","1,408.55","1,416.10","1,398.00","89.20K","-0.98%"
"07-10-2024","1,421.15","1,466.00","1,469.60","1,394.10","87.49K","-2.36%"
"04-10-2024","1,455.45","1,460.05","1,466.95","1,420.00","113.14K","-1.28%"
"03-10-2024","1,474.30","1,466.05","1,501.65","1,465.00","286.21K","-0.48%"
"01-10-2024","1,481.40","1,471.00","1,486.20","1,460.10","72.61K","1.06%"
"30-09-2024","1,465.90","1,470.00","1,480.60","1,449.95","209.52K","-0.65%"
"27-09-2024","1,475.45","1,495.85","1,532.90","1,450.00","614.67K","-1.36%"
"26-09-2024","1,495.85","1,520.00","1,520.00","1,483.50","90.05K","-1.62%"
"25-09-2024","1,520.45","1,551.85","1,555.00","1,509.95","202.02K","-1.78%"
"24-09-2024","1,548.05","1,519.85","1,578.70","1,503.70","556.11K","2.47%"
"23-09-2024","1,510.70","1,511.20","1,544.00","1,488.00","521.76K","0.49%"
"20-09-2024","1,503.30","1,499.00","1,508.95","1,468.05","162.64K","0.82%"
