"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","700.00","649.00","706.00","648.00","10.52M","7.31%"
"05-11-2024","652.30","658.80","669.00","632.40","10.05M","-1.09%"
"04-11-2024","659.50","664.10","665.95","652.00","3.49M","-1.68%"
"01-11-2024","670.80","670.00","675.00","665.80","1.00M","2.08%"
"31-10-2024","657.15","674.00","679.70","652.55","3.77M","-2.54%"
"30-10-2024","674.25","673.15","683.95","663.20","3.63M","0.16%"
"29-10-2024","673.15","673.55","677.00","650.60","5.63M","0.61%"
"28-10-2024","669.05","672.30","680.00","662.05","3.34M","-0.39%"
"25-10-2024","671.70","697.00","701.50","665.25","4.95M","-3.51%"
"24-10-2024","696.10","694.90","713.00","690.15","4.52M","0.21%"
"23-10-2024","694.65","674.80","706.95","658.85","7.65M","2.77%"
"22-10-2024","675.90","707.35","714.05","668.70","6.31M","-4.00%"
"21-10-2024","704.05","724.90","728.05","700.00","5.84M","-2.07%"
"18-10-2024","718.95","726.00","738.90","708.00","7.46M","-1.25%"
"17-10-2024","728.05","749.05","751.40","721.00","6.40M","-3.11%"
"16-10-2024","751.40","751.00","756.60","737.00","5.03M","0.05%"
"15-10-2024","751.00","758.00","773.00","741.55","10.21M","0.03%"
"14-10-2024","750.80","722.00","754.90","718.40","9.42M","4.23%"
"11-10-2024","720.30","722.30","726.70","712.00","3.73M","0.21%"
"10-10-2024","718.80","726.00","735.40","715.55","4.16M","-0.38%"
"09-10-2024","721.55","713.90","727.40","703.15","5.93M","1.63%"
"08-10-2024","709.95","704.20","718.75","685.05","9.04M","1.10%"
"07-10-2024","702.20","727.00","729.30","673.40","11.73M","-1.51%"
"04-10-2024","712.95","735.00","742.65","708.30","7.59M","-2.41%"
"03-10-2024","730.55","725.00","752.50","721.00","8.79M","-2.61%"
"01-10-2024","750.15","731.10","757.90","724.75","9.07M","2.73%"
"30-09-2024","730.25","709.75","733.05","705.70","11.69M","3.33%"
"27-09-2024","706.70","720.95","729.80","704.00","10.94M","-1.40%"
"26-09-2024","716.70","763.00","763.40","711.00","11.07M","-5.47%"
"25-09-2024","758.20","775.70","785.10","754.05","7.68M","-1.79%"
"24-09-2024","772.00","772.00","779.00","755.45","11.46M","0.44%"
"23-09-2024","768.65","733.40","786.25","733.00","24.92M","5.22%"
"20-09-2024","730.50","709.90","734.00","702.10","6.89M","3.14%"
"19-09-2024","708.25","699.40","711.15","684.35","5.86M","1.56%"
"18-09-2024","697.40","716.00","719.00","692.20","5.52M","-2.17%"
"17-09-2024","712.85","703.10","719.00","694.75","8.60M","1.84%"
"16-09-2024","699.95","723.20","725.60","675.90","15.77M","-2.25%"
"13-09-2024","716.05","697.90","749.00","694.05","32.17M","3.88%"
"12-09-2024","689.30","664.25","694.70","660.55","11.12M","4.95%"
"11-09-2024","656.80","643.00","669.50","636.50","7.82M","2.59%"
"10-09-2024","640.20","645.75","652.00","637.00","2.48M","-0.37%"
"09-09-2024","642.60","649.00","654.50","637.75","3.67M","-0.86%"
"06-09-2024","648.20","649.00","655.00","633.00","4.11M","0.04%"
"05-09-2024","647.95","655.00","662.75","642.00","5.58M","-0.96%"
"04-09-2024","654.20","646.00","658.75","630.25","7.16M","0.51%"
"03-09-2024","650.85","639.05","654.00","631.05","7.62M","1.72%"
"02-09-2024","639.85","617.45","645.00","616.00","11.01M","4.01%"
"30-08-2024","615.20","612.90","624.50","609.00","4.24M","0.75%"
"29-08-2024","610.60","610.00","619.80","606.60","3.45M","-0.10%"
"28-08-2024","611.20","613.90","616.00","599.00","3.63M","-0.59%"
"27-08-2024","614.85","619.00","624.00","605.20","4.31M","-0.31%"
"26-08-2024","616.75","589.00","624.95","580.40","14.95M","4.73%"
"23-08-2024","588.90","605.00","618.70","582.25","13.07M","-1.26%"
"22-08-2024","596.40","572.00","605.00","571.65","37.05M","9.54%"
"21-08-2024","544.45","543.00","557.00","532.45","19.84M","0.47%"
"20-08-2024","541.90","555.00","558.00","530.65","3.85M","-1.39%"
"19-08-2024","549.55","577.95","584.00","543.40","4.75M","-4.08%"
"16-08-2024","572.95","570.50","578.00","562.00","1.10M","0.77%"
"14-08-2024","568.60","563.25","570.10","550.00","981.05K","1.87%"
"13-08-2024","558.15","556.80","572.00","546.25","1.57M","1.14%"
"12-08-2024","551.85","534.00","555.80","528.70","1.30M","2.42%"
"09-08-2024","538.80","537.00","541.00","530.05","1.22M","0.42%"
"08-08-2024","536.55","539.75","540.00","532.00","935.34K","-0.71%"
"07-08-2024","540.40","549.00","549.95","529.05","1.60M","-0.04%"
"06-08-2024","540.60","550.00","556.95","533.10","1.84M","-0.73%"
"05-08-2024","544.60","535.00","552.15","515.95","4.66M","-2.71%"
"02-08-2024","559.75","569.00","582.65","551.00","2.73M","-0.88%"
"01-08-2024","564.70","584.70","593.00","560.00","2.00M","-2.54%"
"31-07-2024","579.40","573.50","582.95","565.30","1.47M","1.15%"
"30-07-2024","572.80","572.95","580.00","563.00","1.64M","0.03%"
"29-07-2024","572.65","571.95","582.00","555.35","2.28M","0.85%"
"26-07-2024","567.80","578.90","578.90","565.10","1.23M","-1.03%"
"25-07-2024","573.70","590.00","612.50","563.00","5.34M","-2.31%"
"24-07-2024","587.25","555.50","633.60","555.45","11.70M","6.24%"
"23-07-2024","552.75","529.00","561.65","497.55","7.43M","4.43%"
"22-07-2024","529.30","531.40","540.95","525.10","1.67M","0.07%"
"19-07-2024","528.95","515.00","536.00","514.50","2.02M","1.83%"
"18-07-2024","519.45","527.40","527.40","512.50","1.08M","-1.54%"
"16-07-2024","527.55","517.40","533.00","515.10","2.81M","2.77%"
"15-07-2024","513.35","506.60","524.75","499.00","2.15M","1.60%"
"12-07-2024","505.25","503.20","509.00","498.10","1.07M","0.40%"
"11-07-2024","503.25","509.25","512.45","500.25","1.09M","-0.13%"
"10-07-2024","503.90","500.00","518.00","497.00","3.28M","1.42%"
"09-07-2024","496.85","496.20","498.80","493.00","1.62M","0.13%"
"08-07-2024","496.20","497.75","501.90","490.00","1.43M","0.18%"
"05-07-2024","495.30","496.55","505.00","485.10","3.72M","0.97%"
"04-07-2024","490.55","490.65","495.95","486.00","820.82K","0.34%"
"03-07-2024","488.90","493.15","497.85","485.45","1.08M","-1.42%"
"02-07-2024","495.95","500.40","502.50","493.05","1.25M","-0.31%"
"01-07-2024","497.50","504.25","505.70","483.00","4.17M","-0.73%"
"28-06-2024","501.15","481.10","546.00","481.10","9.44M","5.22%"
"27-06-2024","476.30","459.00","480.00","454.05","4.38M","4.30%"
"26-06-2024","456.65","438.95","460.50","438.95","3.88M","4.22%"
"25-06-2024","438.15","447.40","453.25","435.00","1.13M","-1.78%"
"24-06-2024","446.10","452.50","452.50","436.30","2.00M","-1.52%"
"21-06-2024","453.00","437.00","464.95","431.00","16.80M","5.06%"
"20-06-2024","431.20","426.00","435.00","420.55","1.87M","1.81%"
"19-06-2024","423.55","428.85","447.00","420.00","5.99M","-0.11%"
"18-06-2024","424.00","400.75","430.25","398.85","4.97M","5.87%"
"14-06-2024","400.50","398.40","404.90","398.40","1.26M","0.53%"
"13-06-2024","398.40","406.00","408.50","398.00","1.36M","-1.43%"
"12-06-2024","404.20","410.90","413.55","403.10","1.23M","-1.16%"
"11-06-2024","408.95","409.50","412.45","405.00","724.14K","-0.07%"
"10-06-2024","409.25","410.00","416.00","406.00","1.81M","0.34%"
"07-06-2024","407.85","401.00","410.25","400.00","2.77M","2.05%"
"06-06-2024","399.65","402.95","409.55","398.00","1.62M","-0.72%"
"05-06-2024","402.55","386.00","420.00","372.35","3.82M","6.31%"
"04-06-2024","378.65","394.00","399.00","336.05","1.88M","-3.15%"
"03-06-2024","390.95","394.00","403.00","388.00","1.23M","0.64%"
"31-05-2024","388.45","384.85","398.00","377.05","2.50M","0.94%"
"30-05-2024","384.85","396.00","400.00","384.00","816.01K","-2.52%"
"29-05-2024","394.80","402.45","404.40","392.00","787.17K","-1.90%"
"28-05-2024","402.45","406.45","409.95","396.10","1.09M","-0.98%"
"27-05-2024","406.45","400.00","409.40","395.20","1.43M","1.12%"
"24-05-2024","401.95","404.00","405.70","400.10","454.19K","-0.26%"
"23-05-2024","403.00","400.00","405.00","399.10","1.10M","0.80%"
"22-05-2024","399.80","401.50","406.25","397.70","777.51K","-0.42%"
"21-05-2024","401.50","413.20","415.50","399.00","1.42M","-2.83%"
"18-05-2024","413.20","413.20","413.20","413.20","","-0.41%"
"17-05-2024","414.90","412.95","416.50","411.25","899.18K","0.92%"
"16-05-2024","411.10","412.00","417.00","405.10","1.01M","0.48%"
"15-05-2024","409.15","401.60","410.00","399.05","1.40M","2.98%"
"14-05-2024","397.30","400.00","403.50","393.30","1.17M","-0.70%"
"13-05-2024","400.10","415.00","417.45","395.95","1.56M","-2.55%"
"10-05-2024","410.55","402.05","420.00","388.65","1.81M","3.37%"
"09-05-2024","397.15","394.30","407.90","391.60","1.53M","0.98%"
"08-05-2024","393.30","387.50","399.20","382.40","701.02K","1.24%"
"07-05-2024","388.50","401.00","401.00","378.90","1.38M","-2.89%"
"06-05-2024","400.05","408.00","408.00","389.10","2.56M","-1.49%"
"03-05-2024","406.10","414.80","415.80","403.50","1.24M","-1.38%"
"02-05-2024","411.80","414.85","418.40","408.30","982.68K","-0.56%"
"30-04-2024","414.10","414.10","421.35","412.90","2.27M","0.60%"
"29-04-2024","411.65","422.80","425.00","409.10","975.70K","-1.85%"
"26-04-2024","419.40","418.00","421.80","415.50","1.35M","0.38%"
"25-04-2024","417.80","421.75","422.00","414.65","983.53K","-0.95%"
"24-04-2024","421.80","417.60","424.00","413.15","1.66M","1.72%"
"23-04-2024","414.65","405.00","418.65","402.70","1.82M","3.22%"
"22-04-2024","401.70","415.00","415.00","400.15","1.37M","-1.68%"
"19-04-2024","408.55","402.30","411.95","396.80","1.98M","1.59%"
"18-04-2024","402.15","417.40","422.20","400.00","1.50M","-2.69%"
"16-04-2024","413.25","418.00","427.90","410.60","2.52M","-1.33%"
"15-04-2024","418.80","419.15","437.80","410.05","2.40M","-2.09%"
"12-04-2024","427.75","415.85","430.90","414.00","2.13M","2.34%"
"10-04-2024","417.95","425.00","426.35","412.70","1.30M","-1.82%"
"09-04-2024","425.70","435.65","436.00","421.20","853.87K","-1.79%"
"08-04-2024","433.45","436.05","439.00","431.00","1.88M","0.69%"
"05-04-2024","430.50","440.05","443.00","428.05","3.84M","-0.10%"
"04-04-2024","430.95","434.25","434.75","422.80","1.27M","0.49%"
"03-04-2024","428.85","428.65","430.90","426.90","1.85M","0.06%"
"02-04-2024","428.60","429.95","438.70","422.15","2.46M","0.63%"
"01-04-2024","425.90","437.95","449.70","419.65","3.14M","-0.44%"
"28-03-2024","427.80","420.75","439.00","416.30","4.22M","3.05%"
"27-03-2024","415.15","400.85","418.00","393.60","4.46M","3.57%"
"26-03-2024","400.85","390.00","409.95","384.30","3.97M","4.06%"
"22-03-2024","385.20","383.75","387.85","378.25","870.22K","1.84%"
"21-03-2024","378.25","375.00","380.00","370.95","901.19K","2.86%"
"20-03-2024","367.75","366.80","370.90","357.40","1.29M","0.26%"
"19-03-2024","366.80","375.00","375.50","365.00","689.24K","-1.69%"
"18-03-2024","373.10","371.00","397.00","370.00","1.85M","0.82%"
"15-03-2024","370.05","384.00","391.50","364.50","4.40M","-4.08%"
"14-03-2024","385.80","385.00","391.65","375.60","1.28M","-1.10%"
"13-03-2024","390.10","381.50","406.00","352.15","3.90M","2.25%"
"12-03-2024","381.50","397.10","401.95","377.05","1.36M","-3.73%"
"11-03-2024","396.30","409.45","419.00","393.50","1.84M","-3.21%"
"07-03-2024","409.45","409.25","412.40","405.05","1.06M","0.94%"
"06-03-2024","405.65","405.00","409.90","391.70","1.65M","0.60%"
"05-03-2024","403.25","410.00","413.00","398.30","1.99M","-1.39%"
"04-03-2024","408.95","414.00","414.35","402.25","1.71M","-0.84%"
"02-03-2024","412.40","404.60","419.35","399.70","782.45K","3.24%"
"01-03-2024","399.45","398.60","409.70","385.70","4.91M","0.66%"
"29-02-2024","396.85","378.55","398.60","370.30","7.15M","4.85%"
"28-02-2024","378.50","371.00","390.00","368.10","2.39M","2.16%"
"27-02-2024","370.50","376.25","383.10","366.25","918.92K","-2.33%"
"26-02-2024","379.35","384.00","387.50","377.00","1.06M","-1.38%"
"23-02-2024","384.65","384.00","387.80","380.00","1.18M","0.21%"
"22-02-2024","383.85","379.70","385.70","375.00","1.70M","2.02%"
"21-02-2024","376.25","364.55","388.00","364.55","3.40M","3.21%"
"20-02-2024","364.55","374.80","376.00","363.00","1.87M","-2.57%"
"19-02-2024","374.15","384.45","388.40","372.10","1.97M","-2.72%"
"16-02-2024","384.60","388.95","390.00","382.05","1.64M","-1.80%"
"15-02-2024","391.65","362.50","409.70","362.50","6.34M","7.52%"
"14-02-2024","364.25","362.00","368.60","356.70","1.90M","-0.61%"
"13-02-2024","366.50","366.00","369.80","354.10","2.72M","0.71%"
"12-02-2024","363.90","358.40","366.25","351.20","5.78M","1.66%"
"09-02-2024","357.95","357.15","362.00","345.00","5.26M","1.68%"
"08-02-2024","352.05","350.00","368.70","343.75","17.26M","4.39%"
"07-02-2024","337.25","331.70","342.40","329.25","6.41M","2.20%"
"06-02-2024","330.00","342.45","344.85","329.15","2.31M","-2.90%"
"05-02-2024","339.85","348.95","349.55","336.30","2.07M","-2.31%"
"02-02-2024","347.90","336.15","351.90","336.15","7.04M","4.15%"
"01-02-2024","334.05","358.50","360.00","321.95","6.30M","-4.61%"
"31-01-2024","350.20","368.00","379.20","347.75","7.52M","-4.68%"
"30-01-2024","367.40","361.35","370.25","358.20","2.51M","3.51%"
"29-01-2024","354.95","356.00","359.30","350.10","1.46M","0.00%"
"25-01-2024","354.95","361.55","366.20","354.00","930.47K","-1.81%"
"24-01-2024","361.50","353.15","365.00","351.25","2.12M","2.66%"
"23-01-2024","352.15","363.35","363.35","343.00","2.55M","-2.59%"
"20-01-2024","361.50","364.95","366.00","361.05","586.58K","-0.85%"
"19-01-2024","364.60","365.15","370.25","362.55","1.39M","0.73%"
"18-01-2024","361.95","363.00","367.95","352.20","1.55M","-0.06%"
"17-01-2024","362.15","365.30","375.90","357.30","2.67M","-1.56%"
"16-01-2024","367.90","386.20","386.20","363.30","2.46M","-4.38%"
"15-01-2024","384.75","391.80","391.80","378.00","2.49M","-1.19%"
"12-01-2024","389.40","392.25","395.00","385.55","1.78M","-0.33%"
"11-01-2024","390.70","382.20","393.00","380.75","2.16M","2.78%"
"10-01-2024","380.15","384.05","392.90","376.15","3.09M","-0.56%"
"09-01-2024","382.30","376.35","386.70","374.85","3.54M","2.67%"
"08-01-2024","372.35","360.05","375.00","359.00","3.29M","4.08%"
"05-01-2024","357.75","370.00","379.75","350.10","5.03M","-1.66%"
"04-01-2024","363.80","361.00","364.95","355.35","1.56M","1.17%"
"03-01-2024","359.60","363.05","366.60","355.60","1.67M","-0.85%"
"02-01-2024","362.70","362.25","370.00","351.45","4.85M","0.11%"
"01-01-2024","362.30","355.15","364.90","351.05","2.37M","2.32%"
"29-12-2023","354.10","346.65","359.85","338.20","2.48M","2.50%"
"28-12-2023","345.45","355.00","362.00","343.00","2.35M","-1.90%"
"27-12-2023","352.15","346.00","357.00","334.70","3.99M","2.58%"
"26-12-2023","343.30","335.80","345.00","335.80","2.76M","2.88%"
"22-12-2023","333.70","330.00","339.00","329.60","2.13M","1.99%"
"21-12-2023","327.20","319.05","331.80","314.25","2.10M","1.54%"
"20-12-2023","322.25","316.05","339.20","316.05","7.38M","2.17%"
"19-12-2023","315.40","318.15","319.30","313.80","725.96K","-0.43%"
"18-12-2023","316.75","318.40","319.90","312.20","809.90K","0.17%"
"15-12-2023","316.20","326.25","327.40","313.00","2.19M","-2.47%"
"14-12-2023","324.20","322.75","329.00","321.35","2.22M","1.41%"
"13-12-2023","319.70","316.55","321.75","311.05","3.56M","1.51%"
"12-12-2023","314.95","319.95","324.05","314.00","1.21M","-1.04%"
"11-12-2023","318.25","324.90","325.35","317.25","1.35M","-1.65%"
"08-12-2023","323.60","321.90","327.00","320.05","1.78M","0.53%"
"07-12-2023","321.90","329.00","329.55","321.15","1.46M","-1.81%"
"06-12-2023","327.85","337.65","339.00","326.55","1.59M","-2.76%"
"05-12-2023","337.15","338.00","341.00","335.00","1.62M","0.31%"
"04-12-2023","336.10","340.00","341.00","332.50","1.64M","0.37%"
"01-12-2023","334.85","324.90","337.35","324.05","2.90M","3.00%"
"30-11-2023","325.10","322.45","332.75","304.10","2.08M","1.07%"
