"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","285.65","285.35","289.65","283.05","487.17K","0.62%"
"05-11-2024","283.90","285.80","285.80","282.55","163.45K","-0.66%"
"04-11-2024","285.80","287.85","287.85","282.00","348.27K","-0.42%"
"01-11-2024","287.00","287.95","288.50","285.70","103.67K","0.67%"
"31-10-2024","285.10","287.15","287.15","283.55","266.44K","-0.18%"
"30-10-2024","285.60","286.00","286.55","283.30","332.00K","-0.33%"
"29-10-2024","286.55","284.50","289.05","280.60","415.65K","1.11%"
"28-10-2024","283.40","284.50","287.80","277.65","587.87K","1.52%"
"25-10-2024","279.15","274.00","279.85","265.75","1.21M","3.10%"
"24-10-2024","270.75","275.95","276.80","270.15","303.75K","-1.88%"
"23-10-2024","275.95","277.00","279.20","267.10","735.82K","0.22%"
"22-10-2024","275.35","278.85","280.00","270.95","798.00K","-1.26%"
"21-10-2024","278.85","288.25","288.70","277.75","356.23K","-2.86%"
"18-10-2024","287.05","285.15","288.00","282.05","234.98K","0.02%"
"17-10-2024","287.00","297.00","298.45","285.20","322.65K","-2.88%"
"16-10-2024","295.50","289.90","298.70","285.00","977.26K","3.21%"
"15-10-2024","286.30","290.00","292.35","285.65","620.31K","-0.52%"
"14-10-2024","287.80","289.40","290.50","285.00","227.24K","-0.33%"
"11-10-2024","288.75","291.50","292.25","287.85","167.66K","-0.94%"
"10-10-2024","291.50","292.60","296.00","290.60","239.16K","0.03%"
"09-10-2024","291.40","289.90","294.00","289.20","322.43K","1.52%"
"08-10-2024","287.05","280.00","287.90","279.05","316.90K","2.32%"
"07-10-2024","280.55","292.10","293.10","278.75","591.77K","-3.95%"
"04-10-2024","292.10","301.25","301.25","291.45","484.86K","-3.18%"
"03-10-2024","301.70","303.00","313.50","298.95","1.11M","-3.15%"
"01-10-2024","311.50","310.00","312.90","305.95","586.89K","0.65%"
"30-09-2024","309.50","309.35","311.20","305.30","464.51K","0.05%"
"27-09-2024","309.35","307.10","311.85","301.35","1.52M","1.74%"
"26-09-2024","304.05","309.50","313.00","302.30","476.51K","-1.38%"
"25-09-2024","308.30","307.90","309.35","305.00","352.07K","0.78%"
"24-09-2024","305.90","302.15","311.50","302.15","584.23K","0.69%"
"23-09-2024","303.80","304.00","304.90","301.50","326.47K","0.55%"
"20-09-2024","302.15","304.90","304.90","300.00","482.47K","-0.79%"
"19-09-2024","304.55","307.30","312.00","301.60","668.77K","-0.49%"
"18-09-2024","306.05","310.60","311.20","304.90","289.30K","-0.97%"
"17-09-2024","309.05","311.50","313.45","305.50","498.53K","-1.20%"
"16-09-2024","312.80","312.90","316.60","310.80","433.22K","0.45%"
"13-09-2024","311.40","316.30","317.45","310.00","504.00K","-1.52%"
"12-09-2024","316.20","318.95","319.80","314.75","1.56M","0.03%"
"11-09-2024","316.10","312.00","317.55","310.00","2.31M","2.61%"
"10-09-2024","308.05","306.10","310.45","305.15","522.19K","1.05%"
"09-09-2024","304.85","306.80","308.80","302.60","539.36K","-0.39%"
"06-09-2024","306.05","313.00","320.50","302.40","2.13M","-1.35%"
"05-09-2024","310.25","307.00","312.40","305.45","2.38M","1.74%"
"04-09-2024","304.95","297.70","307.50","296.00","2.01M","2.09%"
"03-09-2024","298.70","299.00","300.40","297.00","282.96K","0.23%"
"02-09-2024","298.00","300.00","302.70","296.80","402.09K","0.51%"
"30-08-2024","296.50","298.30","299.05","295.30","257.66K","-0.50%"
"29-08-2024","298.00","298.00","298.95","289.95","1.12M","0.15%"
"28-08-2024","297.55","299.80","300.35","295.70","582.21K","-0.13%"
"27-08-2024","297.95","295.10","301.00","294.35","477.82K","0.97%"
"26-08-2024","295.10","295.10","297.10","293.55","325.61K","0.27%"
"23-08-2024","294.30","301.35","303.75","294.00","514.52K","-2.26%"
"22-08-2024","301.10","297.95","305.70","297.25","1.66M","1.48%"
"21-08-2024","296.70","298.00","302.00","295.95","1.20M","0.44%"
"20-08-2024","295.40","299.80","299.80","294.35","914.34K","0.03%"
"19-08-2024","295.30","292.00","299.60","291.00","622.10K","1.79%"
"16-08-2024","290.10","293.60","294.35","288.55","346.14K","-0.26%"
"14-08-2024","290.85","293.00","294.00","285.00","331.94K","0.50%"
"13-08-2024","289.40","296.95","296.95","288.50","325.36K","-2.08%"
"12-08-2024","295.55","293.70","296.50","289.60","954.41K","0.63%"
"09-08-2024","293.70","298.30","298.40","292.00","784.77K","-0.51%"
"08-08-2024","295.20","300.00","302.90","294.30","524.90K","-1.24%"
"07-08-2024","298.90","298.00","303.05","292.00","939.60K","0.62%"
"06-08-2024","297.05","295.00","302.60","295.00","985.49K","-0.15%"
"05-08-2024","297.50","299.40","305.45","294.00","1.89M","-1.69%"
"02-08-2024","302.60","301.40","307.25","298.65","931.77K","-0.82%"
"01-08-2024","305.10","310.00","310.00","303.50","1.30M","-0.68%"
"31-07-2024","307.20","304.90","310.75","304.00","2.80M","0.87%"
"30-07-2024","304.55","284.90","314.20","282.30","13.73M","8.11%"
"29-07-2024","281.70","277.00","284.15","276.50","1.92M","2.32%"
"26-07-2024","275.30","275.15","276.40","273.80","415.49K","0.11%"
"25-07-2024","275.00","272.65","275.50","272.00","289.41K","0.51%"
"24-07-2024","273.60","273.00","275.50","272.90","249.53K","0.20%"
"23-07-2024","273.05","271.55","274.05","266.00","497.49K","0.78%"
"22-07-2024","270.95","271.95","272.10","268.75","485.19K","-0.20%"
"19-07-2024","271.50","276.10","276.30","270.70","648.82K","-1.13%"
"18-07-2024","274.60","275.25","278.85","273.80","670.46K","-1.89%"
"16-07-2024","279.90","280.00","281.70","278.50","713.38K","-0.02%"
"15-07-2024","279.95","279.10","280.95","275.50","709.44K","0.67%"
"12-07-2024","278.10","280.25","281.80","277.40","499.81K","-0.45%"
"11-07-2024","279.35","286.00","286.60","277.50","1.52M","-1.06%"
"10-07-2024","282.35","273.80","285.95","269.20","2.37M","3.33%"
"09-07-2024","273.25","271.80","274.50","269.70","577.12K","1.04%"
"08-07-2024","270.45","268.60","272.70","268.55","684.87K","1.31%"
"05-07-2024","266.95","270.80","272.00","265.60","1.27M","-0.85%"
"04-07-2024","269.25","270.85","273.80","268.80","897.66K","0.47%"
"03-07-2024","268.00","271.75","273.40","267.55","1.11M","-0.67%"
"02-07-2024","269.80","273.80","273.80","268.80","614.68K","-0.07%"
"01-07-2024","270.00","272.70","274.30","269.50","854.01K","-0.04%"
"28-06-2024","270.10","274.00","275.00","269.40","650.86K","-1.28%"
"27-06-2024","273.60","270.30","274.50","269.95","284.93K","1.35%"
"26-06-2024","269.95","275.00","283.85","269.50","1.06M","-1.78%"
"25-06-2024","274.85","277.25","279.90","274.40","517.53K","-0.87%"
"24-06-2024","277.25","277.00","279.50","275.15","407.02K","1.13%"
"21-06-2024","274.15","281.80","284.20","273.50","1.30M","-3.13%"
