"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,276.35","1,228.75","1,281.85","1,222.00","188.54K","3.78%"
"05-11-2024","1,229.90","1,251.00","1,260.00","1,225.30","80.34K","-2.71%"
"04-11-2024","1,264.10","1,289.05","1,289.05","1,259.70","80.98K","-2.28%"
"01-11-2024","1,293.65","1,310.00","1,320.00","1,272.45","62.22K","1.53%"
"31-10-2024","1,274.15","1,261.00","1,283.00","1,250.00","173.63K","1.03%"
"30-10-2024","1,261.10","1,244.00","1,264.95","1,224.95","111.35K","1.57%"
"29-10-2024","1,241.60","1,204.90","1,264.85","1,191.20","1.13M","5.39%"
"28-10-2024","1,178.15","1,166.00","1,199.00","1,156.50","90.47K","-0.46%"
"25-10-2024","1,183.65","1,216.10","1,222.45","1,171.05","114.92K","-2.67%"
"24-10-2024","1,216.10","1,234.40","1,241.95","1,210.10","63.40K","-1.13%"
"23-10-2024","1,230.05","1,235.00","1,247.30","1,210.15","79.87K","-1.62%"
"22-10-2024","1,250.35","1,273.35","1,282.90","1,231.15","92.52K","-2.10%"
"21-10-2024","1,277.15","1,300.00","1,303.50","1,270.10","76.84K","-1.35%"
"18-10-2024","1,294.65","1,297.05","1,337.90","1,279.00","315.38K","-0.35%"
"17-10-2024","1,299.25","1,288.00","1,303.00","1,266.65","1.24M","0.80%"
"16-10-2024","1,288.90","1,302.00","1,306.45","1,282.65","144.30K","-0.93%"
"15-10-2024","1,300.95","1,313.70","1,327.00","1,296.60","149.82K","0.07%"
"14-10-2024","1,300.00","1,320.05","1,328.00","1,295.05","80.60K","-1.52%"
"11-10-2024","1,320.05","1,312.20","1,330.10","1,308.50","73.96K","-0.23%"
"10-10-2024","1,323.05","1,330.00","1,345.00","1,313.10","671.29K","-0.05%"
"09-10-2024","1,323.75","1,340.00","1,364.30","1,320.00","178.57K","0.02%"
"08-10-2024","1,323.55","1,286.10","1,337.95","1,278.50","234.39K","1.37%"
"07-10-2024","1,305.70","1,357.75","1,359.70","1,279.25","238.85K","-3.13%"
"04-10-2024","1,347.90","1,314.90","1,360.00","1,269.55","195.44K","2.60%"
"03-10-2024","1,313.80","1,336.00","1,342.30","1,310.10","195.79K","-2.62%"
"01-10-2024","1,349.20","1,393.00","1,426.95","1,342.00","788.76K","-1.32%"
"30-09-2024","1,367.25","1,407.00","1,407.45","1,355.90","392.68K","-2.86%"
"27-09-2024","1,407.55","1,333.15","1,438.05","1,310.40","398.52K","6.55%"
"26-09-2024","1,321.05","1,322.00","1,348.40","1,315.00","154.54K","-0.76%"
"25-09-2024","1,331.15","1,311.00","1,337.00","1,287.25","254.22K","1.90%"
"24-09-2024","1,306.30","1,329.05","1,341.00","1,293.40","245.41K","-1.52%"
"23-09-2024","1,326.45","1,342.00","1,355.55","1,322.00","96.08K","-0.64%"
"20-09-2024","1,335.05","1,386.00","1,386.50","1,328.40","260.93K","-2.86%"
"19-09-2024","1,374.30","1,384.00","1,395.70","1,330.60","191.33K","-0.29%"
"18-09-2024","1,378.30","1,408.60","1,408.60","1,371.00","49.53K","-1.48%"
"17-09-2024","1,398.95","1,396.10","1,408.00","1,371.35","112.45K","0.33%"
"16-09-2024","1,394.35","1,391.00","1,404.90","1,365.55","72.59K","0.98%"
"13-09-2024","1,380.80","1,386.55","1,397.00","1,377.00","89.54K","0.52%"
"12-09-2024","1,373.65","1,355.00","1,380.35","1,340.00","480.71K","1.32%"
"11-09-2024","1,355.75","1,386.20","1,392.95","1,342.60","100.65K","-2.19%"
"10-09-2024","1,386.10","1,372.15","1,404.55","1,372.15","161.65K","1.39%"
"09-09-2024","1,367.10","1,398.90","1,404.45","1,362.45","104.84K","-2.20%"
"06-09-2024","1,397.90","1,408.00","1,449.00","1,390.10","484.84K","-0.06%"
"05-09-2024","1,398.70","1,414.00","1,414.95","1,381.00","225.78K","-0.10%"
"04-09-2024","1,400.05","1,395.00","1,425.15","1,373.00","590.67K","0.35%"
"03-09-2024","1,395.10","1,392.15","1,399.50","1,375.70","260.82K","0.72%"
"02-09-2024","1,385.10","1,360.00","1,416.75","1,357.55","620.09K","2.79%"
"30-08-2024","1,347.55","1,324.95","1,370.95","1,307.00","325.72K","1.35%"
"29-08-2024","1,329.60","1,335.05","1,339.90","1,315.00","108.28K","-0.60%"
"28-08-2024","1,337.60","1,330.05","1,354.00","1,320.00","129.79K","0.35%"
"27-08-2024","1,332.90","1,313.00","1,342.25","1,295.85","192.62K","1.97%"
"26-08-2024","1,307.10","1,302.00","1,327.00","1,275.55","163.40K","0.68%"
"23-08-2024","1,298.25","1,260.90","1,317.35","1,259.00","770.18K","3.70%"
"22-08-2024","1,251.95","1,239.60","1,259.90","1,224.00","279.27K","1.00%"
"21-08-2024","1,239.60","1,219.65","1,260.95","1,214.95","217.62K","1.81%"
"20-08-2024","1,217.60","1,233.00","1,234.00","1,200.00","455.13K","-1.16%"
"19-08-2024","1,231.90","1,226.15","1,265.65","1,208.00","240.10K","0.88%"
"16-08-2024","1,221.15","1,222.00","1,239.00","1,210.75","162.01K","-0.76%"
"14-08-2024","1,230.45","1,249.00","1,249.45","1,206.00","136.96K","-1.78%"
"13-08-2024","1,252.70","1,238.05","1,269.90","1,230.05","348.85K","1.18%"
"12-08-2024","1,238.10","1,222.10","1,244.25","1,212.00","96.65K","-0.23%"
"09-08-2024","1,240.95","1,253.55","1,260.85","1,236.00","89.98K","-0.31%"
"08-08-2024","1,244.75","1,232.75","1,259.25","1,222.95","359.28K","0.89%"
"07-08-2024","1,233.75","1,229.00","1,239.90","1,189.00","272.30K","2.41%"
"06-08-2024","1,204.75","1,253.60","1,280.00","1,190.80","290.27K","-4.03%"
"05-08-2024","1,255.40","1,271.05","1,345.00","1,236.20","301.42K","-7.07%"
"02-08-2024","1,350.95","1,336.00","1,360.00","1,325.05","205.62K","-0.90%"
"01-08-2024","1,363.20","1,370.95","1,374.30","1,342.10","305.54K","-0.57%"
"31-07-2024","1,370.95","1,329.90","1,379.70","1,315.00","644.64K","3.39%"
"30-07-2024","1,325.95","1,301.00","1,355.10","1,290.00","491.93K","-2.21%"
"29-07-2024","1,355.85","1,384.00","1,395.70","1,338.35","175.58K","-0.39%"
"26-07-2024","1,361.15","1,320.30","1,369.70","1,320.30","252.60K","3.09%"
"25-07-2024","1,320.30","1,329.00","1,344.20","1,312.50","118.02K","-0.68%"
"24-07-2024","1,329.40","1,293.00","1,337.20","1,285.00","199.93K","3.78%"
"23-07-2024","1,281.00","1,313.00","1,346.65","1,250.00","302.43K","-2.66%"
"22-07-2024","1,316.00","1,341.40","1,363.60","1,307.00","297.33K","-1.52%"
"19-07-2024","1,336.30","1,344.90","1,427.85","1,304.60","1.75M","1.49%"
"18-07-2024","1,316.70","1,334.95","1,360.00","1,304.00","496.84K","-0.79%"
"16-07-2024","1,327.20","1,326.00","1,341.25","1,294.90","443.44K","-0.26%"
"15-07-2024","1,330.65","1,372.00","1,375.45","1,326.00","308.07K","-1.99%"
"12-07-2024","1,357.70","1,402.95","1,402.95","1,346.00","414.76K","-2.57%"
"11-07-2024","1,393.45","1,389.90","1,410.00","1,356.05","1.60M","3.56%"
"10-07-2024","1,345.50","1,316.00","1,384.95","1,290.85","1.70M","3.21%"
"09-07-2024","1,303.60","1,284.95","1,311.95","1,262.25","793.54K","2.43%"
"08-07-2024","1,272.65","1,237.95","1,284.70","1,229.95","1.49M","3.64%"
"05-07-2024","1,228.00","1,224.90","1,237.00","1,212.65","173.09K","-0.02%"
"04-07-2024","1,228.25","1,245.40","1,256.45","1,216.80","353.15K","-1.37%"
"03-07-2024","1,245.35","1,220.00","1,252.80","1,201.40","1.06M","2.74%"
"02-07-2024","1,212.15","1,173.85","1,223.30","1,162.00","1.38M","3.65%"
"01-07-2024","1,169.45","1,179.90","1,181.00","1,145.00","590.43K","-0.53%"
"28-06-2024","1,175.70","1,174.05","1,188.00","1,163.00","362.40K","-0.59%"
"27-06-2024","1,182.70","1,189.00","1,194.00","1,158.05","483.48K","-0.56%"
"26-06-2024","1,189.40","1,196.85","1,200.00","1,167.30","477.86K","0.43%"
"25-06-2024","1,184.30","1,209.00","1,213.00","1,160.10","1.37M","0.93%"
"24-06-2024","1,173.35","1,156.85","1,180.00","1,150.25","544.86K","1.43%"
"21-06-2024","1,156.85","1,165.00","1,178.05","1,145.00","527.60K","0.11%"
"20-06-2024","1,155.60","1,158.70","1,166.20","1,145.05","618.42K","0.60%"
"19-06-2024","1,148.75","1,173.00","1,190.00","1,143.00","1.52M","-1.39%"
"18-06-2024","1,165.00","1,232.00","1,254.95","1,157.00","4.37M","-4.52%"
"14-06-2024","1,220.20","1,239.00","1,248.75","1,216.60","299.82K","-0.54%"
"13-06-2024","1,226.80","1,256.65","1,268.35","1,219.40","142.47K","-2.38%"
"12-06-2024","1,256.65","1,230.00","1,274.00","1,222.05","222.02K","1.76%"
"11-06-2024","1,234.95","1,280.80","1,288.80","1,230.00","280.35K","-3.38%"
"10-06-2024","1,278.10","1,269.65","1,309.15","1,250.25","313.88K","1.07%"
"07-06-2024","1,264.55","1,183.30","1,286.05","1,181.05","829.45K","6.87%"
"06-06-2024","1,183.30","1,123.10","1,192.05","1,117.00","220.50K","7.13%"
"05-06-2024","1,104.55","1,068.80","1,109.60","1,043.75","186.37K","3.18%"
"04-06-2024","1,070.55","1,222.70","1,223.00","978.35","439.87K","-12.46%"
