"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","226.24","224.00","227.95","223.17","975.22K","0.70%"
"05-11-2024","224.67","222.50","225.49","221.20","1.15M","0.69%"
"04-11-2024","223.14","227.53","227.53","222.50","1.15M","-1.93%"
"01-11-2024","227.53","229.00","229.00","226.71","387.33K","0.69%"
"31-10-2024","225.98","227.13","228.30","223.01","1.78M","-0.51%"
"30-10-2024","227.13","223.16","229.53","222.30","4.17M","2.56%"
"29-10-2024","221.45","216.28","224.80","216.28","2.37M","2.27%"
"28-10-2024","216.53","214.55","219.90","214.20","1.41M","0.92%"
"25-10-2024","214.55","220.00","222.74","212.50","2.05M","-2.39%"
"24-10-2024","219.81","216.00","220.59","213.36","1.73M","2.26%"
"23-10-2024","214.95","212.90","219.79","210.00","2.20M","-1.15%"
"22-10-2024","217.46","221.11","221.95","215.00","3.04M","-2.55%"
"21-10-2024","223.14","223.10","228.88","216.10","6.15M","0.54%"
"18-10-2024","221.95","212.50","225.90","208.37","7.58M","2.32%"
"17-10-2024","216.91","205.95","219.89","200.10","14.40M","6.18%"
"16-10-2024","204.28","203.50","206.60","200.52","1.01M","0.48%"
"15-10-2024","203.30","205.00","205.15","200.01","1.01M","-0.36%"
"14-10-2024","204.04","199.10","207.07","197.20","3.42M","2.51%"
"11-10-2024","199.04","198.00","200.59","195.25","1.12M","1.16%"
"10-10-2024","196.75","199.49","200.08","195.89","1.25M","-0.81%"
"09-10-2024","198.35","200.00","203.00","196.50","1.49M","0.04%"
"08-10-2024","198.28","197.80","201.29","193.20","2.05M","-0.57%"
"07-10-2024","199.41","206.34","210.19","197.10","3.43M","-4.45%"
"04-10-2024","208.69","210.08","210.71","206.98","1.13M","-1.13%"
"03-10-2024","211.08","212.50","213.59","209.50","812.95K","-1.44%"
"01-10-2024","214.17","216.34","216.34","212.38","1.37M","-0.18%"
"30-09-2024","214.56","217.30","217.76","212.61","1.42M","-1.22%"
"27-09-2024","217.21","218.04","221.90","216.55","1.19M","-0.03%"
"26-09-2024","217.27","221.47","222.00","216.50","1.45M","-1.67%"
"25-09-2024","220.96","222.40","222.50","218.03","1.17M","0.08%"
"24-09-2024","220.78","221.00","221.82","217.59","2.24M","0.41%"
"23-09-2024","219.87","212.99","220.79","211.10","4.08M","4.61%"
"20-09-2024","210.19","213.00","213.97","209.53","2.83M","-0.32%"
"19-09-2024","210.87","212.50","213.29","206.10","1.36M","-0.25%"
"18-09-2024","211.40","213.00","214.64","210.10","790.93K","-1.65%"
"17-09-2024","214.94","219.21","219.22","213.25","1.02M","-1.12%"
"16-09-2024","217.37","218.07","218.79","215.25","770.85K","0.12%"
"13-09-2024","217.11","219.54","220.34","216.43","850.88K","-1.06%"
"12-09-2024","219.44","221.80","222.99","217.00","769.99K","0.31%"
"11-09-2024","218.76","226.00","226.00","217.30","1.04M","-2.32%"
"10-09-2024","223.95","220.00","224.94","217.50","1.49M","2.51%"
"09-09-2024","218.46","219.15","220.27","212.21","1.05M","-0.04%"
"06-09-2024","218.54","220.20","222.61","215.84","793.74K","-0.49%"
"05-09-2024","219.61","220.25","224.84","218.70","988.80K","0.08%"
"04-09-2024","219.44","218.00","223.90","216.70","1.48M","-2.36%"
"03-09-2024","224.75","224.28","225.99","222.69","496.57K","0.44%"
"02-09-2024","223.76","222.00","225.70","221.11","789.21K","0.69%"
"30-08-2024","222.22","223.37","226.46","221.00","653.11K","-0.51%"
"29-08-2024","223.37","222.92","224.69","220.70","877.69K","0.20%"
"28-08-2024","222.92","228.40","228.40","222.22","764.90K","-1.35%"
"27-08-2024","225.96","224.63","227.20","222.42","1.63M","1.09%"
"26-08-2024","223.53","227.00","231.50","222.00","3.85M","0.49%"
"23-08-2024","222.45","223.80","225.55","221.00","740.75K","-0.42%"
"22-08-2024","223.38","228.90","228.90","222.30","1.04M","-1.99%"
"21-08-2024","227.92","221.00","229.48","220.01","2.44M","3.26%"
"20-08-2024","220.72","221.07","223.55","219.00","780.21K","-0.51%"
"19-08-2024","221.86","217.00","222.95","216.99","1.17M","2.24%"
"16-08-2024","216.99","213.50","217.79","213.10","1.06M","1.72%"
"14-08-2024","213.32","215.15","215.90","212.24","650.65K","-0.80%"
"13-08-2024","215.05","213.85","217.35","210.87","1.17M","0.79%"
"12-08-2024","213.36","214.00","214.60","210.46","872.21K","-0.73%"
"09-08-2024","214.93","212.90","216.00","211.71","878.02K","1.84%"
"08-08-2024","211.05","215.80","216.68","210.56","943.47K","-1.84%"
