"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","5,872.95","5,439.40","5,936.95","5,376.35","1.68M","10.55%"
"05-11-2024","5,312.65","5,409.00","5,417.00","5,230.10","242.24K","-1.87%"
"04-11-2024","5,414.05","5,540.00","5,549.00","5,391.05","182.29K","-1.78%"
"01-11-2024","5,512.35","5,480.00","5,550.00","5,471.80","81.10K","1.33%"
"31-10-2024","5,440.05","5,280.00","5,619.00","5,222.00","769.62K","3.23%"
"30-10-2024","5,269.80","5,560.00","5,560.00","5,233.95","775.90K","0.52%"
"29-10-2024","5,242.60","5,355.00","5,401.75","5,160.00","217.26K","-1.89%"
"28-10-2024","5,343.80","5,348.00","5,433.90","5,260.05","197.90K","0.80%"
"25-10-2024","5,301.60","5,562.05","5,615.00","5,155.65","345.29K","-3.82%"
"24-10-2024","5,512.30","5,499.40","5,695.90","5,472.00","246.68K","0.79%"
"23-10-2024","5,469.35","5,372.35","5,534.40","5,245.95","262.70K","1.38%"
"22-10-2024","5,394.65","5,653.00","5,704.55","5,365.65","238.54K","-4.55%"
"21-10-2024","5,652.10","5,637.00","5,735.85","5,588.30","205.55K","0.74%"
"18-10-2024","5,610.50","5,545.55","5,638.00","5,402.00","283.76K","0.50%"
"17-10-2024","5,582.60","5,748.00","5,768.80","5,571.00","188.65K","-2.59%"
"16-10-2024","5,731.25","5,709.50","5,814.95","5,660.00","218.71K","0.30%"
"15-10-2024","5,714.25","5,714.40","5,909.95","5,657.80","661.20K","0.56%"
"14-10-2024","5,682.30","5,593.95","5,755.55","5,580.00","391.81K","1.65%"
"11-10-2024","5,590.30","5,564.00","5,644.65","5,455.45","331.69K","0.94%"
"10-10-2024","5,538.20","5,412.25","5,742.00","5,362.00","766.36K","2.72%"
"09-10-2024","5,391.60","5,255.00","5,466.65","5,233.70","435.92K","2.64%"
"08-10-2024","5,253.10","4,878.95","5,286.50","4,801.00","761.49K","7.85%"
"07-10-2024","4,870.80","5,075.80","5,099.90","4,778.40","427.60K","-3.52%"
"04-10-2024","5,048.50","5,219.20","5,256.35","5,020.00","434.68K","-3.38%"
"03-10-2024","5,225.20","5,302.20","5,445.00","5,193.10","320.39K","-4.41%"
