"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","976.15","956.50","978.85","946.10","634.21K","2.86%"
"05-11-2024","949.05","979.90","1,015.90","941.05","2.49M","-2.03%"
"04-11-2024","968.70","1,000.00","1,000.00","945.00","487.80K","-3.33%"
"01-11-2024","1,002.05","993.95","1,020.70","992.60","77.93K","1.74%"
"31-10-2024","984.90","949.90","993.00","936.60","314.30K","3.68%"
"30-10-2024","949.90","929.10","955.00","924.60","193.11K","2.74%"
"29-10-2024","924.55","909.30","929.05","898.25","242.88K","2.22%"
"28-10-2024","904.50","894.75","908.20","879.40","124.82K","1.06%"
"25-10-2024","895.05","918.00","926.40","880.30","273.20K","-2.49%"
"24-10-2024","917.95","947.00","959.90","908.10","493.09K","-1.54%"
"23-10-2024","932.35","936.00","944.05","915.80","253.65K","-0.29%"
"22-10-2024","935.10","982.10","987.80","929.10","419.77K","-4.71%"
"21-10-2024","981.30","990.00","999.95","975.50","189.72K","-1.06%"
"18-10-2024","991.85","987.05","1,001.00","976.50","481.98K","-0.12%"
"17-10-2024","993.00","1,017.10","1,026.45","986.10","357.20K","-2.38%"
"16-10-2024","1,017.20","1,024.85","1,027.00","1,006.25","623.15K","-0.92%"
"15-10-2024","1,026.65","1,011.00","1,034.85","1,008.40","797.39K","1.73%"
"14-10-2024","1,009.15","1,003.00","1,016.00","993.65","327.27K","1.05%"
"11-10-2024","998.70","1,016.70","1,019.95","996.00","325.60K","-1.84%"
"10-10-2024","1,017.45","1,023.05","1,024.75","1,007.05","330.32K","1.00%"
"09-10-2024","1,007.35","1,018.50","1,027.50","1,003.10","473.01K","-0.57%"
"08-10-2024","1,013.15","980.00","1,019.90","968.15","545.41K","2.56%"
"07-10-2024","987.90","1,025.50","1,026.65","979.40","591.57K","-4.30%"
"04-10-2024","1,032.25","1,032.50","1,039.00","991.00","781.30K","0.86%"
"03-10-2024","1,023.45","1,022.00","1,043.45","991.50","984.54K","-2.60%"
"01-10-2024","1,050.75","1,036.55","1,061.00","1,026.10","657.37K","1.17%"
"30-09-2024","1,038.55","1,023.00","1,068.00","1,018.05","2.26M","1.31%"
"27-09-2024","1,025.10","1,021.90","1,032.00","1,004.60","607.21K","0.26%"
"26-09-2024","1,022.45","1,015.85","1,037.55","1,002.75","1.39M","0.37%"
"25-09-2024","1,018.65","985.05","1,029.90","985.05","2.68M","3.65%"
"24-09-2024","982.75","950.00","993.25","942.80","1.78M","3.98%"
"23-09-2024","945.10","970.00","975.00","938.70","1.43M","0.41%"
"20-09-2024","941.25","978.95","978.95","935.05","1.86M","-4.55%"
"19-09-2024","986.15","1,030.00","1,031.85","974.90","866.07K","-3.03%"
"18-09-2024","1,017.00","985.00","1,021.10","968.65","1.94M","3.29%"
"17-09-2024","984.60","982.95","987.70","963.15","351.00K","0.65%"
"16-09-2024","978.25","988.90","997.30","975.00","240.78K","-1.51%"
"13-09-2024","993.25","995.65","998.40","978.00","506.34K","-0.24%"
"12-09-2024","995.65","956.00","998.00","956.00","1.71M","4.51%"
"11-09-2024","952.65","978.00","978.70","950.00","373.49K","-2.87%"
"10-09-2024","980.75","982.30","989.00","975.00","556.73K","0.38%"
"09-09-2024","977.00","996.00","996.00","957.20","774.39K","-1.60%"
"06-09-2024","992.85","1,037.05","1,040.00","987.15","6.15M","0.52%"
"05-09-2024","987.75","933.00","1,002.80","932.15","7.62M","5.97%"
"04-09-2024","932.10","928.45","942.20","926.00","523.22K","0.43%"
"03-09-2024","928.10","928.15","936.40","924.75","398.94K","0.23%"
"02-09-2024","926.00","956.00","959.90","920.80","1.23M","-2.25%"
"30-08-2024","947.35","909.95","969.00","890.30","3.54M","5.17%"
"29-08-2024","900.75","890.00","954.00","881.80","20.55M","3.77%"
"28-08-2024","868.05","862.00","871.00","854.80","259.84K","0.46%"
"27-08-2024","864.10","862.70","870.50","843.35","671.50K","1.18%"
"26-08-2024","854.05","888.00","919.00","850.00","3.91M","1.68%"
"23-08-2024","839.90","832.95","844.70","822.05","561.08K","1.27%"
"22-08-2024","829.35","851.80","851.80","826.00","535.73K","-1.99%"
"21-08-2024","846.20","843.35","848.65","837.20","202.13K","0.34%"
"20-08-2024","843.35","833.00","847.10","832.15","316.98K","2.18%"
"19-08-2024","825.35","819.95","834.70","818.45","277.81K","1.01%"
"16-08-2024","817.10","815.00","823.35","810.50","298.23K","0.57%"
"14-08-2024","812.50","832.25","832.25","810.00","137.66K","-1.93%"
"13-08-2024","828.50","836.00","838.50","821.50","285.71K","0.10%"
"12-08-2024","827.65","833.85","847.20","825.40","186.72K","-0.70%"
"09-08-2024","833.45","851.10","855.70","828.10","388.42K","-2.30%"
"08-08-2024","853.05","849.90","859.00","838.45","261.52K","0.37%"
"07-08-2024","849.90","839.70","857.00","830.50","261.23K","2.41%"
"06-08-2024","829.90","841.55","847.25","821.30","507.02K","0.27%"
"05-08-2024","827.65","865.55","865.55","811.15","934.35K","-6.19%"
"02-08-2024","882.30","900.00","900.00","878.40","264.60K","-2.71%"
"01-08-2024","906.85","929.35","954.45","900.50","1.06M","-2.00%"
"31-07-2024","925.35","889.75","929.00","885.00","1.82M","4.55%"
"30-07-2024","885.05","877.90","890.50","872.00","630.73K","1.25%"
"29-07-2024","874.15","890.00","905.40","870.05","503.43K","-0.67%"
"26-07-2024","880.05","884.00","891.00","874.50","655.58K","-0.45%"
"25-07-2024","884.00","888.00","904.70","876.15","404.81K","-0.17%"
"24-07-2024","885.50","885.10","899.60","871.50","875.54K","0.57%"
"23-07-2024","880.50","883.80","884.45","828.00","328.78K","0.45%"
"22-07-2024","876.55","860.00","886.60","853.80","233.45K","0.99%"
"19-07-2024","868.00","891.30","899.00","862.80","363.74K","-2.61%"
"18-07-2024","891.30","930.00","940.00","881.05","4.26M","0.42%"
"16-07-2024","887.55","887.00","899.70","882.00","269.46K","0.16%"
"15-07-2024","886.15","880.00","888.00","869.60","228.78K","1.72%"
"12-07-2024","871.20","870.10","884.50","867.35","475.20K","0.13%"
"11-07-2024","870.05","874.00","886.20","864.00","601.38K","-0.32%"
"10-07-2024","872.85","907.00","909.95","855.00","1.23M","-3.72%"
"09-07-2024","906.60","900.75","909.90","894.30","270.71K","0.83%"
"08-07-2024","899.15","910.45","910.55","892.00","360.52K","-0.17%"
"05-07-2024","900.65","923.50","927.40","897.00","726.74K","-2.40%"
"04-07-2024","922.75","934.90","941.95","914.35","1.21M","0.17%"
"03-07-2024","921.20","942.90","968.80","917.05","6.04M","2.10%"
"02-07-2024","902.25","884.00","906.85","874.30","337.84K","2.07%"
"01-07-2024","883.95","889.75","900.40","877.85","315.95K","-0.33%"
"28-06-2024","886.90","905.00","905.00","880.30","379.43K","-0.75%"
"27-06-2024","893.60","938.00","950.00","883.50","3.78M","3.50%"
"26-06-2024","863.40","861.80","868.05","853.65","143.67K","0.72%"
"25-06-2024","857.25","878.35","878.35","852.60","219.74K","-2.16%"
"24-06-2024","876.15","883.85","883.85","857.00","540.33K","0.89%"
"21-06-2024","868.45","877.70","877.70","852.10","615.35K","-0.46%"
"20-06-2024","872.50","898.95","898.95","868.60","442.35K","-2.28%"
"19-06-2024","892.90","929.95","929.95","888.00","901.38K","-4.21%"
"18-06-2024","932.10","937.00","944.00","917.55","760.26K","-0.36%"
"14-06-2024","935.50","868.60","947.80","868.00","4.09M","7.70%"
"13-06-2024","868.60","832.00","871.20","826.50","1.74M","4.92%"
"12-06-2024","827.85","818.00","840.00","813.90","549.08K","1.24%"
"11-06-2024","817.75","815.35","833.95","810.85","1.14M","1.08%"
"10-06-2024","809.05","814.80","829.00","791.00","3.32M","5.30%"
"07-06-2024","768.35","775.00","781.60","764.70","198.87K","-0.32%"
"06-06-2024","770.85","725.05","784.50","725.05","713.49K","7.08%"
"05-06-2024","719.90","730.00","744.25","699.20","1.18M","3.30%"
"04-06-2024","696.90","775.00","779.20","671.05","477.48K","-10.08%"
"03-06-2024","775.00","784.00","784.00","755.00","350.12K","4.94%"
"31-05-2024","738.50","761.00","761.35","736.30","171.21K","-2.39%"
"30-05-2024","756.60","760.45","765.90","751.55","302.93K","-0.47%"
"29-05-2024","760.15","758.35","768.75","754.60","154.93K","0.24%"
"28-05-2024","758.35","772.00","779.00","753.50","200.73K","-1.81%"
"27-05-2024","772.30","780.90","787.95","766.90","253.47K","-1.03%"
"24-05-2024","780.35","785.05","792.90","777.30","122.43K","-0.60%"
"23-05-2024","785.05","799.60","799.60","781.00","302.12K","-1.82%"
"22-05-2024","799.60","802.00","804.00","787.65","331.92K","0.44%"
"21-05-2024","796.10","793.60","811.95","786.30","700.82K","0.54%"
"18-05-2024","791.85","790.60","800.00","787.50","50.42K","0.16%"
"17-05-2024","790.60","780.00","795.00","775.20","730.35K","1.41%"
"16-05-2024","779.60","763.30","805.65","761.35","2.23M","2.48%"
"15-05-2024","760.75","723.85","789.00","717.00","4.32M","5.67%"
"14-05-2024","719.90","724.25","724.25","717.00","139.76K","0.38%"
"13-05-2024","717.15","727.65","727.80","715.05","131.69K","-0.95%"
"10-05-2024","724.00","746.00","747.00","715.10","254.09K","-1.63%"
"09-05-2024","736.00","746.65","746.65","727.10","310.09K","-0.14%"
"08-05-2024","737.00","755.50","769.80","733.00","1.09M","-0.45%"
"07-05-2024","740.35","738.90","749.20","736.00","340.72K","-1.55%"
"06-05-2024","752.00","757.90","757.90","731.60","207.54K","0.01%"
"03-05-2024","751.90","749.50","755.00","733.10","258.92K","0.84%"
"02-05-2024","745.60","750.75","750.75","736.70","140.03K","-0.43%"
"30-04-2024","748.80","764.70","779.70","745.00","1.76M","2.37%"
"29-04-2024","731.50","729.80","738.45","722.05","157.61K","0.74%"
"26-04-2024","726.15","733.80","736.00","721.70","181.88K","-1.04%"
"25-04-2024","733.80","736.35","741.70","732.00","123.17K","-0.65%"
"24-04-2024","738.60","736.00","745.15","730.20","243.29K","0.66%"
"23-04-2024","733.75","741.90","741.95","723.00","395.95K","-0.45%"
"22-04-2024","737.05","703.00","740.00","700.00","1.17M","5.77%"
"19-04-2024","696.85","693.00","711.60","692.05","423.64K","-0.63%"
"18-04-2024","701.30","704.85","711.55","699.30","346.35K","0.00%"
"16-04-2024","701.30","704.10","716.50","697.55","357.35K","-0.40%"
"15-04-2024","704.10","738.00","738.70","701.00","934.53K","-5.71%"
"12-04-2024","746.70","762.45","763.95","742.40","300.08K","-2.32%"
