"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","3,965.40","3,980.00","3,989.00","3,919.00","349.29K","-0.25%"
"05-11-2024","3,975.15","3,999.50","4,074.30","3,885.00","333.13K","-2.00%"
"04-11-2024","4,056.35","4,000.05","4,069.35","3,932.60","267.95K","0.03%"
"01-11-2024","4,055.15","4,090.00","4,097.95","4,010.00","15.40K","0.08%"
"31-10-2024","4,051.75","3,860.00","4,082.40","3,850.00","478.52K","4.80%"
"30-10-2024","3,866.05","3,800.00","3,890.00","3,757.00","357.48K","1.94%"
"29-10-2024","3,792.40","3,850.00","3,851.80","3,722.10","295.82K","-1.25%"
"28-10-2024","3,840.55","3,851.25","3,981.35","3,823.50","202.52K","-0.28%"
"25-10-2024","3,851.25","3,999.30","4,004.95","3,803.05","291.45K","-2.79%"
"24-10-2024","3,961.65","4,089.00","4,098.95","3,953.15","250.85K","-2.22%"
"23-10-2024","4,051.55","4,000.00","4,139.70","3,926.55","359.03K","1.23%"
"22-10-2024","4,002.40","4,062.45","4,088.00","4,000.00","364.07K","-1.41%"
"21-10-2024","4,059.65","4,095.15","4,115.00","4,041.05","306.63K","0.05%"
"18-10-2024","4,057.55","4,111.50","4,185.00","3,980.05","836.80K","-2.10%"
"17-10-2024","4,144.55","4,419.95","4,420.00","4,115.00","1.37M","-5.48%"
"16-10-2024","4,384.80","4,589.95","4,590.00","4,151.40","2.54M","-6.52%"
"15-10-2024","4,690.65","4,579.55","4,725.00","4,551.15","420.27K","2.43%"
"14-10-2024","4,579.35","4,600.95","4,619.90","4,541.95","123.06K","0.07%"
"11-10-2024","4,575.95","4,563.75","4,606.00","4,468.30","179.91K","1.04%"
"10-10-2024","4,528.80","4,405.85","4,553.00","4,375.05","312.94K","3.05%"
"09-10-2024","4,394.95","4,240.00","4,411.45","4,175.80","290.73K","4.60%"
"08-10-2024","4,201.75","4,052.15","4,218.10","4,022.55","507.63K","2.28%"
"07-10-2024","4,107.90","4,260.00","4,288.90","4,053.55","238.57K","-4.14%"
"04-10-2024","4,285.40","4,270.00","4,320.00","4,153.95","260.21K","0.39%"
"03-10-2024","4,268.90","4,248.00","4,320.00","4,218.00","232.66K","-1.12%"
"01-10-2024","4,317.05","4,290.00","4,325.00","4,202.00","168.41K","0.46%"
"30-09-2024","4,297.30","4,143.65","4,309.95","4,143.65","332.49K","2.31%"
"27-09-2024","4,200.20","4,228.80","4,254.95","4,190.00","332.06K","0.08%"
"26-09-2024","4,196.80","4,232.90","4,232.90","4,183.05","148.17K","-0.68%"
"25-09-2024","4,225.50","4,309.90","4,315.00","4,207.00","140.23K","-1.86%"
"24-09-2024","4,305.55","4,210.85","4,313.75","4,150.20","328.79K","2.25%"
"23-09-2024","4,210.85","4,354.60","4,370.00","4,200.00","303.90K","-1.73%"
"20-09-2024","4,284.85","4,384.80","4,384.80","4,243.00","1.05M","-2.50%"
"19-09-2024","4,394.80","4,535.75","4,560.00","4,362.05","252.33K","-2.36%"
"18-09-2024","4,501.15","4,459.45","4,581.80","4,415.05","247.65K","1.72%"
"17-09-2024","4,425.10","4,474.45","4,474.45","4,387.55","220.64K","-0.06%"
"16-09-2024","4,427.60","4,497.95","4,506.00","4,410.90","134.71K","-0.31%"
"13-09-2024","4,441.50","4,418.70","4,464.30","4,391.15","168.56K","0.87%"
"12-09-2024","4,403.20","4,438.45","4,481.10","4,380.05","100.23K","0.59%"
"11-09-2024","4,377.35","4,402.85","4,458.95","4,353.20","224.02K","-0.58%"
"10-09-2024","4,402.80","4,352.80","4,499.95","4,350.55","175.51K","1.08%"
"09-09-2024","4,355.55","4,398.95","4,419.00","4,311.50","268.50K","-1.49%"
"06-09-2024","4,421.65","4,485.60","4,502.00","4,405.00","74.31K","-1.43%"
"05-09-2024","4,485.60","4,494.00","4,518.80","4,455.25","164.70K","-0.08%"
"04-09-2024","4,489.25","4,429.45","4,572.90","4,412.35","168.23K","0.71%"
"03-09-2024","4,457.65","4,537.50","4,547.85","4,448.40","117.09K","-1.21%"
"02-09-2024","4,512.20","4,647.50","4,647.50","4,505.55","93.29K","-2.12%"
"30-08-2024","4,609.80","4,578.25","4,630.60","4,525.05","112.41K","1.33%"
"29-08-2024","4,549.50","4,575.00","4,579.00","4,509.00","219.83K","0.12%"
"28-08-2024","4,544.15","4,569.90","4,594.95","4,505.55","80.86K","-0.05%"
"27-08-2024","4,546.20","4,509.50","4,618.00","4,509.40","84.29K","-0.01%"
"26-08-2024","4,546.85","4,674.80","4,693.00","4,531.10","130.94K","-1.86%"
"23-08-2024","4,633.20","4,700.00","4,723.50","4,609.00","211.18K","-1.44%"
"22-08-2024","4,700.70","4,714.95","4,714.95","4,595.25","305.23K","0.57%"
"21-08-2024","4,674.05","4,715.45","4,730.00","4,635.00","207.75K","-0.74%"
"20-08-2024","4,709.00","4,550.00","4,779.90","4,475.00","1.46M","7.82%"
"19-08-2024","4,367.35","4,300.00","4,379.95","4,300.00","107.94K","1.61%"
"16-08-2024","4,298.20","4,320.00","4,385.00","4,272.55","120.20K","0.20%"
"14-08-2024","4,289.60","4,334.95","4,334.95","4,202.10","107.56K","-1.13%"
"13-08-2024","4,338.75","4,290.00","4,369.05","4,253.55","112.68K","0.80%"
"12-08-2024","4,304.50","4,222.15","4,325.00","4,159.65","119.02K","1.90%"
"09-08-2024","4,224.25","4,163.05","4,253.00","4,163.00","118.27K","2.21%"
"08-08-2024","4,133.10","4,130.00","4,165.80","4,083.50","158.28K","-0.10%"
"07-08-2024","4,137.20","4,090.00","4,170.20","4,001.00","163.04K","3.72%"
"06-08-2024","3,988.95","4,112.95","4,140.70","3,950.05","248.88K","-1.28%"
"05-08-2024","4,040.75","4,110.00","4,177.40","4,027.80","228.32K","-4.84%"
"02-08-2024","4,246.20","4,314.00","4,323.65","4,220.00","107.59K","-2.02%"
"01-08-2024","4,333.75","4,382.95","4,386.85","4,313.00","116.15K","0.09%"
"31-07-2024","4,329.85","4,307.05","4,440.00","4,305.65","274.38K","0.53%"
"30-07-2024","4,307.05","4,410.00","4,480.00","4,291.00","463.18K","-0.50%"
"29-07-2024","4,328.50","4,400.00","4,428.20","4,234.00","357.98K","-0.65%"
"26-07-2024","4,356.75","4,250.00","4,370.00","4,223.15","188.89K","2.90%"
"25-07-2024","4,234.15","4,175.20","4,262.95","4,126.25","148.35K","1.41%"
"24-07-2024","4,175.20","4,220.00","4,310.00","4,145.55","255.41K","-0.05%"
"23-07-2024","4,177.35","4,148.05","4,199.85","3,985.15","278.59K","1.36%"
"22-07-2024","4,121.30","4,011.85","4,143.45","3,926.00","446.55K","2.73%"
"19-07-2024","4,011.85","4,264.05","4,276.85","3,990.00","595.67K","-5.96%"
"18-07-2024","4,266.00","4,550.00","4,550.00","4,242.45","413.75K","-4.77%"
"16-07-2024","4,479.90","4,669.00","4,669.00","4,466.00","138.37K","-3.09%"
"15-07-2024","4,622.85","4,610.00","4,665.05","4,595.00","106.90K","0.62%"
"12-07-2024","4,594.35","4,510.00","4,620.00","4,510.00","194.46K","1.96%"
"11-07-2024","4,505.85","4,538.25","4,545.25","4,445.50","120.81K","-0.41%"
"10-07-2024","4,524.45","4,599.95","4,651.00","4,450.00","168.60K","-0.88%"
"09-07-2024","4,564.60","4,690.00","4,690.00","4,510.05","139.10K","-0.83%"
"08-07-2024","4,602.90","4,680.00","4,709.95","4,586.00","120.82K","-1.89%"
"05-07-2024","4,691.45","4,680.55","4,770.00","4,590.65","263.43K","0.12%"
"04-07-2024","4,685.80","4,530.00","4,696.00","4,530.00","279.10K","3.94%"
"03-07-2024","4,508.10","4,603.00","4,606.00","4,480.00","249.42K","-0.95%"
"02-07-2024","4,551.40","4,495.00","4,590.00","4,465.00","308.01K","1.56%"
"01-07-2024","4,481.35","4,486.00","4,499.05","4,401.00","192.01K","1.39%"
"28-06-2024","4,419.90","4,530.00","4,530.00","4,385.00","403.80K","-1.60%"
"27-06-2024","4,491.90","4,484.90","4,505.00","4,434.85","444.17K","1.62%"
"26-06-2024","4,420.40","4,477.00","4,531.05","4,409.85","200.78K","-1.77%"
"25-06-2024","4,500.00","4,533.05","4,575.35","4,485.15","233.93K","0.61%"
"24-06-2024","4,472.85","4,599.15","4,621.25","4,450.00","416.94K","-1.83%"
"21-06-2024","4,556.45","4,450.00","4,580.00","4,392.30","442.22K","3.03%"
"20-06-2024","4,422.25","4,420.35","4,456.85","4,301.05","568.50K","-0.30%"
"19-06-2024","4,435.35","4,700.00","4,701.55","4,422.00","482.33K","-5.44%"
"18-06-2024","4,690.30","4,829.80","4,844.95","4,681.00","264.53K","-2.28%"
"14-06-2024","4,799.70","4,805.00","5,039.70","4,721.45","531.23K","-0.54%"
"13-06-2024","4,825.90","4,700.00","4,889.00","4,683.35","488.11K","3.58%"
"12-06-2024","4,658.95","4,520.00","4,683.25","4,482.20","314.42K","3.46%"
"11-06-2024","4,503.30","4,575.00","4,676.95","4,434.15","371.76K","-1.37%"
"10-06-2024","4,565.70","4,300.00","4,618.40","4,270.00","638.70K","8.17%"
"07-06-2024","4,220.90","4,187.95","4,299.00","4,141.75","169.59K","2.06%"
"06-06-2024","4,135.90","4,128.00","4,191.00","4,091.95","212.29K","1.14%"
