"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,192.95","1,109.95","1,202.00","1,109.95","488.38K","7.86%"
"05-11-2024","1,106.05","1,111.05","1,139.20","1,098.00","176.87K","-1.72%"
"04-11-2024","1,125.45","1,151.50","1,154.80","1,109.00","92.05K","-2.47%"
"01-11-2024","1,153.95","1,146.00","1,160.00","1,142.90","14.91K","0.61%"
"31-10-2024","1,146.95","1,111.50","1,158.95","1,110.70","226.34K","2.76%"
"30-10-2024","1,116.15","1,097.70","1,127.30","1,090.00","207.72K","1.74%"
"29-10-2024","1,097.10","1,060.00","1,105.00","1,045.85","139.54K","3.37%"
"28-10-2024","1,061.30","1,001.00","1,068.35","1,001.00","251.83K","4.44%"
"25-10-2024","1,016.15","1,052.85","1,054.95","1,006.55","504.55K","-5.42%"
"24-10-2024","1,074.35","1,140.75","1,147.30","1,068.05","187.01K","-5.10%"
"23-10-2024","1,132.05","1,105.55","1,139.90","1,094.05","209.20K","1.43%"
"22-10-2024","1,116.05","1,157.00","1,158.30","1,095.55","258.77K","-3.84%"
"21-10-2024","1,160.65","1,180.85","1,189.40","1,145.55","164.46K","-1.64%"
"18-10-2024","1,180.05","1,204.00","1,207.25","1,174.05","105.02K","-2.07%"
"17-10-2024","1,205.00","1,214.60","1,248.85","1,187.75","156.80K","0.07%"
"16-10-2024","1,204.20","1,230.00","1,238.10","1,194.10","177.12K","-1.84%"
"15-10-2024","1,226.80","1,201.90","1,232.60","1,197.35","342.63K","2.42%"
"14-10-2024","1,197.80","1,179.90","1,200.00","1,170.05","478.76K","2.21%"
"11-10-2024","1,171.90","1,159.15","1,193.25","1,157.00","126.49K","1.10%"
"10-10-2024","1,159.15","1,153.15","1,183.80","1,152.55","89.49K","1.30%"
"09-10-2024","1,144.30","1,147.45","1,192.05","1,137.55","242.45K","-0.27%"
"08-10-2024","1,147.45","1,114.60","1,159.00","1,110.00","385.64K","2.95%"
"07-10-2024","1,114.60","1,169.10","1,176.95","1,107.15","173.71K","-3.45%"
"04-10-2024","1,154.45","1,183.85","1,190.00","1,135.40","694.30K","-1.73%"
"03-10-2024","1,174.75","1,166.00","1,196.95","1,160.05","155.55K","-1.14%"
"01-10-2024","1,188.25","1,201.75","1,219.95","1,175.00","323.45K","-3.34%"
"30-09-2024","1,229.30","1,216.85","1,241.50","1,208.00","176.20K","-0.35%"
"27-09-2024","1,233.60","1,209.00","1,253.30","1,197.60","522.35K","1.95%"
"26-09-2024","1,209.95","1,220.00","1,240.20","1,203.00","298.23K","-0.30%"
"25-09-2024","1,213.65","1,209.00","1,224.00","1,195.00","323.28K","0.52%"
"24-09-2024","1,207.35","1,249.20","1,249.25","1,203.00","227.39K","-2.71%"
"23-09-2024","1,240.95","1,214.00","1,249.25","1,208.05","205.46K","-0.43%"
"20-09-2024","1,246.30","1,241.20","1,275.00","1,232.00","244.38K","-0.09%"
"19-09-2024","1,247.40","1,283.25","1,289.00","1,232.05","252.00K","-2.34%"
"18-09-2024","1,277.30","1,285.00","1,290.00","1,264.20","188.78K","-0.69%"
"17-09-2024","1,286.20","1,280.00","1,294.40","1,276.80","245.14K","0.35%"
"16-09-2024","1,281.70","1,300.00","1,304.35","1,275.00","239.04K","-0.47%"
"13-09-2024","1,287.70","1,299.45","1,302.70","1,280.00","282.73K","-0.90%"
"12-09-2024","1,299.45","1,275.60","1,306.95","1,275.60","110.18K","1.42%"
"11-09-2024","1,281.30","1,320.75","1,322.85","1,276.05","312.20K","-2.41%"
"10-09-2024","1,313.00","1,282.70","1,329.00","1,280.00","343.45K","2.36%"
"09-09-2024","1,282.70","1,315.05","1,333.25","1,271.00","881.89K","-3.20%"
"06-09-2024","1,325.10","1,321.85","1,343.75","1,312.20","657.96K","0.02%"
"05-09-2024","1,324.90","1,368.85","1,376.30","1,315.05","462.97K","-2.76%"
"04-09-2024","1,362.45","1,349.70","1,404.85","1,335.00","365.13K","0.15%"
"03-09-2024","1,360.35","1,354.90","1,382.00","1,335.05","293.38K","0.95%"
"02-09-2024","1,347.55","1,340.00","1,355.55","1,309.05","486.09K","0.99%"
"30-08-2024","1,334.35","1,284.85","1,344.70","1,280.05","152.35K","4.04%"
"29-08-2024","1,282.55","1,321.25","1,321.25","1,279.95","68.69K","-2.23%"
"28-08-2024","1,311.75","1,315.80","1,321.00","1,290.60","78.78K","0.12%"
"27-08-2024","1,310.15","1,265.00","1,324.00","1,265.00","371.46K","1.12%"
"26-08-2024","1,295.60","1,320.00","1,326.90","1,286.15","621.17K","-2.13%"
"23-08-2024","1,323.85","1,322.50","1,332.80","1,286.95","266.69K","-0.27%"
"22-08-2024","1,327.40","1,367.95","1,377.60","1,316.20","211.03K","-3.09%"
"21-08-2024","1,369.75","1,362.15","1,379.70","1,341.55","423.46K","1.31%"
"20-08-2024","1,352.00","1,282.00","1,363.05","1,282.00","498.84K","6.02%"
"19-08-2024","1,275.25","1,269.05","1,298.40","1,257.75","352.37K","0.42%"
"16-08-2024","1,269.90","1,261.75","1,285.00","1,257.70","666.04K","1.42%"
"14-08-2024","1,252.15","1,249.00","1,275.00","1,230.65","305.37K","0.87%"
"13-08-2024","1,241.30","1,284.75","1,286.00","1,225.00","225.76K","-2.70%"
"12-08-2024","1,275.70","1,228.00","1,280.00","1,225.05","538.28K","4.63%"
"09-08-2024","1,219.30","1,165.00","1,233.00","1,161.00","446.40K","5.46%"
"08-08-2024","1,156.15","1,229.95","1,232.00","1,147.55","441.00K","-0.83%"
"07-08-2024","1,165.80","1,126.90","1,176.35","1,126.90","417.22K","6.52%"
"06-08-2024","1,094.45","1,129.50","1,158.40","1,087.65","298.91K","-2.14%"
"05-08-2024","1,118.40","1,140.00","1,161.45","1,096.05","196.14K","-5.11%"
"02-08-2024","1,178.60","1,199.05","1,226.80","1,170.00","237.09K","-1.71%"
"01-08-2024","1,199.05","1,248.00","1,274.00","1,192.75","198.02K","-2.85%"
"31-07-2024","1,234.20","1,224.05","1,247.85","1,221.00","239.75K","0.96%"
"30-07-2024","1,222.45","1,230.00","1,240.00","1,210.75","103.77K","-0.05%"
