"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","300.30","293.00","301.45","292.15","569.87K","2.84%"
"05-11-2024","292.00","288.00","294.60","285.65","384.75K","1.18%"
"04-11-2024","288.60","300.10","301.40","287.15","536.68K","-4.04%"
"01-11-2024","300.75","299.45","301.90","298.90","115.50K","1.26%"
"31-10-2024","297.00","289.50","299.35","289.20","691.30K","2.59%"
"30-10-2024","289.50","290.65","296.95","288.00","820.15K","-0.40%"
"29-10-2024","290.65","287.40","294.10","285.25","380.49K","1.36%"
"28-10-2024","286.75","278.30","289.45","274.40","695.16K","3.15%"
"25-10-2024","278.00","289.60","291.85","274.30","761.39K","-3.77%"
"24-10-2024","288.90","294.95","299.35","288.20","545.03K","-2.68%"
"23-10-2024","296.85","292.50","300.30","284.45","480.83K","1.14%"
"22-10-2024","293.50","306.35","306.35","291.55","652.98K","-4.19%"
"21-10-2024","306.35","315.10","316.85","305.55","466.22K","-2.78%"
"18-10-2024","315.10","313.95","322.00","308.40","589.52K","-0.22%"
"17-10-2024","315.80","323.75","324.75","315.00","390.61K","-2.50%"
"16-10-2024","323.90","328.75","331.55","322.55","378.56K","-1.52%"
"15-10-2024","328.90","318.45","330.00","318.45","784.57K","3.61%"
"14-10-2024","317.45","318.50","322.95","316.00","312.07K","-0.30%"
"11-10-2024","318.40","321.75","324.95","317.50","318.46K","-1.04%"
"10-10-2024","321.75","320.70","327.00","319.25","495.51K","0.72%"
"09-10-2024","319.45","319.00","324.00","317.00","415.63K","0.60%"
"08-10-2024","317.55","311.05","318.80","306.25","511.64K","2.39%"
"07-10-2024","310.15","326.00","330.55","305.30","843.74K","-4.80%"
"04-10-2024","325.80","335.00","336.95","323.05","607.91K","-2.38%"
"03-10-2024","333.75","334.50","342.85","330.00","742.36K","-1.33%"
"01-10-2024","338.25","344.95","346.00","337.00","451.97K","-1.60%"
"30-09-2024","343.75","338.40","346.45","334.95","852.99K","2.12%"
"27-09-2024","336.60","342.00","342.80","335.00","497.32K","-1.75%"
"26-09-2024","342.60","340.80","346.05","337.75","696.83K","-0.81%"
"25-09-2024","345.40","343.35","349.95","339.55","1.45M","0.71%"
"24-09-2024","342.95","328.50","345.25","324.20","2.21M","4.48%"
"23-09-2024","328.25","317.90","329.95","317.00","1.39M","3.86%"
"20-09-2024","316.05","321.00","326.45","314.75","1.46M","-1.17%"
"19-09-2024","319.80","331.00","335.55","316.95","951.14K","-2.72%"
"18-09-2024","328.75","337.00","340.80","327.05","863.36K","-2.26%"
"17-09-2024","336.35","344.10","344.20","335.40","715.01K","-2.66%"
"16-09-2024","345.55","354.25","354.90","344.40","557.46K","-2.10%"
"13-09-2024","352.95","352.50","359.70","351.25","871.39K","0.27%"
"12-09-2024","352.00","343.10","357.25","342.25","1.47M","3.48%"
"11-09-2024","340.15","347.95","351.50","338.80","545.84K","-1.83%"
"10-09-2024","346.50","345.00","350.00","340.05","667.98K","1.39%"
"09-09-2024","341.75","346.75","346.90","337.10","602.20K","-1.51%"
"06-09-2024","347.00","355.40","360.55","345.50","1.19M","-2.29%"
"05-09-2024","355.15","351.05","359.90","348.50","1.65M","1.69%"
"04-09-2024","349.25","332.00","350.95","331.40","3.75M","4.75%"
"03-09-2024","333.40","331.60","337.30","331.55","485.98K","0.89%"
"02-09-2024","330.45","331.90","333.95","330.00","424.17K","-0.15%"
"30-08-2024","330.95","335.45","337.35","329.55","608.70K","-0.90%"
"29-08-2024","333.95","335.50","338.40","331.90","463.69K","-0.45%"
"28-08-2024","335.45","342.05","343.00","334.90","623.55K","-1.16%"
"27-08-2024","339.40","336.70","341.90","332.55","748.88K","1.59%"
"26-08-2024","334.10","341.40","343.20","333.50","854.01K","-2.14%"
"23-08-2024","341.40","344.00","346.25","340.00","771.42K","-0.57%"
"22-08-2024","343.35","334.00","345.60","334.00","1.97M","3.47%"
"21-08-2024","331.85","329.65","333.60","329.55","1.05M","-0.08%"
"20-08-2024","332.10","344.35","347.00","330.10","2.06M","-2.99%"
"19-08-2024","342.35","343.00","349.80","338.50","1.07M","0.63%"
"16-08-2024","340.20","350.00","356.40","338.20","2.77M","-0.15%"
"14-08-2024","340.70","350.00","354.95","339.45","1.26M","-1.83%"
"13-08-2024","347.05","362.00","365.70","345.05","1.31M","-3.98%"
"12-08-2024","361.45","366.00","368.00","354.00","1.60M","-1.55%"
"09-08-2024","367.15","368.00","373.95","364.50","838.13K","1.32%"
"08-08-2024","362.35","374.80","374.80","361.20","730.65K","-2.63%"
"07-08-2024","372.15","366.00","375.30","353.45","1.39M","5.29%"
"06-08-2024","353.45","368.00","374.90","352.00","2.06M","-1.34%"
"05-08-2024","358.25","362.05","373.70","355.20","3.97M","-7.76%"
"02-08-2024","388.40","385.00","392.30","379.00","1.44M","-0.92%"
