"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,488.05","1,408.45","1,503.95","1,394.80","2.70M","7.05%"
"05-11-2024","1,390.00","1,411.05","1,422.50","1,378.00","1.11M","-0.97%"
"04-11-2024","1,403.60","1,430.05","1,439.95","1,390.50","1.19M","-1.45%"
"01-11-2024","1,424.25","1,425.00","1,428.25","1,416.55","264.38K","2.23%"
"31-10-2024","1,393.25","1,395.00","1,429.90","1,378.05","1.49M","0.57%"
"30-10-2024","1,385.30","1,369.00","1,408.35","1,361.25","1.05M","1.21%"
"29-10-2024","1,368.75","1,385.95","1,385.95","1,309.05","3.52M","-1.26%"
"28-10-2024","1,386.25","1,385.95","1,423.00","1,372.05","1.60M","0.92%"
"25-10-2024","1,373.60","1,435.00","1,436.00","1,338.45","4.22M","-2.64%"
"24-10-2024","1,410.85","1,600.00","1,600.00","1,393.45","10.87M","-13.69%"
"23-10-2024","1,634.55","1,672.45","1,743.15","1,621.00","1.73M","-3.28%"
"22-10-2024","1,689.90","1,734.80","1,744.95","1,681.00","719.30K","-2.09%"
"21-10-2024","1,726.05","1,790.00","1,797.60","1,715.00","512.45K","-3.38%"
"18-10-2024","1,786.35","1,780.00","1,802.45","1,769.00","344.48K","-0.33%"
"17-10-2024","1,792.20","1,761.45","1,822.90","1,755.00","863.82K","1.75%"
"16-10-2024","1,761.45","1,800.00","1,815.00","1,750.05","498.76K","-1.61%"
"15-10-2024","1,790.25","1,800.00","1,801.20","1,760.10","428.99K","-0.08%"
"14-10-2024","1,791.70","1,790.00","1,801.75","1,758.05","395.37K","0.15%"
"11-10-2024","1,789.05","1,735.00","1,797.00","1,721.05","779.71K","3.31%"
"10-10-2024","1,731.75","1,750.00","1,774.85","1,725.40","500.99K","-0.56%"
"09-10-2024","1,741.55","1,729.45","1,767.85","1,714.05","668.81K","1.61%"
"08-10-2024","1,714.00","1,700.00","1,727.45","1,685.55","604.13K","0.47%"
"07-10-2024","1,705.95","1,699.00","1,719.60","1,641.80","1.06M","0.87%"
"04-10-2024","1,691.25","1,674.10","1,697.40","1,643.75","631.40K","0.91%"
"03-10-2024","1,676.05","1,667.55","1,713.30","1,640.05","2.44M","0.21%"
"01-10-2024","1,672.50","1,641.50","1,675.00","1,628.30","581.02K","2.73%"
"30-09-2024","1,628.00","1,637.80","1,652.65","1,625.00","990.11K","-2.57%"
"27-09-2024","1,671.00","1,700.00","1,713.70","1,661.00","932.13K","-0.68%"
"26-09-2024","1,682.45","1,654.80","1,686.25","1,654.80","515.73K","1.67%"
"25-09-2024","1,654.75","1,672.00","1,678.35","1,650.15","793.28K","-0.37%"
"24-09-2024","1,660.90","1,698.00","1,701.90","1,630.00","2.48M","-1.89%"
"23-09-2024","1,692.90","1,680.00","1,696.65","1,648.00","921.09K","1.86%"
"20-09-2024","1,662.00","1,681.50","1,695.90","1,626.10","1.39M","-0.86%"
"19-09-2024","1,676.45","1,740.00","1,751.00","1,666.10","764.51K","-2.94%"
"18-09-2024","1,727.25","1,740.00","1,759.40","1,716.00","578.78K","-0.80%"
"17-09-2024","1,741.15","1,758.00","1,768.45","1,731.05","613.38K","-0.95%"
"16-09-2024","1,757.85","1,832.00","1,832.00","1,748.05","724.80K","-3.73%"
"13-09-2024","1,826.05","1,846.00","1,859.95","1,816.25","424.81K","-0.65%"
"12-09-2024","1,838.05","1,803.50","1,849.95","1,802.50","1.07M","2.72%"
"11-09-2024","1,789.35","1,750.00","1,798.00","1,740.65","584.09K","1.88%"
"10-09-2024","1,756.35","1,772.70","1,774.95","1,728.00","636.24K","0.34%"
"09-09-2024","1,750.40","1,718.25","1,765.00","1,707.15","387.87K","1.16%"
"06-09-2024","1,730.30","1,728.00","1,748.65","1,715.65","697.79K","0.43%"
"05-09-2024","1,722.90","1,752.00","1,757.40","1,715.45","714.64K","-1.53%"
"04-09-2024","1,749.70","1,760.00","1,774.70","1,745.00","394.13K","-1.11%"
"03-09-2024","1,769.30","1,767.00","1,779.55","1,751.00","510.32K","0.17%"
"02-09-2024","1,766.30","1,815.15","1,824.30","1,764.00","1.04M","-2.69%"
"30-08-2024","1,815.15","1,867.00","1,869.00","1,807.00","837.33K","-2.30%"
"29-08-2024","1,857.85","1,847.00","1,876.00","1,838.35","466.88K","0.58%"
"28-08-2024","1,847.05","1,864.00","1,921.00","1,842.60","1.23M","-0.53%"
"27-08-2024","1,856.85","1,840.00","1,909.00","1,826.80","1.05M","0.56%"
"26-08-2024","1,846.60","1,845.00","1,862.50","1,821.90","543.24K","1.10%"
