"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","909.25","900.55","916.25","888.05","222.90K","1.08%"
"05-11-2024","899.50","926.00","934.75","892.80","411.37K","-3.61%"
"04-11-2024","933.15","926.20","984.40","922.40","652.99K","0.75%"
"01-11-2024","926.20","936.40","947.95","920.05","33.53K","-0.88%"
"31-10-2024","934.40","909.20","943.30","907.25","226.01K","2.67%"
"30-10-2024","910.10","880.00","920.50","880.00","165.62K","2.20%"
"29-10-2024","890.55","906.75","909.45","868.25","197.27K","-1.01%"
"28-10-2024","899.65","886.10","902.70","875.15","132.67K","-0.35%"
"25-10-2024","902.80","883.70","924.90","863.25","161.53K","2.16%"
"24-10-2024","883.70","905.00","911.55","874.35","253.96K","-2.41%"
"23-10-2024","905.50","916.00","929.55","872.95","217.43K","-1.36%"
"22-10-2024","917.95","911.00","928.00","910.60","619.73K","-0.47%"
"21-10-2024","922.25","928.90","933.40","918.00","206.47K","-0.72%"
"18-10-2024","928.95","937.95","938.05","913.05","83.26K","-0.83%"
"17-10-2024","936.70","950.00","955.00","930.60","70.58K","-1.86%"
"16-10-2024","954.50","964.35","986.50","946.40","421.59K","-1.02%"
"15-10-2024","964.35","935.00","973.95","932.00","239.64K","3.13%"
"14-10-2024","935.05","940.00","948.60","927.10","143.68K","-0.53%"
"11-10-2024","940.00","928.00","948.60","927.10","142.12K","0.18%"
"10-10-2024","938.30","955.70","958.40","933.00","97.55K","-0.64%"
"09-10-2024","944.35","950.00","955.00","936.00","122.12K","0.39%"
"08-10-2024","940.70","915.00","945.00","907.40","215.65K","2.47%"
"07-10-2024","918.00","942.35","942.35","900.00","195.04K","-2.58%"
"04-10-2024","942.35","941.70","949.00","916.90","456.74K","0.07%"
"03-10-2024","941.70","955.00","967.85","933.35","251.09K","-1.98%"
"01-10-2024","960.75","958.20","968.65","950.00","165.95K","0.71%"
"30-09-2024","954.00","960.10","977.85","944.35","297.60K","-1.91%"
"27-09-2024","972.60","970.00","1,012.80","959.05","1.14M","0.42%"
"26-09-2024","968.50","1,005.00","1,010.45","956.15","847.40K","-3.68%"
"25-09-2024","1,005.50","1,008.95","1,053.00","900.10","1.88M","-0.37%"
"24-09-2024","1,009.25","929.40","1,018.00","926.45","2.84M","7.88%"
"23-09-2024","935.50","950.00","964.90","930.00","574.39K","-2.65%"
"20-09-2024","960.95","938.00","972.15","916.40","1.59M","2.78%"
"19-09-2024","934.95","871.60","950.00","865.00","3.50M","8.83%"
"18-09-2024","859.10","860.00","863.85","847.10","674.88K","-0.17%"
"17-09-2024","860.60","873.50","874.00","846.75","115.96K","-1.03%"
"16-09-2024","869.60","861.00","878.95","855.00","249.14K","3.26%"
"13-09-2024","842.15","853.00","854.05","841.00","93.66K","-0.35%"
"12-09-2024","845.10","855.95","856.40","838.10","122.21K","-0.22%"
"11-09-2024","847.00","853.40","857.65","841.25","74.01K","-0.74%"
"10-09-2024","853.30","855.25","865.25","846.20","101.71K","-0.12%"
"09-09-2024","854.35","873.00","875.00","850.00","183.37K","-1.32%"
"06-09-2024","865.80","856.00","878.75","849.20","425.66K","2.15%"
"05-09-2024","847.55","840.00","853.45","840.00","106.77K","1.02%"
"04-09-2024","839.00","822.00","849.75","812.00","132.40K","0.80%"
"03-09-2024","832.35","841.45","846.00","827.95","154.39K","0.01%"
"02-09-2024","832.30","846.80","852.50","826.05","136.21K","-1.71%"
"30-08-2024","846.80","840.55","861.20","835.70","298.43K","1.42%"
"29-08-2024","834.95","858.10","872.00","832.25","337.34K","-2.33%"
"28-08-2024","854.90","872.00","884.40","851.05","131.92K","-1.75%"
"27-08-2024","870.10","871.00","882.95","862.85","154.43K","0.12%"
"26-08-2024","869.10","891.00","891.00","863.20","124.50K","-2.46%"
"23-08-2024","891.05","899.95","899.95","880.05","144.90K","0.00%"
"22-08-2024","891.05","876.65","898.00","867.15","260.54K","2.76%"
"21-08-2024","867.15","873.75","875.00","861.00","109.56K","-0.72%"
"20-08-2024","873.45","868.85","880.00","855.55","126.96K","1.60%"
"19-08-2024","859.70","861.00","874.20","852.25","376.96K","0.23%"
"16-08-2024","857.70","883.90","888.00","854.00","150.01K","0.13%"
"14-08-2024","856.60","877.30","884.70","850.35","213.56K","-1.63%"
"13-08-2024","870.80","905.00","905.00","865.30","176.86K","-2.20%"
"12-08-2024","890.35","900.40","910.55","884.00","202.00K","-0.53%"
"09-08-2024","895.05","923.50","927.00","889.95","341.15K","-2.12%"
"08-08-2024","914.40","932.00","947.45","910.00","547.07K","-2.82%"
"07-08-2024","940.90","960.05","1,009.25","930.00","4.66M","-0.49%"
"06-08-2024","945.55","835.70","965.00","835.70","7.27M","14.38%"
"05-08-2024","826.70","845.00","859.15","818.70","211.73K","-4.36%"
"02-08-2024","864.40","853.25","868.50","840.00","78.22K","0.26%"
"01-08-2024","862.20","871.95","878.50","851.05","114.20K","-0.89%"
"31-07-2024","869.90","893.00","893.00","865.00","154.85K","-2.42%"
"30-07-2024","891.50","878.55","900.00","869.55","113.79K","1.47%"
"29-07-2024","878.55","865.20","894.55","865.20","159.75K","1.54%"
"26-07-2024","865.20","860.00","873.95","854.00","91.02K","1.01%"
"25-07-2024","856.55","840.00","861.00","833.15","123.69K","1.60%"
"24-07-2024","843.10","852.35","865.00","837.70","179.47K","-1.28%"
"23-07-2024","854.00","849.95","865.00","828.80","134.10K","0.65%"
"22-07-2024","848.45","826.00","853.65","821.65","93.05K","2.11%"
"19-07-2024","830.95","858.75","858.80","826.05","174.70K","-2.86%"
"18-07-2024","855.40","875.00","892.55","850.00","255.13K","-1.80%"
"16-07-2024","871.05","837.90","895.00","837.85","778.49K","4.44%"
"15-07-2024","834.05","856.10","861.50","827.50","905.73K","-2.58%"
"12-07-2024","856.10","858.00","869.00","854.05","405.23K","0.14%"
"11-07-2024","854.90","873.70","878.80","851.00","316.49K","-2.12%"
