"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","559.65","565.00","584.00","555.00","418.28K","0.51%"
"05-11-2024","556.80","553.55","559.00","540.55","159.64K","1.60%"
"04-11-2024","548.05","534.00","562.50","534.00","789.65K","1.22%"
"01-11-2024","541.45","550.00","557.80","533.40","96.59K","-0.63%"
"31-10-2024","544.90","532.80","551.05","532.80","179.13K","1.51%"
"30-10-2024","536.80","522.00","541.80","520.85","122.37K","1.88%"
"29-10-2024","526.90","517.95","530.00","511.35","171.23K","2.02%"
"28-10-2024","516.45","523.50","527.65","507.80","135.67K","-1.21%"
"25-10-2024","522.75","518.00","526.80","513.50","170.67K","0.39%"
"24-10-2024","520.70","532.00","534.60","520.00","92.64K","-2.18%"
"23-10-2024","532.30","525.00","535.00","523.75","136.20K","1.15%"
"22-10-2024","526.25","544.95","545.00","522.10","112.01K","-3.41%"
"21-10-2024","544.85","540.20","548.40","535.70","197.20K","0.86%"
"18-10-2024","540.20","542.00","564.95","533.85","349.11K","-0.36%"
"17-10-2024","542.15","551.00","557.05","540.10","156.23K","-2.39%"
"16-10-2024","555.40","560.75","563.45","546.75","235.33K","-0.72%"
"15-10-2024","559.45","550.30","566.80","545.85","420.06K","2.61%"
"14-10-2024","545.20","551.80","552.95","542.50","134.78K","-0.66%"
"11-10-2024","548.80","536.40","559.50","536.40","823.77K","1.39%"
"10-10-2024","541.25","537.00","543.30","527.10","169.02K","1.18%"
"09-10-2024","534.95","544.00","550.00","533.00","238.29K","-0.84%"
"08-10-2024","539.50","534.20","550.00","528.40","244.32K","1.00%"
"07-10-2024","534.15","550.95","558.00","532.00","363.08K","-2.84%"
"04-10-2024","549.75","536.80","561.60","535.70","313.59K","1.47%"
"03-10-2024","541.80","545.25","545.25","519.70","1.23M","-2.58%"
"01-10-2024","556.15","560.00","566.00","551.40","720.29K","-0.07%"
"30-09-2024","556.55","550.00","560.00","541.15","241.75K","2.10%"
"27-09-2024","545.10","540.00","547.20","540.00","162.45K","0.45%"
"26-09-2024","542.65","545.95","546.05","540.00","117.34K","-0.76%"
"25-09-2024","546.80","553.20","553.20","540.10","131.26K","-0.96%"
"24-09-2024","552.10","543.15","554.00","543.15","195.69K","1.45%"
"23-09-2024","544.20","545.00","552.90","542.20","152.91K","-0.49%"
"20-09-2024","546.90","554.40","558.45","544.55","215.48K","-0.70%"
"19-09-2024","550.75","546.75","566.50","544.15","772.27K","1.06%"
"18-09-2024","545.00","561.85","562.30","539.15","412.60K","-3.03%"
"17-09-2024","562.05","569.15","570.75","558.00","608.97K","-2.13%"
"16-09-2024","574.30","551.05","580.00","543.00","610.62K","3.97%"
"13-09-2024","552.35","557.00","580.00","549.05","2.09M","0.94%"
"12-09-2024","547.18","536.00","573.23","536.00","3.68M","2.63%"
"11-09-2024","533.14","537.80","541.00","528.83","312.60K","1.07%"
"10-09-2024","527.50","527.77","538.80","519.47","284.89K","0.14%"
"09-09-2024","526.75","535.60","538.20","524.01","274.77K","-0.89%"
"06-09-2024","531.46","535.97","537.00","522.20","448.63K","-0.82%"
"05-09-2024","535.86","526.08","538.80","520.35","510.23K","2.39%"
"04-09-2024","523.33","513.00","530.80","512.12","1.29M","2.00%"
"03-09-2024","513.05","513.20","522.40","510.28","364.71K","0.79%"
"02-09-2024","509.02","506.20","521.63","503.00","253.71K","0.56%"
"30-08-2024","506.20","491.02","519.39","491.02","644.85K","2.73%"
"29-08-2024","492.77","502.05","502.38","491.20","121.94K","-1.85%"
"28-08-2024","502.05","505.10","505.79","493.06","350.62K","-0.46%"
"27-08-2024","504.35","496.01","507.79","494.18","402.72K","1.68%"
"26-08-2024","496.01","496.21","499.60","490.64","293.12K","0.36%"
"23-08-2024","494.22","488.40","499.40","488.40","318.01K","1.19%"
"22-08-2024","488.40","487.03","494.97","485.09","547.02K","0.31%"
"21-08-2024","486.87","476.29","497.60","474.60","820.58K","2.58%"
"20-08-2024","474.64","487.99","487.99","466.01","455.52K","-0.09%"
"19-08-2024","475.07","466.00","479.18","461.63","557.34K","2.72%"
"16-08-2024","462.49","450.08","467.20","449.24","544.19K","2.95%"
"14-08-2024","449.24","444.58","454.99","444.00","523.16K","1.05%"
"13-08-2024","444.58","449.00","450.00","437.41","636.96K","-1.01%"
"12-08-2024","449.12","450.00","450.00","441.01","764.09K","0.49%"
"09-08-2024","446.92","436.06","449.20","435.26","517.58K","1.97%"
"08-08-2024","438.30","439.55","443.40","426.69","899.21K","2.38%"
"07-08-2024","428.12","428.67","431.19","421.05","229.02K","0.86%"
"06-08-2024","424.46","418.94","433.11","418.44","226.71K","1.85%"
"05-08-2024","416.75","419.56","424.18","412.00","281.71K","-1.98%"
"02-08-2024","425.17","424.00","429.00","420.01","66.10K","-0.74%"
"01-08-2024","428.36","430.40","433.18","425.00","620.30K","-0.23%"
"31-07-2024","429.36","435.40","436.46","426.20","711.95K","-1.63%"
"30-07-2024","436.46","430.00","441.00","426.10","406.67K","1.72%"
"29-07-2024","429.10","431.72","437.20","428.00","159.21K","-0.36%"
"26-07-2024","430.64","428.20","436.10","424.17","185.74K","0.53%"
"25-07-2024","428.37","420.20","429.40","418.42","208.99K","0.96%"
"24-07-2024","424.30","424.69","428.00","421.21","162.81K","0.30%"
"23-07-2024","423.02","424.42","427.11","417.20","131.98K","-0.08%"
"22-07-2024","423.36","420.24","429.01","417.11","121.31K","-0.17%"
"19-07-2024","424.06","428.02","429.60","421.00","2.43M","-0.68%"
"18-07-2024","426.95","424.43","435.00","423.61","292.65K","0.59%"
"16-07-2024","424.43","428.76","429.22","423.21","1.11M","-0.59%"
"15-07-2024","426.97","429.35","436.00","423.46","167.24K","-0.31%"
"12-07-2024","428.28","434.00","434.00","426.20","74.93K","-1.01%"
"11-07-2024","432.63","433.97","437.62","428.00","191.95K","-0.28%"
"10-07-2024","433.85","430.00","438.78","424.00","882.28K","3.20%"
"09-07-2024","420.38","421.89","423.18","418.41","470.14K","0.17%"
"08-07-2024","419.67","426.94","427.99","418.42","134.03K","-1.70%"
"05-07-2024","426.94","426.00","432.87","424.20","253.34K","0.38%"
"04-07-2024","425.33","425.07","431.80","419.40","326.78K","0.21%"
"03-07-2024","424.43","420.44","427.00","420.21","132.43K","1.35%"
"02-07-2024","418.78","426.80","427.56","416.00","358.42K","-1.86%"
"01-07-2024","426.71","416.88","428.00","416.87","745.15K","2.36%"
"28-06-2024","416.87","429.34","437.36","415.00","768.44K","-0.88%"
"27-06-2024","420.57","425.99","425.99","416.00","466.53K","-1.20%"
"26-06-2024","425.69","428.99","432.80","421.60","257.93K","0.02%"
"25-06-2024","425.62","437.99","437.99","420.20","1.58M","3.57%"
"24-06-2024","410.96","409.83","414.25","406.35","134.43K","0.03%"
"21-06-2024","410.83","417.51","417.99","409.12","147.37K","-0.75%"
"20-06-2024","413.93","422.00","422.81","411.00","305.66K","-1.12%"
"19-06-2024","418.63","411.16","424.00","408.02","382.92K","2.60%"
"18-06-2024","408.02","410.63","413.14","401.34","819.90K","0.17%"
"14-06-2024","407.34","406.00","410.38","402.05","792.77K","1.50%"
"13-06-2024","401.31","395.66","403.89","394.09","442.58K","2.10%"
"12-06-2024","393.07","386.38","394.75","382.00","283.67K","2.42%"
"11-06-2024","383.77","376.00","388.16","372.05","936.96K","3.04%"
"10-06-2024","372.45","380.38","383.66","370.40","291.67K","-2.07%"
"07-06-2024","380.32","377.93","385.00","377.89","148.54K","0.92%"
"06-06-2024","376.85","378.60","385.10","374.00","292.39K","-0.68%"
"05-06-2024","379.43","369.61","381.40","365.61","351.74K","2.71%"
"04-06-2024","369.41","370.00","375.00","350.00","447.64K","0.77%"
"03-06-2024","366.58","376.19","376.19","361.00","471.78K","0.37%"
"31-05-2024","365.24","368.33","369.96","361.61","297.05K","0.15%"
"30-05-2024","364.69","366.99","369.65","361.00","219.52K","0.17%"
"29-05-2024","364.08","371.43","373.11","363.40","186.94K","-1.60%"
"28-05-2024","369.99","365.07","377.60","365.00","491.40K","1.62%"
"27-05-2024","364.08","377.99","378.38","357.80","2.66M","-2.94%"
"24-05-2024","375.11","377.74","380.05","374.01","256.34K","0.15%"
"23-05-2024","374.56","383.63","384.43","373.55","301.26K","-1.72%"
"22-05-2024","381.12","389.87","390.00","379.69","253.23K","-1.39%"
"21-05-2024","386.50","390.44","390.44","379.01","270.57K","-1.01%"
"18-05-2024","390.44","381.23","394.91","380.20","38.96K","3.24%"
"17-05-2024","378.20","377.96","383.24","373.00","273.91K","-1.94%"
"16-05-2024","385.70","392.40","392.40","383.36","253.82K","-1.30%"
"15-05-2024","390.77","392.88","394.98","388.93","333.61K","0.05%"
"14-05-2024","390.57","397.19","397.19","388.03","169.61K","-0.88%"
"13-05-2024","394.05","398.25","402.20","392.00","64.34K","-1.41%"
"10-05-2024","399.70","400.79","407.00","397.00","232.02K","-0.06%"
"09-05-2024","399.95","405.53","414.26","396.30","217.78K","-1.30%"
"08-05-2024","405.21","411.80","414.68","403.39","362.58K","-1.58%"
"07-05-2024","411.72","415.20","415.77","406.43","717.30K","0.07%"
"06-05-2024","411.42","399.94","421.16","398.40","672.60K","3.27%"
"03-05-2024","398.39","400.02","403.69","397.00","101.82K","0.40%"
"02-05-2024","396.80","404.67","409.60","393.00","726.24K","-2.43%"
"30-04-2024","406.67","405.20","408.00","401.64","122.98K","0.28%"
"29-04-2024","405.53","402.80","407.80","398.82","520.24K","1.14%"
"26-04-2024","400.96","402.20","406.11","396.27","402.34K","-0.77%"
"25-04-2024","404.09","409.00","410.00","402.00","123.00K","-0.30%"
"24-04-2024","405.31","401.60","409.60","401.10","1.70M","1.30%"
"23-04-2024","400.11","392.58","401.60","391.21","268.65K","1.93%"
"22-04-2024","392.55","391.15","397.29","391.00","78.97K","0.86%"
"19-04-2024","389.22","388.52","394.47","382.00","746.67K","-0.09%"
"18-04-2024","389.58","384.23","399.98","381.60","961.64K","-0.24%"
"16-04-2024","390.53","392.36","396.69","385.95","276.17K","0.06%"
"15-04-2024","390.31","393.99","397.16","384.30","314.38K","-1.33%"
"12-04-2024","395.59","403.80","409.74","394.00","563.44K","-2.08%"
"10-04-2024","403.99","404.08","405.65","400.52","288.87K","0.84%"
"09-04-2024","400.62","406.26","406.26","398.80","410.06K","-0.50%"
"08-04-2024","402.65","411.99","413.60","401.13","575.85K","-1.56%"
"05-04-2024","409.05","411.68","419.00","407.20","105.37K","0.21%"
"04-04-2024","408.20","415.00","417.20","406.60","351.61K","-0.42%"
"03-04-2024","409.92","414.60","415.06","408.06","103.11K","-1.24%"
"02-04-2024","415.06","410.88","418.38","409.50","121.78K","1.55%"
"01-04-2024","408.72","411.85","419.00","406.47","347.49K","-0.76%"
"28-03-2024","411.85","412.00","415.44","410.18","239.73K","-0.01%"
"27-03-2024","411.88","413.25","418.00","410.88","222.05K","0.56%"
"26-03-2024","409.57","406.03","424.19","406.03","683.65K","1.29%"
"22-03-2024","404.34","404.13","411.79","401.00","302.61K","0.95%"
"21-03-2024","400.55","406.79","406.79","397.78","525.30K","0.13%"
"20-03-2024","400.04","397.14","402.00","396.12","1.07M","0.73%"
"19-03-2024","397.14","392.60","399.16","392.60","645.62K","0.69%"
"18-03-2024","394.40","380.41","399.90","377.11","816.26K","-1.91%"
"15-03-2024","402.07","397.60","405.79","397.60","234.03K","1.16%"
"14-03-2024","397.45","390.00","412.29","389.52","188.25K","-0.37%"
"13-03-2024","398.91","409.48","409.48","394.98","251.83K","-2.58%"
"12-03-2024","409.48","415.55","415.55","396.32","385.95K","0.02%"
"11-03-2024","409.41","419.00","422.99","406.00","377.86K","-2.38%"
"07-03-2024","419.38","424.20","424.20","418.05","127.46K","-0.48%"
"06-03-2024","421.41","425.74","431.24","417.98","606.09K","-1.07%"
"05-03-2024","425.95","443.55","443.55","424.00","1.11M","-1.39%"
"04-03-2024","431.96","442.02","449.80","427.51","1.00M","-3.17%"
"02-03-2024","446.11","443.00","454.00","441.32","25.95K","0.69%"
"01-03-2024","443.07","446.00","451.20","424.01","1.57M","-1.85%"
