"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","3,645.45","3,594.00","3,659.90","3,557.40","1.82M","1.98%"
"05-11-2024","3,574.80","3,556.00","3,585.00","3,541.90","1.25M","0.01%"
"04-11-2024","3,574.45","3,624.95","3,624.95","3,530.90","1.72M","-1.43%"
"01-11-2024","3,626.35","3,624.95","3,641.90","3,620.00","212.80K","0.11%"
"31-10-2024","3,622.30","3,530.00","3,654.95","3,508.35","7.64M","6.28%"
"30-10-2024","3,408.35","3,379.95","3,438.40","3,353.00","1.79M","0.81%"
"29-10-2024","3,380.90","3,316.00","3,384.40","3,316.00","2.25M","1.20%"
"28-10-2024","3,340.80","3,316.00","3,373.00","3,262.55","2.99M","0.43%"
"25-10-2024","3,326.40","3,425.00","3,435.00","3,315.05","3.24M","-3.38%"
"24-10-2024","3,442.65","3,444.00","3,474.60","3,416.75","1.92M","-0.37%"
"23-10-2024","3,455.40","3,501.05","3,513.95","3,443.00","2.13M","-1.61%"
"22-10-2024","3,511.90","3,585.00","3,591.65","3,500.00","1.36M","-2.06%"
"21-10-2024","3,585.60","3,580.00","3,621.95","3,571.30","1.75M","0.22%"
"18-10-2024","3,577.80","3,569.95","3,592.45","3,540.25","2.10M","0.21%"
"17-10-2024","3,570.30","3,549.90","3,583.00","3,521.80","2.97M","1.07%"
"16-10-2024","3,532.60","3,550.00","3,581.90","3,513.55","1.96M","-0.54%"
"15-10-2024","3,551.90","3,570.00","3,570.00","3,520.15","1.23M","-0.09%"
"14-10-2024","3,555.05","3,510.00","3,573.85","3,501.30","1.97M","2.08%"
"11-10-2024","3,482.55","3,469.40","3,497.10","3,447.00","1.28M","0.64%"
"10-10-2024","3,460.35","3,515.00","3,554.90","3,455.50","2.69M","-0.77%"
"09-10-2024","3,487.10","3,542.05","3,557.70","3,481.00","1.65M","-1.28%"
"08-10-2024","3,532.40","3,492.95","3,538.50","3,469.00","2.25M","1.85%"
"07-10-2024","3,468.35","3,505.00","3,512.95","3,429.00","2.30M","-0.73%"
"04-10-2024","3,493.95","3,515.00","3,553.55","3,468.50","3.45M","-0.11%"
