"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","496.45","489.00","498.50","484.25","5.55M","1.47%"
"05-11-2024","489.25","486.00","494.25","481.50","2.56M","0.37%"
"04-11-2024","487.45","502.00","502.00","484.05","1.86M","-2.47%"
"01-11-2024","499.80","493.20","502.55","493.20","534.81K","1.74%"
"31-10-2024","491.25","486.00","493.00","479.35","1.78M","1.23%"
"30-10-2024","485.30","487.65","489.70","482.00","5.00M","-0.69%"
"29-10-2024","488.65","491.00","494.00","473.25","4.72M","-0.72%"
"28-10-2024","492.20","463.65","495.95","459.55","5.50M","5.67%"
"25-10-2024","465.80","443.05","478.60","443.05","19.88M","4.14%"
"24-10-2024","447.30","449.50","457.00","440.45","2.42M","-0.48%"
"23-10-2024","449.45","445.00","462.55","444.00","1.06M","0.21%"
"22-10-2024","448.50","462.50","465.70","446.60","1.34M","-3.60%"
"21-10-2024","465.25","477.30","478.80","461.90","1.40M","-2.08%"
"18-10-2024","475.15","465.50","482.25","461.00","3.77M","1.92%"
"17-10-2024","466.20","480.00","482.45","463.90","1.16M","-2.94%"
"16-10-2024","480.30","482.00","487.30","468.55","2.27M","-0.35%"
"15-10-2024","482.00","478.95","486.50","474.30","2.12M","0.64%"
"14-10-2024","478.95","474.10","481.75","469.00","1.77M","1.01%"
"11-10-2024","474.15","468.50","477.80","466.10","3.89M","1.91%"
"10-10-2024","465.25","453.90","466.95","451.85","3.86M","2.50%"
"09-10-2024","453.90","441.65","457.55","441.40","2.25M","3.34%"
"08-10-2024","439.25","431.60","442.00","429.15","764.46K","1.84%"
"07-10-2024","431.30","445.45","448.90","427.05","1.52M","-3.11%"
"04-10-2024","445.15","458.95","464.50","442.90","1.78M","-3.40%"
"03-10-2024","460.80","461.65","470.90","457.85","2.10M","-1.81%"
"01-10-2024","469.30","462.95","472.00","460.35","1.22M","1.23%"
"30-09-2024","463.60","466.50","467.90","457.30","928.84K","-0.19%"
"27-09-2024","464.50","463.20","472.90","459.05","4.17M","0.28%"
"26-09-2024","463.20","460.00","465.00","455.40","1.04M","0.38%"
"25-09-2024","461.45","470.95","470.95","458.45","1.01M","-1.87%"
"24-09-2024","470.25","473.85","474.40","467.15","1.23M","-0.94%"
"23-09-2024","474.70","467.85","476.25","466.85","1.83M","1.57%"
"20-09-2024","467.35","472.00","473.65","462.30","2.65M","-0.65%"
"19-09-2024","470.40","486.00","490.90","461.00","3.35M","-3.09%"
"18-09-2024","485.40","501.45","502.00","477.15","2.53M","-3.18%"
"17-09-2024","501.35","504.55","506.40","498.25","1.01M","-0.63%"
"16-09-2024","504.55","512.30","515.70","498.85","1.88M","-0.20%"
"13-09-2024","505.55","509.80","510.00","502.90","1.22M","-0.34%"
"12-09-2024","507.25","508.00","516.00","505.75","2.23M","0.09%"
"11-09-2024","506.80","510.00","514.90","504.50","2.94M","0.02%"
"10-09-2024","506.70","495.90","518.00","494.75","9.33M","3.21%"
"09-09-2024","490.95","480.05","492.50","478.05","1.77M","1.99%"
"06-09-2024","481.35","491.70","493.50","479.00","2.13M","-1.56%"
"05-09-2024","489.00","477.95","501.30","472.70","9.56M","2.82%"
"04-09-2024","475.60","470.10","477.50","465.65","2.47M","1.17%"
"03-09-2024","470.10","464.90","473.00","461.75","1.62M","1.64%"
"02-09-2024","462.50","470.40","472.20","458.65","1.37M","-1.63%"
"30-08-2024","470.15","457.55","472.00","455.35","3.11M","2.70%"
"29-08-2024","457.80","458.50","465.00","452.00","1.62M","-0.05%"
"28-08-2024","458.05","455.35","463.30","450.25","2.84M","1.10%"
"27-08-2024","453.05","448.05","458.15","446.30","1.86M","1.15%"
"26-08-2024","447.90","447.05","450.45","444.00","1.87M","0.38%"
"23-08-2024","446.20","449.75","453.75","444.30","1.17M","-0.79%"
"22-08-2024","449.75","447.45","453.50","445.65","1.96M","1.25%"
"21-08-2024","444.20","438.65","447.85","437.00","1.72M","1.55%"
"20-08-2024","437.40","441.80","441.80","430.90","2.11M","0.17%"
"19-08-2024","436.65","428.00","438.00","428.00","858.70K","1.66%"
"16-08-2024","429.50","430.00","433.25","426.95","3.16M","0.23%"
"14-08-2024","428.50","421.70","432.80","417.70","3.00M","2.06%"
"13-08-2024","419.85","427.45","434.00","418.50","985.32K","-1.49%"
"12-08-2024","426.20","426.30","428.40","422.55","1.41M","-0.02%"
"09-08-2024","426.30","435.00","439.30","424.55","3.84M","-1.26%"
"08-08-2024","431.75","434.00","446.00","430.45","2.15M","-0.03%"
"07-08-2024","431.90","427.25","434.00","424.55","3.42M","2.15%"
"06-08-2024","422.80","432.25","443.05","421.05","2.44M","-1.51%"
"05-08-2024","429.30","441.00","443.80","427.10","3.05M","-3.98%"
"02-08-2024","447.10","445.00","453.60","437.00","2.11M","-1.03%"
"01-08-2024","451.75","465.00","466.10","448.35","2.88M","-2.62%"
"31-07-2024","463.90","458.60","467.90","457.35","1.37M","1.12%"
"30-07-2024","458.75","450.00","464.20","448.05","1.71M","1.72%"
"29-07-2024","451.00","450.00","454.85","445.10","1.69M","0.43%"
"26-07-2024","449.05","414.00","456.70","414.00","7.19M","3.50%"
"25-07-2024","433.85","433.95","440.75","418.05","6.27M","-0.16%"
"24-07-2024","434.55","431.40","440.00","430.00","4.79M","0.95%"
"23-07-2024","430.45","443.00","444.80","420.45","4.85M","-2.50%"
"22-07-2024","441.50","440.70","444.60","436.05","1.87M","0.25%"
"19-07-2024","440.40","458.30","458.40","439.10","2.40M","-3.63%"
"18-07-2024","457.00","464.00","465.00","452.65","1.16M","-1.73%"
"16-07-2024","465.05","467.60","470.00","463.00","966.96K","-0.25%"
"15-07-2024","466.20","464.50","470.75","462.35","804.33K","0.60%"
"12-07-2024","463.40","473.90","474.00","461.90","919.55K","-1.73%"
"11-07-2024","471.55","474.00","475.00","468.05","2.18M","-0.26%"
"10-07-2024","472.80","483.00","484.30","464.05","1.62M","-1.48%"
"09-07-2024","479.90","475.55","482.90","468.30","2.47M","1.15%"
"08-07-2024","474.45","480.00","482.75","464.15","4.15M","-0.57%"
"05-07-2024","477.15","456.80","481.45","453.75","11.79M","5.00%"
"04-07-2024","454.45","437.00","460.45","436.05","6.53M","4.02%"
"03-07-2024","436.90","438.40","441.60","434.45","1.96M","-0.19%"
"02-07-2024","437.75","435.00","443.20","428.70","2.46M","1.61%"
"01-07-2024","430.80","428.90","432.00","425.10","1.41M","1.47%"
"28-06-2024","424.55","424.45","429.40","423.55","793.71K","0.25%"
"27-06-2024","423.50","427.80","430.85","419.55","720.20K","-0.92%"
"26-06-2024","427.45","427.40","433.90","423.90","1.35M","0.01%"
"25-06-2024","427.40","427.20","432.15","425.50","627.40K","-0.45%"
"24-06-2024","429.35","427.00","431.25","423.15","593.56K","-0.15%"
"21-06-2024","430.00","432.85","437.70","428.95","1.09M","-0.66%"
"20-06-2024","432.85","431.00","433.50","426.80","690.68K","0.58%"
"19-06-2024","430.35","432.95","435.50","426.00","1.26M","0.49%"
"18-06-2024","428.25","435.10","436.30","426.40","1.15M","-1.53%"
"14-06-2024","434.90","438.50","441.75","434.05","1.18M","-1.05%"
"13-06-2024","439.50","438.50","443.35","433.05","1.30M","0.13%"
"12-06-2024","438.95","441.90","443.65","433.70","1.06M","-0.72%"
"11-06-2024","442.15","443.65","446.95","439.25","1.55M","-0.34%"
"10-06-2024","443.65","439.00","447.35","436.10","1.21M","1.35%"
"07-06-2024","437.75","428.00","445.65","427.80","2.66M","2.06%"
"06-06-2024","428.90","432.00","440.00","425.55","4.57M","0.65%"
"05-06-2024","426.15","407.00","435.10","406.00","3.79M","5.42%"
"04-06-2024","404.25","427.85","429.95","385.45","2.54M","-5.41%"
"03-06-2024","427.35","425.10","429.40","418.25","3.08M","2.01%"
"31-05-2024","418.95","428.75","432.55","416.30","1.55M","-2.08%"
