"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","118.79","117.11","119.39","116.70","2.86M","1.72%"
"05-11-2024","116.78","116.79","117.39","115.90","1.24M","-0.26%"
"04-11-2024","117.09","120.00","120.40","115.40","1.63M","-2.35%"
"01-11-2024","119.91","118.40","120.41","118.40","790.67K","1.83%"
"31-10-2024","117.75","115.50","118.38","115.10","1.30M","1.68%"
"30-10-2024","115.80","116.25","117.34","114.71","3.43M","1.06%"
"29-10-2024","114.59","114.85","116.10","112.78","2.17M","-0.09%"
"28-10-2024","114.69","115.36","116.49","113.75","1.55M","0.09%"
"25-10-2024","114.59","116.54","117.49","112.50","2.33M","-1.41%"
"24-10-2024","116.23","116.09","118.20","115.26","1.43M","0.61%"
"23-10-2024","115.52","115.11","117.80","112.86","2.89M","0.05%"
"22-10-2024","115.46","121.50","122.15","115.00","3.18M","-4.25%"
"21-10-2024","120.59","124.00","124.30","119.95","2.09M","-2.17%"
"18-10-2024","123.27","125.01","125.49","121.00","2.08M","-2.01%"
"17-10-2024","125.80","124.50","127.39","123.73","2.72M","1.02%"
"16-10-2024","124.53","126.08","126.19","124.16","1.34M","-1.57%"
"15-10-2024","126.51","126.95","127.00","125.30","1.86M","-0.35%"
"14-10-2024","126.95","126.80","127.40","125.05","2.32M","0.48%"
"11-10-2024","126.34","125.85","127.13","123.14","3.77M","0.86%"
"10-10-2024","125.26","121.57","125.95","120.70","4.55M","3.49%"
"09-10-2024","121.04","116.75","121.73","116.68","3.12M","5.16%"
"08-10-2024","115.10","114.88","116.80","112.29","3.97M","0.94%"
"07-10-2024","114.03","118.10","118.50","112.30","4.14M","-3.36%"
"04-10-2024","117.99","118.78","119.63","116.25","2.84M","0.11%"
"03-10-2024","117.86","119.41","120.54","116.95","3.68M","-3.19%"
"01-10-2024","121.74","121.80","122.94","121.35","1.39M","-0.11%"
"30-09-2024","121.87","122.50","122.70","120.76","1.56M","-0.07%"
"27-09-2024","121.96","122.00","123.50","121.60","2.75M","0.02%"
"26-09-2024","121.93","122.85","124.00","121.60","1.86M","-0.38%"
"25-09-2024","122.39","123.50","125.85","121.40","4.25M","-1.09%"
"24-09-2024","123.74","126.10","126.85","122.95","3.54M","-1.61%"
"23-09-2024","125.76","126.02","127.30","125.15","5.36M","-0.20%"
"20-09-2024","126.01","126.88","128.25","125.01","4.07M","-0.02%"
"19-09-2024","126.03","130.90","131.78","125.01","5.55M","-2.75%"
"18-09-2024","129.59","130.88","131.08","129.00","1.82M","-0.99%"
"17-09-2024","130.88","132.15","132.81","130.51","1.38M","-1.27%"
"16-09-2024","132.56","132.35","134.11","132.21","1.65M","0.16%"
"13-09-2024","132.35","130.70","132.75","130.70","1.77M","1.43%"
"12-09-2024","130.48","131.45","132.58","129.60","2.76M","0.19%"
"11-09-2024","130.23","132.00","134.39","129.90","5.67M","-0.39%"
"10-09-2024","130.74","130.55","132.90","130.01","3.14M","1.03%"
"09-09-2024","129.41","129.00","130.43","127.62","2.55M","-0.42%"
"06-09-2024","129.95","131.15","132.70","129.31","2.85M","-0.92%"
"05-09-2024","131.16","130.75","132.35","130.22","4.04M","0.99%"
"04-09-2024","129.87","132.80","133.99","128.76","5.24M","-3.49%"
"03-09-2024","134.57","133.10","135.20","133.00","3.45M","1.55%"
"02-09-2024","132.52","135.35","135.35","131.64","1.66M","-1.45%"
"30-08-2024","134.47","134.80","135.30","132.68","2.97M","0.73%"
"29-08-2024","133.50","133.60","137.69","133.00","10.31M","0.64%"
"28-08-2024","132.65","133.98","133.98","132.10","3.15M","-0.58%"
"27-08-2024","133.42","134.99","135.40","132.18","7.43M","0.35%"
"26-08-2024","132.95","133.41","134.31","130.63","6.87M","0.87%"
"23-08-2024","131.80","133.84","134.47","130.64","4.09M","-1.38%"
"22-08-2024","133.64","132.51","134.50","131.25","8.16M","1.77%"
"21-08-2024","131.31","124.50","132.49","122.70","10.14M","5.61%"
"20-08-2024","124.33","121.39","124.85","120.62","4.99M","3.16%"
"19-08-2024","120.52","120.90","121.20","118.70","3.81M","1.31%"
"16-08-2024","118.96","117.39","119.39","115.31","7.06M","2.85%"
