"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","634.45","634.00","639.35","628.85","956.13K","0.37%"
"05-11-2024","632.10","622.85","634.80","608.15","2.57M","1.49%"
"04-11-2024","622.85","637.80","637.80","612.90","1.04M","-1.77%"
"01-11-2024","634.05","629.95","637.45","627.45","194.44K","0.48%"
"31-10-2024","631.05","633.00","636.00","621.45","1.54M","-0.31%"
"30-10-2024","633.00","642.40","657.60","630.50","4.99M","-0.70%"
"29-10-2024","637.45","625.00","642.85","610.65","3.95M","3.07%"
"28-10-2024","618.45","600.25","627.40","592.00","3.08M","3.38%"
"25-10-2024","598.25","601.50","610.60","588.50","2.10M","-0.33%"
"24-10-2024","600.25","600.60","609.85","595.25","1.47M","-0.06%"
"23-10-2024","600.60","587.00","610.15","580.15","3.07M","2.22%"
"22-10-2024","587.55","609.00","612.90","584.55","2.19M","-3.32%"
"21-10-2024","607.75","620.05","623.85","604.25","1.39M","-1.75%"
"18-10-2024","618.60","611.80","619.90","601.30","956.83K","1.11%"
"17-10-2024","611.80","627.00","628.60","610.10","1.41M","-2.28%"
"16-10-2024","626.10","628.00","633.50","623.25","884.58K","0.02%"
"15-10-2024","625.95","620.00","627.90","617.75","1.31M","1.33%"
"14-10-2024","617.75","622.50","623.60","613.65","754.91K","-0.28%"
"11-10-2024","619.50","617.05","621.65","613.80","566.59K","0.55%"
"10-10-2024","616.10","620.10","624.90","613.55","826.20K","-0.18%"
"09-10-2024","617.20","622.00","628.20","615.10","1.15M","0.32%"
"08-10-2024","615.25","608.30","617.90","604.85","1.26M","1.28%"
"07-10-2024","607.50","637.00","637.85","601.00","3.98M","-4.31%"
"04-10-2024","634.85","633.25","643.75","627.65","3.15M","-0.27%"
"03-10-2024","636.60","654.90","655.90","630.05","2.14M","-3.44%"
"01-10-2024","659.25","664.40","668.75","657.50","1.01M","-0.48%"
"30-09-2024","662.45","664.00","670.55","659.25","1.21M","-0.23%"
"27-09-2024","664.00","667.00","671.35","663.05","1.47M","-0.37%"
"26-09-2024","666.45","665.95","667.55","656.80","1.97M","0.20%"
"25-09-2024","665.10","685.60","687.40","660.05","3.72M","-3.04%"
"24-09-2024","685.95","682.00","689.85","681.55","2.22M","0.76%"
"23-09-2024","680.75","669.10","683.40","666.60","2.43M","1.94%"
"20-09-2024","667.80","665.00","669.75","658.55","1.99M","0.63%"
"19-09-2024","663.65","679.00","682.25","644.00","5.33M","-1.62%"
"18-09-2024","674.60","674.90","686.45","672.30","3.12M","-0.04%"
"17-09-2024","674.90","680.50","684.85","670.00","4.41M","-0.86%"
"16-09-2024","680.75","726.95","735.55","678.00","11.88M","-5.88%"
"13-09-2024","723.30","712.45","730.80","703.15","5.26M","2.79%"
"12-09-2024","703.70","683.00","706.60","683.00","4.43M","4.05%"
"11-09-2024","676.30","685.00","696.00","672.00","2.66M","-1.51%"
"10-09-2024","686.65","703.00","705.00","684.00","2.36M","-1.89%"
"09-09-2024","699.90","694.60","705.80","682.40","2.37M","0.76%"
"06-09-2024","694.60","706.90","716.00","691.55","2.96M","-1.81%"
"05-09-2024","707.40","695.00","719.50","694.75","6.11M","2.34%"
