"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","5,198.70","5,016.85","5,230.45","5,009.00","153.30K","4.76%"
"05-11-2024","4,962.40","4,960.00","4,995.55","4,905.00","46.40K","-0.03%"
"04-11-2024","4,963.65","4,960.00","4,977.00","4,871.00","83.34K","0.10%"
"01-11-2024","4,958.60","4,951.20","4,996.35","4,950.00","16.56K","0.26%"
"31-10-2024","4,945.85","5,140.00","5,156.00","4,909.30","298.12K","-4.08%"
"30-10-2024","5,156.30","5,204.30","5,303.95","5,143.00","130.74K","-0.87%"
"29-10-2024","5,201.50","5,164.60","5,215.20","5,107.55","127.00K","1.00%"
"28-10-2024","5,150.10","5,165.00","5,210.00","5,090.10","43.85K","-0.39%"
"25-10-2024","5,170.30","5,260.00","5,278.00","5,132.35","108.89K","-2.16%"
"24-10-2024","5,284.50","5,324.25","5,365.95","5,241.65","83.75K","-0.60%"
"23-10-2024","5,316.55","5,150.00","5,412.80","5,115.05","181.24K","2.97%"
"22-10-2024","5,163.25","5,241.00","5,282.15","5,143.80","143.05K","-1.76%"
"21-10-2024","5,255.80","5,132.00","5,327.65","5,125.00","263.01K","2.41%"
"18-10-2024","5,132.10","5,230.00","5,284.00","5,118.05","383.96K","-2.11%"
"17-10-2024","5,242.50","5,269.00","5,424.00","5,209.70","419.93K","-2.14%"
"16-10-2024","5,356.90","5,330.00","5,385.00","5,262.00","120.50K","0.72%"
"15-10-2024","5,318.60","5,309.00","5,327.05","5,252.00","83.57K","0.76%"
"14-10-2024","5,278.50","5,218.00","5,296.00","5,196.40","83.32K","0.85%"
"11-10-2024","5,234.20","5,190.00","5,249.95","5,164.10","70.60K","0.73%"
"10-10-2024","5,196.50","5,255.00","5,269.45","5,126.00","157.16K","-0.42%"
"09-10-2024","5,218.20","5,220.20","5,237.95","5,151.15","119.80K","1.43%"
"08-10-2024","5,144.70","5,150.00","5,179.00","5,075.00","152.80K","-0.02%"
"07-10-2024","5,145.80","5,130.00","5,186.75","5,007.85","373.58K","1.46%"
"04-10-2024","5,071.60","5,100.00","5,240.95","5,055.15","319.50K","-0.56%"
"03-10-2024","5,099.95","5,300.00","5,321.35","5,091.05","320.99K","-4.60%"
"01-10-2024","5,345.65","5,345.00","5,400.00","5,312.50","72.96K","0.03%"
"30-09-2024","5,344.25","5,360.00","5,376.40","5,285.85","98.85K","-0.23%"
"27-09-2024","5,356.55","5,555.00","5,588.25","5,341.10","306.25K","-1.89%"
"26-09-2024","5,459.95","5,464.80","5,480.00","5,413.55","125.11K","0.46%"
"25-09-2024","5,435.05","5,519.80","5,519.90","5,375.00","93.05K","-1.21%"
"24-09-2024","5,501.35","5,497.95","5,530.00","5,427.95","108.01K","0.19%"
"23-09-2024","5,490.75","5,484.95","5,498.00","5,413.90","66.41K","0.33%"
"20-09-2024","5,472.95","5,545.00","5,549.95","5,456.45","121.02K","-0.54%"
"19-09-2024","5,502.45","5,544.00","5,631.85","5,420.00","155.59K","0.45%"
"18-09-2024","5,478.05","5,665.00","5,686.55","5,412.50","180.27K","-3.27%"
"17-09-2024","5,663.40","5,708.00","5,758.10","5,648.35","113.41K","-0.77%"
"16-09-2024","5,707.60","5,799.90","5,822.90","5,697.60","76.81K","-1.21%"
"13-09-2024","5,777.50","5,730.00","5,810.00","5,684.60","150.56K","1.13%"
"12-09-2024","5,712.90","5,738.00","5,755.45","5,670.05","76.97K","0.66%"
"11-09-2024","5,675.50","5,719.00","5,750.95","5,640.00","87.22K","-0.39%"
"10-09-2024","5,697.75","5,610.00","5,725.45","5,597.00","94.09K","2.07%"
"09-09-2024","5,582.10","5,605.00","5,642.95","5,514.80","82.36K","-0.71%"
"06-09-2024","5,622.05","5,705.00","5,783.25","5,601.20","109.63K","-0.93%"
"05-09-2024","5,674.85","5,728.00","5,740.00","5,647.50","102.30K","-0.16%"
"04-09-2024","5,684.10","5,660.00","5,708.00","5,612.15","113.11K","-1.11%"
"03-09-2024","5,747.70","5,744.30","5,781.05","5,707.55","119.29K","0.16%"
"02-09-2024","5,738.60","5,740.00","5,837.00","5,724.10","202.94K","0.39%"
"30-08-2024","5,716.10","5,870.00","5,870.00","5,706.25","246.98K","-1.62%"
"29-08-2024","5,810.25","5,678.60","6,000.00","5,628.45","353.41K","2.32%"
"28-08-2024","5,678.60","5,555.05","5,708.10","5,518.15","566.44K","3.48%"
"27-08-2024","5,487.40","5,520.00","5,530.00","5,455.00","66.67K","-0.47%"
"26-08-2024","5,513.05","5,520.00","5,574.65","5,472.00","139.06K","0.93%"
