"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","147.50","146.40","148.70","145.80","392.64K","1.44%"
"05-11-2024","145.40","142.95","146.30","141.15","404.14K","1.79%"
"04-11-2024","142.85","149.15","149.15","142.45","459.09K","-3.90%"
"01-11-2024","148.65","148.85","149.60","146.95","143.60K","1.88%"
"31-10-2024","145.90","148.00","148.40","144.35","417.26K","-0.44%"
"30-10-2024","146.55","145.25","148.30","143.00","493.90K","1.63%"
"29-10-2024","144.20","142.75","145.00","139.05","551.99K","1.37%"
"28-10-2024","142.25","141.00","147.05","141.00","534.36K","1.32%"
"25-10-2024","140.40","145.00","145.75","137.75","446.22K","-2.94%"
"24-10-2024","144.65","150.50","150.50","144.15","513.18K","-3.66%"
"23-10-2024","150.15","147.00","151.90","146.20","602.93K","2.28%"
"22-10-2024","146.80","157.15","159.20","145.10","1.20M","-7.06%"
"21-10-2024","157.95","168.00","168.60","156.80","740.77K","-5.22%"
"18-10-2024","166.65","166.50","168.15","161.85","353.60K","0.27%"
"17-10-2024","166.20","167.00","168.30","163.65","255.51K","-0.36%"
"16-10-2024","166.80","168.00","168.00","166.05","121.88K","-0.71%"
"15-10-2024","168.00","165.60","168.70","165.20","262.15K","1.66%"
"14-10-2024","165.25","164.95","167.00","163.90","2.08M","0.89%"
"11-10-2024","163.80","167.50","168.35","163.30","374.38K","-2.21%"
"10-10-2024","167.50","170.85","171.45","167.20","154.89K","-1.12%"
"09-10-2024","169.40","173.95","176.50","168.65","372.99K","-1.68%"
"08-10-2024","172.30","168.40","173.30","167.80","126.29K","2.32%"
"07-10-2024","168.40","176.75","177.25","167.30","202.42K","-3.74%"
"04-10-2024","174.95","181.05","181.60","174.00","573.97K","-3.37%"
"03-10-2024","181.05","185.95","186.50","180.00","355.76K","-3.72%"
"01-10-2024","188.05","187.95","189.45","185.10","417.73K","1.18%"
"30-09-2024","185.85","187.55","187.90","185.45","160.43K","-1.04%"
"27-09-2024","187.80","186.75","189.20","185.40","329.96K","0.59%"
"26-09-2024","186.70","187.85","187.85","182.60","517.08K","-0.40%"
"25-09-2024","187.45","184.65","189.10","182.75","1.18M","1.90%"
"24-09-2024","183.95","185.25","187.25","183.50","278.33K","-0.30%"
"23-09-2024","184.50","183.80","185.35","178.80","592.05K","1.91%"
"20-09-2024","181.05","179.00","181.95","177.65","678.96K","1.68%"
"19-09-2024","178.05","177.60","181.60","172.25","799.93K","0.68%"
"18-09-2024","176.85","175.80","178.50","175.10","362.70K","0.57%"
"17-09-2024","175.85","175.95","177.20","174.55","132.30K","0.37%"
"16-09-2024","175.20","179.20","179.20","174.60","178.75K","-1.52%"
"13-09-2024","177.90","175.55","179.25","174.65","531.45K","2.07%"
"12-09-2024","174.30","168.25","174.90","167.65","888.37K","4.75%"
"11-09-2024","166.40","173.25","173.25","165.75","332.14K","-3.14%"
"10-09-2024","171.80","168.45","173.25","166.90","215.77K","3.37%"
"09-09-2024","166.20","165.20","166.50","163.25","300.32K","0.57%"
"06-09-2024","165.25","170.50","170.65","165.00","474.30K","-3.08%"
"05-09-2024","170.50","169.25","171.80","169.15","228.17K","0.86%"
"04-09-2024","169.05","171.50","172.00","168.45","142.56K","-1.94%"
"03-09-2024","172.40","171.40","173.90","170.85","179.83K","0.91%"
"02-09-2024","170.85","169.95","171.30","168.95","127.43K","0.89%"
"30-08-2024","169.35","171.00","171.90","169.00","110.15K","-0.56%"
"29-08-2024","170.30","170.70","171.90","168.15","208.01K","-0.15%"
"28-08-2024","170.55","173.90","174.00","170.30","425.84K","-0.32%"
"27-08-2024","171.10","168.90","172.00","168.80","132.29K","1.30%"
"26-08-2024","168.90","168.00","169.40","166.80","115.13K","0.81%"
"23-08-2024","167.55","169.90","169.90","167.00","148.32K","-0.83%"
"22-08-2024","168.95","169.45","171.95","168.10","205.53K","0.54%"
"21-08-2024","168.05","168.00","168.50","166.55","194.49K","0.42%"
"20-08-2024","167.35","166.10","168.25","164.10","219.39K","1.27%"
"19-08-2024","165.25","165.00","166.05","163.60","98.08K","0.61%"
"16-08-2024","164.25","161.45","165.00","160.10","233.82K","2.30%"
"14-08-2024","160.55","163.35","163.35","159.80","150.51K","-1.08%"
"13-08-2024","162.30","168.00","168.05","161.95","279.33K","-3.42%"
"12-08-2024","168.05","166.00","168.70","163.95","150.98K","1.17%"
"09-08-2024","166.10","166.45","168.50","165.50","216.38K","0.21%"
"08-08-2024","165.75","169.25","169.80","165.15","133.29K","-2.21%"
"07-08-2024","169.50","172.15","172.15","166.75","218.62K","1.41%"
"06-08-2024","167.15","169.75","174.45","166.55","164.76K","-0.80%"
"05-08-2024","168.50","173.05","173.60","167.30","287.86K","-4.83%"
"02-08-2024","177.05","174.55","179.00","172.10","334.94K","0.28%"
"01-08-2024","176.55","182.00","182.15","176.00","472.82K","-1.92%"
"31-07-2024","180.00","181.80","181.80","179.60","92.33K","0.08%"
"30-07-2024","179.85","179.95","182.40","179.10","153.43K","0.19%"
"29-07-2024","179.50","181.00","182.10","178.85","359.43K","-0.66%"
"26-07-2024","180.70","175.00","181.05","174.70","305.65K","4.09%"
"25-07-2024","173.60","174.20","175.00","170.00","177.63K","-0.63%"
"24-07-2024","174.70","175.95","177.45","173.80","192.13K","0.17%"
"23-07-2024","174.40","175.05","175.50","164.75","640.33K","0.37%"
"22-07-2024","173.75","173.50","175.80","170.45","1.28M","-0.97%"
"19-07-2024","175.45","185.70","185.70","174.85","471.16K","-4.93%"
"18-07-2024","184.55","189.70","189.85","182.75","1.12M","0.16%"
"16-07-2024","184.25","186.85","186.85","182.25","202.64K","-0.83%"
"15-07-2024","185.80","182.40","186.35","180.30","372.56K","2.03%"
"12-07-2024","182.10","180.40","185.00","179.40","373.49K","1.56%"
"11-07-2024","179.30","180.95","182.65","179.00","265.96K","-0.69%"
"10-07-2024","180.55","184.25","184.25","177.80","214.68K","-1.82%"
"09-07-2024","183.90","186.05","187.10","183.35","126.52K","-1.08%"
"08-07-2024","185.90","190.30","190.65","185.25","180.68K","-2.08%"
"05-07-2024","189.85","188.65","190.40","184.75","265.27K","0.93%"
"04-07-2024","188.10","194.20","194.20","187.55","555.61K","-0.27%"
"03-07-2024","188.60","189.15","190.90","186.65","466.58K","0.69%"
"02-07-2024","187.30","193.40","193.40","186.50","495.58K","-1.42%"
"01-07-2024","190.00","183.05","191.60","183.00","634.37K","4.91%"
"28-06-2024","181.10","181.70","182.85","180.00","169.06K","1.03%"
"27-06-2024","179.25","184.65","184.65","178.70","168.80K","-1.35%"
"26-06-2024","181.70","186.00","188.00","181.20","284.45K","-2.02%"
"25-06-2024","185.45","181.45","186.20","178.90","771.74K","2.69%"
"24-06-2024","180.60","184.20","184.20","177.45","4.53M","-1.23%"
"21-06-2024","182.85","185.00","186.70","181.55","885.06K","-0.44%"
"20-06-2024","183.65","176.70","184.10","175.35","388.80K","4.26%"
"19-06-2024","176.15","181.70","181.70","174.10","239.59K","-1.95%"
"18-06-2024","179.65","181.90","182.10","179.10","431.44K","-1.21%"
"14-06-2024","181.85","178.65","183.75","176.80","1.31M","3.41%"
"13-06-2024","175.85","175.00","179.00","175.00","89.56M","3.08%"
"12-06-2024","170.60","166.25","171.70","165.20","331.11K","3.49%"
"11-06-2024","164.85","167.90","168.90","164.25","144.80K","-0.21%"
"10-06-2024","165.20","171.65","171.65","164.50","275.49K","-1.78%"
"07-06-2024","168.20","159.85","169.85","157.90","1.03M","5.69%"
"06-06-2024","159.15","158.05","161.95","156.70","196.04K","1.56%"
"05-06-2024","156.70","150.40","157.85","147.75","407.97K","4.78%"
"04-06-2024","149.55","161.45","161.45","144.50","304.77K","-6.30%"
"03-06-2024","159.60","156.80","160.10","156.80","430.81K","4.25%"
"31-05-2024","153.10","153.20","156.60","152.40","75.97K","0.03%"
"30-05-2024","153.05","158.60","158.60","152.30","104.41K","-2.86%"
"29-05-2024","157.55","156.35","159.00","155.65","132.56K","0.45%"
"28-05-2024","156.85","158.60","159.35","155.10","128.97K","-0.82%"
"27-05-2024","158.15","158.70","159.00","156.40","99.48K","0.29%"
"24-05-2024","157.70","159.30","159.55","157.15","119.77K","-0.85%"
"23-05-2024","159.05","157.70","159.95","155.65","148.25K","1.79%"
"22-05-2024","156.25","158.75","159.95","155.80","124.89K","-1.57%"
"21-05-2024","158.75","159.10","160.35","158.10","208.56K","-1.00%"
"18-05-2024","160.35","161.95","161.75","159.55","33.09K","-0.25%"
"17-05-2024","160.75","159.30","161.25","157.70","191.43K","1.23%"
"16-05-2024","158.80","159.00","159.95","156.80","100.16K","0.25%"
"15-05-2024","158.40","158.80","162.60","157.35","203.28K","0.67%"
"14-05-2024","157.35","159.90","159.90","155.40","172.66K","0.13%"
"13-05-2024","157.15","156.85","157.95","150.80","163.43K","1.42%"
"10-05-2024","154.95","157.40","159.75","153.35","248.53K","-1.34%"
"09-05-2024","157.05","162.85","162.85","156.25","180.02K","-2.88%"
"08-05-2024","161.70","161.00","163.45","160.35","112.74K","0.47%"
"07-05-2024","160.95","163.40","164.15","160.10","193.65K","-1.23%"
"06-05-2024","162.95","168.80","169.00","162.30","203.03K","-2.86%"
"03-05-2024","167.75","170.15","171.35","165.90","130.91K","-1.15%"
"02-05-2024","169.70","167.15","170.30","166.35","313.96K","1.80%"
"30-04-2024","166.70","170.00","170.90","166.00","348.39K","-1.30%"
"29-04-2024","168.90","164.00","172.30","161.45","588.23K","3.15%"
"26-04-2024","163.75","167.90","169.45","161.20","316.69K","-2.38%"
"25-04-2024","167.75","166.25","168.30","165.15","139.76K","0.51%"
"24-04-2024","166.90","168.70","169.70","166.25","79.54K","-0.51%"
"23-04-2024","167.75","164.95","168.65","163.00","254.38K","2.41%"
"22-04-2024","163.80","161.50","164.85","160.65","169.91K","1.71%"
"19-04-2024","161.05","160.55","161.85","156.45","133.22K","-0.12%"
"18-04-2024","161.25","162.95","165.60","160.55","296.59K","-0.22%"
"16-04-2024","161.60","164.65","165.40","160.25","145.06K","-2.47%"
"15-04-2024","165.70","158.25","166.70","158.25","289.48K","-0.99%"
"12-04-2024","167.35","169.30","171.25","166.55","240.22K","-1.01%"
"10-04-2024","169.05","167.65","169.75","166.35","152.69K","1.41%"
"09-04-2024","166.70","169.45","169.95","165.60","174.28K","-1.27%"
"08-04-2024","168.85","170.30","171.75","168.45","75.50K","-0.56%"
"05-04-2024","169.80","172.05","172.05","168.30","124.45K","-1.28%"
"04-04-2024","172.00","174.70","175.00","170.70","394.85K","1.15%"
"03-04-2024","170.05","167.90","170.95","166.50","183.99K","1.98%"
"02-04-2024","166.75","164.00","167.85","163.00","241.40K","2.55%"
"01-04-2024","162.60","159.75","163.30","158.85","117.79K","2.81%"
"28-03-2024","158.15","159.25","160.90","157.70","141.10K","-0.44%"
"27-03-2024","158.85","156.55","160.85","156.55","289.01K","1.50%"
"26-03-2024","156.50","154.40","157.90","154.25","123.11K","1.03%"
"22-03-2024","154.90","155.85","156.05","154.15","105.65K","-0.61%"
"21-03-2024","155.85","150.55","156.90","150.55","179.18K","4.63%"
"20-03-2024","148.95","148.25","149.70","144.60","178.78K","1.26%"
"19-03-2024","147.10","150.25","151.70","146.50","360.26K","-0.61%"
"18-03-2024","148.00","151.85","151.85","146.95","218.87K","-1.95%"
"15-03-2024","150.95","150.55","152.20","147.65","159.89K","1.21%"
"14-03-2024","149.15","146.05","150.75","144.55","338.43K","0.95%"
"13-03-2024","147.75","156.25","157.75","146.50","290.40K","-4.98%"
"12-03-2024","155.50","155.40","158.35","154.20","415.38K","-1.40%"
"11-03-2024","157.70","164.35","164.35","156.65","275.81K","-2.50%"
"07-03-2024","161.75","161.45","165.30","159.90","539.68K","1.54%"
"06-03-2024","159.30","170.50","171.45","154.90","5.58M","-7.19%"
"05-03-2024","171.65","174.25","175.40","171.10","165.46K","-1.58%"
"04-03-2024","174.40","172.30","175.50","171.30","176.76K","1.84%"
"02-03-2024","171.25","177.00","177.00","170.50","7.11K","0.41%"
"01-03-2024","170.55","167.25","171.10","167.15","191.25K","2.00%"
"29-02-2024","167.20","163.05","167.60","162.60","158.33K","1.36%"
"28-02-2024","164.95","169.00","170.90","164.30","153.48K","-2.37%"
"27-02-2024","168.95","173.40","173.40","168.50","190.81K","-1.23%"
"26-02-2024","171.05","171.90","173.40","170.60","167.62K","-0.32%"
"23-02-2024","171.60","172.70","173.45","170.90","151.23K","-0.06%"
"22-02-2024","171.70","170.80","172.10","168.85","74.23K","0.76%"
"21-02-2024","170.40","174.55","175.50","169.70","108.90K","-2.27%"
"20-02-2024","174.35","176.20","176.20","172.85","174.55K","-0.51%"
"19-02-2024","175.25","175.35","177.45","173.85","200.09K","0.86%"
"16-02-2024","173.75","172.00","175.70","171.85","143.11K","1.28%"
"15-02-2024","171.55","172.55","173.80","169.90","180.93K","-0.38%"
"14-02-2024","172.20","168.80","172.85","167.30","106.97K","1.00%"
"13-02-2024","170.50","166.80","171.10","164.60","288.98K","2.25%"
"12-02-2024","166.75","172.25","172.25","165.60","230.18K","-2.77%"
"09-02-2024","171.50","174.00","174.00","165.90","231.95K","-0.78%"
"08-02-2024","172.85","178.95","178.95","172.15","252.87K","-1.90%"
"07-02-2024","176.20","170.65","178.30","170.65","482.18K","3.46%"
"06-02-2024","170.30","173.75","174.25","168.40","356.00K","-1.70%"
"05-02-2024","173.25","175.95","179.00","172.65","566.31K","-0.77%"
"02-02-2024","174.60","173.50","176.20","173.45","216.78K","1.39%"
"01-02-2024","172.20","175.00","175.45","169.00","208.32K","-0.52%"
"31-01-2024","173.10","167.95","174.75","167.95","687.06K","3.16%"
"30-01-2024","167.80","168.25","171.55","165.45","412.75K","0.12%"
"29-01-2024","167.60","168.35","169.00","167.00","285.10K","0.45%"
"25-01-2024","166.85","162.25","167.25","161.55","269.97K","3.54%"
"24-01-2024","161.15","163.15","163.50","157.20","610.06K","0.88%"
"23-01-2024","159.75","168.40","168.50","157.95","726.53K","-4.34%"
"20-01-2024","167.00","169.45","169.80","166.75","105.29K","-0.74%"
"19-01-2024","168.25","168.25","169.05","165.95","220.62K","1.08%"
"18-01-2024","166.45","170.25","171.60","165.15","304.67K","-1.89%"
"17-01-2024","169.65","165.50","170.85","164.75","482.46K","1.28%"
"16-01-2024","167.50","170.00","170.95","165.85","287.78K","-1.35%"
"15-01-2024","169.80","168.55","170.75","167.50","190.25K","1.65%"
"12-01-2024","167.05","169.85","169.85","166.65","236.59K","-0.89%"
"11-01-2024","168.55","165.90","171.05","165.90","445.24K","1.69%"
"10-01-2024","165.75","167.10","167.10","162.50","262.33K","-0.39%"
"09-01-2024","166.40","169.00","171.00","165.95","170.47K","-1.13%"
"08-01-2024","168.30","172.90","172.90","166.85","219.54K","-1.46%"
"05-01-2024","170.80","173.70","174.85","168.70","921.51K","-0.52%"
"04-01-2024","171.70","168.15","172.20","167.00","558.47K","3.43%"
"03-01-2024","166.00","162.75","170.80","162.60","1.19M","2.34%"
"02-01-2024","162.20","163.90","164.60","159.70","513.94K","-0.80%"
"01-01-2024","163.50","166.05","166.05","162.65","398.70K","-0.97%"
"29-12-2023","165.10","162.30","166.00","161.35","837.03K","1.82%"
"28-12-2023","162.15","157.00","163.00","156.60","665.47K","3.94%"
"27-12-2023","156.00","153.55","156.25","153.40","287.93K","1.99%"
"26-12-2023","152.95","153.75","154.20","152.15","233.81K","0.10%"
"22-12-2023","152.80","153.00","154.60","151.20","332.45K","0.79%"
"21-12-2023","151.60","147.45","152.05","146.15","360.96K","1.10%"
