"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","5,990.15","5,789.00","5,999.95","5,761.55","517.71K","4.73%"
"05-11-2024","5,719.85","5,735.00","5,785.10","5,685.00","163.04K","-0.30%"
"04-11-2024","5,737.15","5,700.00","5,751.75","5,572.65","198.50K","0.10%"
"01-11-2024","5,731.60","5,702.00","5,760.65","5,701.05","23.68K","0.36%"
"31-10-2024","5,710.85","5,796.00","5,858.95","5,621.20","492.44K","-1.45%"
"30-10-2024","5,795.15","5,842.00","5,879.80","5,780.25","130.22K","-0.98%"
"29-10-2024","5,852.25","5,924.80","5,946.95","5,805.45","114.85K","-0.64%"
"28-10-2024","5,889.80","5,909.80","5,962.05","5,825.60","132.88K","-0.23%"
"25-10-2024","5,903.20","5,970.30","5,982.60","5,827.50","191.73K","-1.12%"
"24-10-2024","5,970.35","5,942.45","5,994.30","5,917.00","179.28K","0.59%"
"23-10-2024","5,935.05","5,876.00","6,028.75","5,861.40","379.46K","0.99%"
"22-10-2024","5,876.65","5,968.95","5,996.80","5,860.00","201.41K","-1.12%"
"21-10-2024","5,943.10","6,029.00","6,068.55","5,922.25","307.42K","-0.81%"
"18-10-2024","5,991.70","6,380.00","6,380.00","5,960.00","1.02M","-6.30%"
"17-10-2024","6,394.45","6,388.90","6,425.00","6,312.70","310.48K","0.55%"
"16-10-2024","6,359.35","6,460.00","6,470.00","6,340.00","155.32K","-1.57%"
"15-10-2024","6,460.80","6,490.70","6,551.70","6,440.05","597.15K","0.19%"
"14-10-2024","6,448.55","6,412.00","6,485.85","6,369.40","208.26K","0.59%"
"11-10-2024","6,410.95","6,340.00","6,458.65","6,340.00","383.83K","1.02%"
"10-10-2024","6,346.05","6,486.00","6,488.00","6,320.05","200.47K","-1.47%"
"09-10-2024","6,440.55","6,394.00","6,487.00","6,365.25","485.15K","1.00%"
"08-10-2024","6,376.80","6,289.50","6,388.00","6,185.05","386.71K","1.95%"
"07-10-2024","6,254.95","6,169.90","6,296.00","6,150.00","608.17K","2.30%"
"04-10-2024","6,114.10","6,200.95","6,264.65","6,100.00","330.59K","-1.13%"
"03-10-2024","6,183.85","6,199.95","6,305.00","6,152.50","297.60K","-1.43%"
"01-10-2024","6,273.45","6,244.35","6,285.95","6,189.00","526.01K","0.47%"
"30-09-2024","6,244.35","6,100.00","6,273.30","6,023.00","685.93K","1.76%"
"27-09-2024","6,136.10","6,220.00","6,359.00","6,105.05","5.26M","-0.45%"
"26-09-2024","6,164.05","6,134.95","6,196.00","6,103.10","535.60K","1.01%"
"25-09-2024","6,102.55","6,344.10","6,344.10","6,090.55","617.66K","-3.81%"
"24-09-2024","6,344.10","6,326.00","6,355.00","6,205.20","627.62K","0.28%"
"23-09-2024","6,326.10","6,400.00","6,410.00","6,286.65","278.38K","-0.74%"
"20-09-2024","6,373.10","6,336.35","6,451.00","6,336.35","393.05K","-0.06%"
"19-09-2024","6,377.15","6,440.00","6,574.95","6,344.15","753.35K","0.17%"
"18-09-2024","6,366.30","6,399.00","6,399.00","6,232.00","757.93K","-1.39%"
"17-09-2024","6,455.75","6,409.70","6,514.45","6,396.55","367.66K","0.50%"
"16-09-2024","6,423.45","6,446.00","6,453.00","6,391.10","161.32K","0.11%"
"13-09-2024","6,416.20","6,370.00","6,447.25","6,340.00","278.35K","0.37%"
"12-09-2024","6,392.35","6,301.00","6,410.00","6,278.35","426.55K","1.48%"
"11-09-2024","6,299.30","6,332.00","6,365.00","6,275.00","331.33K","-0.69%"
"10-09-2024","6,343.35","6,205.65","6,400.00","6,177.30","929.76K","3.20%"
"09-09-2024","6,146.60","6,135.00","6,198.95","6,105.00","361.84K","-0.30%"
"06-09-2024","6,165.40","6,205.00","6,317.95","6,146.95","1.16M","0.26%"
"05-09-2024","6,149.30","6,089.80","6,200.00","6,078.00","636.26K","1.29%"
"04-09-2024","6,071.20","6,005.00","6,088.15","5,989.75","482.01K","-1.21%"
"03-09-2024","6,145.70","6,097.00","6,179.00","6,085.00","406.72K","-0.13%"
"02-09-2024","6,153.50","6,102.00","6,201.00","6,102.00","343.40K","-0.04%"
"30-08-2024","6,156.05","6,152.10","6,173.05","6,069.00","1.70M","0.39%"
"29-08-2024","6,132.10","6,114.00","6,150.00","6,055.05","613.09K","0.07%"
"28-08-2024","6,127.55","5,775.00","6,198.90","5,770.00","3.58M","6.54%"
"27-08-2024","5,751.55","5,715.00","5,799.00","5,706.05","269.05K","0.20%"
"26-08-2024","5,739.95","5,660.00","5,754.70","5,649.75","333.62K","1.74%"
"23-08-2024","5,641.60","5,691.00","5,703.00","5,620.00","252.21K","-1.10%"
"22-08-2024","5,704.40","5,734.95","5,769.00","5,657.45","223.20K","-0.16%"
"21-08-2024","5,713.45","5,685.10","5,731.00","5,658.40","247.29K","0.10%"
"20-08-2024","5,707.80","5,680.00","5,752.00","5,665.50","326.48K","0.56%"
"19-08-2024","5,676.10","5,567.95","5,710.50","5,567.95","281.11K","2.02%"
"16-08-2024","5,563.75","5,529.60","5,600.00","5,486.95","445.48K","2.51%"
"14-08-2024","5,427.55","5,395.00","5,439.95","5,367.00","241.70K","0.79%"
"13-08-2024","5,384.90","5,346.60","5,405.90","5,302.80","223.67K","-0.29%"
"12-08-2024","5,400.45","5,373.55","5,435.50","5,319.85","204.26K","0.50%"
"09-08-2024","5,373.55","5,440.00","5,483.00","5,365.70","325.94K","0.66%"
"08-08-2024","5,338.30","5,547.00","5,547.00","5,320.85","496.81K","-4.12%"
"07-08-2024","5,567.50","5,524.00","5,587.00","5,503.60","260.68K","1.95%"
"06-08-2024","5,460.75","5,371.00","5,528.00","5,371.00","393.97K","1.31%"
"05-08-2024","5,390.10","5,258.00","5,405.00","5,257.05","733.85K","-2.17%"
"02-08-2024","5,509.90","5,585.00","5,667.95","5,480.00","425.17K","-2.98%"
"01-08-2024","5,678.90","5,689.00","5,767.35","5,626.00","472.02K","0.37%"
"31-07-2024","5,658.15","5,665.00","5,709.40","5,636.50","410.61K","-0.25%"
"30-07-2024","5,672.50","5,786.60","5,797.00","5,651.35","368.96K","-1.97%"
"29-07-2024","5,786.60","5,811.95","5,858.70","5,750.00","199.54K","-0.03%"
"26-07-2024","5,788.45","5,599.85","5,811.90","5,585.05","497.28K","3.40%"
"25-07-2024","5,597.90","5,610.00","5,638.95","5,561.00","273.15K","-1.19%"
"24-07-2024","5,665.15","5,694.00","5,715.00","5,651.80","144.40K","-0.41%"
"23-07-2024","5,688.60","5,747.00","5,760.00","5,547.55","319.28K","-0.52%"
"22-07-2024","5,718.35","5,733.00","5,780.05","5,661.05","271.46K","-0.77%"
"19-07-2024","5,762.75","5,781.00","5,879.15","5,732.30","961.36K","0.10%"
"18-07-2024","5,756.90","5,605.00","5,778.00","5,605.00","2.59M","3.50%"
"16-07-2024","5,562.35","5,490.10","5,577.80","5,438.30","339.48K","1.54%"
"15-07-2024","5,478.15","5,612.00","5,642.00","5,460.55","322.25K","-1.70%"
"12-07-2024","5,572.65","5,521.25","5,659.70","5,470.10","1.17M","3.05%"
"11-07-2024","5,407.60","5,393.00","5,424.65","5,338.00","266.25K","0.58%"
"10-07-2024","5,376.25","5,400.00","5,426.95","5,320.35","300.44K","-0.02%"
"09-07-2024","5,377.15","5,405.50","5,428.70","5,334.85","241.09K","-0.23%"
"08-07-2024","5,389.70","5,421.70","5,459.65","5,347.25","198.97K","-0.59%"
"05-07-2024","5,421.70","5,459.00","5,493.20","5,398.75","213.47K","-0.69%"
"04-07-2024","5,459.50","5,479.80","5,520.00","5,445.00","255.63K","-0.13%"
"03-07-2024","5,466.40","5,489.90","5,503.40","5,435.30","251.03K","-0.14%"
"02-07-2024","5,474.00","5,450.05","5,543.00","5,405.00","502.43K","0.49%"
"01-07-2024","5,447.50","5,372.45","5,550.00","5,352.15","1.09M","1.16%"
"28-06-2024","5,385.05","5,377.00","5,450.00","5,315.00","413.94K","0.15%"
"27-06-2024","5,377.05","5,181.00","5,389.95","5,125.00","1.33M","3.85%"
"26-06-2024","5,177.50","5,155.00","5,190.00","5,136.10","401.37K","1.05%"
"25-06-2024","5,123.85","5,111.25","5,135.00","5,070.45","179.42K","0.25%"
"24-06-2024","5,111.20","5,100.00","5,149.95","5,060.00","258.48K","-0.28%"
"21-06-2024","5,125.45","5,200.00","5,273.85","5,110.60","1.42M","1.44%"
"20-06-2024","5,052.45","5,030.00","5,071.00","5,000.00","333.48K","0.65%"
"19-06-2024","5,019.85","5,072.00","5,075.85","4,970.50","351.13K","-1.37%"
"18-06-2024","5,089.60","5,056.00","5,132.00","5,046.05","697.62K","1.13%"
"14-06-2024","5,032.55","5,047.20","5,070.20","4,995.25","278.05K","-0.29%"
"13-06-2024","5,047.20","4,996.05","5,092.15","4,971.05","739.50K","1.94%"
"12-06-2024","4,951.10","4,960.65","5,024.00","4,936.05","705.43K","0.97%"
"11-06-2024","4,903.55","4,924.75","4,946.35","4,890.30","268.67K","0.00%"
"10-06-2024","4,903.45","4,977.25","4,978.80","4,865.00","428.52K","-1.48%"
"07-06-2024","4,977.20","4,825.00","5,007.95","4,820.00","1.00M","3.69%"
"06-06-2024","4,800.25","4,740.00","4,819.00","4,703.00","622.90K","2.38%"
"05-06-2024","4,688.85","4,634.95","4,774.00","4,630.65","457.06K","1.26%"
"04-06-2024","4,630.65","4,649.50","4,675.95","4,513.55","683.88K","-0.40%"
"03-06-2024","4,649.40","4,825.00","4,825.00","4,639.80","448.14K","-1.12%"
"31-05-2024","4,701.90","4,769.90","4,775.65","4,680.00","965.09K","-1.49%"
"30-05-2024","4,773.15","4,849.95","4,870.70","4,748.00","393.09K","-2.21%"
"29-05-2024","4,880.80","4,885.00","4,892.90","4,830.05","209.72K","-0.11%"
"28-05-2024","4,885.95","4,915.00","4,933.45","4,855.20","321.80K","-0.12%"
"27-05-2024","4,892.05","4,849.95","4,915.20","4,826.70","429.99K","1.08%"
"24-05-2024","4,839.75","4,843.00","4,860.00","4,821.50","233.45K","0.17%"
"23-05-2024","4,831.30","4,780.00","4,848.95","4,780.00","491.87K","1.16%"
"22-05-2024","4,775.75","4,740.00","4,805.00","4,722.50","276.81K","0.95%"
"21-05-2024","4,730.75","4,750.00","4,780.50","4,711.00","380.59K","-0.43%"
"18-05-2024","4,751.10","4,789.95","4,789.95","4,740.00","21.31K","-0.28%"
"17-05-2024","4,764.30","4,785.00","4,790.00","4,725.00","383.21K","-0.14%"
"16-05-2024","4,771.20","4,665.95","4,785.90","4,665.95","612.68K","2.62%"
"15-05-2024","4,649.30","4,648.95","4,675.95","4,633.00","246.66K","0.31%"
"14-05-2024","4,634.85","4,599.85","4,670.05","4,589.95","156.78K","0.90%"
"13-05-2024","4,593.55","4,607.80","4,628.90","4,565.50","242.26K","-0.31%"
"10-05-2024","4,607.65","4,649.95","4,649.95","4,565.60","315.82K","-1.08%"
"09-05-2024","4,658.00","4,717.00","4,727.70","4,627.55","576.16K","-1.18%"
"08-05-2024","4,713.80","4,725.00","4,728.85","4,675.65","249.94K","0.31%"
"07-05-2024","4,699.40","4,710.05","4,729.00","4,652.00","283.10K","-0.10%"
"06-05-2024","4,703.95","4,675.00","4,739.00","4,660.00","232.69K","1.12%"
"03-05-2024","4,651.95","4,705.05","4,723.75","4,640.55","399.98K","-0.87%"
"02-05-2024","4,692.70","4,714.95","4,748.45","4,675.55","423.23K","-0.29%"
"30-04-2024","4,706.40","4,750.00","4,778.60","4,699.95","362.71K","-0.79%"
"29-04-2024","4,743.95","4,801.10","4,809.95","4,715.20","338.99K","-0.92%"
"26-04-2024","4,788.05","4,640.50","4,823.55","4,639.70","757.96K","3.31%"
"25-04-2024","4,634.70","4,659.95","4,687.75","4,591.50","1.50M","-1.95%"
"24-04-2024","4,726.80","4,740.05","4,754.25","4,709.60","489.91K","0.07%"
"23-04-2024","4,723.40","4,680.10","4,741.30","4,680.10","298.15K","1.01%"
"22-04-2024","4,676.20","4,699.00","4,700.00","4,633.00","270.10K","0.34%"
"19-04-2024","4,660.55","4,650.00","4,672.60","4,596.35","375.61K","-0.78%"
"18-04-2024","4,697.15","4,722.90","4,756.85","4,677.00","638.83K","0.74%"
"16-04-2024","4,662.85","4,786.95","4,786.95","4,650.05","1.34M","-3.16%"
"15-04-2024","4,815.15","4,855.00","4,891.45","4,800.30","335.33K","-1.51%"
"12-04-2024","4,888.90","4,916.00","4,953.00","4,880.05","218.62K","-0.60%"
"10-04-2024","4,918.35","4,918.75","4,927.05","4,875.35","271.55K","0.53%"
"09-04-2024","4,892.65","4,936.00","4,973.10","4,880.00","330.89K","-0.10%"
