"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,016.05","971.15","1,020.00","971.15","429.22K","4.16%"
"05-11-2024","975.50","970.25","987.60","966.95","156.43K","0.55%"
"04-11-2024","970.15","978.15","979.70","955.00","205.64K","-0.81%"
"01-11-2024","978.10","972.85","986.00","965.10","81.33K","0.54%"
"31-10-2024","972.85","958.80","977.00","949.65","154.06K","1.79%"
"30-10-2024","955.75","950.10","985.20","950.10","203.24K","0.52%"
"29-10-2024","950.85","938.90","968.90","936.00","204.62K","1.27%"
"28-10-2024","938.90","959.70","961.30","933.00","305.12K","-2.51%"
"25-10-2024","963.05","999.70","1,008.70","955.10","440.52K","-3.41%"
"24-10-2024","997.10","960.00","1,003.90","950.00","449.66K","2.28%"
"23-10-2024","974.85","976.00","998.00","951.55","519.29K","-0.28%"
"22-10-2024","977.55","1,003.75","1,012.10","971.00","431.69K","-2.33%"
"21-10-2024","1,000.85","1,004.00","1,026.00","993.00","639.33K","0.32%"
"18-10-2024","997.70","993.55","1,009.00","967.25","401.93K","-0.36%"
"17-10-2024","1,001.35","1,008.00","1,018.45","993.50","342.33K","-0.47%"
"16-10-2024","1,006.05","999.70","1,032.00","990.85","708.74K","0.86%"
"15-10-2024","997.45","1,007.20","1,040.00","990.00","1.41M","-0.19%"
"14-10-2024","999.30","983.55","1,003.00","960.85","406.49K","1.60%"
"11-10-2024","983.55","991.55","1,003.50","980.80","271.65K","-1.07%"
"10-10-2024","994.20","986.05","999.75","975.70","476.52K","1.11%"
"09-10-2024","983.30","946.00","1,005.60","936.80","1.19M","5.92%"
"08-10-2024","928.30","895.00","934.95","891.05","392.68K","2.17%"
"07-10-2024","908.55","987.00","987.00","891.30","883.39K","-6.59%"
"04-10-2024","972.65","993.35","998.50","965.65","580.65K","-1.31%"
"03-10-2024","985.60","970.05","992.00","959.20","733.32K","0.49%"
"01-10-2024","980.75","947.90","985.00","940.20","660.39K","3.42%"
"30-09-2024","948.35","949.00","960.00","918.85","584.75K","0.58%"
"27-09-2024","942.85","929.00","947.80","915.70","732.07K","2.57%"
"26-09-2024","919.25","881.25","925.95","875.15","1.43M","5.22%"
"25-09-2024","873.65","890.00","901.90","864.00","1.18M","-0.41%"
"24-09-2024","877.25","876.00","889.95","863.95","733.42K","0.69%"
"23-09-2024","871.20","853.00","874.80","839.05","685.83K","3.34%"
"20-09-2024","843.05","813.70","850.00","805.00","1.62M","4.99%"
"19-09-2024","802.95","826.50","826.50","791.10","404.57K","-1.65%"
"18-09-2024","816.40","826.00","834.00","814.40","930.88K","-0.54%"
"17-09-2024","820.85","796.00","824.90","790.00","1.31M","3.91%"
"16-09-2024","790.00","779.80","798.00","778.00","450.80K","2.05%"
"13-09-2024","774.10","758.55","784.95","748.10","366.37K","2.62%"
"12-09-2024","754.30","751.00","757.65","742.00","160.85K","1.93%"
"11-09-2024","740.00","750.75","765.85","732.75","290.78K","-1.43%"
"10-09-2024","750.75","769.25","769.75","747.00","220.29K","-1.20%"
"09-09-2024","759.85","769.00","769.00","750.05","360.12K","-1.29%"
"06-09-2024","769.80","776.00","781.30","765.00","180.99K","-1.21%"
"05-09-2024","779.25","774.20","786.65","774.20","175.84K","-0.01%"
"04-09-2024","779.35","764.45","783.25","757.35","400.37K","0.93%"
"03-09-2024","772.20","761.00","776.00","758.10","326.35K","0.76%"
"02-09-2024","766.35","770.05","774.00","741.30","1.04M","-1.05%"
"30-08-2024","774.45","773.50","779.25","767.15","141.83K","0.68%"
"29-08-2024","769.25","784.40","784.95","752.05","437.44K","-1.45%"
"28-08-2024","780.55","790.00","797.00","775.00","451.00K","0.48%"
"27-08-2024","776.80","785.75","810.95","770.25","591.23K","-0.24%"
"26-08-2024","778.65","767.00","786.95","765.05","361.77K","1.33%"
"23-08-2024","768.40","778.40","785.05","755.55","246.24K","-1.05%"
"22-08-2024","776.55","762.00","791.00","761.60","655.48K","2.80%"
"21-08-2024","755.40","747.40","759.95","741.30","320.50K","1.04%"
"20-08-2024","747.60","752.00","760.90","742.55","209.39K","-0.47%"
"19-08-2024","751.10","752.15","754.00","732.70","277.23K","1.50%"
"16-08-2024","740.00","744.70","744.90","728.50","913.93K","0.80%"
"14-08-2024","734.15","750.70","753.50","726.20","279.67K","-1.69%"
"13-08-2024","746.80","769.00","774.00","741.00","162.33K","-1.67%"
"12-08-2024","759.45","758.00","773.70","747.75","284.28K","-0.32%"
