"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","2,953.65","2,894.80","2,974.00","2,871.75","126.68K","2.65%"
"05-11-2024","2,877.45","2,880.05","2,908.00","2,838.05","64.90K","-0.31%"
"04-11-2024","2,886.40","2,891.00","2,894.80","2,860.00","58.41K","-0.16%"
"01-11-2024","2,891.00","2,920.00","2,920.00","2,880.00","17.21K","0.07%"
"31-10-2024","2,888.90","2,836.00","2,894.80","2,802.10","104.02K","2.07%"
"30-10-2024","2,830.20","2,845.00","2,854.20","2,795.10","87.59K","0.14%"
"29-10-2024","2,826.35","2,778.00","2,839.80","2,740.05","147.99K","3.79%"
"28-10-2024","2,723.10","2,681.45","2,748.35","2,622.65","87.33K","3.09%"
"25-10-2024","2,641.45","2,772.00","2,783.10","2,630.10","136.37K","-4.70%"
"24-10-2024","2,771.80","2,830.00","2,842.75","2,758.55","112.31K","-1.85%"
"23-10-2024","2,824.15","2,733.05","2,869.45","2,731.95","233.51K","3.52%"
"22-10-2024","2,728.15","2,880.00","2,894.80","2,713.05","247.44K","-4.23%"
"21-10-2024","2,848.65","3,045.00","3,057.50","2,821.10","522.99K","-5.60%"
"18-10-2024","3,017.60","2,985.20","3,055.00","2,912.60","574.17K","1.09%"
"17-10-2024","2,985.20","2,970.00","3,030.00","2,931.65","462.42K","1.50%"
"16-10-2024","2,940.95","2,906.00","2,999.00","2,893.35","400.16K","1.12%"
"15-10-2024","2,908.25","2,799.90","2,924.00","2,755.00","925.79K","4.93%"
"14-10-2024","2,771.50","2,712.00","2,819.00","2,711.15","283.48K","2.28%"
"11-10-2024","2,709.80","2,700.00","2,759.00","2,697.00","76.16K","0.32%"
"10-10-2024","2,701.10","2,730.15","2,750.00","2,694.00","86.14K","-0.03%"
"09-10-2024","2,701.90","2,649.70","2,735.00","2,649.70","76.27K","2.01%"
"08-10-2024","2,648.55","2,612.85","2,666.00","2,596.65","47.65K","0.90%"
"07-10-2024","2,624.90","2,655.05","2,655.80","2,583.95","122.86K","-1.32%"
"04-10-2024","2,660.00","2,639.90","2,698.00","2,619.05","93.76K","0.71%"
"03-10-2024","2,641.20","2,626.00","2,681.80","2,588.00","76.21K","-0.15%"
"01-10-2024","2,645.10","2,635.00","2,658.95","2,599.40","150.88K","1.76%"
"30-09-2024","2,599.30","2,641.45","2,646.75","2,550.55","139.80K","-1.60%"
"27-09-2024","2,641.45","2,668.50","2,699.70","2,621.00","118.01K","0.03%"
"26-09-2024","2,640.65","2,643.00","2,670.00","2,630.00","52.97K","-0.24%"
"25-09-2024","2,647.05","2,666.00","2,668.60","2,629.90","38.32K","-0.72%"
"24-09-2024","2,666.30","2,642.00","2,688.00","2,616.05","53.73K","1.16%"
"23-09-2024","2,635.60","2,672.30","2,680.90","2,610.00","88.77K","-1.08%"
"20-09-2024","2,664.35","2,669.00","2,680.00","2,635.55","61.87K","0.71%"
"19-09-2024","2,645.60","2,721.30","2,734.95","2,602.55","102.58K","-1.34%"
"18-09-2024","2,681.40","2,734.00","2,748.95","2,672.00","101.52K","-1.98%"
"17-09-2024","2,735.60","2,709.00","2,789.70","2,678.50","308.50K","1.03%"
"16-09-2024","2,707.70","2,717.05","2,741.00","2,695.00","57.34K","-0.20%"
"13-09-2024","2,713.25","2,743.35","2,751.20","2,707.55","64.69K","-0.08%"
"12-09-2024","2,715.30","2,686.90","2,727.60","2,685.95","74.19K","1.90%"
"11-09-2024","2,664.70","2,755.00","2,768.00","2,643.15","100.67K","-3.06%"
"10-09-2024","2,748.80","2,691.25","2,751.90","2,691.25","107.68K","2.15%"
"09-09-2024","2,690.90","2,749.90","2,749.90","2,674.30","95.91K","-1.38%"
"06-09-2024","2,728.50","2,765.95","2,808.00","2,713.95","279.66K","-1.01%"
"05-09-2024","2,756.30","2,860.00","2,874.30","2,742.00","432.64K","-2.60%"
"04-09-2024","2,829.80","2,868.60","2,974.80","2,752.00","1.59M","-2.58%"
"03-09-2024","2,904.70","2,896.00","2,935.00","2,879.60","46.07K","0.66%"
"02-09-2024","2,885.55","2,946.90","2,962.55","2,880.05","79.74K","-1.88%"
"30-08-2024","2,940.80","2,963.00","3,018.90","2,931.00","65.40K","0.19%"
"29-08-2024","2,935.15","2,966.00","2,989.95","2,906.00","66.99K","-1.15%"
"28-08-2024","2,969.35","3,048.00","3,082.10","2,960.00","241.08K","-1.04%"
"27-08-2024","3,000.45","3,049.95","3,049.95","2,986.50","76.80K","-1.14%"
"26-08-2024","3,034.95","3,014.00","3,048.95","2,979.55","100.59K","1.22%"
"23-08-2024","2,998.25","2,970.00","3,043.85","2,958.00","228.22K","1.35%"
"22-08-2024","2,958.25","3,020.50","3,050.00","2,930.00","185.00K","-1.53%"
"21-08-2024","3,004.25","2,913.20","3,014.75","2,905.00","496.01K","4.67%"
"20-08-2024","2,870.15","2,797.00","2,907.30","2,778.85","220.91K","3.29%"
"19-08-2024","2,778.85","2,769.00","2,830.00","2,749.25","57.47K","1.06%"
"16-08-2024","2,749.60","2,719.95","2,814.40","2,704.05","82.11K","2.71%"
"14-08-2024","2,677.15","2,748.75","2,752.65","2,655.05","45.39K","-2.27%"
"13-08-2024","2,739.25","2,807.05","2,807.05","2,730.00","27.73K","-3.04%"
"12-08-2024","2,825.00","2,725.00","2,886.95","2,659.05","135.92K","3.36%"
"09-08-2024","2,733.25","2,825.05","2,862.00","2,722.00","54.28K","-2.83%"
"08-08-2024","2,812.90","2,840.00","2,873.80","2,802.85","34.55K","-1.32%"
"07-08-2024","2,850.60","2,902.40","2,917.90","2,835.50","43.86K","-1.28%"
"06-08-2024","2,887.70","2,839.00","2,917.65","2,822.05","127.75K","1.27%"
"05-08-2024","2,851.40","2,760.00","2,865.00","2,730.10","117.21K","-0.80%"
"02-08-2024","2,874.30","2,823.50","2,880.00","2,806.55","115.42K","0.11%"
"01-08-2024","2,871.25","2,834.60","2,885.00","2,819.25","77.39K","1.39%"
"31-07-2024","2,832.00","2,810.60","2,839.00","2,780.00","56.87K","0.89%"
"30-07-2024","2,806.95","2,769.00","2,812.00","2,747.95","34.60K","1.20%"
"29-07-2024","2,773.70","2,781.90","2,825.50","2,730.10","58.00K","-0.29%"
"26-07-2024","2,781.90","2,703.75","2,815.20","2,692.25","127.76K","3.24%"
"25-07-2024","2,694.55","2,686.05","2,712.00","2,660.00","44.42K","-0.47%"
"24-07-2024","2,707.25","2,620.00","2,738.25","2,619.95","57.22K","1.62%"
"23-07-2024","2,664.10","2,636.80","2,698.95","2,560.55","92.88K","0.83%"
"22-07-2024","2,642.05","2,636.80","2,680.45","2,599.95","58.57K","0.20%"
"19-07-2024","2,636.90","2,805.10","2,820.00","2,620.00","104.33K","-6.08%"
"18-07-2024","2,807.75","2,841.10","2,875.00","2,692.00","449.54K","-0.48%"
